feature_id,entry_kind,name,behavior,availability,source_file,evidence_level
COMFY-FRONTEXT-EXT-015,core extension module,imageCrop,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/imageCrop.ts,code-inferred
COMFY-FRONTEXT-EXT-016,core extension module,load3dLazy,Imported by src/extensions/core/index.ts under gate conditional,conditional,src/extensions/core/load3dLazy.ts,code-inferred
COMFY-FRONTEXT-EXT-017,core extension module,maskeditor,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/maskeditor.ts,code-inferred
COMFY-FRONTEXT-EXT-018,core extension module,nodeTemplates,Imported by src/extensions/core/index.ts under gate conditional,conditional,src/extensions/core/nodeTemplates.ts,code-inferred
COMFY-FRONTEXT-EXT-019,core extension module,noteNode,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/noteNode.ts,code-inferred
COMFY-FRONTEXT-EXT-020,core extension module,painter,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/painter.ts,code-inferred
COMFY-FRONTEXT-EXT-021,core extension module,previewAny,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/previewAny.ts,code-inferred
COMFY-FRONTEXT-EXT-022,core extension module,saveText,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/saveText.ts,code-inferred
COMFY-FRONTEXT-EXT-023,core extension module,rerouteNode,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/rerouteNode.ts,code-inferred
COMFY-FRONTEXT-EXT-024,core extension module,saveImageExtraOutput,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/saveImageExtraOutput.ts,code-inferred
COMFY-FRONTEXT-EXT-025,core extension module,selectionBorder,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/selectionBorder.ts,code-inferred
COMFY-FRONTEXT-EXT-026,core extension module,simpleTouchSupport,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/simpleTouchSupport.ts,code-inferred
COMFY-FRONTEXT-EXT-027,core extension module,slotDefaults,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/slotDefaults.ts,code-inferred
COMFY-FRONTEXT-EXT-028,core extension module,uploadAudio,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/uploadAudio.ts,code-inferred
COMFY-FRONTEXT-EXT-029,core extension module,uploadImage,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/uploadImage.ts,code-inferred
COMFY-FRONTEXT-EXT-030,core extension module,webcamCapture,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/webcamCapture.ts,code-inferred
COMFY-FRONTEXT-EXT-031,core extension module,widgetInputs,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/widgetInputs.ts,code-inferred
COMFY-FRONTEXT-EXT-032,core extension module,cloudRemoteConfig,Imported by src/extensions/core/index.ts under gate cloud/paid,cloud/paid,src/extensions/core/cloudRemoteConfig.ts,code-inferred
COMFY-FRONTEXT-EXT-033,core extension module,cloudBadges,Imported by src/extensions/core/index.ts under gate cloud/paid,cloud/paid,src/extensions/core/cloudBadges.ts,code-inferred
COMFY-FRONTEXT-EXT-034,core extension module,cloudSessionCookie,Imported by src/extensions/core/index.ts under gate cloud/paid,cloud/paid,src/extensions/core/cloudSessionCookie.ts,code-inferred
COMFY-FRONTEXT-EXT-035,core extension module,cloudFeedbackTopbarButton,Imported by src/extensions/core/index.ts under gate cloud/paid,cloud/paid,src/extensions/core/cloudFeedbackTopbarButton.ts,code-inferred
COMFY-FRONTEXT-EXT-036,core extension module,nightlyBadges,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/nightlyBadges.ts,code-inferred
