feature_id,entry_kind,identifier,wire_name,source_file,availability,evidence_level
COMFY-CLOUD-021,event,RESUBSCRIBE_BUTTON_CLICKED,app:resubscribe_button_clicked,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-022,event,ADD_API_CREDIT_BUTTON_CLICKED,app:add_api_credit_button_clicked,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-023,event,API_CREDIT_TOPUP_BUTTON_PURCHASE_CLICKED,app:api_credit_topup_button_purchase_clicked,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-024,event,API_CREDIT_TOPUP_SUCCEEDED,app:api_credit_topup_succeeded,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-025,event,WORKSPACE_INVITE_SENT,app:workspace_invite_sent,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-026,event,BEGIN_CHECKOUT,begin_checkout,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-027,event,USER_SURVEY_OPENED,app:user_survey_opened,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-028,event,USER_SURVEY_SUBMITTED,app:user_survey_submitted,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-029,event,USER_EMAIL_VERIFY_OPENED,app:user_email_verify_opened,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-030,event,USER_EMAIL_VERIFY_REQUESTED,app:user_email_verify_requested,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-031,event,USER_EMAIL_VERIFY_COMPLETED,app:user_email_verify_completed,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-032,event,TEMPLATE_WORKFLOW_OPENED,app:template_workflow_opened,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-033,event,TEMPLATE_LIBRARY_OPENED,app:template_library_opened,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-034,event,TEMPLATE_LIBRARY_CLOSED,app:template_library_closed,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-035,event,WORKFLOW_IMPORTED,app:workflow_imported,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-036,event,WORKFLOW_OPENED,app:workflow_opened,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-037,event,ENTER_LINEAR_MODE,app:app_mode_opened,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-038,event,SHARE_FLOW,app:share_flow,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-039,event,SHARE_LINK_OPENED,app:share_link_opened,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-040,event,PAGE_VISIBILITY_CHANGED,app:page_visibility_changed,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-041,event,TAB_COUNT_TRACKING,app:tab_count_tracking,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-042,event,SHELL_LAYOUT,app:shell_layout,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-043,event,NODE_SEARCH,app:node_search,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-044,event,NODE_SEARCH_RESULT_SELECTED,app:node_search_result_selected,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-045,event,SEARCH_QUERY,app:search_query,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-046,event,NODE_ADDED,app:node_added_to_workflow,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-047,event,TEMPLATE_FILTER_CHANGED,app:template_filter_changed,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-048,event,SETTING_CHANGED,app:setting_changed,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-049,event,HELP_CENTER_OPENED,app:help_center_opened,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-050,event,HELP_RESOURCE_CLICKED,app:help_resource_clicked,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-051,event,HELP_CENTER_CLOSED,app:help_center_closed,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-052,event,WORKFLOW_CREATED,app:workflow_created,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-053,event,WORKFLOW_SAVED,app:workflow_saved,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-054,event,DEFAULT_VIEW_SET,app:default_view_set,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-055,event,EXECUTION_START,execution_start,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-056,event,EXECUTION_ERROR,execution_error,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-057,event,EXECUTION_SUCCESS,execution_success,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-058,event,SHARED_WORKFLOW_RUN,app:shared_workflow_run,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-059,event,UI_BUTTON_CLICKED,app:ui_button_clicked,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-CLOUD-060,event,PAGE_VIEW,app:page_view,src/platform/telemetry/types.ts,infrastructure-only,test-backed
COMFY-TELEMETRY-UI-001,ui_button_id,right_side_panel_opened,app:ui_button_clicked,src/components/TopMenuSection.vue:290,active,code-inferred
COMFY-TELEMETRY-UI-002,ui_button_id,actionbar_run_handle_drag_start,app:ui_button_clicked,src/components/actionbar/ComfyActionbar.vue:225,active,code-inferred
COMFY-TELEMETRY-UI-003,ui_button_id,queue_mode_option_run_on_change_selected,app:ui_button_clicked,src/components/actionbar/ComfyRunButton/ComfyQueueButton.vue:134,active,code-inferred
COMFY-TELEMETRY-UI-004,ui_button_id,queue_mode_option_run_instant_selected,app:ui_button_clicked,src/components/actionbar/ComfyRunButton/ComfyQueueButton.vue:149,active,code-inferred
COMFY-TELEMETRY-UI-005,ui_button_id,queue_run_multiple_batches_submitted,app:ui_button_clicked,src/components/actionbar/ComfyRunButton/ComfyQueueButton.vue:242; src/renderer/extensions/linearMode/LinearControls.vue:74,active,code-inferred
COMFY-TELEMETRY-UI-006,ui_button_id,breadcrumb_subgraph_root_selected,app:ui_button_clicked,src/components/breadcrumb/SubgraphBreadcrumb.vue:91,active,code-inferred
COMFY-TELEMETRY-UI-007,ui_button_id,breadcrumb_subgraph_item_selected,app:ui_button_clicked,src/components/breadcrumb/SubgraphBreadcrumb.vue:107,active,code-inferred
COMFY-TELEMETRY-UI-008,ui_button_id,error_dialog_show_report_clicked,app:ui_button_clicked,src/components/dialog/content/ErrorDialogContent.vue:104,active,code-inferred
COMFY-TELEMETRY-UI-009,ui_button_id,error_dialog_find_existing_issues_clicked,app:ui_button_clicked,src/components/dialog/content/error/FindIssueButton.vue:28,active,code-inferred
COMFY-TELEMETRY-UI-010,ui_button_id,graph_menu_minimap_toggle_clicked,app:ui_button_clicked,src/components/graph/GraphCanvasMenu.vue:221,active,code-inferred
COMFY-TELEMETRY-UI-011,ui_button_id,graph_menu_hide_links_toggle_clicked,app:ui_button_clicked,src/components/graph/GraphCanvasMenu.vue:232,active,code-inferred
COMFY-TELEMETRY-UI-012,ui_button_id,selection_toolbox_node_info_opened,app:ui_button_clicked,src/components/graph/selectionToolbox/InfoButton.vue:27,active,code-inferred
COMFY-TELEMETRY-UI-013,ui_button_id,right_side_panel_closed,app:ui_button_clicked,src/components/rightSidePanel/RightSidePanel.vue:110,active,code-inferred
COMFY-TELEMETRY-UI-014,ui_button_id,error_tab_github_issues_clicked,app:ui_button_clicked,src/components/rightSidePanel/errors/useErrorActions.ts:12,active,code-inferred
COMFY-TELEMETRY-UI-015,ui_button_id,error_tab_find_existing_issues_clicked,app:ui_button_clicked,src/components/rightSidePanel/errors/useErrorActions.ts:29,active,code-inferred
COMFY-TELEMETRY-UI-016,ui_button_id,sidebar_comfy_menu_opened,app:ui_button_clicked,src/components/sidebar/ComfyMenuButton.vue:153,active,code-inferred
COMFY-TELEMETRY-UI-017,ui_button_id,sidebar_settings_menu_opened,app:ui_button_clicked,src/components/sidebar/ComfyMenuButton.vue:221,active,code-inferred
COMFY-TELEMETRY-UI-018,ui_button_id,sidebar_tab_node_library_selected,app:ui_button_clicked,src/components/sidebar/SideToolbar.vue:141,active,code-inferred
COMFY-TELEMETRY-UI-019,ui_button_id,sidebar_tab_model_library_selected,app:ui_button_clicked,src/components/sidebar/SideToolbar.vue:146,active,code-inferred
COMFY-TELEMETRY-UI-020,ui_button_id,sidebar_tab_workflows_selected,app:ui_button_clicked,src/components/sidebar/SideToolbar.vue:151,active,code-inferred
COMFY-TELEMETRY-UI-021,ui_button_id,sidebar_tab_assets_media_selected,app:ui_button_clicked,src/components/sidebar/SideToolbar.vue:156,active,code-inferred
COMFY-TELEMETRY-UI-022,ui_button_id,sidebar_bottom_panel_console_toggled,app:ui_button_clicked,src/components/sidebar/SidebarBottomPanelToggleButton.vue:24,active,code-inferred
COMFY-TELEMETRY-UI-023,ui_button_id,sidebar_settings_button_clicked,app:ui_button_clicked,src/components/sidebar/SidebarSettingsButton.vue:33,active,code-inferred
COMFY-TELEMETRY-UI-024,ui_button_id,sidebar_shortcuts_panel_toggled,app:ui_button_clicked,src/components/sidebar/SidebarShortcutsToggleButton.vue:40,active,code-inferred
COMFY-TELEMETRY-UI-025,ui_button_id,sidebar_templates_dialog_opened,app:ui_button_clicked,src/components/sidebar/SidebarTemplatesButton.vue:32,active,code-inferred
COMFY-TELEMETRY-UI-026,ui_button_id,node_library_help_button,app:ui_button_clicked,src/components/sidebar/tabs/nodeLibrary/NodeTreeLeaf.vue:122,active,code-inferred
COMFY-TELEMETRY-UI-027,ui_button_id,sidebar_help_center_toggled,app:ui_button_clicked,src/composables/useHelpCenter.ts:41,active,code-inferred
COMFY-TELEMETRY-UI-028,ui_button_id,cloud_notification_modal_impression,app:ui_button_clicked,src/platform/cloud/notification/components/CloudNotificationContent.vue:91,cloud/paid,code-inferred
COMFY-TELEMETRY-UI-029,ui_button_id,cloud_notification_continue_locally_clicked,app:ui_button_clicked,src/platform/cloud/notification/components/CloudNotificationContent.vue:98,cloud/paid,code-inferred
COMFY-TELEMETRY-UI-030,ui_button_id,cloud_notification_explore_cloud_clicked,app:ui_button_clicked,src/platform/cloud/notification/components/CloudNotificationContent.vue:106,cloud/paid,code-inferred
COMFY-TELEMETRY-UI-031,ui_button_id,graph_node_open_subgraph_clicked,app:ui_button_clicked,src/renderer/extensions/vueNodes/components/LGraphNode.vue:675,active,code-inferred
COMFY-TELEMETRY-UI-032,ui_button_id,error_dialog_closed,app:ui_button_clicked,src/services/dialogService.ts:122; src/services/dialogService.ts:189,active,code-inferred
COMFY-TELEMETRY-001,event,install_stepper_change,install_stepper_change,apps/desktop-ui/src/views/InstallView.vue:96; apps/desktop-ui/src/views/InstallView.vue:130; apps/desktop-ui/src/views/InstallView.vue:138; apps/desktop-ui/src/views/InstallView.vue:178,platform-specific,code-inferred
COMFY-TELEMETRY-002,event,execution,execution,src/views/GraphView.vue:168,platform-specific,code-inferred
COMFY-TELEMETRY-003,event,POSTHOG_PAGEVIEW,$pageview,apps/website/src/scripts/posthog.ts:38,active,test-backed
COMFY-TELEMETRY-004,event,WEBSITE_DOWNLOAD_BUTTON_CLICKED,website:download_button_clicked,apps/website/src/scripts/posthog.ts:47,active,test-backed
