feature_id,method,route,access_helper,availability,source_file,line,evidence_level
COMFY-CLOUD-098,GET,/secrets,manual-reconciled,cloud/paid,src/platform/secrets/api/secretsApi.ts,static-reconciled,code-inferred
COMFY-CLOUD-091,GET,/secrets/providers,fetchApi,cloud/paid,src/platform/secrets/api/secretsApi.ts,61,code-inferred
COMFY-CLOUD-092,GET,/secrets/providers,manual-reconciled,cloud/paid,src/platform/secrets/api/secretsApi.ts,static-reconciled,code-inferred
COMFY-SETTING-017,GET,/settings,fetchApi,active,src/scripts/api.ts,1277,code-inferred
COMFY-CLOUD-101,GET,/settings/{param},fetchApi,active,src/platform/cloud/onboarding/auth.ts,92,code-inferred
COMFY-UI-031,GET,/system_stats,fetchApi,active,src/scripts/api.ts,1152,code-inferred
COMFY-UI-032,GET,/tasks/{task_id},manual-reconciled,conditional,src/platform/tasks/services/taskService.ts,static-reconciled,code-inferred
COMFY-CLOUD-103,GET,/user,fetchApi,active,src/platform/cloud/onboarding/auth.ts,54,code-inferred
COMFY-UI-035,GET,/userdata/{param},fetchApi,active,src/scripts/api.ts,1318,code-inferred
COMFY-WORKFLOW-049,GET,/userdata/{param}/publish,fetchApi,active,src/platform/workflow/sharing/services/workflowShareService.ts,196,code-inferred
COMFY-UI-037,GET,/userdata?dir={param}&recurse=true&split=false&full_info=true,fetchApi,active,src/scripts/api.ts,1392,code-inferred
COMFY-UI-038,GET,/users,fetchApi,active,src/scripts/api.ts,1254,code-inferred
COMFY-FRONTEXT-EXT-066,GET,/v2/customnode/getmappings,manual-reconciled,conditional,src/workbench/extensions/manager/services/comfyManagerService.ts,static-reconciled,code-inferred
COMFY-FRONTEXT-EXT-067,GET,/v2/customnode/import_fail_info,manual-reconciled,conditional,src/workbench/extensions/manager/services/comfyManagerService.ts,static-reconciled,code-inferred
COMFY-FRONTEXT-EXT-069,GET,/v2/customnode/installed,manual-reconciled,conditional,src/workbench/extensions/manager/services/comfyManagerService.ts,static-reconciled,code-inferred
COMFY-FRONTEXT-EXT-070,GET,/v2/manager/is_legacy_manager_ui,manual-reconciled,conditional,src/workbench/extensions/manager/services/comfyManagerService.ts,static-reconciled,code-inferred
COMFY-FRONTEXT-EXT-071,GET,/v2/manager/queue/history,manual-reconciled,conditional,src/workbench/extensions/manager/services/comfyManagerService.ts,static-reconciled,code-inferred
COMFY-FRONTEXT-EXT-074,GET,/v2/manager/queue/status,manual-reconciled,conditional,src/workbench/extensions/manager/services/comfyManagerService.ts,static-reconciled,code-inferred
COMFY-UI-040,GET,/view_metadata/{param}?filename={param},fetchApi,active,src/scripts/api.ts,1068,code-inferred
COMFY-WORKFLOW-054,GET,/workflow_templates,fetchApi,active,src/scripts/api.ts,896,code-inferred
COMFY-WORKFLOW-055,GET,/workflows/published/{param},fetchApi,active,src/platform/workflow/sharing/services/workflowShareService.ts,245,code-inferred
COMFY-ASSET-030,GET,/{param}/remote-metadata?url={param},fetchApi,active,src/platform/assets/services/assetService.ts,690,code-inferred
COMFY-ASSET-034,GET,/{param}/{param},fetchApi,active,src/platform/assets/services/assetService.ts,462,code-inferred
COMFY-ASSET-017,PATCH,/assets/{id},manual-reconciled,conditional,src/platform/assets/services/assetService.ts,static-reconciled,code-inferred
COMFY-CLOUD-094,PATCH,/secrets/{id},manual-reconciled,cloud/paid,src/platform/secrets/api/secretsApi.ts,static-reconciled,code-inferred
COMFY-CLOUD-096,PATCH,/secrets/{param},fetchApi,cloud/paid,src/platform/secrets/api/secretsApi.ts,81,code-inferred
COMFY-UI-006,POST,/,fetchApi,active,src/scripts/api.ts,1163,code-inferred
COMFY-ASSET-020,POST,/assets,manual-reconciled,conditional,src/platform/assets/services/assetService.ts,static-reconciled,code-inferred
COMFY-ASSET-005,POST,/assets/downloads,manual-reconciled,conditional,src/platform/assets/services/assetService.ts,static-reconciled,code-inferred
COMFY-ASSET-008,POST,/assets/exports,manual-reconciled,conditional,src/platform/assets/services/assetService.ts,static-reconciled,code-inferred
COMFY-ASSET-009,POST,/assets/from-workflow,fetchApi,conditional,src/scripts/api.ts,1021,code-inferred
COMFY-ASSET-010,POST,/assets/import,fetchApi,conditional,src/platform/workflow/sharing/services/workflowShareService.ts,276,code-inferred
COMFY-ASSET-011,POST,/assets/import,manual-reconciled,conditional,src/platform/workflow/sharing/services/workflowShareService.ts,static-reconciled,code-inferred
COMFY-ASSET-014,POST,/assets/{id}/tags,manual-reconciled,conditional,src/platform/assets/services/assetService.ts,static-reconciled,code-inferred
COMFY-CLOUD-076,POST,/auth/desktop-login-codes/redeem,apiURL,active,src/platform/cloud/onboarding/desktopLoginRedemption.ts,159,code-inferred
COMFY-UI-008,POST,/auth/session,apiURL,active,src/platform/auth/session/useSessionCookie.ts,17,code-inferred
COMFY-CLOUD-077,POST,/auth/token,apiURL,active,src/platform/workspace/stores/workspaceAuthStore.ts,310,code-inferred
COMFY-UI-017,POST,/free,fetchApi,active,src/scripts/api.ts,1472,code-inferred
COMFY-ASSET-024,POST,/hub/assets/upload-url,fetchApi,cloud/paid,src/platform/workflow/sharing/services/comfyHubService.ts,86,code-inferred
COMFY-ASSET-025,POST,/hub/assets/upload-url,manual-reconciled,cloud/paid,src/platform/workflow/sharing/services/comfyHubService.ts,static-reconciled,code-inferred
COMFY-WORKFLOW-044,POST,/hub/profiles,fetchApi,cloud/paid,src/platform/workflow/sharing/services/comfyHubService.ts,153,code-inferred
COMFY-WORKFLOW-045,POST,/hub/profiles,manual-reconciled,cloud/paid,src/platform/workflow/sharing/services/comfyHubService.ts,static-reconciled,code-inferred
COMFY-WORKFLOW-047,POST,/hub/workflows,fetchApi,cloud/paid,src/platform/workflow/sharing/services/comfyHubService.ts,198,code-inferred
COMFY-WORKFLOW-048,POST,/hub/workflows,manual-reconciled,cloud/paid,src/platform/workflow/sharing/services/comfyHubService.ts,static-reconciled,code-inferred
COMFY-CLOUD-089,POST,/internal/cloud_analytics,fetchApi,active,src/platform/telemetry/providers/cloud/ClickHouseTelemetryProvider.ts,31,code-inferred
COMFY-UI-020,POST,/jobs/cancel,fetchApi,active,src/scripts/api.ts,1235,code-inferred
COMFY-UI-022,POST,/jobs/{param}/cancel,fetchApi,active,src/scripts/api.ts,1212,code-inferred
COMFY-QUEUE-006,POST,/prompt,fetchApi,active,src/scripts/api.ts,981,code-inferred
COMFY-CLOUD-099,POST,/secrets,fetchApi,cloud/paid,src/platform/secrets/api/secretsApi.ts,69,code-inferred
COMFY-CLOUD-100,POST,/secrets,manual-reconciled,cloud/paid,src/platform/secrets/api/secretsApi.ts,static-reconciled,code-inferred
COMFY-CLOUD-102,POST,/settings,fetchApi,active,src/platform/cloud/onboarding/auth.ts,150,code-inferred
COMFY-SETTING-016,POST,/settings/{param},fetchApi,active,src/scripts/api.ts,1308,code-inferred
COMFY-ASSET-026,POST,/upload/image,fetchApi,active,src/components/common/BackgroundImageUpload.vue,61,code-inferred
COMFY-UI-033,POST,/userdata/{param}/move/{param}?overwrite={param},fetchApi,active,src/scripts/api.ts,1381,code-inferred
COMFY-WORKFLOW-050,POST,/userdata/{param}/publish,fetchApi,active,src/platform/workflow/sharing/services/workflowShareService.ts,168,code-inferred
COMFY-UI-036,POST,/userdata/{param}?overwrite={param}&full_info={param},fetchApi,active,src/scripts/api.ts,1343,code-inferred
COMFY-UI-039,POST,/users,fetchApi,active,src/scripts/api.ts,1263,code-inferred
COMFY-FRONTEXT-EXT-068,POST,/v2/customnode/import_fail_info_bulk,manual-reconciled,conditional,src/workbench/extensions/manager/services/comfyManagerService.ts,static-reconciled,code-inferred
COMFY-FRONTEXT-EXT-072,POST,/v2/manager/queue/reset,manual-reconciled,conditional,src/workbench/extensions/manager/services/comfyManagerService.ts,static-reconciled,code-inferred
COMFY-FRONTEXT-EXT-073,POST,/v2/manager/queue/start,manual-reconciled,conditional,src/workbench/extensions/manager/services/comfyManagerService.ts,static-reconciled,code-inferred
COMFY-FRONTEXT-EXT-075,POST,/v2/manager/queue/task,manual-reconciled,conditional,src/workbench/extensions/manager/services/comfyManagerService.ts,static-reconciled,code-inferred
COMFY-FRONTEXT-EXT-076,POST,/v2/manager/queue/update_all,manual-reconciled,conditional,src/workbench/extensions/manager/services/comfyManagerService.ts,static-reconciled,code-inferred
COMFY-FRONTEXT-EXT-077,POST,/v2/manager/queue/update_comfyui,manual-reconciled,conditional,src/workbench/extensions/manager/services/comfyManagerService.ts,static-reconciled,code-inferred
COMFY-FRONTEXT-EXT-078,POST,/v2/manager/reboot,manual-reconciled,conditional,src/workbench/extensions/manager/services/comfyManagerService.ts,static-reconciled,code-inferred
COMFY-ASSET-032,POST,/{param}/{param}/tags,fetchApi,active,src/platform/assets/services/assetService.ts,819,code-inferred
COMFY-ASSET-035,PUT,/{param}/{param},fetchApi,active,src/platform/assets/services/assetService.ts,657,code-inferred
COMFY-ASSET-004,URL,/,apiURL,active,src/composables/useWaveAudioPlayer.ts,75,code-inferred
COMFY-ASSET-018,URL,/assets/{param}/content,apiURL,conditional,src/platform/assets/utils/assetPreviewUtil.ts,33,code-inferred
COMFY-CLOUD-078,URL,/billing/balance,apiURL,cloud/paid,src/platform/workspace/api/workspaceApi.ts,596,code-inferred
COMFY-CLOUD-079,URL,/billing/events,apiURL,cloud/paid,src/platform/workspace/api/workspaceApi.ts,769,code-inferred
COMFY-CLOUD-080,URL,/billing/ops/{param},apiURL,cloud/paid,src/platform/workspace/api/workspaceApi.ts,786,code-inferred
COMFY-CLOUD-081,URL,/billing/payment-portal,apiURL,cloud/paid,src/platform/workspace/api/workspaceApi.ts,725,code-inferred
COMFY-CLOUD-082,URL,/billing/plans,apiURL,cloud/paid,src/platform/workspace/api/workspaceApi.ts,613,code-inferred
COMFY-CLOUD-083,URL,/billing/preview-subscribe,apiURL,cloud/paid,src/platform/workspace/api/workspaceApi.ts,633,code-inferred
COMFY-CLOUD-084,URL,/billing/status,apiURL,cloud/paid,src/platform/workspace/api/workspaceApi.ts,579,code-inferred
COMFY-CLOUD-085,URL,/billing/subscribe,apiURL,cloud/paid,src/platform/workspace/api/workspaceApi.ts,658,code-inferred
COMFY-CLOUD-086,URL,/billing/subscription/cancel,apiURL,cloud/paid,src/platform/workspace/api/workspaceApi.ts,685,code-inferred
COMFY-CLOUD-087,URL,/billing/subscription/resubscribe,apiURL,cloud/paid,src/platform/workspace/api/workspaceApi.ts,705,code-inferred
COMFY-CLOUD-088,URL,/billing/topup,apiURL,cloud/paid,src/platform/workspace/api/workspaceApi.ts,746,code-inferred
COMFY-UI-015,URL,/features,apiURL,active,src/platform/remoteConfig/refreshRemoteConfig.ts,27,code-inferred
COMFY-ASSET-022,URL,/files/input,internalURL,active,src/stores/assetsStore.ts,33,code-inferred
COMFY-UI-016,URL,/folder_paths,internalURL,active,src/scripts/api.ts,1451,code-inferred
COMFY-UI-019,URL,/i18n,apiURL,active,src/scripts/api.ts,1513,code-inferred
COMFY-CLOUD-090,URL,/invites/{param}/accept,apiURL,active,src/platform/workspace/api/workspaceApi.ts,561,code-inferred
COMFY-UI-028,URL,/logs,apiURL,active,src/scripts/api.ts,1428,code-inferred
COMFY-UI-029,URL,/logs,internalURL,active,src/scripts/api.ts,1428,code-inferred
COMFY-UI-024,URL,/logs/raw,apiURL,active,src/scripts/api.ts,1434,code-inferred
COMFY-UI-025,URL,/logs/raw,internalURL,active,src/scripts/api.ts,1435,code-inferred
COMFY-UI-026,URL,/logs/subscribe,apiURL,active,src/scripts/api.ts,1441,code-inferred
COMFY-UI-027,URL,/logs/subscribe,internalURL,active,src/scripts/api.ts,1442,code-inferred
COMFY-FRONTEXT-EXT-065,URL,/v2/,apiURL,active,src/workbench/extensions/manager/services/comfyManagerService.ts,42,code-inferred
COMFY-ASSET-027,URL,/view?,apiURL,active,src/composables/maskeditor/useMaskEditorLoader.ts,74,code-inferred
COMFY-ASSET-028,URL,/view?{param},apiURL,active,src/composables/maskeditor/useMaskEditorLoader.ts,214,code-inferred
COMFY-WORKFLOW-051,URL,/view?{param}{param},apiURL,active,src/components/builder/AppModeWidgetList.vue,109,code-inferred
COMFY-GRAPH-024,URL,/view?{param}{param}{param},apiURL,active,src/stores/nodeOutputStore.ts,120,code-inferred
COMFY-ASSET-029,URL,/viewvideo?,apiURL,active,src/stores/queueStore.ts,99,code-inferred
COMFY-WORKFLOW-053,URL,/workflow_templates/{param}/{param},apiURL,active,src/platform/workflow/templates/composables/useTemplateWorkflows.ts,69,code-inferred
COMFY-WORKFLOW-052,URL,/workflow_templates/{param}/{param}.json,apiURL,active,src/platform/workflow/templates/composables/useTemplateWorkflows.ts,162,code-inferred
COMFY-CLOUD-105,URL,/workspace/invites,apiURL,active,src/platform/workspace/api/workspaceApi.ts,509,code-inferred
COMFY-CLOUD-104,URL,/workspace/invites/{param},apiURL,active,src/platform/workspace/api/workspaceApi.ts,544,code-inferred
COMFY-CLOUD-106,URL,/workspace/leave,apiURL,active,src/platform/workspace/api/workspaceApi.ts,442,code-inferred
COMFY-CLOUD-108,URL,/workspace/members,apiURL,active,src/platform/workspace/api/workspaceApi.ts,458,code-inferred
COMFY-CLOUD-107,URL,/workspace/members/{param},apiURL,active,src/platform/workspace/api/workspaceApi.ts,475,code-inferred
COMFY-CLOUD-110,URL,/workspaces,apiURL,cloud/paid,src/platform/workspace/api/workspaceApi.ts,369,code-inferred
COMFY-CLOUD-109,URL,/workspaces/{param},apiURL,cloud/paid,src/platform/workspace/api/workspaceApi.ts,407,code-inferred
