kind,name,default,choices,value_shape,mutual_exclusion_group,availability,evidence_level,confidence,behavior,source_file,source_symbol,source_line,test_evidence,runtime_observation,zed_status,parity_gap,feature_id
CLI flag,--default-device,None,,int,,active,observed,high,"Set the id of the default device, all other devices will stay visible.",comfy/cli_args.py,parser.add_argument,53,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --default-device.,COMFY-CONFIG-0018
CLI flag,--default-hashing-function,sha256,"[""md5"", ""sha1"", ""sha256"", ""sha512""]",str,,active,observed,high,Allows you to choose the hash function to use for duplicate filename / contents comparison. Default is sha256.,comfy/cli_args.py,parser.add_argument,158,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --default-hashing-function.,COMFY-CONFIG-0019
CLI flag,--deterministic,false,,store_true,,active,observed,high,Make pytorch use slower deterministic algorithms when it can. Note that this might not make images deterministic in all cases.,comfy/cli_args.py,parser.add_argument,161,tests-unit/assets_test/test_list_cursor.py | tests-unit/execution_test/test_cache_provider.py,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --deterministic.,COMFY-CONFIG-0020
CLI flag,--directml,None,,int; nargs='?',,active,observed,high,Use torch-directml.,comfy/cli_args.py,parser.add_argument,90,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --directml.,COMFY-CONFIG-0021
CLI flag,--disable-all-custom-nodes,false,,store_true,,active,observed,high,Disable loading all custom nodes.,comfy/cli_args.py,parser.add_argument,183,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --disable-all-custom-nodes.,COMFY-CONFIG-0022
CLI flag,--disable-api-nodes,false,,store_true,,active,observed,high,Disable loading all api nodes. Also prevents the frontend from communicating with the internet.,comfy/cli_args.py,parser.add_argument,185,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --disable-api-nodes.,COMFY-CONFIG-0023
CLI flag,--disable-async-offload,false,,store_true,,active,observed,high,Disable async weight offloading.,comfy/cli_args.py,parser.add_argument,151,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --disable-async-offload.,COMFY-CONFIG-0024
CLI flag,--disable-auto-launch,false,,store_true,,active,observed,high,Disable auto launching the browser.,comfy/cli_args.py,parser.add_argument,51,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --disable-auto-launch.,COMFY-CONFIG-0025
CLI flag,--disable-cuda-malloc,false,,store_true,cm_group,active,observed,high,Disable cudaMallocAsync.,comfy/cli_args.py,parser.add_argument,56,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --disable-cuda-malloc.,COMFY-CONFIG-0026
CLI flag,--disable-dynamic-vram,false,,store_true,,active,observed,high,Disable dynamic VRAM and use estimate based model loading.,comfy/cli_args.py,parser.add_argument,152,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --disable-dynamic-vram.,COMFY-CONFIG-0027
CLI flag,--disable-manager-ui,false,,store_true,manager_group,active,observed,high,Disables only the ComfyUI-Manager UI and endpoints. Scheduled installations and similar background tasks will still operate.,comfy/cli_args.py,parser.add_argument,136,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --disable-manager-ui.,COMFY-CONFIG-0028
CLI flag,--disable-metadata,false,,store_true,,active,observed,high,Disable saving prompt metadata in files.,comfy/cli_args.py,parser.add_argument,182,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --disable-metadata.,COMFY-CONFIG-0029
CLI flag,--disable-mmap,false,,store_true,,active,observed,high,Don't use mmap when loading safetensors.,comfy/cli_args.py,parser.add_argument,176,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --disable-mmap.,COMFY-CONFIG-0030
CLI flag,--disable-pinned-memory,false,,store_true,,active,observed,high,Disable pinned memory use.,comfy/cli_args.py,parser.add_argument,173,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --disable-pinned-memory.,COMFY-CONFIG-0031
CLI flag,--disable-smart-memory,false,,store_true,,active,observed,high,Force ComfyUI to agressively offload to regular ram instead of keeping models in vram when it can.,comfy/cli_args.py,parser.add_argument,160,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --disable-smart-memory.,COMFY-CONFIG-0032
CLI flag,--disable-xformers,false,,store_true,,active,observed,high,Disable xformers.,comfy/cli_args.py,parser.add_argument,127,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --disable-xformers.,COMFY-CONFIG-0033
CLI flag,--dont-print-server,false,,store_true,,active,observed,high,Don't print server output.,comfy/cli_args.py,parser.add_argument,178,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --dont-print-server.,COMFY-CONFIG-0034
CLI flag,--dont-upcast-attention,false,,store_true,upcast,active,observed,high,Disable all upcasting of attention. Should be unnecessary except for debugging.,comfy/cli_args.py,parser.add_argument,131,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --dont-upcast-attention.,COMFY-CONFIG-0035
CLI flag,--enable-asset-hashing,false,,store_true,,active,observed,high,"Compute blake3 content hashes when scanning assets. Hashing enables future asset-portability features (deduplication, cross-machine model resolution) but adds startup cost and per-output cost on large models directories. Off by default; enable to opt in.",comfy/cli_args.py,parser.add_argument,243,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --enable-asset-hashing.,COMFY-CONFIG-0036
CLI flag,--enable-assets,false,,store_true,,active,observed,high,"Enable the assets system (API routes, database synchronization, and background scanning).",comfy/cli_args.py,parser.add_argument,242,tests-unit/assets_test/conftest.py | tests-unit/execution_test/test_enrich_output.py,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --enable-assets.,COMFY-CONFIG-0037
CLI flag,--enable-compress-response-body,false,,store_true,,active,observed,high,Enable compressing response body.,comfy/cli_args.py,parser.add_argument,229,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --enable-compress-response-body.,COMFY-CONFIG-0038
CLI flag,--enable-cors-header,None,,str; nargs='?',,active,observed,high,Enable CORS (Cross-Origin Resource Sharing) with optional origin or allow all with default '*'.,comfy/cli_args.py,parser.add_argument,42,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --enable-cors-header.,COMFY-CONFIG-0039
CLI flag,--enable-dynamic-vram,false,,store_true,,active,observed,high,Enable dynamic VRAM on systems where it's not enabled by default.,comfy/cli_args.py,parser.add_argument,153,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --enable-dynamic-vram.,COMFY-CONFIG-0040
CLI flag,--enable-manager,false,,store_true,,active,observed,high,Enable the ComfyUI-Manager feature.,comfy/cli_args.py,parser.add_argument,134,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --enable-manager.,COMFY-CONFIG-0041
CLI flag,--enable-manager-legacy-ui,false,,store_true,manager_group,active,observed,high,Enables the legacy UI of ComfyUI-Manager. Implies --enable-manager.,comfy/cli_args.py,parser.add_argument,137,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --enable-manager-legacy-ui.,COMFY-CONFIG-0042
CLI flag,--enable-triton-backend,false,,store_true,,active,observed,high,ComfyUI will enable the use of Triton backend in comfy-kitchen. Is disabled at launch by default.,comfy/cli_args.py,parser.add_argument,94,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --enable-triton-backend.,COMFY-CONFIG-0043
CLI flag,--extra-model-paths-config,None,,append; nargs='+',,active,observed,high,Load one or more extra_model_paths.yaml files.,comfy/cli_args.py,parser.add_argument,46,tests/execution/test_async_nodes.py | tests/execution/test_execution.py | tests/execution/test_progress_isolation.py | tests/execution/test_public_api.py,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --extra-model-paths-config.,COMFY-CONFIG-0044
CLI flag,--fast,None,,PerformanceFeature; nargs='*',,experimental,observed,high,"'Enable some untested and potentially quality deteriorating optimizations. This is used to test new features so using it might crash your comfyui. --fast with no arguments enables everything. You can pass a list specific optimizations if you only want to enable specific ones. Current valid optimizations: {}'.format(' '.join(map(lambda c: c.value, PerformanceFeature)))",comfy/cli_args.py,parser.add_argument,169,tests-unit/assets_test/queries/conftest.py | tests-unit/assets_test/services/conftest.py | tests-unit/assets_test/test_assets_missing_sync.py | tests-unit/assets_test/test_crud.py | tests-unit/assets_test/test_list_cursor.py | tests-unit/assets_test/test_uploads.py | tests-unit/execution_test/preview_method_override_test.py | tests-unit/seeder_test/test_seeder.py | tests/execution/test_preview_method.py | tests/test_asset_seeder.py,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fast.,COMFY-CONFIG-0045
CLI flag,--fast-disk,false,,store_true,,active,observed,high,Prefer disk-backed dynamic loading and offload over unpinned RAM. Can be faster for users with fast NVME disks.,comfy/cli_args.py,parser.add_argument,154,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fast-disk.,COMFY-CONFIG-0046
CLI flag,--feature-flag,[],,append,,active,observed,high,"Set a server feature flag. Use KEY=VALUE to set an explicit value, or bare KEY to set it to true. Can be specified multiple times. Boolean values (true/false) and numbers are auto-converted. Examples: --feature-flag show_signin_button=true  or  --feature-flag show_signin_button",comfy/cli_args.py,parser.add_argument,244,tests-unit/feature_flags_test.py | tests-unit/websocket_feature_flags_test.py,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --feature-flag.,COMFY-CONFIG-0047
CLI flag,--force-channels-last,false,,store_true,,active,observed,high,Force channels last format when inferencing the models.,comfy/cli_args.py,parser.add_argument,88,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --force-channels-last.,COMFY-CONFIG-0048
CLI flag,--force-fp16,false,,store_true,fp_group,active,observed,high,Force fp16.,comfy/cli_args.py,parser.add_argument,61,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --force-fp16.,COMFY-CONFIG-0049
CLI flag,--force-fp32,false,,store_true,fp_group,active,observed,high,Force fp32 (If this makes your GPU work better please report it).,comfy/cli_args.py,parser.add_argument,60,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --force-fp32.,COMFY-CONFIG-0050
CLI flag,--force-non-blocking,false,,store_true,,active,observed,high,Force ComfyUI to use non-blocking operations for all applicable tensors. This may improve performance on some non-Nvidia systems but can cause issues with some workflows.,comfy/cli_args.py,parser.add_argument,156,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --force-non-blocking.,COMFY-CONFIG-0051
CLI flag,--force-upcast-attention,false,,store_true,upcast,active,observed,high,"Force enable attention upcasting, please report if it fixes black images.",comfy/cli_args.py,parser.add_argument,130,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --force-upcast-attention.,COMFY-CONFIG-0052
CLI flag,--fp16-intermediates,false,,store_true,,experimental,observed,high,Experimental: Use fp16 for intermediate tensors between nodes instead of fp32.,comfy/cli_args.py,parser.add_argument,86,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fp16-intermediates.,COMFY-CONFIG-0053
CLI flag,--fp16-text-enc,false,,store_true,fpte_group,active,observed,high,Store text encoder weights in fp16.,comfy/cli_args.py,parser.add_argument,82,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fp16-text-enc.,COMFY-CONFIG-0054
CLI flag,--fp16-unet,false,,store_true,fpunet_group,active,observed,high,Run the diffusion model in fp16,comfy/cli_args.py,parser.add_argument,67,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fp16-unet.,COMFY-CONFIG-0055
CLI flag,--fp16-vae,false,,store_true,fpvae_group,active,observed,high,"Run the VAE in fp16, might cause black images.",comfy/cli_args.py,parser.add_argument,73,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fp16-vae.,COMFY-CONFIG-0056
CLI flag,--fp32-text-enc,false,,store_true,fpte_group,active,observed,high,Store text encoder weights in fp32.,comfy/cli_args.py,parser.add_argument,83,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fp32-text-enc.,COMFY-CONFIG-0057
CLI flag,--fp32-unet,false,,store_true,fpunet_group,active,observed,high,Run the diffusion model in fp32.,comfy/cli_args.py,parser.add_argument,64,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fp32-unet.,COMFY-CONFIG-0058
CLI flag,--fp32-vae,false,,store_true,fpvae_group,active,observed,high,Run the VAE in full precision fp32.,comfy/cli_args.py,parser.add_argument,74,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fp32-vae.,COMFY-CONFIG-0059
CLI flag,--fp64-unet,false,,store_true,fpunet_group,active,observed,high,Run the diffusion model in fp64.,comfy/cli_args.py,parser.add_argument,65,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fp64-unet.,COMFY-CONFIG-0060
CLI flag,--fp8_e4m3fn-text-enc,false,,store_true,fpte_group,active,observed,high,Store text encoder weights in fp8 (e4m3fn variant).,comfy/cli_args.py,parser.add_argument,80,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fp8_e4m3fn-text-enc.,COMFY-CONFIG-0061
CLI flag,--fp8_e4m3fn-unet,false,,store_true,fpunet_group,active,observed,high,Store unet weights in fp8_e4m3fn.,comfy/cli_args.py,parser.add_argument,68,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fp8_e4m3fn-unet.,COMFY-CONFIG-0062
CLI flag,--fp8_e5m2-text-enc,false,,store_true,fpte_group,active,observed,high,Store text encoder weights in fp8 (e5m2 variant).,comfy/cli_args.py,parser.add_argument,81,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fp8_e5m2-text-enc.,COMFY-CONFIG-0063
CLI flag,--fp8_e5m2-unet,false,,store_true,fpunet_group,active,observed,high,Store unet weights in fp8_e5m2.,comfy/cli_args.py,parser.add_argument,69,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fp8_e5m2-unet.,COMFY-CONFIG-0064
CLI flag,--fp8_e8m0fnu-unet,false,,store_true,fpunet_group,active,observed,high,Store unet weights in fp8_e8m0fnu.,comfy/cli_args.py,parser.add_argument,70,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --fp8_e8m0fnu-unet.,COMFY-CONFIG-0065
CLI flag,--front-end-root,None,,is_valid_directory,,active,observed,high,The local filesystem path to the directory where the frontend is located. Overrides --front-end-version.,comfy/cli_args.py,parser.add_argument,220,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --front-end-root.,COMFY-CONFIG-0066
CLI flag,--front-end-version,comfyanonymous/ComfyUI@latest,,str,,active,observed,high,"
    Specifies the version of the frontend to be used. This command needs internet connectivity to query and
    download available frontend implementations from GitHub releases.

    The version string should be in the format of:
    [repoOwner]/[repoName]@[version]
    where version is one of: ""latest"" or a valid version number (e.g. ""1.0.0"")
    ",comfy/cli_args.py,parser.add_argument,196,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --front-end-version.,COMFY-CONFIG-0067
CLI flag,--gpu-only,false,,store_true,vram_group,active,observed,high,"Store and run everything (text encoders/CLIP models, etc... on the GPU).",comfy/cli_args.py,parser.add_argument,141,,Listed by python3 main.py --help (exit 0) on 2026-07-12.,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native-policy or inactive-legacy mapping for --gpu-only.,COMFY-CONFIG-0068
