record_id,kind,name,contract,source_evidence,availability,evidence_level
COMFY-DOC-TOOL-0862A2B88475,tool flag literal,--no-snippets,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/i18n/sync-hash-i18n.ts:350; .github/scripts/i18n/translate-i18n.ts:1136,developer-only,code-inferred
COMFY-DOC-TOOL-DAA36CFAE143,tool flag literal,--no-sync-docs-json,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/i18n/translate-i18n.ts:1132,developer-only,code-inferred
COMFY-DOC-TOOL-759E759EB68C,tool flag literal,--page-delay-ms,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/analytics/fetch-assistant-insights.ts:168; .github/scripts/analytics/fetch-assistant-insights.ts:171; .github/scripts/analytics/fetch-assistant-insights.ts:174; .github/scripts/analytics/fetch-assistant-insights.ts:175; .github/scripts/analytics/fetch-assistant-insights.ts:177,developer-only,code-inferred
COMFY-DOC-TOOL-988F7A71C220,tool flag literal,--page-limit,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/analytics/fetch-assistant-insights.ts:156; .github/scripts/analytics/fetch-assistant-insights.ts:159; .github/scripts/analytics/fetch-assistant-insights.ts:162; .github/scripts/analytics/fetch-assistant-insights.ts:163; .github/scripts/analytics/fetch-assistant-insights.ts:165,developer-only,code-inferred
COMFY-DOC-TOOL-27DA1342D53E,tool flag literal,--pages-only,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/i18n/sync-hash-i18n.ts:350; .github/scripts/i18n/translate-i18n.ts:1136,developer-only,code-inferred
COMFY-DOC-TOOL-4AD518D52885,tool flag literal,--preview,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/cms/delete-cms-drafts.ts:18; .github/scripts/cms/prepare-cms-changelog.ts:60; .github/scripts/cms/publish-cms-drafts.ts:52; .github/scripts/cms/set-cms-attention.ts:51; .github/scripts/cms/sync-to-strapi.ts:52,developer-only,code-inferred
COMFY-DOC-TOOL-FF85E5C72FC3,tool flag literal,--project,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/cms/cms-args.ts:9; .github/scripts/cms/cms-args.ts:11; .github/scripts/cms/cms-args.ts:12,developer-only,code-inferred
COMFY-DOC-TOOL-5A03A841379A,tool flag literal,--repair-truncated,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/i18n/translate-i18n.ts:1130,developer-only,code-inferred
COMFY-DOC-TOOL-32395E2FF775,tool flag literal,--resume,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/analytics/fetch-assistant-insights.ts:155,developer-only,code-inferred
COMFY-DOC-TOOL-F7C619D7C756,tool flag literal,--sample,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/i18n/review-i18n.ts:486; .github/scripts/i18n/review-i18n.ts:494,developer-only,code-inferred
COMFY-DOC-TOOL-F58DF3ADADDC,tool flag literal,--save,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/cms/set-cms-attention.ts:52,developer-only,code-inferred
COMFY-DOC-TOOL-36D1DE144911,tool flag literal,--skip-registry,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/cms/publish-cms-drafts.ts:53,developer-only,code-inferred
COMFY-DOC-TOOL-0D975ABF65AE,tool flag literal,--snippets,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/i18n/check-translation-truncation.ts:449; .github/scripts/i18n/repair-fences-i18n.ts:62; .github/scripts/i18n/review-i18n.ts:483; .github/scripts/i18n/sync-hash-i18n.ts:349; .github/scripts/i18n/translate-i18n.ts:1135,developer-only,code-inferred
COMFY-DOC-TOOL-A4C725200404,tool flag literal,--snippets-only,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/i18n/review-i18n.ts:483; .github/scripts/i18n/sync-hash-i18n.ts:349; .github/scripts/i18n/translate-i18n.ts:1135,developer-only,code-inferred
COMFY-DOC-TOOL-2EFE6EDFF935,tool flag literal,--sync-docs-json,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/i18n/translate-i18n.ts:1131,developer-only,code-inferred
COMFY-DOC-TOOL-5E4E15814366,tool flag literal,--translate-nav-labels,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/i18n/translate-i18n.ts:1133; .github/scripts/i18n/translate-i18n.ts:1147,developer-only,code-inferred
COMFY-DOC-TOOL-42CB4680B2B0,tool flag literal,--translate-only,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/cms/prepare-cms-changelog.ts:63,developer-only,code-inferred
COMFY-DOC-TOOL-918A3F846BDC,tool flag literal,--verify,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/i18n/sync-hash-i18n.ts:347,developer-only,code-inferred
COMFY-DOC-TOOL-F625B52BBAF2,tool flag literal,--write,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/cms/update-published-versions.ts:38,developer-only,code-inferred
COMFY-DOC-TOOL-D8E069BF3275,tool flag literal,--write-registry,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/cms/publish-cms-drafts.ts:54,developer-only,code-inferred
COMFY-DOC-TOOL-720C8FDC1FD2,tool flag literal,--yes,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/cms/publish-cms-drafts.ts:57,developer-only,code-inferred
COMFY-DOC-TOOL-531C67546AB8,tool flag literal,-y,Accepted or referenced by the cited repository tooling; validate per owning parser before invocation.,.github/scripts/cms/publish-cms-drafts.ts:57,developer-only,code-inferred
COMFY-DOC-TOOL-96752A2B3F01,tool environment variable,ANALYTICS_PAGE_DELAY_MS,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:14,developer-only,code-inferred
COMFY-DOC-TOOL-16281F9133EE,tool environment variable,ANALYTICS_PAGE_LIMIT,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:13,developer-only,code-inferred
COMFY-DOC-TOOL-4553FC92173A,tool environment variable,CHECK_I18N_OUTPUT,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.github/scripts/i18n/check-i18n-sync.mjs:10,developer-only,code-inferred
COMFY-DOC-TOOL-606B8E7B17DA,tool environment variable,CMS_API_TOKEN,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:79,developer-only,code-inferred
COMFY-DOC-TOOL-B08202AB3199,tool environment variable,CMS_BASE_URL,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:78,developer-only,code-inferred
COMFY-DOC-TOOL-72AA3E6485C0,tool environment variable,CMS_PROJECT,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:80,developer-only,code-inferred
COMFY-DOC-TOOL-1935DD506631,tool environment variable,CMS_PUBLISH_ALL,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.github/scripts/cms/publish-cms-drafts.ts:169,developer-only,code-inferred
COMFY-DOC-TOOL-812145F687D4,tool environment variable,CMS_PUBLISH_CONFIRM,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.github/scripts/cms/publish-cms-drafts.ts:239,developer-only,code-inferred
COMFY-DOC-TOOL-EF97D5795D40,tool environment variable,CMS_SYNC_AFTER,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.github/scripts/cms/cms-versions.ts:20,developer-only,code-inferred
COMFY-DOC-TOOL-B6B6029A0CE8,tool environment variable,CMS_SYNC_ALL,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:75,developer-only,code-inferred
COMFY-DOC-TOOL-4AB22A51B6E3,tool environment variable,CMS_SYNC_BEFORE,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.github/scripts/cms/cms-versions.ts:19,developer-only,code-inferred
COMFY-DOC-TOOL-882FE5806602,tool environment variable,DASHSCOPE_API_KEY,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:48,developer-only,code-inferred
COMFY-DOC-TOOL-3E73B6457724,tool environment variable,DEEPSEEK_API_KEY,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.github/scripts/cms/cms-translate-client.ts:13,developer-only,code-inferred
COMFY-DOC-TOOL-331E0A7A90AC,tool environment variable,FRONTEND_LOCALES_PATH,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:64,developer-only,code-inferred
COMFY-DOC-TOOL-9A587FEF6847,tool environment variable,GITHUB_TOKEN,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:70,developer-only,code-inferred
COMFY-DOC-TOOL-79E4AB229F5D,tool environment variable,MINTLIFY_API_KEY,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:11,developer-only,code-inferred
COMFY-DOC-TOOL-F5CC7D114ACB,tool environment variable,MINTLIFY_PROJECT_ID,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:12,developer-only,code-inferred
COMFY-DOC-TOOL-A68D0925BF81,tool environment variable,REVIEW_API_BASE_URL,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:56,developer-only,code-inferred
COMFY-DOC-TOOL-9445491CC16B,tool environment variable,REVIEW_API_KEY,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:55,developer-only,code-inferred
COMFY-DOC-TOOL-D3E16A0F66D6,tool environment variable,REVIEW_API_MODEL,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:57,developer-only,code-inferred
COMFY-DOC-TOOL-22C1DF2A878F,tool environment variable,REVIEW_CONCURRENCY,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:58,developer-only,code-inferred
COMFY-DOC-TOOL-1DC1B80E12B6,tool environment variable,TRANSLATE_API_BASE_URL,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:32,developer-only,code-inferred
COMFY-DOC-TOOL-E62DA9400437,tool environment variable,TRANSLATE_API_KEY,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:31,developer-only,code-inferred
COMFY-DOC-TOOL-67D7DF7C4B19,tool environment variable,TRANSLATE_API_MODEL,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:33,developer-only,code-inferred
COMFY-DOC-TOOL-AF215CC012A7,tool environment variable,TRANSLATE_API_TIMEOUT_MS,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.github/scripts/cms/cms-translate-client.ts:40,developer-only,code-inferred
COMFY-DOC-TOOL-62F3977FA99A,tool environment variable,TRANSLATE_CJK_API_KEY,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:47,developer-only,code-inferred
COMFY-DOC-TOOL-58C00C50F030,tool environment variable,TRANSLATE_CJK_BASE_URL,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.github/scripts/cms/cms-translate-client.ts:8,developer-only,code-inferred
COMFY-DOC-TOOL-46C2DCA0B11E,tool environment variable,TRANSLATE_CJK_CONCURRENCY,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.github/scripts/i18n/translate-i18n.ts:151,developer-only,code-inferred
COMFY-DOC-TOOL-9A8D8B3DB82A,tool environment variable,TRANSLATE_CJK_MODEL,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.github/scripts/cms/cms-translate-client.ts:20,developer-only,code-inferred
COMFY-DOC-TOOL-C52E2727DEBF,tool environment variable,TRANSLATE_CONCURRENCY,Documentation-repository tooling configuration or credential; not a production Zed environment variable.,.env.local.example:40,developer-only,code-inferred
COMFY-DOC-TOOL-64F8089214E9,CI workflow,claude.yml,Repository CI lifecycle defined in the cited workflow.,.github/workflows/claude.yml,infrastructure-only,code-inferred
COMFY-DOC-TOOL-74C7D8780D37,CI workflow,cms-changelog-sync.yml,Repository CI lifecycle defined in the cited workflow.,.github/workflows/cms-changelog-sync.yml,infrastructure-only,code-inferred
COMFY-DOC-TOOL-AF5893558BEE,CI workflow,cms-published-versions-check.yml,Repository CI lifecycle defined in the cited workflow.,.github/workflows/cms-published-versions-check.yml,infrastructure-only,code-inferred
COMFY-DOC-TOOL-C7F8EC867158,CI workflow,delete-merged-branches.yml,Repository CI lifecycle defined in the cited workflow.,.github/workflows/delete-merged-branches.yml,infrastructure-only,code-inferred
COMFY-DOC-TOOL-E2AF2BE67413,CI workflow,docs-checks.yml,Repository CI lifecycle defined in the cited workflow.,.github/workflows/docs-checks.yml,infrastructure-only,code-inferred
COMFY-DOC-TOOL-080321BD0E1D,CI workflow,external-link-tracking.yml,Repository CI lifecycle defined in the cited workflow.,.github/workflows/external-link-tracking.yml,infrastructure-only,code-inferred
COMFY-DOC-TOOL-ADEE05BB91A2,CI workflow,i18n-sync-check.yml,Repository CI lifecycle defined in the cited workflow.,.github/workflows/i18n-sync-check.yml,infrastructure-only,code-inferred
COMFY-DOC-TOOL-CD48B85C395B,CI workflow,link-validation.yml,Repository CI lifecycle defined in the cited workflow.,.github/workflows/link-validation.yml,infrastructure-only,code-inferred
COMFY-DOC-TOOL-70325A4C17EA,CI workflow,redirect-check.yml,Repository CI lifecycle defined in the cited workflow.,.github/workflows/redirect-check.yml,infrastructure-only,code-inferred
