source_id,path,sha256,bytes,classification,feature_ids,disposition,reason
COMFY-CLI-SOURCE-36CE868E6CB7,.github/workflows/run-on-gpu.yml,849eb11859eca7d5c470f5593bb1513e6387f63445be325b68447b254ce12e89,1771,infrastructure-only,,infrastructure-only,"Repository automation, issue metadata, or CI configuration."
COMFY-CLI-SOURCE-F10863B148DA,.github/workflows/test-mac.yml,2e631dbb0c965731109d94b882eea59ff6340ab9b485be20f606a292bda8bff2,754,infrastructure-only,,infrastructure-only,"Repository automation, issue metadata, or CI configuration."
COMFY-CLI-SOURCE-9E2BBC2329BF,.github/workflows/test-windows.yml,f05fc18b02280956e727fffcadf00f98311f9d295f68be7d4992a1b1aa7ac5c3,839,infrastructure-only,,infrastructure-only,"Repository automation, issue metadata, or CI configuration."
COMFY-CLI-SOURCE-BC37D034BAD5,.gitignore,2b5a48214f280c2df9c09daa4e7d19eacc06b27cbf49c723265eeb45be93237c,1080,infrastructure-only,,infrastructure-only,"Packaging, dependency lock, license, lint, coverage, or repository metadata."
COMFY-CLI-SOURCE-63A9C44A44AC,.pre-commit-config.yaml,e8c7055f7e523f4c845604a2bc1200a5106c103ea70c81728d5d6a737221555c,948,infrastructure-only,,infrastructure-only,"Packaging, dependency lock, license, lint, coverage, or repository metadata."
COMFY-CLI-SOURCE-BA293004AE8F,.pylintrc,4f9a8af9ad50ab7899576da8405aed9894d65ffc5abbfc10cd68db2a57ff4a77,52,infrastructure-only,,infrastructure-only,"Packaging, dependency lock, license, lint, coverage, or repository metadata."
COMFY-CLI-SOURCE-B7B09662C8DD,DEV_README.md,3a922740f25b9413047f3ef86dc0d6fad7403cfaf02027612f8801df41a801c5,4988,documentation,COMFY-CLI-DOC-2065AEAE0AD5 | COMFY-CLI-DOC-66BC783DE00B,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-C693279643B8,LICENSE,230184f60bae2feaf244f10a8bac053c8ff33a183bcc365b4d8b876d2b7f4809,35823,infrastructure-only,,infrastructure-only,"Packaging, dependency lock, license, lint, coverage, or repository metadata."
COMFY-CLI-SOURCE-B33563055168,README.md,4fef7989e85e8c6a42185abd0f83645caf9587a31826cf9b69bae88e4050f111,19807,documentation,COMFY-CLI-DOC-350A0AA3A0DE | COMFY-CLI-DOC-D985D4C18C0C,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-E2A757C0CC10,assets/comfy-demo.gif,ad468ed03de8b1ce7460f09cb83ce905f938804683ef28e9295676d0b05eca5a,2211533,asset,,asset,Demonstration media; no independent executable behavior is inferred.
COMFY-CLI-SOURCE-937E6E566ADF,assets/comfy-demo.mp4,131ab9bf6d925c3b1e64851c4fb24fd5d3db32f0aedc25f524726cd4918dc4f5,2361441,asset,,asset,Demonstration media; no independent executable behavior is inferred.
COMFY-CLI-SOURCE-3E878D9BDC47,codecov.yml,f4b37734d271f94c4f83c0b50e2109def65304dbe614d635caa1b7c52f2d4a8e,763,infrastructure-only,,infrastructure-only,"Packaging, dependency lock, license, lint, coverage, or repository metadata."
COMFY-CLI-SOURCE-21CAE889F69C,comfy_cli/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,production,COMFY-CLI-MODULE-21CAE889F69C,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-CA5C52DB151B,comfy_cli/__main__.py,71a06d56097deb899169eb55f719ad10a72e9f3efa6df5fbfa6cbef7f06ffafd,93,production,COMFY-CLI-MODULE-CA5C52DB151B,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-F77B971EAC80,comfy_cli/auth/__init__.py,9e40c374e8231581ca397238079e6a6b0878438e60e1daf84561a68eaa1bea34,746,production,COMFY-CLI-MODULE-F77B971EAC80,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-9297095F8E24,comfy_cli/auth/command.py,f274e076ae35e00b1f1a687e55f758408c1527d67aacc2f0c48fd5656fad0ab4,5497,production,COMFY-CLI-CMD-42B79C5307CE | COMFY-CLI-CMD-9AFC11A36497 | COMFY-CLI-CMD-F1AC21FF9BEE | COMFY-CLI-MODULE-9297095F8E24 | COMFY-CLI-PARAM-36A89B6E3686 | COMFY-CLI-PARAM-4AE1492ABB61 | COMFY-CLI-PARAM-5C461DFC78EF,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-EE08CF615A25,comfy_cli/auth/store.py,638ec893081b21140d2a0ae427b71ef4fa6d17d21c9dd341737e81f930d60c4b,11555,production,COMFY-CLI-ENV-6E1152621BB5 | COMFY-CLI-FORMAT-0964E2041322 | COMFY-CLI-MODULE-EE08CF615A25,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-85738B6DE42D,comfy_cli/caller.py,1e4f929cd15da677687c96ffa2c27165107bfe5be48e846352a7a382415017e6,2563,production,COMFY-CLI-CONFIG-89B91DF19D9D | COMFY-CLI-ENV-176FD241BF0D | COMFY-CLI-ENV-7E2A893E02F1 | COMFY-CLI-ENV-8EAED5950F52 | COMFY-CLI-MODULE-85738B6DE42D,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-F0ECA906CC48,comfy_cli/cancellation.py,8f9e31937cdf39ca5a5d93cba5338ce6640cae336793f24d59dfb80ec67dfdb8,4028,production,COMFY-CLI-LIFECYCLE-570E4342D6D3 | COMFY-CLI-MODULE-F0ECA906CC48,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-2D76CAFD0704,comfy_cli/cloud/__init__.py,3ba517ac3e83331f767a88492b8822dbc27398a97885d1a0fac1844eae14f569,4546,production,COMFY-CLI-CONFIG-0334EDB970AF | COMFY-CLI-CONFIG-6340D05B6A06 | COMFY-CLI-CONFIG-E54E0B63A1FD | COMFY-CLI-ENV-0AA68F521319 | COMFY-CLI-ENV-8BA7F0A32419 | COMFY-CLI-ENV-C9A89ECC2CF2 | COMFY-CLI-MODULE-2D76CAFD0704,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-3F6468B9DB59,comfy_cli/cloud/command.py,2feb99bf909017c21b86a1a4d43688756a3141f31711efd6b12f7d12f8858954,13114,production,COMFY-CLI-CMD-446049474154 | COMFY-CLI-CMD-8E7E3F798F2B | COMFY-CLI-CMD-CF789F04E419 | COMFY-CLI-CMD-E55798460994 | COMFY-CLI-CMD-F3634696BF8E | COMFY-CLI-MODULE-3F6468B9DB59 | COMFY-CLI-PARAM-255FFE901DAC | COMFY-CLI-PARAM-6593E684126C | COMFY-CLI-PARAM-A1A6008B3879 | COMFY-CLI-PARAM-A57D98FBB457 | COMFY-CLI-PARAM-E964A8A8389E,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-F8B5C83CA78A,comfy_cli/cloud/oauth.py,b96261988639bbf126934c7168e880e9274df5ff0e0a7772c6fd5363e2aa939a,34596,production,COMFY-CLI-LIFECYCLE-5FB1704AA964 | COMFY-CLI-MODULE-F8B5C83CA78A,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-9B2170402229,comfy_cli/cmdline.py,432049fdb691a326d47ed0afca376d6dbaa822137b14490322b49bd831fff161,59628,production,COMFY-CLI-CMD-1D725BCB02CF | COMFY-CLI-CMD-1D98302B4921 | COMFY-CLI-CMD-24E6F6ED7B84 | COMFY-CLI-CMD-2942F9AAA11E | COMFY-CLI-CMD-3C3A8A6D0DFF | COMFY-CLI-CMD-42180AF40C34 | COMFY-CLI-CMD-428D342120F0 | COMFY-CLI-CMD-557E7D952F82 | COMFY-CLI-CMD-687A23DF55A4 | COMFY-CLI-CMD-704AAB5AC1A0 | COMFY-CLI-CMD-78D1C8647E7C | COMFY-CLI-CMD-926F4E2F5058 | COMFY-CLI-CMD-9302049E157E | COMFY-CLI-CMD-95F616C80614 | COMFY-CLI-CMD-9DE8311FCE5F | COMFY-CLI-CMD-A411BFC1ADF4 | COMFY-CLI-CMD-AE3FB797266C | COMFY-CLI-CMD-EA2EDDF5406A | COMFY-CLI-CMD-EBE14C8C341A | COMFY-CLI-CMD-F3D6ED691A28 | COMFY-CLI-CONFIG-29E19525FB53 | COMFY-CLI-CONFIG-61E731D666FB | COMFY-CLI-CONFIG-802123E160E3 | COMFY-CLI-ENV-55D8437DD905 | COMFY-CLI-ENV-62A109EFE6C9 | COMFY-CLI-ENV-7F3C6A75ABD6 | COMFY-CLI-ENV-C72FCEB5F32A | COMFY-CLI-ENV-FD094DAB9094 | COMFY-CLI-LIFECYCLE-2534A93B1891 | COMFY-CLI-LIFECYCLE-BC27D1B5C90B | COMFY-CLI-MODULE-9B2170402229 | COMFY-CLI-PARAM-00767209C07C | COMFY-CLI-PARAM-013D89C9B4F5 | COMFY-CLI-PARAM-07E831265C7F | COMFY-CLI-PARAM-0D0E67FA075E | COMFY-CLI-PARAM-138F9421C08D | COMFY-CLI-PARAM-208C11474FA3 | COMFY-CLI-PARAM-34D404D5DA53 | COMFY-CLI-PARAM-369419FD6014 | COMFY-CLI-PARAM-3865BAA2FDC3 | COMFY-CLI-PARAM-3A3D2942D21C | COMFY-CLI-PARAM-3C6911B33533 | COMFY-CLI-PARAM-3F5ECE734BD0 | COMFY-CLI-PARAM-4103482D31BA | COMFY-CLI-PARAM-4111E5F20B4E | COMFY-CLI-PARAM-42401A6C5D49 | COMFY-CLI-PARAM-44D2D34FFD42 | COMFY-CLI-PARAM-476683A6F053 | COMFY-CLI-PARAM-47EDBEA1415C | COMFY-CLI-PARAM-4923E833DFF8 | COMFY-CLI-PARAM-49B36AD1B791 | COMFY-CLI-PARAM-4A179C532A4B | COMFY-CLI-PARAM-4A3A224B79F0 | COMFY-CLI-PARAM-4A445A1C53D9 | COMFY-CLI-PARAM-534627A78534 | COMFY-CLI-PARAM-54385D09F8B0 | COMFY-CLI-PARAM-587BB2254C5A | COMFY-CLI-PARAM-5AB9BFCF4518 | COMFY-CLI-PARAM-5D544495FE07 | COMFY-CLI-PARAM-677249B9331E | COMFY-CLI-PARAM-67838F54F485 | COMFY-CLI-PARAM-6CB03B432097 | COMFY-CLI-PARAM-7087E89B3BD3 | COMFY-CLI-PARAM-72E1ADA2DF37 | COMFY-CLI-PARAM-75C4DDCF5FA0 | COMFY-CLI-PARAM-7C1F2DB8FE7A | COMFY-CLI-PARAM-8085979CFDCB | COMFY-CLI-PARAM-80BAAA59A8EC | COMFY-CLI-PARAM-81F6D6328A8D | COMFY-CLI-PARAM-829F06FD3E05 | COMFY-CLI-PARAM-82EC666D8445 | COMFY-CLI-PARAM-8B5D7C29707E | COMFY-CLI-PARAM-8F7946F13551 | COMFY-CLI-PARAM-9097097B88D1 | COMFY-CLI-PARAM-93173B3E1499 | COMFY-CLI-PARAM-9611D319B1BD | COMFY-CLI-PARAM-97030EA0957C | COMFY-CLI-PARAM-98611816C0F4 | COMFY-CLI-PARAM-9DACED4C2411 | COMFY-CLI-PARAM-9DB277E59214 | COMFY-CLI-PARAM-9DF2B96F2190 | COMFY-CLI-PARAM-9EF4DFC66402 | COMFY-CLI-PARAM-A1305A0E99E7 | COMFY-CLI-PARAM-A17506220BFC | COMFY-CLI-PARAM-AC214A15D85B | COMFY-CLI-PARAM-ACFE8997C178 | COMFY-CLI-PARAM-B142AB0CD34B | COMFY-CLI-PARAM-B9F222CBD1AE | COMFY-CLI-PARAM-BE8B779A9B81 | COMFY-CLI-PARAM-C17D28061919 | COMFY-CLI-PARAM-C2EB296D56CB | COMFY-CLI-PARAM-C4B02AD12E50 | COMFY-CLI-PARAM-C61CFB0A4ADB | COMFY-CLI-PARAM-CDDBD4A07949 | COMFY-CLI-PARAM-CE168350DF98 | COMFY-CLI-PARAM-D1EF8000D74A | COMFY-CLI-PARAM-D1F3DE38B068 | COMFY-CLI-PARAM-D3A7772BA171 | COMFY-CLI-PARAM-D6856603B102 | COMFY-CLI-PARAM-D6D5FFB5B423 | COMFY-CLI-PARAM-D8CA0AB0BD09 | COMFY-CLI-PARAM-E452E1D0D706 | COMFY-CLI-PARAM-E78578EE67ED | COMFY-CLI-PARAM-E953751429A8 | COMFY-CLI-PARAM-EDAB2456C365 | COMFY-CLI-PARAM-F28EC2ED957F | COMFY-CLI-PARAM-F2E1B19BDE85 | COMFY-CLI-PARAM-FD2B53EEB6D6 | COMFY-CLI-PARAM-FF966045EC0E,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-D66284B9F95A,comfy_cli/comfy_client.py,8cc851285fca3217039c70242f2576df00f3b1b10d3fb4603abaadbcbe179c94,25756,production,COMFY-CLI-ENV-4017FD21E231 | COMFY-CLI-LIFECYCLE-9D5662834F4C | COMFY-CLI-MODULE-D66284B9F95A,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-1079BECA1D31,comfy_cli/command/__init__.py,516287aa1b74906abfbbf1362e9960699bf419ac16b44651ea20e5943b654d84,1134,production,COMFY-CLI-MODULE-1079BECA1D31,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-B02F57C91DD3,comfy_cli/command/code_search.py,2bab7dc78014b01c54aa07ba3ae739c3f9f93c2f0925394760ca88e5a578a608,6475,production,COMFY-CLI-CMD-078208D4B0C0 | COMFY-CLI-CMD-0BEDBDC5A1B0 | COMFY-CLI-MODULE-B02F57C91DD3 | COMFY-CLI-PARAM-250275A3B2FD | COMFY-CLI-PARAM-3F89FBE80A32 | COMFY-CLI-PARAM-4FCC68213BAF | COMFY-CLI-PARAM-87BDC06ECA7A | COMFY-CLI-PARAM-8DAAEDDDB0E5 | COMFY-CLI-PARAM-A3A5ED6A92CC | COMFY-CLI-PARAM-B0F92D2DC274 | COMFY-CLI-PARAM-D9D96520F6C5,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-88C6855B736E,comfy_cli/command/custom_nodes/__init__.py,03359cff2bca85ed80c06fe5a58d03f24f3ce93b75f14ed5c0db113b4e565117,72,production,COMFY-CLI-MODULE-88C6855B736E,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-2AED6A24B814,comfy_cli/command/custom_nodes/bisect_custom_nodes.py,3d8e37cd884e0022a300a284134e614cbd5494f5491f89ae440a98d9dc2f2347,7162,production,COMFY-CLI-CMD-33A7FA97E791 | COMFY-CLI-CMD-6309E11C704C | COMFY-CLI-CMD-A713422101BB | COMFY-CLI-CMD-E9DAF0B6C299 | COMFY-CLI-MODULE-2AED6A24B814 | COMFY-CLI-PARAM-1E2470D969F4 | COMFY-CLI-PARAM-95501CCBC669,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-3BB5DF3A33F5,comfy_cli/command/custom_nodes/cm_cli_util.py,ed8fb8349181a506521da5274aa2bbf9195cd0b1e6f3ce33f5a05609f610e1ec,6584,production,COMFY-CLI-CONFIG-0070F1650EC0 | COMFY-CLI-CONFIG-830D8E1E81E6 | COMFY-CLI-ENV-0C2541BD83E7 | COMFY-CLI-ENV-A14D282EBF3A | COMFY-CLI-ENV-E366E8C15BAF | COMFY-CLI-EXT-267913800791 | COMFY-CLI-EXT-A9A05C192959 | COMFY-CLI-MODULE-3BB5DF3A33F5,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-5021886ED373,comfy_cli/command/custom_nodes/command.py,27c05766f18362069df49edf46e4a88ba4aceaec214eef48a2ce063e6895d48f,44709,production,COMFY-CLI-CMD-1E1DD0BD64A1 | COMFY-CLI-CMD-1E8F7EFD4A1B | COMFY-CLI-CMD-461C7D5A29B0 | COMFY-CLI-CMD-4B0038F4FE47 | COMFY-CLI-CMD-5571B2E4B8B3 | COMFY-CLI-CMD-59E803E3843C | COMFY-CLI-CMD-5E41AD63784F | COMFY-CLI-CMD-5EF3F3311A22 | COMFY-CLI-CMD-6E8D7F43A65F | COMFY-CLI-CMD-6F5651891285 | COMFY-CLI-CMD-826B17BE23DA | COMFY-CLI-CMD-829CDE74EA89 | COMFY-CLI-CMD-88BED798528E | COMFY-CLI-CMD-8C45BB075D8F | COMFY-CLI-CMD-AEE61D18EC5B | COMFY-CLI-CMD-B712ABFE375D | COMFY-CLI-CMD-B8A9F2B635F0 | COMFY-CLI-CMD-BA3D36D7F3C8 | COMFY-CLI-CMD-BADED7CF1202 | COMFY-CLI-CMD-C56F3EF316D7 | COMFY-CLI-CMD-C74158CE5CAA | COMFY-CLI-CMD-CA2E089292F2 | COMFY-CLI-CMD-CAA1ECAD869C | COMFY-CLI-CMD-CF43D400CEBD | COMFY-CLI-CMD-DEB91178B3DA | COMFY-CLI-CMD-E0A17FC7F11C | COMFY-CLI-CMD-E5342D9C6055 | COMFY-CLI-CMD-E53911EB7BFB | COMFY-CLI-CMD-F0AB86E0530C | COMFY-CLI-CMD-FAB0E614A883 | COMFY-CLI-CONFIG-755B080F73CF | COMFY-CLI-ENV-27D2B60C87EE | COMFY-CLI-EXT-5F5F940B8068 | COMFY-CLI-EXT-6FEE949D2295 | COMFY-CLI-EXT-A6B5DA1F691E | COMFY-CLI-EXT-BA7287B0090C | COMFY-CLI-FORMAT-132C36ACF2E2 | COMFY-CLI-FORMAT-966D477B754C | COMFY-CLI-FORMAT-E144F0683059 | COMFY-CLI-MODULE-5021886ED373 | COMFY-CLI-PARAM-00CB074E4DD6 | COMFY-CLI-PARAM-082274D4C5A1 | COMFY-CLI-PARAM-086CAB5FC8A8 | COMFY-CLI-PARAM-10154D760B22 | COMFY-CLI-PARAM-1A326CE35BAA | COMFY-CLI-PARAM-1D60506A06CF | COMFY-CLI-PARAM-1D66E9B59988 | COMFY-CLI-PARAM-1DD8DFBC3C08 | COMFY-CLI-PARAM-20BE812CE284 | COMFY-CLI-PARAM-229768DF402F | COMFY-CLI-PARAM-241276B5F75B | COMFY-CLI-PARAM-26C05494A062 | COMFY-CLI-PARAM-27EECAF57273 | COMFY-CLI-PARAM-2A4CD24436B8 | COMFY-CLI-PARAM-2F5AC2C04759 | COMFY-CLI-PARAM-322B070DF5E7 | COMFY-CLI-PARAM-361365E4CC18 | COMFY-CLI-PARAM-3E62F7791AB9 | COMFY-CLI-PARAM-427B646BF453 | COMFY-CLI-PARAM-43C6A6C32EC7 | COMFY-CLI-PARAM-470A55EC1035 | COMFY-CLI-PARAM-5042807DD4FA | COMFY-CLI-PARAM-56363AE31510 | COMFY-CLI-PARAM-59163B529919 | COMFY-CLI-PARAM-5FCB5D22CBE1 | COMFY-CLI-PARAM-6537D39A90A0 | COMFY-CLI-PARAM-68CF2FF40FBC | COMFY-CLI-PARAM-716849A03A03 | COMFY-CLI-PARAM-86E5A1C4A356 | COMFY-CLI-PARAM-889719C363E1 | COMFY-CLI-PARAM-8D6D9EC5E72E | COMFY-CLI-PARAM-8EDB425EAB44 | COMFY-CLI-PARAM-93DEAA5E0E9A | COMFY-CLI-PARAM-943156EEC6D4 | COMFY-CLI-PARAM-9A594BEA9D00 | COMFY-CLI-PARAM-A2A4AFBCF8B3 | COMFY-CLI-PARAM-A5DA34CB104F | COMFY-CLI-PARAM-A6561224B1B1 | COMFY-CLI-PARAM-AF2C807760CD | COMFY-CLI-PARAM-AFC554C81C2C | COMFY-CLI-PARAM-B5B1CFFB3229 | COMFY-CLI-PARAM-B8C98503993C | COMFY-CLI-PARAM-BD6595ED2593 | COMFY-CLI-PARAM-BFBE78AD54B2 | COMFY-CLI-PARAM-C963B944F9FE | COMFY-CLI-PARAM-D730EAB622A4 | COMFY-CLI-PARAM-D870D9301D4E | COMFY-CLI-PARAM-DA15AD8E640F | COMFY-CLI-PARAM-DF69746C6969 | COMFY-CLI-PARAM-E5D2E7F76855 | COMFY-CLI-PARAM-E5EBC99703D3 | COMFY-CLI-PARAM-E725D599C79A | COMFY-CLI-PARAM-E7F688A4AB15 | COMFY-CLI-PARAM-F38ADE2D2322 | COMFY-CLI-PARAM-F8AC78121E16 | COMFY-CLI-PARAM-FE0384D00337,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-F2CE5B05278F,comfy_cli/command/generate/__init__.py,780f5f41f39ce007357761881e1dad114dddfcff931795bc0a7bee82563a631b,86,production,COMFY-CLI-MODULE-F2CE5B05278F,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-4AE977B1A5FA,comfy_cli/command/generate/adapters.py,0f591cf211030f7c3d3c0b657504c8d046faf6ed55ae0ff58dcb1cddbee7eb2a,9972,production,COMFY-CLI-MODULE-4AE977B1A5FA,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-6BFA1CB2932F,comfy_cli/command/generate/app.py,9a2db572a93a70a343fa2258cd1d023153f39e4ce3768ac6c0d731964c9de692,27728,production,COMFY-CLI-CMD-4009084CC721 | COMFY-CLI-MODULE-6BFA1CB2932F | COMFY-CLI-PARAM-19F4430C6182 | COMFY-CLI-PARAM-2006E246CF7A | COMFY-CLI-PARAM-4B3730D1C735 | COMFY-CLI-PARAM-503366546BD4 | COMFY-CLI-PARAM-6DA8EA8038AA | COMFY-CLI-PARAM-7C8A559F53D9 | COMFY-CLI-PARAM-886FD274FBA1 | COMFY-CLI-PARAM-9ADBEFDE6841 | COMFY-CLI-PARAM-DF490F549C34 | COMFY-CLI-PARAM-E2250129FD17 | COMFY-CLI-PARAM-E87D6C0F3F9E,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-2FFE9A69C3DA,comfy_cli/command/generate/client.py,b6afca0a4d4ddf60e9a468a1d22076469f87e6368488f792d548b834eb136df1,7075,production,COMFY-CLI-ENV-699DA541A749 | COMFY-CLI-MODULE-2FFE9A69C3DA,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-9C2F1E186D48,comfy_cli/command/generate/emit.py,af9ff0fe6815bc6a43ddba8718c81fce165c1b807607384f8939329010df56d9,8866,production,COMFY-CLI-MODULE-9C2F1E186D48,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-9308ED4AA929,comfy_cli/command/generate/output.py,74fad8d15122c749a1a43a718d599e36d0f4398d85c672d0238c7358b979a0b2,4756,production,COMFY-CLI-MODULE-9308ED4AA929,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-3D3272214CA3,comfy_cli/command/generate/poll.py,6b250081687157024d6dff56be405e926a493a94f4905e17571f16502eafa7ad,13465,production,COMFY-CLI-MODULE-3D3272214CA3,mapped,Mapped to the listed stable feature/module/test identifiers.
COMFY-CLI-SOURCE-CDAA4FC42C56,comfy_cli/command/generate/schema.py,a228385651e0caa665922c287b78e1782b487d54abe358b24f0fe0938338040e,11491,production,COMFY-CLI-MODULE-CDAA4FC42C56,mapped,Mapped to the listed stable feature/module/test identifiers.
