surface,event,condition,observable_effect,failure_cleanup_recovery,feature_id,source,evidence_level
comfy-webcontents,will-navigate,A model-path relaunch has replaced ComfyUI with the local splash page,Prevent every hosted navigation until the matching restarted process is ready,"A monotonic relaunch token prevents stale restart callbacks; the exact blocker is detached on supersession, successful restart, or window cleanup",COMFY-DESKTOP-204,projects/comfy/Comfy-Desktop/src/main/index.ts,code-inferred
comfy-webcontents,render-process-gone,Renderer crashes/exits,Capture diagnostic context and reload when safe,Backend ownership survives independent renderer recovery,COMFY-DESKTOP-102,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
comfy-webcontents,before-input-event,Keyboard event,Intercept close/reload/zoom shortcuts with platform modifiers,Unmatched input continues to hosted Comfy,COMFY-DESKTOP-180,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
comfy-webcontents,zoom-changed,Chromium zoom changes,Synchronize zoom banner/title-menu reset state,Clamp through desktop zoom policy,COMFY-DESKTOP-184,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
comfy-webcontents,page-title-updated,Hosted page changes title,Prevent uncontrolled OS title and push sanitized title identity,Chooser/install identity remains authoritative,COMFY-DESKTOP-085,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
comfy-webcontents,ipc-message,Trusted preload reports theme,Validate sender/channel and update title-bar/overlay theme,Ignore unrecognized sender/channel/payload,COMFY-DESKTOP-150,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
firebase-bridge-webcontents,console-message,The injected cloud sign-in banner is active,Open the exact internally generated loopback login URL only for the top-frame OPEN_LINK_SENTINEL message,Ignore iframe and non-sentinel console messages; a replacement/finished sign-in detaches the listener and removes the injected banner,COMFY-DESKTOP-162,projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/index.ts,code-inferred
comfy-webcontents,did-create-window,Allowed popup child created,Wire checkout/auth child lifecycle and backdrop,Denied origins never reach this state,COMFY-DESKTOP-173,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
comfy-webcontents,setWindowOpenHandler,window.open requested,"Allow only popup allowlist, route safe externals to OS, deny others",Return deny on malformed/untrusted URL,COMFY-DESKTOP-172,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
comfy-webcontents,will-prevent-unload,Hosted page requests unload block,Override for managed install lifecycle where source policy permits,Desktop close guard remains authoritative,COMFY-DESKTOP-082,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
comfy-webcontents,context-menu,Right click,Build only applicable link/image/edit actions and suspend popup blur dismissal,No menu opens when no action applies,COMFY-DESKTOP-179,projects/comfy/Comfy-Desktop/src/main/lib/contextMenu.ts,code-inferred
panel-webcontents,did-finish-load,Panel renderer ready,Push current panel/install/startup state and reveal hidden restore when eligible,Current state wins mid-load races,COMFY-DESKTOP-084,projects/comfy/Comfy-Desktop/src/main/host/panelView.ts,code-inferred
titlebar-webcontents,did-finish-load,Title renderer ready,Push identity/theme/source/panel/download/update state,Queued state is replayed,COMFY-DESKTOP-085,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
checkout-window,ready-to-show,Child checkout painted,Show child and backdrop without stale frame,Parent remains interactive only where policy permits,COMFY-DESKTOP-173,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
checkout-window,before-input-event,Escape or Cmd/Ctrl+W,Close the checkout child,Backdrop and overlay are removed,COMFY-DESKTOP-173,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
checkout-window,will-redirect,Checkout navigates,Close only on spoof-safe Comfy return URL,Other allowed checkout navigation continues,COMFY-DESKTOP-173,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
checkout-window,did-navigate,Checkout navigation commits,Close only on spoof-safe Comfy return URL,Auth/checkout state stays in shared partition,COMFY-DESKTOP-173,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
checkout-window,did-navigate-in-page,A macOS auth/checkout child performs an in-page navigation to a passkey-incompatible origin,Re-inject the passkey warning CSS and banner JavaScript after the navigation,No-op outside macOS or for unmatched URL prefixes; CSS/script injection failures are isolated,COMFY-DESKTOP-162,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
checkout-window,resize,Child resizes,Reposition close control and parent backdrop,Clamp overlays to content bounds,COMFY-DESKTOP-173,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
checkout-window,closed,Child closes,Destroy close overlay and dismiss backdrop,Remove sender-scoped IPC listener,COMFY-DESKTOP-173,projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,code-inferred
embedded-popup-webcontents,blur,The popup opts into hideOnPopupBlur and blur dismissal is not temporarily suppressed,Hide the popup and run its on-hide transition,suppressBlurDismiss prevents dismissal while a child native/context menu owns focus; destruction makes the listener inert and cleans parent listeners,COMFY-DESKTOP-175,projects/comfy/Comfy-Desktop/src/main/popups/embeddedPopupView.ts,code-inferred
application-updater,update-available,The updater offers a parseable version newer than the running app,"Emit the deduplicated available event; with auto-install off expose available state, otherwise begin one silent auto-download intent",Ignore missing/non-newer versions; a per-version guard prevents periodic-check re-entry and telemetry storms,COMFY-DESKTOP-108,projects/comfy/Comfy-Desktop/src/main/lib/updater.ts,code-inferred
application-updater,update-downloaded,A parseable newer application version finishes downloading,"Emit download completion, persist pendingDownloadedUpdateVersion, expose ready state, and prompt restart after a user-initiated download",Ignore missing/non-newer versions; reset auto-download/user-intent guards and retain the staged marker for restart recovery,COMFY-DESKTOP-110,projects/comfy/Comfy-Desktop/src/main/lib/updater.ts,code-inferred
application-updater,download-progress,The updater supplies a progress record,"Narrow percent, transferred, total, and bytesPerSecond to number-or-null, transition user downloads to downloading, and broadcast app-update:download-progress",Ignore non-record payloads; auto-on background downloads remain silent until ready and malformed individual fields become null,COMFY-DESKTOP-110,projects/comfy/Comfy-Desktop/src/main/lib/updater.ts,code-inferred
