feature_id,alias,endpoint_id,path,method,category,mode,poller,source_file,openapi_source,evidence_level,tests,availability,target_status,parity_decision
COMFY-CLI-PARTNER-BC3C90F74FC2,ideogram-reframe,ideogram/ideogram-v3/reframe,/proxy/ideogram/ideogram-v3/reframe,POST,image-edit,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-46CD2A3AA518,ideogram-bg,ideogram/ideogram-v3/replace-background,/proxy/ideogram/ideogram-v3/replace-background,POST,image-edit,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-3947CEB96543,stability-ultra,stability/v2beta/stable-image/generate/ultra,/proxy/stability/v2beta/stable-image/generate/ultra,POST,text-to-image,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-46E3C3039C84,stability-sd3,stability/v2beta/stable-image/generate/sd3,/proxy/stability/v2beta/stable-image/generate/sd3,POST,text-to-image,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-110AC545F83A,stability-upscale,stability/v2beta/stable-image/upscale/conservative,/proxy/stability/v2beta/stable-image/upscale/conservative,POST,upscale,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-65EF085669D1,stability-upscale-creative,stability/v2beta/stable-image/upscale/creative,/proxy/stability/v2beta/stable-image/upscale/creative,POST,upscale,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-BBC080B9C5DE,stability-upscale-fast,stability/v2beta/stable-image/upscale/fast,/proxy/stability/v2beta/stable-image/upscale/fast,POST,upscale,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-56AE49171913,recraft,recraft/image_generation,/proxy/recraft/image_generation,POST,text-to-image,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-8287FE3DED41,recraft-vectorize,recraft/images/vectorize,/proxy/recraft/images/vectorize,POST,vectorize,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-69E3E8D2C577,recraft-upscale,recraft/images/crispUpscale,/proxy/recraft/images/crispUpscale,POST,upscale,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-479E3EDD7269,recraft-rmbg,recraft/images/removeBackground,/proxy/recraft/images/removeBackground,POST,background,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-3D6FF8067E6B,recraft-i2i,recraft/images/imageToImage,/proxy/recraft/images/imageToImage,POST,image-to-image,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-47DB3ADB6FAD,recraft-inpaint,recraft/images/inpaint,/proxy/recraft/images/inpaint,POST,inpaint,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-CEA107B07007,recraft-replace-bg,recraft/images/replaceBackground,/proxy/recraft/images/replaceBackground,POST,background,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-5970265E85B0,recraft-upscale-creative,recraft/images/creativeUpscale,/proxy/recraft/images/creativeUpscale,POST,upscale,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-44BC4E0D5538,grok,xai/v1/images/generations,/proxy/xai/v1/images/generations,POST,text-to-image,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-F0E877E107C3,grok-edit,xai/v1/images/edits,/proxy/xai/v1/images/edits,POST,image-edit,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-56E6859D30BD,reve,reve/v1/image/create,/proxy/reve/v1/image/create,POST,text-to-image,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-C71D49EB0AEA,reve-edit,reve/v1/image/edit,/proxy/reve/v1/image/edit,POST,image-edit,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-FC22F25052B0,runway,runway/text_to_image,/proxy/runway/text_to_image,POST,text-to-image,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-2323F4D53A0A,kling,kling/v1/videos/text2video,/proxy/kling/v1/videos/text2video,POST,text-to-video,asynchronous,kling,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-C785AD616235,kling-i2v,kling/v1/videos/image2video,/proxy/kling/v1/videos/image2video,POST,image-to-video,asynchronous,kling,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-45326BB524CC,kling-extend,kling/v1/videos/video-extend,/proxy/kling/v1/videos/video-extend,POST,video-extend,asynchronous,kling,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-DCA31FC70DDA,kling-lipsync,kling/v1/videos/lip-sync,/proxy/kling/v1/videos/lip-sync,POST,lipsync,asynchronous,kling,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-69CBE08EB13E,luma,luma/generations,/proxy/luma/generations,POST,text-to-video,asynchronous,luma,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-C1F0748024F0,luma-i2v,luma/generations/image,/proxy/luma/generations/image,POST,image-to-video,asynchronous,luma,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-14712CBEDC0B,hailuo,minimax/video_generation,/proxy/minimax/video_generation,POST,text-to-video,asynchronous,minimax,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-460021C14421,runway-i2v,runway/image_to_video,/proxy/runway/image_to_video,POST,image-to-video,asynchronous,runway,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-094F55FCED25,moonvalley-t2v,moonvalley/prompts/text-to-video,/proxy/moonvalley/prompts/text-to-video,POST,text-to-video,asynchronous,moonvalley,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-BEE604328E0D,moonvalley-i2v,moonvalley/prompts/image-to-video,/proxy/moonvalley/prompts/image-to-video,POST,image-to-video,asynchronous,moonvalley,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-3780D6B5F505,pika,pika/generate/2.2/t2v,/proxy/pika/generate/2.2/t2v,POST,text-to-video,asynchronous,pika,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-9918C19D5B56,pika-i2v,pika/generate/2.2/i2v,/proxy/pika/generate/2.2/i2v,POST,image-to-video,asynchronous,pika,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-CED00736D426,vidu,vidu/text2video,/proxy/vidu/text2video,POST,text-to-video,asynchronous,vidu,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-F73C77108C11,vidu-i2v,vidu/img2video,/proxy/vidu/img2video,POST,image-to-video,asynchronous,vidu,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-9920C07A3009,vidu-extend,vidu/extend,/proxy/vidu/extend,POST,video-extend,asynchronous,vidu,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-121DCE5A94E9,grok-video,xai/v1/videos/generations,/proxy/xai/v1/videos/generations,POST,text-to-video,asynchronous,xai_video,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-3F42F86618C9,nano-banana,vertexai/gemini/{model},/proxy/vertexai/gemini/{model},POST,image-edit,synchronous,,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
COMFY-CLI-PARTNER-803100619E08,seedance,byteplus/api/v3/contents/generations/tasks,/proxy/byteplus/api/v3/contents/generations/tasks,POST,text-to-video,asynchronous,seedance,comfy_cli/command/generate/spec.py,comfy_cli/command/generate/spec/openapi.yml,test-backed,tests/comfy_cli/command/generate/test_spec.py | tests/comfy_cli/command/generate/test_app.py,cloud/paid,deferred,Use an approved native service integration only; the endpoint is not part of the offline native execution core.
