kind,name,classification,availability,evidence_level,confidence,identifier_or_format,inputs_defaults,success_behavior,failure_behavior,dependencies_platform,source_file,source_symbol,source_line,test_evidence,sim_status,parity_gap,feature_id
hardware backend,NVIDIA CUDA,hardware backend,platform-specific,code-inferred,high,PyTorch CUDA,PyTorch CUDA,"Uses torch.cuda devices, CUDA allocator controls, fp16/bf16/fp8 checks, streams, pinned memory, and multi-GPU enumeration.",Unavailable dependency/device falls back where coded or raises/logs during initialization or tensor operations.,PyTorch CUDA,comfy/model_management.py; comfy/cli_args.py,NVIDIA CUDA,,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for NVIDIA CUDA.,COMFY-MODEL-0022
latent format,ACEAudio,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=8,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,ACEAudio,778,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for ACEAudio.,COMFY-MODEL-0023
latent format,ACEAudio15,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=64,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,ACEAudio15,782,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for ACEAudio15.,COMFY-MODEL-0024
latent format,ChromaRadiance,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=3,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,ChromaRadiance,787,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for ChromaRadiance.,COMFY-MODEL-0025
latent format,CogVideoX,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=16,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,CogVideoX,821,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for CogVideoX.,COMFY-MODEL-0026
latent format,CogVideoX1_5,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['CogVideoX']; scale_factor=inherited; latent_channels=inherited,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,CogVideoX1_5,836,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for CogVideoX1_5.,COMFY-MODEL-0027
latent format,Cosmos1CV8x8x8,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=16,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,Cosmos1CV8x8x8,467,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Cosmos1CV8x8x8.,COMFY-MODEL-0028
latent format,Flux,latent tensor scaling/channel contract,conditional,test-backed,high,bases=['SD3']; scale_factor=inherited; latent_channels=16,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,Flux,160,tests-unit/comfy_test/model_detection_test.py,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Flux.,COMFY-MODEL-0029
latent format,Flux2,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=128,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,Flux2,192,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Flux2.,COMFY-MODEL-0030
latent format,HiDreamO1Pixel,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['ChromaRadiance']; scale_factor=inherited; latent_channels=inherited,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,HiDreamO1Pixel,812,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HiDreamO1Pixel.,COMFY-MODEL-0031
latent format,Hunyuan3Dv2,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=0.9990943042622529; latent_channels=64,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,Hunyuan3Dv2,763,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Hunyuan3Dv2.,COMFY-MODEL-0032
latent format,Hunyuan3Dv2_1,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=1.0039506158752403; latent_channels=64,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,Hunyuan3Dv2_1,768,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Hunyuan3Dv2_1.,COMFY-MODEL-0033
latent format,Hunyuan3Dv2mini,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=1.0188137142395404; latent_channels=64,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,Hunyuan3Dv2mini,773,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Hunyuan3Dv2mini.,COMFY-MODEL-0034
latent format,HunyuanImage21,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=0.75289; latent_channels=64,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,HunyuanImage21,621,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HunyuanImage21.,COMFY-MODEL-0035
latent format,HunyuanImage21Refiner,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=1.03682; latent_channels=64,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,HunyuanImage21Refiner,695,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HunyuanImage21Refiner.,COMFY-MODEL-0036
latent format,HunyuanVideo,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=0.476986; latent_channels=16,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,HunyuanVideo,440,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HunyuanVideo.,COMFY-MODEL-0037
latent format,HunyuanVideo15,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=1.03682; latent_channels=32,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,HunyuanVideo15,719,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for HunyuanVideo15.,COMFY-MODEL-0038
latent format,LTXAV,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LTXV']; scale_factor=inherited; latent_channels=inherited,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,LTXAV,435,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for LTXAV.,COMFY-MODEL-0039
latent format,LTXV,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=128,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,LTXV,295,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for LTXV.,COMFY-MODEL-0040
latent format,Mochi,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=12,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,Mochi,252,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Mochi.,COMFY-MODEL-0041
latent format,PixelDiTPixel,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['ChromaRadiance']; scale_factor=inherited; latent_channels=inherited,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,PixelDiTPixel,818,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for PixelDiTPixel.,COMFY-MODEL-0042
latent format,SC_B,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=inherited,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,SC_B,107,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SC_B.,COMFY-MODEL-0043
latent format,SC_Prior,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=16,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,SC_Prior,83,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SC_Prior.,COMFY-MODEL-0044
latent format,SD15,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=inherited,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,SD15,20,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SD15.,COMFY-MODEL-0045
latent format,SD3,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=16,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,SD3,118,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SD3.,COMFY-MODEL-0046
latent format,SDXL,latent tensor scaling/channel contract,conditional,test-backed,high,bases=['LatentFormat']; scale_factor=0.13025; latent_channels=inherited,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,SDXL,32,tests/execution/test_preview_method.py,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SDXL.,COMFY-MODEL-0047
latent format,SDXL_Playground_2_5,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=inherited,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,SDXL_Playground_2_5,47,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SDXL_Playground_2_5.,COMFY-MODEL-0048
latent format,SD_X4,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=inherited,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,SD_X4,73,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for SD_X4.,COMFY-MODEL-0049
latent format,StableAudio1,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=64,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,StableAudio1,150,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for StableAudio1.,COMFY-MODEL-0050
latent format,StableAudio3,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=256,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,StableAudio3,155,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for StableAudio3.,COMFY-MODEL-0051
latent format,TripoSplat,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=16,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,TripoSplat,242,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for TripoSplat.,COMFY-MODEL-0052
latent format,Wan21,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['LatentFormat']; scale_factor=inherited; latent_channels=16,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,Wan21,493,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Wan21.,COMFY-MODEL-0053
latent format,Wan22,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['Wan21']; scale_factor=inherited; latent_channels=48,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,Wan22,543,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for Wan22.,COMFY-MODEL-0054
latent format,ZImagePixelSpace,latent tensor scaling/channel contract,conditional,code-inferred,high,bases=['ChromaRadiance']; scale_factor=inherited; latent_channels=inherited,Internal latent tensor in model-specific shape/channel convention.,Converts latent tensors between internal and model-facing scale/offset conventions.,Shape/channel violations surface from tensor operations or downstream model execution.,Model-family specific.,comfy/latent_formats.py,ZImagePixelSpace,806,,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native model/device/sampling implementation for ZImagePixelSpace.,COMFY-MODEL-0055
