record_id,kind,name,source_evidence,contract,corroborated_feature_ids,evidence_level
COMFY-DOC-CONFIG-5A41752F8AEC,configuration/schema/lock/registry file,.github/scripts/i18n/glossary/frontend/ja.json,.github/scripts/i18n/glossary/frontend/ja.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-CONFIG-808D9C307639,configuration/schema/lock/registry file,.github/scripts/i18n/glossary/frontend/ko.json,.github/scripts/i18n/glossary/frontend/ko.json,See source file; this is documentation or documentation-tooling configuration unless separately corroborated.,,code-inferred
COMFY-DOC-FORMAT-09A9DE1975BA,documented format contract,Workflow JSON 1.0,specs/workflow_json.mdx,version=1 editor graph schema,COMFY-FORMAT-042,documented-only
COMFY-DOC-FORMAT-ACC79FF33506,documented format contract,Workflow JSON 0.4,specs/workflow_json_0.4.mdx,legacy editor graph schema,COMFY-FORMAT-041,documented-only
COMFY-DOC-FORMAT-72EDA545BD29,documented format contract,Node definition JSON 2.0,specs/nodedef_json.mdx,current object-info/node-definition schema,COMFY-EXT-016,documented-only
COMFY-DOC-FORMAT-B98C97DD7513,documented format contract,Node definition JSON 1.0,specs/nodedef_json_1_0.mdx,legacy node-definition schema,COMFY-EXT-016,documented-only
COMFY-DOC-FORMAT-9ACEAF01C7BD,documented format contract,API workflow JSON,development/api-development/workflow-api-format.mdx,execution graph keyed by node id,COMFY-FORMAT-044,documented-only
COMFY-DOC-FORMAT-879DCAAC87E3,documented format contract,Embedded node documentation layout,custom-nodes/help_page.mdx,NodeName.md or NodeName/<locale>.md with media,COMFY-API-0090,documented-only
COMFY-DOC-FORMAT-A7F93047E3A9,documented format contract,Cloud OpenAPI,openapi-cloud.yaml,OpenAPI 3.0.3 document with API info version 1.0.0,,documented-only
COMFY-DOC-FORMAT-E9C1119A80BF,documented format contract,CMS published versions registry,.github/scripts/cms/published-versions.schema.json,version registry validated by JSON Schema,,documented-only
COMFY-DOC-FORMAT-7BE0E284F936,documented format contract,CMS staged changelog MDX,.github/scripts/cms/staging,separate staged multilingual popup release notes,,documented-only
COMFY-DOC-FORMAT-F5D3724E17F9,documented format contract,Translation hash frontmatter,.github/scripts/i18n/README.md,"translationSourceHash, translationBlockHashes, and reviewSourceHash",,documented-only
COMFY-DOC-FORMAT-E4561AB93319,documented format contract,Analytics checkpoint/cache,.github/scripts/analytics/README.md,"checkpoint, store, manifest, daily JSON, and Markdown summaries",,documented-only
COMFY-DOC-FORMAT-350E013ED540,documented format contract,CLI snapshot JSON or YAML,snippets/cli-reference/nodes.mdx,custom-node environment snapshot,,documented-only
COMFY-DOC-FORMAT-B7DB832DF640,documented format contract,CLI workflow JSON or PNG,snippets/cli-reference/nodes.mdx,workflow dependency carrier claimed by CLI docs,,documented-only
COMFY-DOC-FORMAT-C07435181380,documented format contract,Workflow blueprint YAML,comfy-cli/getting-started.mdx,workflow fragment composition input,,documented-only
COMFY-DOC-FORMAT-1E829E2F8D23,documented format contract,Documentation-site MDX,docs.json,"Mintlify pages, snippets, imports, navigation, and redirects",,documented-only
