contract_id,kind,source_path,source_symbol,source_ordinal,source_sha256,symbol_sha256,native_owner,implementation_task,validation_surface,disposition,current_zed_status,zed_evidence,validation_artifact_sha256,closure_artifact
conditioning-conditioning-value-conds-condregular-505e5b9e,conditioning_value,projects/comfy/ComfyUI/comfy/conds.py,CONDRegular,0,72058e9a22c972a9c875819e59d432d30d367fd2f7092ee6c6c45e5a60c959b0,70f51fcbaab53483c4021fb14beaba441ad619dfed7e98ae9cb8572b00d43b59,comfy_model::conditioning,comfy-parity-conditioning-value-foundation,comfy_model::conditioning::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-guidance-hook-patcher-extension-patcherinjection-116374da,guidance_hook,projects/comfy/ComfyUI/comfy/patcher_extension.py,PatcherInjection,16,1c7b3b855278d0b95d1c1a705fa0b3c91a265f320e2f97bdeb9d15469d6d4ac7,05d8e6216acb1bfe94dbbc435cd2a1df1575f239a7c538c1f0be71bb4f8cc2ef,comfy_sampler::guidance,comfy-parity-conditioning-guidance-adapter,comfy_sampler::guidance::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONDITIONING-001 artifact target/comfy-parity/val-conditioning-001.json has exact task and contract coverage with SHA-256 a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e.,a0496667517595b65f92705a184c454fd780e4d22ae0a688288381feab0e214e,VAL-CONDITIONING-001
conditioning-controlnet-controlnet-strengthtype-77c5b612,controlnet,projects/comfy/ComfyUI/comfy/controlnet.py,StrengthType,17,efa2dec0eed7ed04da4b91cce0358267afeec9513af02b063a122d3ece093e57,79abc38755574a8ef2c202fa5588e6ec9a9998fea9721408f09c0021ffb280c1,comfy_model::controlnet,comfy-parity-controlnet-chain-foundation,comfy_model::controlnet::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONTROLNET-001 artifact target/comfy-parity/val-controlnet-001.json has exact task and contract coverage with SHA-256 a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694.,a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694,VAL-CONTROLNET-001
conditioning-controlnet-controlnet-controlisolation-68347c8b,controlnet,projects/comfy/ComfyUI/comfy/controlnet.py,ControlIsolation,18,efa2dec0eed7ed04da4b91cce0358267afeec9513af02b063a122d3ece093e57,4622e09fa250de7a5e71d1bd92689da1edfb1369b23ac7db58cf85f793db5fdb,comfy_model::controlnet,comfy-parity-controlnet-chain-foundation,comfy_model::controlnet::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONTROLNET-001 artifact target/comfy-parity/val-controlnet-001.json has exact task and contract coverage with SHA-256 a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694.,a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694,VAL-CONTROLNET-001
conditioning-controlnet-controlnet-controlbase-9b5fbfe8,controlnet,projects/comfy/ComfyUI/comfy/controlnet.py,ControlBase,19,efa2dec0eed7ed04da4b91cce0358267afeec9513af02b063a122d3ece093e57,eded6a685f074f81de0fcfd679360fe2087a9e744980bbc9ea03da6868bb9cc8,comfy_model::controlnet,comfy-parity-controlnet-chain-foundation,comfy_model::controlnet::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONTROLNET-001 artifact target/comfy-parity/val-controlnet-001.json has exact task and contract coverage with SHA-256 a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694.,a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694,VAL-CONTROLNET-001
conditioning-controlnet-controlnet-controlnet-118682de,controlnet,projects/comfy/ComfyUI/comfy/controlnet.py,ControlNet,20,efa2dec0eed7ed04da4b91cce0358267afeec9513af02b063a122d3ece093e57,bf7c85a69f99f427b6d7011c0f97ec40d26362f38519571cb8799c9023751cb8,comfy_model::controlnet,comfy-parity-controlnet-chain-foundation,comfy_model::controlnet::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONTROLNET-001 artifact target/comfy-parity/val-controlnet-001.json has exact task and contract coverage with SHA-256 a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694.,a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694,VAL-CONTROLNET-001
conditioning-controlnet-controlnet-controlloraops-35e74d65,controlnet,projects/comfy/ComfyUI/comfy/controlnet.py,ControlLoraOps,21,efa2dec0eed7ed04da4b91cce0358267afeec9513af02b063a122d3ece093e57,744f46e0840250656ace76b7097e255592cfe3265376c2d48f8c88ad1fe6b979,comfy_model::controlnet,comfy-parity-controlnet-chain-foundation,comfy_model::controlnet::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONTROLNET-001 artifact target/comfy-parity/val-controlnet-001.json has exact task and contract coverage with SHA-256 a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694.,a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694,VAL-CONTROLNET-001
conditioning-controlnet-controlnet-controllora-ef66a4b4,controlnet,projects/comfy/ComfyUI/comfy/controlnet.py,ControlLora,22,efa2dec0eed7ed04da4b91cce0358267afeec9513af02b063a122d3ece093e57,dda77a806ef76d0976b59737934cfba5bba462777975baa77e40785c4e06e040,comfy_model::controlnet,comfy-parity-controlnet-chain-foundation,comfy_model::controlnet::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONTROLNET-001 artifact target/comfy-parity/val-controlnet-001.json has exact task and contract coverage with SHA-256 a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694.,a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694,VAL-CONTROLNET-001
conditioning-controlnet-controlnet-controlnetsd35-8d4f077e,controlnet,projects/comfy/ComfyUI/comfy/controlnet.py,ControlNetSD35,23,efa2dec0eed7ed04da4b91cce0358267afeec9513af02b063a122d3ece093e57,2032c216cf72373eae5f91bee53db2b59eb375c7d3f611f9b8cb6f5283a4d85b,comfy_model::controlnet,comfy-parity-controlnet-chain-foundation,comfy_model::controlnet::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONTROLNET-001 artifact target/comfy-parity/val-controlnet-001.json has exact task and contract coverage with SHA-256 a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694.,a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694,VAL-CONTROLNET-001
conditioning-controlnet-controlnet-t2iadapter-97dfdd8b,controlnet,projects/comfy/ComfyUI/comfy/controlnet.py,T2IAdapter,24,efa2dec0eed7ed04da4b91cce0358267afeec9513af02b063a122d3ece093e57,e33f305dc760da05f1d53403f412c5ff8e2ba566c4cb2f7a0839ee62047bb231,comfy_model::controlnet,comfy-parity-controlnet-chain-foundation,comfy_model::controlnet::tests,native_rust,equivalent,Owning task is complete with durable validation evidence for native_rust; VAL-CONTROLNET-001 artifact target/comfy-parity/val-controlnet-001.json has exact task and contract coverage with SHA-256 a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694.,a1da6c5d0a073932a322fd0589d7be106465f8d4000dadf1a255de2d8aa7d694,VAL-CONTROLNET-001
conditioning-model-execution-sd-clip-3a0d9b38,model_execution,projects/comfy/ComfyUI/comfy/sd.py,CLIP,25,9c378edbcaab01d00397cc0ef1cab7d37d25fca49c707a87cde451030ac6bf42,69dd99ad69c7ed64b8c7256a26d31cf86362a78c982e10ea9dbe15aa83cd5167,comfy_model::clip,comfy-parity-clip-execution-foundation,VAL-CLIP-001,native_rust,missing,Executable closure remains pending; a checked task box without durable evidence and a schema-valid artifact covering this exact task and contract cannot promote this row.,,VAL-CLIP-001
conditioning-model-execution-sd-vae-6e4631bd,model_execution,projects/comfy/ComfyUI/comfy/sd.py,VAE,26,9c378edbcaab01d00397cc0ef1cab7d37d25fca49c707a87cde451030ac6bf42,b84589afa030b5865c809774f949922d464a94a26375957f2da423b4a27524d4,comfy_model::vae,comfy-parity-vae-execution-foundation,comfy_model::vae::tests,native_rust,missing,Executable closure remains pending; a checked task box without durable evidence and a schema-valid artifact covering this exact task and contract cannot promote this row.,,VAL-VAE-001
conditioning-vae-state-dict-conversion-sd-l473-62acfe89,vae_state_dict_conversion,projects/comfy/ComfyUI/comfy/sd.py,VAE.__init__.state_dict_conversion@L473:'decoder.up_blocks.0.resnets.0.norm1.weight' in sd.keys(),27,9c378edbcaab01d00397cc0ef1cab7d37d25fca49c707a87cde451030ac6bf42,8a40e47b9f44b53f57dc4b8f2ef4317fbb0c12e930f71c0b1585a7971c42d692,comfy_model::vae,comfy-parity-vae-domain-loader-foundation,VAL-VAE-001,native_rust,missing,Executable closure remains pending; a checked task box without durable evidence and a schema-valid artifact covering this exact task and contract cannot promote this row.,,VAL-VAE-001
conditioning-vae-architecture-sd-autoencodingengine-5bca3e44,vae_architecture,projects/comfy/ComfyUI/comfy/sd.py,VAE.__init__.AutoencodingEngine@L509,28,9c378edbcaab01d00397cc0ef1cab7d37d25fca49c707a87cde451030ac6bf42,ee292ffae46c5b07b350773eb077c86f5c45e5677306a56520087d2a6f51019e,comfy_model::vae,comfy-parity-vae-image-architectures,VAL-VAE-001,native_rust,missing,Executable closure remains pending; a checked task box without durable evidence and a schema-valid artifact covering this exact task and contract cannot promote this row.,,VAL-VAE-001
conditioning-vae-architecture-sd-comfy-taesd-taesd-taesd-d0ccd20f,vae_architecture,projects/comfy/ComfyUI/comfy/sd.py,VAE.__init__.comfy.taesd.taesd.TAESD@L517,29,9c378edbcaab01d00397cc0ef1cab7d37d25fca49c707a87cde451030ac6bf42,f372b326b0f9f23fe7e85ff586ab737e5dbfa1f8379d87e92a162df82cc70319,comfy_model::vae,comfy-parity-vae-image-architectures,VAL-VAE-001,native_rust,missing,Executable closure remains pending; a checked task box without durable evidence and a schema-valid artifact covering this exact task and contract cannot promote this row.,,VAL-VAE-001
conditioning-vae-architecture-sd-stagea-1b767df0,vae_architecture,projects/comfy/ComfyUI/comfy/sd.py,VAE.__init__.StageA@L519,30,9c378edbcaab01d00397cc0ef1cab7d37d25fca49c707a87cde451030ac6bf42,0bc6b6672b343f0d20c0f201c9e7fd9cc6e8d36f60f41b332c689f3fcc06264b,comfy_model::vae,comfy-parity-vae-image-architectures,VAL-VAE-001,native_rust,missing,Executable closure remains pending; a checked task box without durable evidence and a schema-valid artifact covering this exact task and contract cannot promote this row.,,VAL-VAE-001
conditioning-vae-architecture-sd-stagec-coder-94678b59,vae_architecture,projects/comfy/ComfyUI/comfy/sd.py,VAE.__init__.StageC_coder@L528,31,9c378edbcaab01d00397cc0ef1cab7d37d25fca49c707a87cde451030ac6bf42,6cc134881cfbd41ea2444db4b1c2bc5cf3e4ef6dfb731db2dafbe6b157617d0f,comfy_model::vae,comfy-parity-vae-image-architectures,VAL-VAE-001,native_rust,missing,Executable closure remains pending; a checked task box without durable evidence and a schema-valid artifact covering this exact task and contract cannot promote this row.,,VAL-VAE-001
conditioning-vae-architecture-sd-stagec-coder-84281997,vae_architecture,projects/comfy/ComfyUI/comfy/sd.py,VAE.__init__.StageC_coder@L536,32,9c378edbcaab01d00397cc0ef1cab7d37d25fca49c707a87cde451030ac6bf42,6cc134881cfbd41ea2444db4b1c2bc5cf3e4ef6dfb731db2dafbe6b157617d0f,comfy_model::vae,comfy-parity-vae-image-architectures,VAL-VAE-001,native_rust,missing,Executable closure remains pending; a checked task box without durable evidence and a schema-valid artifact covering this exact task and contract cannot promote this row.,,VAL-VAE-001
conditioning-vae-architecture-sd-stagec-coder-4801dafb,vae_architecture,projects/comfy/ComfyUI/comfy/sd.py,VAE.__init__.StageC_coder@L543,33,9c378edbcaab01d00397cc0ef1cab7d37d25fca49c707a87cde451030ac6bf42,6cc134881cfbd41ea2444db4b1c2bc5cf3e4ef6dfb731db2dafbe6b157617d0f,comfy_model::vae,comfy-parity-vae-image-architectures,VAL-VAE-001,native_rust,missing,Executable closure remains pending; a checked task box without durable evidence and a schema-valid artifact covering this exact task and contract cannot promote this row.,,VAL-VAE-001
conditioning-vae-architecture-sd-autoencodingengine-b7150e80,vae_architecture,projects/comfy/ComfyUI/comfy/sd.py,VAE.__init__.AutoencodingEngine@L553,34,9c378edbcaab01d00397cc0ef1cab7d37d25fca49c707a87cde451030ac6bf42,285934d7853d85038ff808e00931088e5884562caef2371a4713329ec9ce726a,comfy_model::vae,comfy-parity-vae-image-architectures,VAL-VAE-001,native_rust,missing,Executable closure remains pending; a checked task box without durable evidence and a schema-valid artifact covering this exact task and contract cannot promote this row.,,VAL-VAE-001
conditioning-vae-architecture-sd-autoencodingengine-27dec63f,vae_architecture,projects/comfy/ComfyUI/comfy/sd.py,VAE.__init__.AutoencodingEngine@L569,35,9c378edbcaab01d00397cc0ef1cab7d37d25fca49c707a87cde451030ac6bf42,c09901e51dac9e8e921304b1024665e4abce9fabeb9b76a196462f63e0a35e3b,comfy_model::vae,comfy-parity-vae-video-architectures,VAL-VAE-001,native_rust,missing,Executable closure remains pending; a checked task box without durable evidence and a schema-valid artifact covering this exact task and contract cannot promote this row.,,VAL-VAE-001
conditioning-vae-architecture-sd-autoencoderkl-69aa0015,vae_architecture,projects/comfy/ComfyUI/comfy/sd.py,VAE.__init__.AutoencoderKL@L604,36,9c378edbcaab01d00397cc0ef1cab7d37d25fca49c707a87cde451030ac6bf42,21406887c6bc9bdbf16927e9cefded6ee7922e74ab77168d3d03367db6a277b7,comfy_model::vae,comfy-parity-vae-image-architectures,VAL-VAE-001,native_rust,missing,Executable closure remains pending; a checked task box without durable evidence and a schema-valid artifact covering this exact task and contract cannot promote this row.,,VAL-VAE-001
conditioning-vae-architecture-sd-autoencodingengine-9f13006f,vae_architecture,projects/comfy/ComfyUI/comfy/sd.py,VAE.__init__.AutoencodingEngine@L606,37,9c378edbcaab01d00397cc0ef1cab7d37d25fca49c707a87cde451030ac6bf42,a3dc5c7ad32dd296e28d928ce899db4f721fed582c5ac3510b4c32a2a81df9fe,comfy_model::vae,comfy-parity-vae-image-architectures,VAL-VAE-001,native_rust,missing,Executable closure remains pending; a checked task box without durable evidence and a schema-valid artifact covering this exact task and contract cannot promote this row.,,VAL-VAE-001
conditioning-vae-architecture-sd-audiooobleckvae-6c64e9cf,vae_architecture,projects/comfy/ComfyUI/comfy/sd.py,VAE.__init__.AudioOobleckVAE@L625,38,9c378edbcaab01d00397cc0ef1cab7d37d25fca49c707a87cde451030ac6bf42,13bbbc433de4c1f53287d4cee4c2efffeced69617fb06009c05ef6621746af68,comfy_model::vae,comfy-parity-vae-audio-architectures,VAL-VAE-001,native_rust,missing,Executable closure remains pending; a checked task box without durable evidence and a schema-valid artifact covering this exact task and contract cannot promote this row.,,VAL-VAE-001
