kind,name,availability,feature_id,default,behavior,source,evidence_level
environment-variable,PYTHONIOENCODING,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/ipc/shared.ts,code-inferred
environment-variable,ProgramData,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/oem.ts,code-inferred
environment-variable,SHELL,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/terminal.ts,code-inferred
environment-variable,SYSTEMROOT,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/vcRuntimeAudit.ts,code-inferred
environment-variable,SystemDrive,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/paths.ts,code-inferred
environment-variable,TEMP,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,platform/runtime convention,code-inferred
environment-variable,TMPDIR,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,platform/runtime convention,code-inferred
environment-variable,USERPROFILE,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,platform/runtime convention,code-inferred
environment-variable,XDG_CACHE_HOME,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/paths.ts,code-inferred
environment-variable,XDG_CONFIG_HOME,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/paths.ts,code-inferred
environment-variable,XDG_DATA_HOME,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/paths.ts,code-inferred
environment-variable,XDG_STATE_HOME,conditional,COMFY-DESKTOP-174,unset/inherited unless source specifies otherwise,Read or supplied at the cited process/config boundary; preserve validation and secret redaction.,projects/comfy/Comfy-Desktop/src/main/lib/paths.ts,code-inferred
CSS custom property,--accent-hover,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/comfyUISettings/ConsoleTerminalPane.vue,code-inferred
CSS custom property,--accent-plum,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/comfyUISettings/ConsoleTerminalPane.vue,code-inferred
CLI-flag,--always,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/ipc/shared.ts,code-inferred
CLI-flag,--base-directory,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/sources/standalone/index.ts,code-inferred
CLI-flag,--cherry-pick,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/git.ts,code-inferred
CSS custom property,--comfy-menu-bg,conditional,COMFY-DESKTOP-177,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/main/host/attach.ts,code-inferred
CLI-flag,--count,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/git.ts,code-inferred
CSS custom property,--danger,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/comfyUISettings/ConsoleTerminalPane.vue,code-inferred
CSS custom property,--danger-hover,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/comfyUISettings/ConsoleTerminalPane.vue,code-inferred
CLI-flag,--database-url,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/sources/standalone/index.ts,code-inferred
CSS custom property,--descrip-text,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/main/host/attach.ts,code-inferred
CLI-flag,--detach,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/git.ts,code-inferred
CLI-flag,--driver,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/gpu.ts,code-inferred
CLI-flag,--dry-run,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/sources/standalone/updateOrchestrator.ts,code-inferred
CLI-flag,--enable-manager,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts; projects/comfy/Comfy-Desktop/src/main/sources/standalone/envPaths.ts,code-inferred
CLI-flag,--enable-manager-legacy-ui,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts,code-inferred
CLI-flag,--extra-index-url,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/pip.ts,code-inferred
CLI-flag,--extra-model-paths-config,conditional,COMFY-DESKTOP-187,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/ipc/sessionActions/launch.ts,code-inferred
CLI-flag,--feature-flag,conditional,COMFY-DESKTOP-171,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/ipc/sessionActions/launch.ts,code-inferred
CLI-flag,--force,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/sources/standalone/macRepair.ts,code-inferred
CLI-flag,--help,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/comfy-args.ts,code-inferred
CLI-flag,--index-url,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/pip.ts,code-inferred
CSS custom property,--info,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/comfyUISettings/ConsoleTerminalPane.vue,code-inferred
CLI-flag,--input-directory,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/ipc/sessionActions/launch.ts,code-inferred
CLI-flag,--is-ancestor,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/git.ts,code-inferred
CLI-flag,--json,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/gpu.ts,code-inferred
CLI-flag,--left-only,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/git.ts,code-inferred
CLI-flag,--list-feature-flags,conditional,COMFY-DESKTOP-171,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/comfy-feature-flags.ts,code-inferred
CLI-flag,--local,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/desktopDetect.ts,code-inferred
CLI-flag,--match,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/ipc/shared.ts,code-inferred
CSS custom property,--neutral-100,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/comfyUISettings/ConsoleTerminalPane.vue,code-inferred
CSS custom property,--neutral-200,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/comfyUISettings/ConsoleTerminalPane.vue,code-inferred
CSS custom property,--neutral-400,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/comfyUISettings/ConsoleTerminalPane.vue,code-inferred
CSS custom property,--neutral-800,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/comfyUISettings/ConsoleTerminalPane.vue,code-inferred
CSS custom property,--neutral-950,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/comfyUISettings/ConsoleTerminalPane.vue,code-inferred
CLI-flag,--no-deps,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/snapshots/restore.ts,code-inferred
CLI-flag,--output-directory,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/ipc/sessionActions/launch.ts,code-inferred
CLI-flag,--port,conditional,COMFY-DESKTOP-054,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/comfy-args.ts; projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts; projects/comfy/Comfy-Desktop/src/main/lib/process.ts; projects/comfy/Comfy-Desktop/src/main/lib/util.ts,code-inferred
CLI-flag,--print-reply,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/ipc/shared.ts,code-inferred
CLI-flag,--python,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/desktopAdopt.ts; projects/comfy/Comfy-Desktop/src/main/lib/pip.ts; projects/comfy/Comfy-Desktop/src/main/lib/snapshots/restore.ts; projects/comfy/Comfy-Desktop/src/main/sources/standalone/install.ts; projects/comfy/Comfy-Desktop/src/main/sources/standalone/updateOrchestrator.ts,code-inferred
CLI-flag,--refs,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/git.ts,code-inferred
CSS custom property,--rows,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/ChooserView.vue,code-inferred
CLI-flag,--session,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/ipc/shared.ts,code-inferred
CLI-flag,--showdriverversion,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/gpu.ts,code-inferred
CLI-flag,--sign,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/sources/standalone/macRepair.ts,code-inferred
CLI-flag,--stable,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/sources/portable.ts; projects/comfy/Comfy-Desktop/src/main/sources/standalone/updateOrchestrator.ts,code-inferred
CSS custom property,--success,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/comfyUISettings/ConsoleTerminalPane.vue,code-inferred
CLI-flag,--tag,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/sources/standalone/updateOrchestrator.ts,code-inferred
CLI-flag,--tags,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/git.ts; projects/comfy/Comfy-Desktop/src/main/lib/ipc/shared.ts,code-inferred
CSS custom property,--terminal-selection,conditional,COMFY-DESKTOP-091,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/comfyUISettings/ConsoleTerminalPane.vue,code-inferred
CSS custom property,--text,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/comfyUISettings/ConsoleTerminalPane.vue,code-inferred
CSS custom property,--title-trailing-width,conditional,COMFY-DESKTOP-175,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitleBar/TitleBarApp.vue,code-inferred
CSS custom property,--titlebar-bg-active,conditional,COMFY-DESKTOP-175,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitleBar/TitleBarApp.vue,code-inferred
CSS custom property,--titlebar-icon,conditional,COMFY-DESKTOP-175,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/comfyTitleBar/TitleBarApp.vue,code-inferred
CSS custom property,--ui-accordion-duration,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/components/ui/BaseAccordion.vue,code-inferred
CLI-flag,--unknown,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/comfy-args.ts,code-inferred
CLI-flag,--unshallow,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/git.ts,code-inferred
CLI-flag,--user-directory,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/sources/standalone/index.ts,code-inferred
CLI-flag,--version,conditional,COMFY-DESKTOP-174,absent,Recognized or emitted by desktop/Comfy child process at the cited boundary.,projects/comfy/Comfy-Desktop/src/main/lib/git.ts,code-inferred
CSS custom property,--warning,conditional,COMFY-DESKTOP-174,absent,"Renderer CSS custom property consumed at the cited Vue/CSS boundary; it affects theme, layout, terminal, title-bar, menu, or chooser presentation rather than child-process argv.",projects/comfy/Comfy-Desktop/src/renderer/src/views/comfyUISettings/ConsoleTerminalPane.vue,code-inferred
