source_record_id,path,disposition,reason,mapped_record_ids,mapped_feature_ids,source_evidence_level
COMFY-DOCSRC-DA6573261447,.github/scripts/analytics/mintlify-analytics.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-268263BB703B,.github/scripts/cms/README.md,governance/tool documentation,Repository governance or tooling documentation.,,,documented-only
COMFY-DOCSRC-0B090480566A,.github/scripts/cms/attention-overrides.json,configuration/schema/lock/registry,Structured documentation/tooling configuration or schema.,,,code-inferred
COMFY-DOCSRC-22DADD6F8A9A,.github/scripts/cms/changelog-parse.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-E1246E7785CD,.github/scripts/cms/cms-args.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-FF85E5C72FC3,,code-inferred
COMFY-DOCSRC-620897B81689,.github/scripts/cms/cms-attention.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-7417F790D9A6,.github/scripts/cms/cms-config.json,configuration/schema/lock/registry,Structured documentation/tooling configuration or schema.,,,code-inferred
COMFY-DOCSRC-A4BF7F974FA0,.github/scripts/cms/cms-config.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-AF3E4371BA33,.github/scripts/cms/cms-env.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-24A37771E1C2,.github/scripts/cms/cms-simplify-en.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-01B2E6DC896D,.github/scripts/cms/cms-simplify-prompt.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-F176ED073CD4,.github/scripts/cms/cms-staging-io.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-9E8552B276FE,.github/scripts/cms/cms-staging-translate.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-0D77B612B27D,.github/scripts/cms/cms-strapi-utils.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-E67FB2BFA5FD,.github/scripts/cms/cms-translate-client.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-3E73B6457724; COMFY-DOC-TOOL-58C00C50F030; COMFY-DOC-TOOL-9A8D8B3DB82A; COMFY-DOC-TOOL-AF215CC012A7,,code-inferred
COMFY-DOCSRC-350A2A2479FB,.github/scripts/cms/cms-versions.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-4AB22A51B6E3; COMFY-DOC-TOOL-EF97D5795D40,,code-inferred
COMFY-DOCSRC-B5CE852CD649,.github/scripts/cms/delete-cms-drafts.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-4AD518D52885,,code-inferred
COMFY-DOCSRC-CF757E9AF1A6,.github/scripts/cms/format-cms-content.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-8467D0463A42,.github/scripts/cms/prepare-cms-changelog.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-42CB4680B2B0; COMFY-DOC-TOOL-69A46D35412D; COMFY-DOC-TOOL-D94C58F9312E,,code-inferred
COMFY-DOCSRC-988629E449FF,.github/scripts/cms/publish-cms-drafts.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-1935DD506631; COMFY-DOC-TOOL-36D1DE144911; COMFY-DOC-TOOL-531C67546AB8; COMFY-DOC-TOOL-5F774C6D9679; COMFY-DOC-TOOL-720C8FDC1FD2; COMFY-DOC-TOOL-812145F687D4; COMFY-DOC-TOOL-D8E069BF3275,,code-inferred
COMFY-DOCSRC-E8629F90C463,.github/scripts/cms/published-versions-sync.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-CD68F39B1D33,.github/scripts/cms/published-versions.json,configuration/schema/lock/registry,Structured documentation/tooling configuration or schema.,,,code-inferred
COMFY-DOCSRC-867E5DF85531,.github/scripts/cms/published-versions.schema.json,configuration/schema/lock/registry,Structured documentation/tooling configuration or schema.,,,code-inferred
COMFY-DOCSRC-F984DF9D6012,.github/scripts/cms/published-versions.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-7C14EC793C2D,.github/scripts/cms/set-cms-attention.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-F58DF3ADADDC,,code-inferred
COMFY-DOCSRC-5C0344EF768B,.github/scripts/cms/simplify-changelog.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-ABD4DBC7A5A0,.github/scripts/cms/staging/cloud/en/changelog/index.mdx,CMS staging content,Separate staged release-note pipeline; not canonical product behavior.,COMFY-DOC-ABD4DBC7A5A0,,documented-only
COMFY-DOCSRC-96FCEED130B5,.github/scripts/cms/staging/cloud/es/changelog/index.mdx,CMS staging content,Separate staged release-note pipeline; not canonical product behavior.,COMFY-DOC-96FCEED130B5,,documented-only
COMFY-DOCSRC-E5D1CDEF3F86,.github/scripts/cms/staging/cloud/fr/changelog/index.mdx,CMS staging content,Separate staged release-note pipeline; not canonical product behavior.,COMFY-DOC-E5D1CDEF3F86,,documented-only
COMFY-DOCSRC-11A6D0646C21,.github/scripts/cms/staging/cloud/ja/changelog/index.mdx,CMS staging content,Separate staged release-note pipeline; not canonical product behavior.,COMFY-DOC-11A6D0646C21,,documented-only
COMFY-DOCSRC-CD5FFE4C5022,.github/scripts/cms/staging/cloud/ko/changelog/index.mdx,CMS staging content,Separate staged release-note pipeline; not canonical product behavior.,COMFY-DOC-CD5FFE4C5022,,documented-only
COMFY-DOCSRC-7A893FE4AD0A,.github/scripts/cms/staging/cloud/ru/changelog/index.mdx,CMS staging content,Separate staged release-note pipeline; not canonical product behavior.,COMFY-DOC-7A893FE4AD0A,,documented-only
COMFY-DOCSRC-58FC072B86FA,.github/scripts/cms/staging/cloud/zh/changelog/index.mdx,CMS staging content,Separate staged release-note pipeline; not canonical product behavior.,COMFY-DOC-58FC072B86FA,,documented-only
COMFY-DOCSRC-0269065D3931,.github/scripts/cms/staging/en/changelog/index.mdx,CMS staging content,Separate staged release-note pipeline; not canonical product behavior.,COMFY-DOC-0269065D3931,,documented-only
COMFY-DOCSRC-3894D7C980FB,.github/scripts/cms/staging/es/changelog/index.mdx,CMS staging content,Separate staged release-note pipeline; not canonical product behavior.,COMFY-DOC-3894D7C980FB,,documented-only
COMFY-DOCSRC-28BF9083FFA2,.github/scripts/cms/staging/fr/changelog/index.mdx,CMS staging content,Separate staged release-note pipeline; not canonical product behavior.,COMFY-DOC-28BF9083FFA2,,documented-only
COMFY-DOCSRC-776442AE11B3,.github/scripts/cms/staging/ja/changelog/index.mdx,CMS staging content,Separate staged release-note pipeline; not canonical product behavior.,COMFY-DOC-776442AE11B3,,documented-only
COMFY-DOCSRC-171433EE2214,.github/scripts/cms/staging/ko/changelog/index.mdx,CMS staging content,Separate staged release-note pipeline; not canonical product behavior.,COMFY-DOC-171433EE2214,,documented-only
COMFY-DOCSRC-4AA3CBE8AD7B,.github/scripts/cms/staging/ru/changelog/index.mdx,CMS staging content,Separate staged release-note pipeline; not canonical product behavior.,COMFY-DOC-4AA3CBE8AD7B,,documented-only
COMFY-DOCSRC-096A601219DE,.github/scripts/cms/staging/zh/changelog/index.mdx,CMS staging content,Separate staged release-note pipeline; not canonical product behavior.,COMFY-DOC-096A601219DE,,documented-only
COMFY-DOCSRC-C3CBD53DE0F3,.github/scripts/cms/strapi-client.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-40C11313D88B,.github/scripts/cms/sync-to-strapi.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-4E21DD2CDD3E,.github/scripts/cms/update-published-versions.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-D4007D4179C7; COMFY-DOC-TOOL-F625B52BBAF2,,code-inferred
COMFY-DOCSRC-EAEE295FE928,.github/scripts/i18n/README.md,governance/tool documentation,Repository governance or tooling documentation.,,,documented-only
COMFY-DOCSRC-1BE15A0C1CD8,.github/scripts/i18n/check-i18n-sync.mjs,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-4553FC92173A,,code-inferred
COMFY-DOCSRC-BAD5EBFE6350,.github/scripts/i18n/check-translation-truncation.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-0D975ABF65AE; COMFY-DOC-TOOL-53172B165181,,code-inferred
COMFY-DOCSRC-956B118DB028,.github/scripts/i18n/chunked-translate.test.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-201882251979,.github/scripts/i18n/chunked-translate.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-7EA5EE227845,.github/scripts/i18n/glossary.mjs,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-5A41752F8AEC,.github/scripts/i18n/glossary/frontend/ja.json,configuration/schema/lock/registry,Structured documentation/tooling configuration or schema.,,,code-inferred
COMFY-DOCSRC-808D9C307639,.github/scripts/i18n/glossary/frontend/ko.json,configuration/schema/lock/registry,Structured documentation/tooling configuration or schema.,,,code-inferred
COMFY-DOCSRC-2A8DC69A8106,.github/scripts/i18n/glossary/frontend/zh.json,configuration/schema/lock/registry,Structured documentation/tooling configuration or schema.,,,code-inferred
COMFY-DOCSRC-B34EFE9F41DD,.github/scripts/i18n/glossary/overrides/ja.json,configuration/schema/lock/registry,Structured documentation/tooling configuration or schema.,,,code-inferred
COMFY-DOCSRC-908731085FBF,.github/scripts/i18n/glossary/overrides/ko.json,configuration/schema/lock/registry,Structured documentation/tooling configuration or schema.,,,code-inferred
COMFY-DOCSRC-CAB16AD0813D,.github/scripts/i18n/glossary/overrides/zh.json,configuration/schema/lock/registry,Structured documentation/tooling configuration or schema.,,,code-inferred
COMFY-DOCSRC-91A87FEA648F,.github/scripts/i18n/i18n-config.mjs,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-CCE756ACA08E,.github/scripts/i18n/nav-label-translate.mjs,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-525A74D20C35,.github/scripts/i18n/repair-fences-i18n.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-AA94460245AB,.github/scripts/i18n/repair-fences.test.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-AFEDE2D0418B,.github/scripts/i18n/review-i18n.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-A4C725200404; COMFY-DOC-TOOL-F0AC72226287; COMFY-DOC-TOOL-F7C619D7C756,,code-inferred
COMFY-DOCSRC-9E0A03B23F7F,.github/scripts/i18n/sync-docs-json.mjs,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-00AE9EE7D794,.github/scripts/i18n/sync-glossary.mjs,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-5E73CE0A054E,,code-inferred
COMFY-DOCSRC-0E93CB255439,.github/scripts/i18n/sync-hash-i18n.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-0862A2B88475; COMFY-DOC-TOOL-27DA1342D53E; COMFY-DOC-TOOL-918A3F846BDC,,code-inferred
COMFY-DOCSRC-386AE00DED30,.github/scripts/i18n/translate-i18n.ts,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-2EFE6EDFF935; COMFY-DOC-TOOL-46C2DCA0B11E; COMFY-DOC-TOOL-5A03A841379A; COMFY-DOC-TOOL-5E4E15814366; COMFY-DOC-TOOL-C0DFF5FE3F69; COMFY-DOC-TOOL-DAA36CFAE143,,code-inferred
COMFY-DOCSRC-6913C535272A,.github/scripts/i18n/translation-config.json,configuration/schema/lock/registry,Structured documentation/tooling configuration or schema.,,,code-inferred
COMFY-DOCSRC-10A5D520FEBA,.github/scripts/track-external-links.py,executable automation/tooling,"Repository tooling, not Comfy production behavior.",,,code-inferred
COMFY-DOCSRC-9F1F180385CB,.github/scripts/validate-links.py,executable automation/tooling,"Repository tooling, not Comfy production behavior.",COMFY-DOC-TOOL-A95DCEE15870,,code-inferred
COMFY-DOCSRC-53FEC9C265FD,.github/workflows/claude.yml,CI workflow,"Repository lifecycle automation, not Comfy production behavior.",COMFY-DOC-TOOL-64F8089214E9,,code-inferred
COMFY-DOCSRC-FA2A484891C9,.github/workflows/cms-changelog-sync.yml,CI workflow,"Repository lifecycle automation, not Comfy production behavior.",COMFY-DOC-TOOL-74C7D8780D37,,code-inferred
COMFY-DOCSRC-02C34A2E3E06,.github/workflows/cms-published-versions-check.yml,CI workflow,"Repository lifecycle automation, not Comfy production behavior.",COMFY-DOC-TOOL-AF5893558BEE,,code-inferred
COMFY-DOCSRC-EF606D292992,.github/workflows/delete-merged-branches.yml,CI workflow,"Repository lifecycle automation, not Comfy production behavior.",COMFY-DOC-TOOL-C7F8EC867158,,code-inferred
COMFY-DOCSRC-02DBC35A6A8A,.github/workflows/docs-checks.yml,CI workflow,"Repository lifecycle automation, not Comfy production behavior.",COMFY-DOC-TOOL-E2AF2BE67413,,code-inferred
COMFY-DOCSRC-685871F5B5F5,.github/workflows/external-link-tracking.yml,CI workflow,"Repository lifecycle automation, not Comfy production behavior.",COMFY-DOC-TOOL-080321BD0E1D,,code-inferred
COMFY-DOCSRC-41A75DE4B110,.github/workflows/i18n-sync-check.yml,CI workflow,"Repository lifecycle automation, not Comfy production behavior.",COMFY-DOC-TOOL-ADEE05BB91A2,,code-inferred
COMFY-DOCSRC-97ED4194A48C,.github/workflows/link-validation.yml,CI workflow,"Repository lifecycle automation, not Comfy production behavior.",COMFY-DOC-TOOL-CD48B85C395B,,code-inferred
COMFY-DOCSRC-895B5D70F431,.github/workflows/redirect-check.yml,CI workflow,"Repository lifecycle automation, not Comfy production behavior.",COMFY-DOC-TOOL-70325A4C17EA,,code-inferred
COMFY-DOCSRC-BC37D034BAD5,.gitignore,repository/site infrastructure,Repository metadata or site infrastructure.,,,documented-only
COMFY-DOCSRC-D5D3368A61F8,.mcp.json,configuration/schema/lock/registry,Structured documentation/tooling configuration or schema.,,,code-inferred
COMFY-DOCSRC-672ADE97E28C,.mintignore,repository/site infrastructure,Repository metadata or site infrastructure.,,,documented-only
COMFY-DOCSRC-FFB834425435,.notes/topics.md,governance/tool documentation,Repository governance or tooling documentation.,,,documented-only
COMFY-DOCSRC-A54FF182C7E8,AGENTS.md,governance/tool documentation,Repository governance or tooling documentation.,,,documented-only
COMFY-DOCSRC-02B617A34C94,CLOUD_API_RECOMMENDATIONS.md,governance/tool documentation,Repository governance or tooling documentation.,,,documented-only
COMFY-DOCSRC-ADE7D2F0DB76,CONTRIBUTORS,repository/site infrastructure,Repository metadata or site infrastructure.,,,documented-only
COMFY-DOCSRC-C693279643B8,LICENSE,repository/site infrastructure,Repository metadata or site infrastructure.,,,documented-only
COMFY-DOCSRC-B33563055168,README.md,governance/tool documentation,Repository governance or tooling documentation.,,,documented-only
COMFY-DOCSRC-0A675653613A,account/create-account.mdx,English product documentation,English source-of-truth claim container.,COMFY-DOC-0A675653613A,,documented-only
COMFY-DOCSRC-99A05641F63E,account/delete-account.mdx,English product documentation,English source-of-truth claim container.,COMFY-DOC-99A05641F63E,,documented-only
COMFY-DOCSRC-EA736AEBBF0F,account/login.mdx,English product documentation,English source-of-truth claim container.,COMFY-DOC-EA736AEBBF0F,,documented-only
COMFY-DOCSRC-1503811DC0F0,agent-tools/cloud.mdx,English product documentation,English source-of-truth claim container.,COMFY-DOC-1503811DC0F0,,documented-only
COMFY-DOCSRC-1ABF434C80C6,agent-tools/comfy-cli.mdx,English product documentation,English source-of-truth claim container.,COMFY-DOC-1ABF434C80C6,,documented-only
COMFY-DOCSRC-4EE521D50E50,agent-tools/index.mdx,English product documentation,English source-of-truth claim container.,COMFY-DOC-4EE521D50E50,,documented-only
COMFY-DOCSRC-7E3A1EE2D5E2,agent-tools/local.mdx,English product documentation,English source-of-truth claim container.,COMFY-DOC-7E3A1EE2D5E2,,documented-only
COMFY-DOCSRC-4B7BF612EC3C,agent-tools/partner-mcp.mdx,English product documentation,English source-of-truth claim container.,COMFY-DOC-4B7BF612EC3C,,documented-only
COMFY-DOCSRC-EC9DDD81F89B,api-reference/cloud/overview.mdx,English product documentation,English source-of-truth claim container.,COMFY-DOC-EC9DDD81F89B,,documented-only
COMFY-DOCSRC-D0E80DA7434F,built-in-nodes/APG.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-D0E80DA7434F; COMFY-DOC-NODE-D0E80DA7434F,COMFY-NODE-0007,documented-only
COMFY-DOCSRC-7DAF295980B2,built-in-nodes/ARVideoI2V.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-7DAF295980B2; COMFY-DOC-NODE-7DAF295980B2,COMFY-NODE-0008,documented-only
COMFY-DOCSRC-AFB4DE7F6BA4,built-in-nodes/AddNoise.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-AFB4DE7F6BA4; COMFY-DOC-NODE-AFB4DE7F6BA4,COMFY-NODE-0001,documented-only
COMFY-DOCSRC-0BACB08230F3,built-in-nodes/AddTextPrefix.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-0BACB08230F3; COMFY-DOC-NODE-0BACB08230F3,COMFY-NODE-0002,documented-only
COMFY-DOCSRC-98C332C86BEF,built-in-nodes/AddTextSuffix.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-98C332C86BEF; COMFY-DOC-NODE-98C332C86BEF,COMFY-NODE-0003,documented-only
COMFY-DOCSRC-008E818C3FCA,built-in-nodes/AdjustBrightness.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-008E818C3FCA; COMFY-DOC-NODE-008E818C3FCA,COMFY-NODE-0004,documented-only
COMFY-DOCSRC-91A016FD5B7C,built-in-nodes/AdjustContrast.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-91A016FD5B7C; COMFY-DOC-NODE-91A016FD5B7C,COMFY-NODE-0005,documented-only
COMFY-DOCSRC-523D20E6B6A7,built-in-nodes/AlignYourStepsScheduler.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-523D20E6B6A7; COMFY-DOC-NODE-523D20E6B6A7,COMFY-NODE-0006,documented-only
COMFY-DOCSRC-65DE7DF91A1B,built-in-nodes/AudioAdjustVolume.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-65DE7DF91A1B; COMFY-DOC-NODE-65DE7DF91A1B,COMFY-NODE-0009,documented-only
COMFY-DOCSRC-0F41D6DD541E,built-in-nodes/AudioConcat.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-0F41D6DD541E; COMFY-DOC-NODE-0F41D6DD541E,COMFY-NODE-0010,documented-only
COMFY-DOCSRC-D2828AC01E62,built-in-nodes/AudioEncoderEncode.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-D2828AC01E62; COMFY-DOC-NODE-D2828AC01E62,COMFY-NODE-0011,documented-only
COMFY-DOCSRC-871B5D246536,built-in-nodes/AudioEncoderLoader.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-871B5D246536; COMFY-DOC-NODE-871B5D246536,COMFY-NODE-0012,documented-only
COMFY-DOCSRC-2E6065591CA3,built-in-nodes/AudioEqualizer3Band.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-2E6065591CA3; COMFY-DOC-NODE-2E6065591CA3,COMFY-NODE-0013,documented-only
COMFY-DOCSRC-090A5E4FF58C,built-in-nodes/AudioMerge.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-090A5E4FF58C; COMFY-DOC-NODE-090A5E4FF58C,COMFY-NODE-0014,documented-only
COMFY-DOCSRC-E2CF5951E866,built-in-nodes/AutogrowNamesTestNode.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-E2CF5951E866; COMFY-DOC-NODE-E2CF5951E866,COMFY-NODE-INACTIVE-0001,documented-only
COMFY-DOCSRC-70DD002D1E9F,built-in-nodes/AutogrowPrefixTestNode.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-70DD002D1E9F; COMFY-DOC-NODE-70DD002D1E9F,COMFY-NODE-INACTIVE-0002,documented-only
COMFY-DOCSRC-49D0E63EAF05,built-in-nodes/BasicGuider.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-49D0E63EAF05; COMFY-DOC-NODE-49D0E63EAF05,COMFY-NODE-0015,documented-only
COMFY-DOCSRC-9FB4E93785AF,built-in-nodes/BasicScheduler.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-9FB4E93785AF; COMFY-DOC-NODE-9FB4E93785AF,COMFY-NODE-0016,documented-only
COMFY-DOCSRC-F62F316D33C0,built-in-nodes/BatchImagesMasksLatentsNode.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-F62F316D33C0; COMFY-DOC-NODE-F62F316D33C0,COMFY-NODE-INACTIVE-0003,documented-only
COMFY-DOCSRC-489096472F25,built-in-nodes/BatchImagesNode.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-489096472F25; COMFY-DOC-NODE-489096472F25,COMFY-NODE-0017,documented-only
COMFY-DOCSRC-DD059E12F3B0,built-in-nodes/BatchLatentsNode.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-DD059E12F3B0; COMFY-DOC-NODE-DD059E12F3B0,COMFY-NODE-0018,documented-only
COMFY-DOCSRC-5CA70A4A1E9D,built-in-nodes/BatchMasksNode.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-5CA70A4A1E9D; COMFY-DOC-NODE-5CA70A4A1E9D,COMFY-NODE-0019,documented-only
COMFY-DOCSRC-C85886641CA5,built-in-nodes/BeebleSwitchXImageEdit.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-C85886641CA5; COMFY-DOC-NODE-C85886641CA5,COMFY-NODE-0020,documented-only
COMFY-DOCSRC-01E7D0C9428B,built-in-nodes/BeebleSwitchXVideoEdit.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-01E7D0C9428B; COMFY-DOC-NODE-01E7D0C9428B,COMFY-NODE-0021,documented-only
COMFY-DOCSRC-DED2F8872905,built-in-nodes/BerniniConditioning.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-DED2F8872905; COMFY-DOC-NODE-DED2F8872905,COMFY-NODE-0022,documented-only
COMFY-DOCSRC-5DF6805C1145,built-in-nodes/BetaSamplingScheduler.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-5DF6805C1145; COMFY-DOC-NODE-5DF6805C1145,COMFY-NODE-0023,documented-only
COMFY-DOCSRC-5F1426D04CFC,built-in-nodes/BriaImageEditNode.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-5F1426D04CFC; COMFY-DOC-NODE-5F1426D04CFC,COMFY-NODE-0024,documented-only
COMFY-DOCSRC-B95824F61402,built-in-nodes/BriaRemoveImageBackground.mdx,English built-in-node documentation,Node claim source requiring executable registry corroboration.,COMFY-DOC-B95824F61402; COMFY-DOC-NODE-B95824F61402,COMFY-NODE-0025,documented-only
