feature_id,entry_kind,name,behavior,availability,source_file,evidence_level,classification,native_surface,replacement_owner,reason,production_javascript
COMFY-FRONTEXT-EXT-047,interface member,setup,Run after standard nodes and drop handlers are installed,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,lossless_placeholder,,comfy-parity-frontend-extension-compatibility,Imperative setup callbacks cannot execute; their identity and payload remain available for replacement.,prohibited
COMFY-FRONTEXT-EXT-048,interface member,addCustomNodeDefs,Mutate/add backend node definitions before registration,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,legacy_identifier_mapping,plugin-node-descriptor,comfy-parity-extension-host-plugin-adapter,Signed PluginNode descriptors replace mutation of backend node definitions.,prohibited
COMFY-FRONTEXT-EXT-049,interface member,getCustomWidgets,Provide sync or async custom widget constructors,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,declarative_rust_wasm,node-widget,comfy-parity-frontend-extension-compatibility,Typed declarative widget state replaces JavaScript widget constructors.,prohibited
COMFY-FRONTEXT-EXT-050,interface member,getSelectionToolboxCommands,Contribute selection toolbox commands,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,declarative_rust_wasm,selection-toolbox,comfy-parity-frontend-extension-compatibility,Signed entries map to canonical graph actions through the existing graph dispatch owner.,prohibited
COMFY-FRONTEXT-EXT-051,interface member,getCanvasMenuItems,Contribute canvas context menu items and separators,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,declarative_rust_wasm,canvas-menu,comfy-parity-frontend-extension-compatibility,Signed entries map to canonical graph actions through the existing graph dispatch owner.,prohibited
COMFY-FRONTEXT-EXT-052,interface member,getNodeMenuItems,Contribute node context menu items and separators,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,declarative_rust_wasm,node-menu,comfy-parity-frontend-extension-compatibility,Signed entries map to canonical graph actions through the existing graph dispatch owner.,prohibited
COMFY-FRONTEXT-EXT-053,interface member,beforeRegisterNodeDef,Modify generated node class before LiteGraph registration,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,legacy_identifier_mapping,plugin-node-descriptor,comfy-parity-extension-host-plugin-adapter,Signed immutable PluginNode descriptors replace generated class mutation.,prohibited
COMFY-FRONTEXT-EXT-054,interface member,beforeRegisterVueAppNodeDefs,Mutate node definitions before Vue store indexing,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,legacy_identifier_mapping,plugin-node-descriptor,comfy-parity-extension-host-plugin-adapter,Signed immutable PluginNode descriptors replace Vue-store definition mutation.,prohibited
COMFY-FRONTEXT-EXT-055,interface member,registerCustomNodes,Register frontend-only LiteGraph nodes after backend nodes,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,legacy_identifier_mapping,plugin-node-descriptor,comfy-parity-extension-host-plugin-adapter,Verified native Rust/WASM node registrations replace frontend-only LiteGraph classes.,prohibited
COMFY-FRONTEXT-EXT-056,interface member,loadedGraphNode,Patch each node after workflow configuration,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,lossless_placeholder,,comfy-parity-frontend-extension-compatibility,Per-instance post-load JavaScript patching is not executable in native GPUI.,prohibited
COMFY-FRONTEXT-EXT-057,interface member,nodeCreated,Run after a node instance is created,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,lossless_placeholder,,comfy-parity-frontend-extension-compatibility,Per-instance creation callbacks are not executable in native GPUI.,prohibited
COMFY-FRONTEXT-EXT-058,interface member,beforeConfigureGraph,Mutate workflow JSON and append missing-node data before configure,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,lossless_placeholder,,comfy-parity-frontend-extension-compatibility,Arbitrary pre-configuration workflow mutation is rejected; original workflow bytes remain authoritative.,prohibited
COMFY-FRONTEXT-EXT-059,interface member,afterConfigureGraph,Run after graph configure with missing-node data,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,lossless_placeholder,,comfy-parity-frontend-extension-compatibility,Arbitrary post-configuration callbacks are not executable in native GPUI.,prohibited
COMFY-FRONTEXT-EXT-060,interface member,onAuthUserResolved,Receive latest anonymized auth user and future changes,experimental,src/types/comfy.ts; src/services/extensionService.ts,test-backed,deliberate_defer,,comfy-parity-auth-cloud-telemetry,Profile-scoped anonymized account events remain disabled until the native provider UI task exposes a typed event contract.,prohibited
COMFY-FRONTEXT-EXT-061,interface member,onAuthTokenRefreshed,Receive auth token refresh notification,experimental,src/types/comfy.ts; src/services/extensionService.ts,test-backed,lossless_placeholder,,comfy-parity-frontend-extension-compatibility,Raw authentication tokens are never exposed to plugins or UI contributions.,prohibited
COMFY-FRONTEXT-EXT-062,interface member,onAuthUserLogout,Receive logout notification,experimental,src/types/comfy.ts; src/services/extensionService.ts,test-backed,deliberate_defer,,comfy-parity-auth-cloud-telemetry,Profile-scoped logout events remain disabled until the native provider UI task exposes a typed event contract.,prohibited
COMFY-FRONTEXT-EXT-063,interface member,onNodeOutputsUpdated,Receive node output map replacement,active,src/types/comfy.ts; src/services/extensionService.ts,test-backed,lossless_placeholder,,comfy-parity-frontend-extension-compatibility,Global output-map callbacks are not executable; invocation-scoped declarative UI state remains available through the WIT API.,prohibited
COMFY-FRONTEXT-EXT-005,core extension module,clipspace,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/clipspace.ts,code-inferred,legacy_identifier_mapping,native-core:image-clipboard,comfy-parity-image-mask-content,Native image and mask content replaces the web clipspace module.,prohibited
COMFY-FRONTEXT-EXT-006,core extension module,contextMenuFilter,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/contextMenuFilter.ts,code-inferred,legacy_identifier_mapping,native-core:context-menu-filter,comfy-parity-graph-context-menu-surfaces,The canonical native graph context registry replaces the LiteGraph filter.,prohibited
COMFY-FRONTEXT-EXT-007,core extension module,createBoundingBoxes,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/createBoundingBoxes.ts,code-inferred,legacy_identifier_mapping,native-core:bounding-boxes,comfy-parity-image-mask-content,Native bounding-box content replaces the JavaScript module.,prohibited
COMFY-FRONTEXT-EXT-008,core extension module,customWidgets,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/customWidgets.ts,code-inferred,legacy_identifier_mapping,native-core:typed-widgets,comfy-parity-assets-editors-viewers,Typed GPUI node widgets replace JavaScript constructors.,prohibited
COMFY-FRONTEXT-EXT-009,core extension module,dynamicPrompts,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/dynamicPrompts.ts,code-inferred,legacy_identifier_mapping,native-core:dynamic-prompts,comfy-parity-workflow-experience,Native workflow editing owns dynamic prompt behavior.,prohibited
COMFY-FRONTEXT-EXT-010,core extension module,editAttention,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/editAttention.ts,code-inferred,legacy_identifier_mapping,native-core:attention-editor,comfy-parity-workflow-experience,Native workflow text editing owns attention syntax behavior.,prohibited
COMFY-FRONTEXT-EXT-011,core extension module,electronAdapter,Imported by src/extensions/core/index.ts under gate platform-specific,platform-specific,src/extensions/core/electronAdapter.ts,code-inferred,legacy_identifier_mapping,native-core:desktop-platform,comfy-parity-desktop-native-ui,The native desktop platform adapter replaces Electron-specific behavior.,prohibited
COMFY-FRONTEXT-EXT-012,core extension module,groupNode,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/groupNode.ts,code-inferred,legacy_identifier_mapping,native-core:group-node,comfy-parity-graph-context-menu-surfaces,The canonical graph domain owns grouping without a frontend-only node class.,prohibited
COMFY-FRONTEXT-EXT-013,core extension module,groupOptions,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/groupOptions.ts,code-inferred,legacy_identifier_mapping,native-core:group-options,comfy-parity-graph-context-menu-surfaces,The canonical graph context dispatcher owns group actions.,prohibited
COMFY-FRONTEXT-EXT-014,core extension module,imageCompare,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/imageCompare.ts,code-inferred,legacy_identifier_mapping,native-core:image-compare,comfy-parity-image-mask-content,Native image content owns comparison rendering.,prohibited
COMFY-FRONTEXT-EXT-015,core extension module,imageCrop,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/imageCrop.ts,code-inferred,legacy_identifier_mapping,native-core:image-crop,comfy-parity-image-mask-content,Native image content owns crop operations.,prohibited
COMFY-FRONTEXT-EXT-016,core extension module,load3dLazy,Imported by src/extensions/core/index.ts under gate conditional,conditional,src/extensions/core/load3dLazy.ts,code-inferred,legacy_identifier_mapping,native-core:three-d-loader,comfy-parity-three-d-latent-content,Native 3D content replaces lazy web loading.,prohibited
COMFY-FRONTEXT-EXT-017,core extension module,maskeditor,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/maskeditor.ts,code-inferred,legacy_identifier_mapping,native-core:mask-editor,comfy-parity-image-mask-content,Native mask content replaces the web editor.,prohibited
COMFY-FRONTEXT-EXT-018,core extension module,nodeTemplates,Imported by src/extensions/core/index.ts under gate conditional,conditional,src/extensions/core/nodeTemplates.ts,code-inferred,legacy_identifier_mapping,native-core:node-templates,comfy-parity-workflow-experience,Native workflow templates replace the web module.,prohibited
COMFY-FRONTEXT-EXT-019,core extension module,noteNode,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/noteNode.ts,code-inferred,legacy_identifier_mapping,native-core:note-content,comfy-parity-assets-editors-viewers,Typed native structured content replaces the frontend-only note node.,prohibited
COMFY-FRONTEXT-EXT-020,core extension module,painter,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/painter.ts,code-inferred,legacy_identifier_mapping,native-core:painter,comfy-parity-image-mask-content,Native paint and mask surfaces replace canvas scripting.,prohibited
COMFY-FRONTEXT-EXT-021,core extension module,previewAny,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/previewAny.ts,code-inferred,legacy_identifier_mapping,native-core:output-inspector,comfy-parity-assets-editors-viewers,The native typed content registry replaces previewAny.,prohibited
COMFY-FRONTEXT-EXT-022,core extension module,saveText,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/saveText.ts,code-inferred,legacy_identifier_mapping,native-core:structured-text,comfy-parity-three-d-latent-content,Native structured output content replaces saveText.,prohibited
COMFY-FRONTEXT-EXT-023,core extension module,rerouteNode,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/rerouteNode.ts,code-inferred,legacy_identifier_mapping,native-core:reroute,comfy-parity-graph-context-menu-surfaces,The canonical graph domain owns reroutes.,prohibited
COMFY-FRONTEXT-EXT-024,core extension module,saveImageExtraOutput,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/saveImageExtraOutput.ts,code-inferred,legacy_identifier_mapping,native-core:image-output,comfy-parity-image-mask-content,Native output publication and image content replace extra web output handling.,prohibited
COMFY-FRONTEXT-EXT-025,core extension module,selectionBorder,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/selectionBorder.ts,code-inferred,legacy_identifier_mapping,native-core:selection-border,comfy-parity-graph-context-menu-surfaces,Native GPUI graph selection replaces canvas drawing hooks.,prohibited
COMFY-FRONTEXT-EXT-026,core extension module,simpleTouchSupport,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/simpleTouchSupport.ts,code-inferred,legacy_identifier_mapping,native-core:pointer-input,comfy-parity-desktop-native-ui,GPUI pointer handling replaces browser touch shims.,prohibited
COMFY-FRONTEXT-EXT-027,core extension module,slotDefaults,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/slotDefaults.ts,code-inferred,legacy_identifier_mapping,native-core:slot-defaults,comfy-parity-assets-editors-viewers,Typed node descriptors and editors own slot defaults.,prohibited
COMFY-FRONTEXT-EXT-028,core extension module,uploadAudio,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/uploadAudio.ts,code-inferred,legacy_identifier_mapping,native-core:audio-import,comfy-parity-audio-video-content,Native audio import replaces the web upload module.,prohibited
COMFY-FRONTEXT-EXT-029,core extension module,uploadImage,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/uploadImage.ts,code-inferred,legacy_identifier_mapping,native-core:image-import,comfy-parity-image-mask-content,Native asset and image services replace the web upload module.,prohibited
COMFY-FRONTEXT-EXT-030,core extension module,webcamCapture,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/webcamCapture.ts,code-inferred,legacy_identifier_mapping,native-core:camera-import,comfy-parity-image-mask-content,A permission-gated native media adapter replaces browser webcam capture.,prohibited
COMFY-FRONTEXT-EXT-031,core extension module,widgetInputs,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/widgetInputs.ts,code-inferred,legacy_identifier_mapping,native-core:widget-inputs,comfy-parity-assets-editors-viewers,Typed node ports and GPUI widgets replace widget-input scripting.,prohibited
COMFY-FRONTEXT-EXT-032,core extension module,cloudRemoteConfig,Imported by src/extensions/core/index.ts under gate cloud/paid,cloud/paid,src/extensions/core/cloudRemoteConfig.ts,code-inferred,legacy_identifier_mapping,native-core:provider-configuration,comfy-parity-auth-cloud-telemetry,Profile-scoped provider configuration replaces remote web config.,prohibited
COMFY-FRONTEXT-EXT-033,core extension module,cloudBadges,Imported by src/extensions/core/index.ts under gate cloud/paid,cloud/paid,src/extensions/core/cloudBadges.ts,code-inferred,legacy_identifier_mapping,native-core:provider-badges,comfy-parity-auth-cloud-telemetry,Profile-scoped provider state supplies native badges.,prohibited
COMFY-FRONTEXT-EXT-034,core extension module,cloudSessionCookie,Imported by src/extensions/core/index.ts under gate cloud/paid,cloud/paid,src/extensions/core/cloudSessionCookie.ts,code-inferred,legacy_identifier_mapping,native-core:provider-session,comfy-parity-auth-cloud-telemetry,Opaque native provider sessions replace browser cookies.,prohibited
COMFY-FRONTEXT-EXT-035,core extension module,cloudFeedbackTopbarButton,Imported by src/extensions/core/index.ts under gate cloud/paid,cloud/paid,src/extensions/core/cloudFeedbackTopbarButton.ts,code-inferred,legacy_identifier_mapping,native-core:provider-feedback,comfy-parity-auth-cloud-telemetry,Permission-gated native feedback surfaces replace the web topbar module.,prohibited
COMFY-FRONTEXT-EXT-036,core extension module,nightlyBadges,Imported by src/extensions/core/index.ts under gate active,active,src/extensions/core/nightlyBadges.ts,code-inferred,legacy_identifier_mapping,native-core:release-badge,comfy-parity-settings-localization-ui,Native release-channel settings supply badge state.,prohibited
