feature_id,product,domain,name,classification,availability,evidence_level,confidence,schema_format,serialization_behavior,migration_backward_compatibility,failure_recovery,source_evidence,test_evidence,current_zed_status,exact_parity_gap,acceptance_criteria,validation,open_questions
COMFY-FORMAT-011,ComfyUI,format/persistence,AUDIO,tensor contract,active,code-inferred,high,"Dictionary {waveform: [batch,channels,samples] float tensor, sample_rate: integer}.","Dictionary {waveform: [batch,channels,samples] float tensor, sample_rate: integer}.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_api/latest/_input/basic_types.py:AudioInput; comfy_api/latest/_io.py:Audio; comfy_api/latest/_ui.py:AudioSaveHelper,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for AUDIO.,"Zed shall round-trip deterministic AUDIO fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for AUDIO.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-012,ComfyUI,format/persistence,VIDEO,media contract,active,code-inferred,high,"VideoInput abstraction backed by file/bytes or components {images,alpha,audio,frame_rate,metadata}; supports trim, component decode, stream copy, and save.","VideoInput abstraction backed by file/bytes or components {images,alpha,audio,frame_rate,metadata}; supports trim, component decode, stream copy, and save.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_api/latest/_input/video_types.py; comfy_api/latest/_input_impl/video_types.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for VIDEO.,"Zed shall round-trip deterministic VIDEO fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for VIDEO.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-013,ComfyUI,format/persistence,CONDITIONING,conditioning contract,active,code-inferred,high,"List of [conditioning tensor, metadata dictionary] entries carrying pooled output, areas, masks, timestep ranges, controls, hooks, and model-specific conditions.","List of [conditioning tensor, metadata dictionary] entries carrying pooled output, areas, masks, timestep ranges, controls, hooks, and model-specific conditions.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",node_helpers.py; comfy/conds.py; comfy/samplers.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for CONDITIONING.,"Zed shall round-trip deterministic CONDITIONING fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for CONDITIONING.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-014,ComfyUI,format/persistence,MESH/VOXEL/SPLAT/File3D,3D contract,conditional,code-inferred,high,"Typed in-memory or file-backed 3D values used by loaders, previews, geometry nodes, and save nodes.","Typed in-memory or file-backed 3D values used by loaders, previews, geometry nodes, and save nodes.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_api/latest/_util/geometry_types.py:File3D; comfy_api/latest/_io.py:Voxel/Mesh/Splat/File3D*; comfy_extras/nodes_load_3d.py; comfy_extras/nodes_save_3d.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for MESH/VOXEL/SPLAT/File3D.,"Zed shall round-trip deterministic MESH/VOXEL/SPLAT/File3D fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for MESH/VOXEL/SPLAT/File3D.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-015,ComfyUI,format/persistence,PNG with workflow metadata,image file,active,test-backed,high,Saves one image per batch; PNG text keys prompt and every extra_pnginfo key contain JSON unless --disable-metadata.,Saves one image per batch; PNG text keys prompt and every extra_pnginfo key contain JSON unless --disable-metadata.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",nodes.py:SaveImage; comfy_api/latest/_ui.py:ImageSaveHelper._create_png_metadata,tests/compare/test_quality.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for PNG with workflow metadata.,"Zed shall round-trip deterministic PNG with workflow metadata fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for PNG with workflow metadata.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-016,ComfyUI,format/persistence,APNG with workflow metadata,image file,active,test-backed,high,Saves an image batch as animated PNG; private comf chunks after IDAT store key NUL JSON for prompt and extra metadata.,Saves an image batch as animated PNG; private comf chunks after IDAT store key NUL JSON for prompt and extra metadata.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_api/latest/_ui.py:ImageSaveHelper._create_animated_png_metadata/save_animated_png,tests/compare/test_quality.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for APNG with workflow metadata.,"Zed shall round-trip deterministic APNG with workflow metadata fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for APNG with workflow metadata.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-017,ComfyUI,format/persistence,Animated WebP with workflow metadata,image file,active,test-backed,high,Saves batch animation with lossless/quality/method; EXIF Model tag 0x0110 stores prompt:JSON and descending tags from 0x010F store key:JSON.,Saves batch animation with lossless/quality/method; EXIF Model tag 0x0110 stores prompt:JSON and descending tags from 0x010F store key:JSON.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_api/latest/_ui.py:ImageSaveHelper._create_webp_metadata/save_animated_webp,tests/compare/test_quality.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for Animated WebP with workflow metadata.,"Zed shall round-trip deterministic Animated WebP with workflow metadata fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for Animated WebP with workflow metadata.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-018,ComfyUI,format/persistence,SVG with workflow metadata,vector file,active,code-inferred,high,Save SVG injects a metadata element containing CDATA JSON of prompt and extra_pnginfo after the opening svg tag.,Save SVG injects a metadata element containing CDATA JSON of prompt and extra_pnginfo after the opening svg tag.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_extras/nodes_images.py:SaveSVGNode,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for SVG with workflow metadata.,"Zed shall round-trip deterministic SVG with workflow metadata fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for SVG with workflow metadata.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-019,ComfyUI,format/persistence,FLAC,audio file,active,code-inferred,high,PyAV FLAC container stores prompt/extra metadata as container key strings and preserves waveform sample rate/layout.,PyAV FLAC container stores prompt/extra metadata as container key strings and preserves waveform sample rate/layout.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_api/latest/_ui.py:AudioSaveHelper.save_audio,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for FLAC.,"Zed shall round-trip deterministic FLAC fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for FLAC.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-020,ComfyUI,format/persistence,MP3,audio file,active,code-inferred,high,PyAV libmp3lame output supports V0/128k/320k and stores prompt/extra metadata in container metadata.,PyAV libmp3lame output supports V0/128k/320k and stores prompt/extra metadata in container metadata.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_api/latest/_ui.py:AudioSaveHelper.save_audio,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for MP3.,"Zed shall round-trip deterministic MP3 fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for MP3.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-021,ComfyUI,format/persistence,Opus,audio file,active,code-inferred,high,"PyAV libopus output supports 64k/96k/128k/192k/320k, resamples to supported rates up to 48kHz, and stores workflow metadata.","PyAV libopus output supports 64k/96k/128k/192k/320k, resamples to supported rates up to 48kHz, and stores workflow metadata.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_api/latest/_ui.py:AudioSaveHelper.save_audio,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for Opus.,"Zed shall round-trip deterministic Opus fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for Opus.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-022,ComfyUI,format/persistence,MP4 H.264/AAC,video file,active,test-backed,high,VideoFromComponents writes MP4/H.264 yuv420p or yuv420p10le with optional AAC audio and JSON container metadata using use_metadata_tags.,VideoFromComponents writes MP4/H.264 yuv420p or yuv420p10le with optional AAC audio and JSON container metadata using use_metadata_tags.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_api/latest/_input_impl/video_types.py:VideoFromComponents.save_to,tests-unit/comfy_api_test/video_types_test.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for MP4 H.264/AAC.,"Zed shall round-trip deterministic MP4 H.264/AAC fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for MP4 H.264/AAC.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-023,ComfyUI,format/persistence,Source container stream copy,video file,active,test-backed,high,"VideoFromFile preserves original streams/container/metadata when format, codec, bit depth, trim constraints permit; otherwise re-encodes through supported components.","VideoFromFile preserves original streams/container/metadata when format, codec, bit depth, trim constraints permit; otherwise re-encodes through supported components.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_api/latest/_input_impl/video_types.py:VideoFromFile.save_to,tests-unit/comfy_api_test/video_types_test.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for Source container stream copy.,"Zed shall round-trip deterministic Source container stream copy fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for Source container stream copy.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-024,ComfyUI,format/persistence,Safetensors/.sft weights,model file,active,test-backed,high,Loads tensors and string metadata through safe_open or read-only mmap; saves model/latent/checkpoint data with safetensors metadata.,Loads tensors and string metadata through safe_open or read-only mmap; saves model/latent/checkpoint data with safetensors metadata.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",folder_paths.py:supported_pt_extensions; comfy/utils.py:load_safetensors/load_torch_file/save_torch_file,tests-unit/assets_test/services/test_bulk_ingest.py | tests-unit/folder_paths_test/filter_by_content_types_test.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for Safetensors/.sft weights.,"Zed shall round-trip deterministic Safetensors/.sft weights fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for Safetensors/.sft weights.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-025,ComfyUI,format/persistence,PyTorch checkpoint weights,model file,active,test-backed,high,".ckpt/.pt/.pt2/.bin/.pth/.pkl load through torch.load(weights_only=True), accepting state_dict wrapper/single-key wrapper/direct mapping.",".ckpt/.pt/.pt2/.bin/.pth/.pkl load through torch.load(weights_only=True), accepting state_dict wrapper/single-key wrapper/direct mapping.",See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",folder_paths.py:supported_pt_extensions; comfy/utils.py:load_torch_file,tests-unit/assets_test/services/test_bulk_ingest.py | tests-unit/folder_paths_test/filter_by_content_types_test.py,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for PyTorch checkpoint weights.,"Zed shall round-trip deterministic PyTorch checkpoint weights fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for PyTorch checkpoint weights.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-026,ComfyUI,format/persistence,.latent safetensors,latent file,active,code-inferred,high,SaveLatent writes latent_tensor plus empty latent_format_version_0 and workflow metadata; LoadLatent reads CPU tensors and applies legacy multiplier rules.,SaveLatent writes latent_tensor plus empty latent_format_version_0 and workflow metadata; LoadLatent reads CPU tensors and applies legacy multiplier rules.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",nodes.py:SaveLatent/LoadLatent,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for .latent safetensors.,"Zed shall round-trip deterministic .latent safetensors fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for .latent safetensors.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-027,ComfyUI,format/persistence,extra_model_paths YAML,configuration file,active,code-inferred,high,Top-level named groups carry optional base_path/is_default and category strings with newline-separated paths.,Top-level named groups carry optional base_path/is_default and category strings with newline-separated paths.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",utils/extra_config.py; extra_model_paths.yaml.example,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for extra_model_paths YAML.,"Zed shall round-trip deterministic extra_model_paths YAML fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for extra_model_paths YAML.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-028,ComfyUI,format/persistence,custom-node pyproject TOML,configuration file,conditional,code-inferred,high,PEP 621 project fields plus tool.comfy manifest; compatibility metadata derives from dependencies and classifiers.,PEP 621 project fields plus tool.comfy manifest; compatibility metadata derives from dependencies and classifiers.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",comfy_config/config_parser.py; comfy_config/types.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for custom-node pyproject TOML.,"Zed shall round-trip deterministic custom-node pyproject TOML fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for custom-node pyproject TOML.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-029,ComfyUI,format/persistence,comfy.settings.json,settings file,active,code-inferred,high,Arbitrary JSON object per server-side user; POST merges top-level keys and per-ID POST replaces one value.,Arbitrary JSON object per server-side user; POST merges top-level keys and per-ID POST replaces one value.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",app/app_settings.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for comfy.settings.json.,"Zed shall round-trip deterministic comfy.settings.json fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for comfy.settings.json.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
COMFY-FORMAT-030,ComfyUI,format/persistence,users.json,users file,conditional,code-inferred,high,JSON object mapping generated user IDs to names when multi-user mode is enabled.,JSON object mapping generated user IDs to names when multi-user mode is enabled.,See named migration/version behavior; media metadata is suppressed by --disable-metadata.,"Malformed/corrupt data is rejected, returns route/node errors, or logs/falls back only where the named source specifies.",app/user_manager.py,,missing,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native lossless adapter for users.json.,"Zed shall round-trip deterministic users.json fixtures with the same observable fields, metadata, errors, and backward-compatible variants.",Golden fixture round-trip and cross-load between ComfyUI and Zed for users.json.,Decide whether compatibility is native Rust or delegated to a managed/external ComfyUI backend.
