schema_name,classification,availability,evidence_level,confidence,fields,required,bases,source_file,source_line,source_symbol,feature_id,test_evidence,used_by,sim_status,parity_gap
GlobalSubgraphData,OpenAPI component schema,uncertain,documented-only,high,data | info | name | source,source | name | info | data,,openapi.yaml,344,components.schemas.GlobalSubgraphData,COMFY-FORMAT-SCHEMA-0015,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema GlobalSubgraphData."
GlobalSubgraphInfo,OpenAPI component schema,uncertain,documented-only,high,data | info | name | source,source | name | info,,openapi.yaml,371,components.schemas.GlobalSubgraphInfo,COMFY-FORMAT-SCHEMA-0016,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema GlobalSubgraphInfo."
HistoryDetailEntry,OpenAPI component schema,uncertain,documented-only,high,meta | outputs | prompt | status,,,openapi.yaml,397,components.schemas.HistoryDetailEntry,COMFY-FORMAT-SCHEMA-0017,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema HistoryDetailEntry."
HistoryDetailResponse,OpenAPI component schema,uncertain,documented-only,high,,,,openapi.yaml,437,components.schemas.HistoryDetailResponse,COMFY-FORMAT-SCHEMA-0018,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema HistoryDetailResponse."
HistoryEntry,OpenAPI component schema,uncertain,documented-only,high,create_time | meta | outputs | prompt | prompt_id | status | workflow_id,prompt_id,,openapi.yaml,444,components.schemas.HistoryEntry,COMFY-FORMAT-SCHEMA-0019,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema HistoryEntry."
HistoryManageRequest,OpenAPI component schema,uncertain,documented-only,high,clear | delete,,,openapi.yaml,487,components.schemas.HistoryManageRequest,COMFY-FORMAT-SCHEMA-0020,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema HistoryManageRequest."
HistoryResponse,OpenAPI component schema,uncertain,documented-only,high,history,history,,openapi.yaml,500,components.schemas.HistoryResponse,COMFY-FORMAT-SCHEMA-0021,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema HistoryResponse."
JobCancelResponse,OpenAPI component schema,uncertain,documented-only,high,cancelled,cancelled,,openapi.yaml,514,components.schemas.JobCancelResponse,COMFY-FORMAT-SCHEMA-0022,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema JobCancelResponse."
JobDetailResponse,OpenAPI component schema,uncertain,documented-only,high,create_time | execution_error | execution_meta | execution_status | id | outputs | outputs_count | preview_output | status | update_time | workflow | workflow_id,id | status | create_time | update_time,,openapi.yaml,526,components.schemas.JobDetailResponse,COMFY-FORMAT-SCHEMA-0023,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema JobDetailResponse."
JobEntry,OpenAPI component schema,uncertain,documented-only,high,create_time | execution_end_time | execution_error | execution_start_time | id | outputs_count | preview_output | status | workflow_id,id | status | create_time,,openapi.yaml,592,components.schemas.JobEntry,COMFY-FORMAT-SCHEMA-0024,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema JobEntry."
JobStatusResponse,OpenAPI component schema,uncertain,documented-only,high,assigned_inference | created_at | error_message | id | last_state_update | status | updated_at,id | status | created_at | updated_at,,openapi.yaml,639,components.schemas.JobStatusResponse,COMFY-FORMAT-SCHEMA-0025,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema JobStatusResponse."
JobsCancelRequest,OpenAPI component schema,uncertain,documented-only,high,job_ids,job_ids,,openapi.yaml,682,components.schemas.JobsCancelRequest,COMFY-FORMAT-SCHEMA-0026,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema JobsCancelRequest."
JobsCancelResponse,OpenAPI component schema,uncertain,documented-only,high,cancelled,cancelled,,openapi.yaml,697,components.schemas.JobsCancelResponse,COMFY-FORMAT-SCHEMA-0027,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema JobsCancelResponse."
JobsListResponse,OpenAPI component schema,uncertain,documented-only,high,jobs | pagination,jobs | pagination,,openapi.yaml,711,components.schemas.JobsListResponse,COMFY-FORMAT-SCHEMA-0028,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema JobsListResponse."
ListAssetsResponse,OpenAPI component schema,uncertain,documented-only,high,assets | has_more | next_cursor | total,assets | total | has_more,,openapi.yaml,725,components.schemas.ListAssetsResponse,COMFY-FORMAT-SCHEMA-0029,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema ListAssetsResponse."
ListTagsResponse,OpenAPI component schema,uncertain,documented-only,high,has_more | tags | total,tags | total | has_more,,openapi.yaml,749,components.schemas.ListTagsResponse,COMFY-FORMAT-SCHEMA-0030,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema ListTagsResponse."
ModelFile,OpenAPI component schema,uncertain,documented-only,high,name | pathIndex,name | pathIndex,,openapi.yaml,768,components.schemas.ModelFile,COMFY-FORMAT-SCHEMA-0031,tests-unit/app_test/model_manager_test.py,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema ModelFile."
ModelFolder,OpenAPI component schema,uncertain,documented-only,high,folders | name,name | folders,,openapi.yaml,783,components.schemas.ModelFolder,COMFY-FORMAT-SCHEMA-0032,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema ModelFolder."
NodeInfo,OpenAPI component schema,uncertain,documented-only,high,api_node | category | deprecated | description | display_name | experimental | input | input_order | name | output | output_is_list | output_name | output_node | output_tooltips | python_module,,,openapi.yaml,801,components.schemas.NodeInfo,COMFY-FORMAT-SCHEMA-0033,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema NodeInfo."
PaginationInfo,OpenAPI component schema,uncertain,documented-only,high,has_more | limit | next_cursor | offset | total,offset | limit | total | has_more,,openapi.yaml,863,components.schemas.PaginationInfo,COMFY-FORMAT-SCHEMA-0034,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema PaginationInfo."
PromptErrorResponse,OpenAPI component schema,uncertain,documented-only,high,,,,openapi.yaml,898,components.schemas.PromptErrorResponse,COMFY-FORMAT-SCHEMA-0035,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema PromptErrorResponse."
PromptInfo,OpenAPI component schema,uncertain,documented-only,high,exec_info,,,openapi.yaml,902,components.schemas.PromptInfo,COMFY-FORMAT-SCHEMA-0036,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema PromptInfo."
PromptRequest,OpenAPI component schema,uncertain,documented-only,high,extra_data | front | number | partial_execution_targets | prompt | workflow_id | workflow_version_id,prompt,,openapi.yaml,912,components.schemas.PromptRequest,COMFY-FORMAT-SCHEMA-0037,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema PromptRequest."
PromptResponse,OpenAPI component schema,uncertain,documented-only,high,node_errors | number | prompt_id,,,openapi.yaml,943,components.schemas.PromptResponse,COMFY-FORMAT-SCHEMA-0038,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema PromptResponse."
PublishWorkflowAssetsRequest,OpenAPI component schema,uncertain,documented-only,high,asset_ids,asset_ids,,openapi.yaml,958,components.schemas.PublishWorkflowAssetsRequest,COMFY-FORMAT-SCHEMA-0039,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema PublishWorkflowAssetsRequest."
PublishedWorkflowDetail,OpenAPI component schema,uncertain,documented-only,high,assets | listed | name | publish_time | share_id | workflow_id | workflow_json,share_id | workflow_id | name | listed | workflow_json | assets,,openapi.yaml,969,components.schemas.PublishedWorkflowDetail,COMFY-FORMAT-SCHEMA-0040,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema PublishedWorkflowDetail."
QueueInfo,OpenAPI component schema,uncertain,documented-only,high,queue_pending | queue_running,,,openapi.yaml,1002,components.schemas.QueueInfo,COMFY-FORMAT-SCHEMA-0041,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema QueueInfo."
QueueManageRequest,OpenAPI component schema,uncertain,documented-only,high,clear | delete,,,openapi.yaml,1036,components.schemas.QueueManageRequest,COMFY-FORMAT-SCHEMA-0042,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema QueueManageRequest."
QueueManageResponse,OpenAPI component schema,uncertain,documented-only,high,cleared | deleted,,,openapi.yaml,1049,components.schemas.QueueManageResponse,COMFY-FORMAT-SCHEMA-0043,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema QueueManageResponse."
SystemStatsResponse,OpenAPI component schema,uncertain,documented-only,high,devices | system,system | devices,,openapi.yaml,1061,components.schemas.SystemStatsResponse,COMFY-FORMAT-SCHEMA-0044,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema SystemStatsResponse."
TagInfo,OpenAPI component schema,uncertain,documented-only,high,count | name,name | count,,openapi.yaml,1138,components.schemas.TagInfo,COMFY-FORMAT-SCHEMA-0045,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema TagInfo."
TagsModificationResponse,OpenAPI component schema,uncertain,documented-only,high,added | already_present | not_present | removed | total_tags,total_tags,,openapi.yaml,1151,components.schemas.TagsModificationResponse,COMFY-FORMAT-SCHEMA-0046,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema TagsModificationResponse."
TaskEntry,OpenAPI component schema,uncertain,documented-only,high,completed_at | create_time | id | started_at | status | task_name,id | task_name | status | create_time,,openapi.yaml,1182,components.schemas.TaskEntry,COMFY-FORMAT-SCHEMA-0047,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema TaskEntry."
TaskResponse,OpenAPI component schema,uncertain,documented-only,high,completed_at | create_time | error_message | id | idempotency_key | payload | result | started_at | status | task_name | update_time,id | idempotency_key | task_name | payload | status | create_time | update_time,,openapi.yaml,1218,components.schemas.TaskResponse,COMFY-FORMAT-SCHEMA-0048,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema TaskResponse."
TasksListResponse,OpenAPI component schema,uncertain,documented-only,high,pagination | tasks,tasks | pagination,,openapi.yaml,1275,components.schemas.TasksListResponse,COMFY-FORMAT-SCHEMA-0049,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema TasksListResponse."
UpdateWorkflowRequest,OpenAPI component schema,uncertain,documented-only,high,default_view | description | name,,,openapi.yaml,1289,components.schemas.UpdateWorkflowRequest,COMFY-FORMAT-SCHEMA-0050,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema UpdateWorkflowRequest."
UserDataResponseFull,OpenAPI component schema,uncertain,documented-only,high,modified | path | size,,,openapi.yaml,1305,components.schemas.UserDataResponseFull,COMFY-FORMAT-SCHEMA-0051,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema UserDataResponseFull."
UserResponse,OpenAPI component schema,uncertain,documented-only,high,id | status,id | status,,openapi.yaml,1317,components.schemas.UserResponse,COMFY-FORMAT-SCHEMA-0052,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema UserResponse."
WorkflowForkedFrom,OpenAPI component schema,uncertain,documented-only,high,workflow_id | workflow_version_id,,,openapi.yaml,1330,components.schemas.WorkflowForkedFrom,COMFY-FORMAT-SCHEMA-0053,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema WorkflowForkedFrom."
WorkflowListResponse,OpenAPI component schema,uncertain,documented-only,high,data | pagination,data | pagination,,openapi.yaml,1338,components.schemas.WorkflowListResponse,COMFY-FORMAT-SCHEMA-0054,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema WorkflowListResponse."
WorkflowPublishInfo,OpenAPI component schema,uncertain,documented-only,high,assets | listed | publish_time | share_id | workflow_id,workflow_id | share_id | listed | assets,,openapi.yaml,1351,components.schemas.WorkflowPublishInfo,COMFY-FORMAT-SCHEMA-0055,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema WorkflowPublishInfo."
WorkflowResponse,OpenAPI component schema,uncertain,documented-only,high,created_at | created_by | default_view | description | forked_from | id | latest_version | name | updated_at,id | latest_version | created_by | created_at | updated_at,,openapi.yaml,1375,components.schemas.WorkflowResponse,COMFY-FORMAT-SCHEMA-0056,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema WorkflowResponse."
WorkflowVersionContentResponse,OpenAPI component schema,uncertain,documented-only,high,created_at | created_by | dependency_asset_ids | id | version | workflow_json,id | version | workflow_json | created_by | created_at,,openapi.yaml,1408,components.schemas.WorkflowVersionContentResponse,COMFY-FORMAT-SCHEMA-0057,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema WorkflowVersionContentResponse."
WorkflowVersionResponse,OpenAPI component schema,uncertain,documented-only,high,created_at | created_by | id | latest_version | version,id | version | latest_version | created_by | created_at,,openapi.yaml,1434,components.schemas.WorkflowVersionResponse,COMFY-FORMAT-SCHEMA-0058,,Search route/node/external-endpoint catalogs and source references by schema name.,uncertain,"No verified Comfy-specific Sim implementation exists, and the source or target behavior remains uncertain.; Uncertainty detail: Sim has no native typed/lossless adapter for schema WorkflowVersionResponse."
DirectoryInfo,executable Python typed schema,active,code-inferred,high,name: str = <required> | path: str = <required> | type: Literal['directory'] = <required>,,TypedDict,api_server/utils/file_operations.py,10,DirectoryInfo,COMFY-FORMAT-SCHEMA-0059,,Search route/node/external-endpoint catalogs and source references by schema name.,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native typed/lossless adapter for schema DirectoryInfo.
FileInfo,executable Python typed schema,active,code-inferred,high,name: str = <required> | path: str = <required> | type: Literal['file'] = <required> | size: int = <required>,,TypedDict,api_server/utils/file_operations.py,4,FileInfo,COMFY-FORMAT-SCHEMA-0060,,Search route/node/external-endpoint catalogs and source references by schema name.,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native typed/lossless adapter for schema FileInfo.
CreateFromHashBody,executable Python typed schema,active,code-inferred,high,"hash: str = <required> | name: str | None = None | tags: list[str] = Field(default_factory=list) | user_metadata: dict[str, Any] = Field(default_factory=dict) | mime_type: str | None = None | preview_id: str | None = None",,BaseModel,app/assets/api/schemas_in.py,122,CreateFromHashBody,COMFY-FORMAT-SCHEMA-0061,,Search route/node/external-endpoint catalogs and source references by schema name.,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native typed/lossless adapter for schema CreateFromHashBody.
ListAssetsQuery,executable Python typed schema,active,code-inferred,high,"include_tags: list[str] = Field(default_factory=list) | exclude_tags: list[str] = Field(default_factory=list) | name_contains: str | None = None | metadata_filter: dict[str, Any] | None = None | limit: conint(ge=1, le=500) = 20 | offset: conint(ge=0) = 0 | after: str | None = None | sort: Literal['name', 'created_at', 'updated_at', 'size', 'last_access_time'] = 'created_at' | order: Literal['asc', 'desc'] = 'desc'",,BaseModel,app/assets/api/schemas_in.py,52,ListAssetsQuery,COMFY-FORMAT-SCHEMA-0062,,Search route/node/external-endpoint catalogs and source references by schema name.,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native typed/lossless adapter for schema ListAssetsQuery.
ParsedUpload,executable Python typed schema,active,code-inferred,high,file_present: bool = <required> | file_written: int = <required> | file_client_name: str | None = <required> | tmp_path: str | None = <required> | tags_raw: list[str] = <required> | provided_name: str | None = <required> | user_metadata_raw: str | None = <required> | provided_hash: str | None = <required> | provided_hash_exists: bool | None = <required> | provided_mime_type: str | None = None | provided_preview_id: str | None = None,,,app/assets/api/schemas_in.py,36,ParsedUpload,COMFY-FORMAT-SCHEMA-0063,,Search route/node/external-endpoint catalogs and source references by schema name.,missing,No Comfy-specific Sim implementation exists for this contract.; Source-specific gap detail: Sim has no native typed/lossless adapter for schema ParsedUpload.
