feature_id,command_id,placement,owner_task_id,disposition,native_action,input_requirement
COMFY-UI-068,Comfy.ContactSupport,HelpCenter,comfy-parity-process-diagnostics,later-owned,,
COMFY-UI-069,Comfy.Dev.ShowModelSelector,NodeLibrary,comfy-parity-assets-editors-viewers,later-owned,,
COMFY-WORKFLOW-076,Comfy.DuplicateWorkflow,WorkspaceShell,comfy-parity-workflow-experience,later-owned,,
COMFY-WORKFLOW-077,Comfy.ExportWorkflow,WorkspaceShell,comfy-parity-workflow-experience,later-owned,,
COMFY-WORKFLOW-078,Comfy.ExportWorkflowAPI,WorkspaceShell,comfy-parity-workflow-experience,later-owned,,
COMFY-GRAPH-111,Comfy.Graph.ConvertToSubgraph,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,requires-input,ConvertToSubgraph,subgraph name
COMFY-GRAPH-112,Comfy.Graph.EditSubgraphWidgets,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,requires-input,,hovered widget and exposure state
COMFY-GRAPH-113,Comfy.Graph.ExitSubgraph,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,ExitSubgraph,
COMFY-GRAPH-114,Comfy.Graph.FitGroupToContents,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,FitGroupToContents,
COMFY-GRAPH-115,Comfy.Graph.GroupSelectedNodes,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,GroupSelectedNodes,
COMFY-GRAPH-116,Comfy.Graph.ToggleWidgetPromotion,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,requires-input,,hovered widget and exposure state
COMFY-GRAPH-117,Comfy.Graph.UnpackSubgraph,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,UnpackSubgraph,
COMFY-UI-070,Comfy.Help.AboutComfyUI,HelpCenter,comfy-parity-settings-localization-ui,later-owned,,
COMFY-UI-071,Comfy.Help.OpenComfyOrgDiscord,HelpCenter,comfy-parity-settings-localization-ui,later-owned,,
COMFY-UI-072,Comfy.Help.OpenComfyUIDocs,HelpCenter,comfy-parity-settings-localization-ui,later-owned,,
COMFY-UI-073,Comfy.Help.OpenComfyUIForum,HelpCenter,comfy-parity-settings-localization-ui,later-owned,,
COMFY-UI-074,Comfy.Help.OpenComfyUIIssues,HelpCenter,comfy-parity-settings-localization-ui,later-owned,,
COMFY-QUEUE-033,Comfy.Interrupt,ExecutionDock,comfy-parity-execution-ui,executable,Interrupt,
COMFY-WORKFLOW-079,Comfy.LoadDefaultWorkflow,WorkspaceShell,comfy-parity-workflow-experience,later-owned,,
COMFY-FRONTEXT-EXT-087,Comfy.Manager.CustomNodesManager.ShowCustomNodesMenu,ExtensionHost,comfy-parity-assets-editors-viewers,later-owned,,
COMFY-FRONTEXT-EXT-088,Comfy.Manager.CustomNodesManager.ShowLegacyCustomNodesMenu,ExtensionHost,comfy-parity-backward-compatibility,legacy,,
COMFY-FRONTEXT-EXT-089,Comfy.Manager.ShowLegacyManagerMenu,ExtensionHost,comfy-parity-backward-compatibility,legacy,,
COMFY-FRONTEXT-EXT-090,Comfy.Manager.ShowMissingPacks,ExtensionHost,comfy-parity-assets-editors-viewers,later-owned,,
COMFY-FRONTEXT-EXT-091,Comfy.Manager.ShowUpdateAvailablePacks,ExtensionHost,comfy-parity-updates-snapshots,later-owned,,
COMFY-ASSET-055,Comfy.MaskEditor.BrushSize.Decrease,MediaEditor,comfy-parity-image-mask-content,later-owned,,
COMFY-ASSET-056,Comfy.MaskEditor.BrushSize.Increase,MediaEditor,comfy-parity-image-mask-content,later-owned,,
COMFY-ASSET-057,Comfy.MaskEditor.ColorPicker,MediaEditor,comfy-parity-image-mask-content,later-owned,,
COMFY-ASSET-058,Comfy.MaskEditor.Mirror.Horizontal,MediaEditor,comfy-parity-image-mask-content,later-owned,,
COMFY-ASSET-059,Comfy.MaskEditor.Mirror.Vertical,MediaEditor,comfy-parity-image-mask-content,later-owned,,
COMFY-ASSET-060,Comfy.MaskEditor.OpenMaskEditor,MediaEditor,comfy-parity-image-mask-content,later-owned,,
COMFY-ASSET-061,Comfy.MaskEditor.Rotate.Left,MediaEditor,comfy-parity-image-mask-content,later-owned,,
COMFY-ASSET-062,Comfy.MaskEditor.Rotate.Right,MediaEditor,comfy-parity-image-mask-content,later-owned,,
COMFY-UI-075,Comfy.Memory.UnloadModels,ExecutionDock,comfy-parity-native-memory-planner,later-owned,,
COMFY-QUEUE-034,Comfy.Memory.UnloadModelsAndExecutionCache,ExecutionDock,comfy-parity-native-memory-planner,later-owned,,
COMFY-WORKFLOW-080,Comfy.NewBlankWorkflow,WorkspaceShell,comfy-parity-workflow-experience,later-owned,,
COMFY-UI-076,Comfy.OpenClipspace,MediaEditor,comfy-parity-image-mask-content,later-owned,,
COMFY-FRONTEXT-EXT-092,Comfy.OpenManagerDialog,ExtensionHost,comfy-parity-assets-editors-viewers,later-owned,,
COMFY-WORKFLOW-081,Comfy.OpenWorkflow,WorkspaceShell,comfy-parity-workflow-experience,later-owned,OpenWorkflow,
COMFY-GRAPH-118,Comfy.PublishSubgraph,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,PublishSubgraph,
COMFY-QUEUE-036,Comfy.QueuePrompt,ExecutionDock,comfy-parity-execution-ui,executable,QueuePrompt,
COMFY-QUEUE-037,Comfy.QueuePromptFront,ExecutionDock,comfy-parity-execution-ui,executable,QueuePromptFront,
COMFY-QUEUE-038,Comfy.QueueSelectedOutputNodes,ExecutionDock,comfy-parity-execution-ui,executable,QueueSelectedOutputNodes,
COMFY-QUEUE-035,Comfy.Queue.ToggleOverlay,ExecutionDock,comfy-parity-execution-ui,executable,ToggleQueueOverlay,
COMFY-UI-077,Comfy.Redo,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,GraphRedo,
COMFY-GRAPH-119,Comfy.RefreshNodeDefinitions,GraphWorkspace,comfy-parity-native-registry-integration,requires-input,RefreshNodeDefinitions,resolved node definition
COMFY-WORKFLOW-082,Comfy.RenameWorkflow,WorkspaceShell,comfy-parity-workflow-experience,later-owned,,
COMFY-WORKFLOW-083,Comfy.SaveWorkflow,WorkspaceShell,comfy-parity-workflow-experience,later-owned,SaveWorkflow,
COMFY-WORKFLOW-084,Comfy.SaveWorkflowAs,WorkspaceShell,comfy-parity-workflow-experience,later-owned,,
COMFY-SETTING-067,Comfy.ShowSettingsDialog,Settings,comfy-parity-settings-localization-ui,later-owned,ShowSettings,
COMFY-GRAPH-120,Comfy.Subgraph.SetDescription,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,requires-input,,subgraph definition and description
COMFY-GRAPH-121,Comfy.Subgraph.SetSearchAliases,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,requires-input,,subgraph definition and search aliases
COMFY-ASSET-063,Comfy.ToggleAssetAPI,AssetBrowser,comfy-parity-assets-editors-viewers,gated,,
COMFY-GRAPH-122,Comfy.ToggleCanvasInfo,GraphWorkspace,comfy-parity-graph-shell-accessibility,gated,,
COMFY-UI-078,Comfy.ToggleHelpCenter,HelpCenter,comfy-parity-settings-localization-ui,later-owned,,
COMFY-WORKFLOW-085,Comfy.ToggleLinear,WorkspaceShell,comfy-parity-workflow-experience,later-owned,ToggleLinear,
COMFY-QUEUE-039,Comfy.ToggleQPOV2,ExecutionDock,comfy-parity-execution-ui,executable,ToggleQpov2,
COMFY-SETTING-068,Comfy.ToggleTheme,Settings,comfy-parity-settings-localization-ui,later-owned,,
COMFY-UI-079,Comfy.Undo,GraphWorkspace,comfy-parity-graph-shell-accessibility,executable,GraphUndo,
COMFY-CLOUD-218,Comfy.User.OpenSignInDialog,Account,comfy-parity-auth-cloud-telemetry,gated,,
COMFY-UI-080,Comfy.User.SignOut,Account,comfy-parity-auth-cloud-telemetry,later-owned,,
COMFY-GRAPH-123,Experimental.ToggleVueNodes,GraphWorkspace,comfy-parity-graph-shell-accessibility,gated,,
COMFY-CLOUD-219,Workspace.CloseWorkflow,WorkspaceShell,comfy-parity-workflow-experience,later-owned,,
COMFY-CLOUD-220,Workspace.NextOpenedWorkflow,WorkspaceShell,comfy-parity-workflow-experience,later-owned,,
COMFY-CLOUD-221,Workspace.PreviousOpenedWorkflow,WorkspaceShell,comfy-parity-workflow-experience,later-owned,,
COMFY-CLOUD-222,Workspace.SearchBox.Toggle,AssetBrowser,comfy-parity-assets-editors-viewers,later-owned,,
COMFY-CLOUD-223,Workspace.ToggleBottomPanel,WorkspaceShell,comfy-parity-process-diagnostics,later-owned,,
COMFY-CLOUD-225,Workspace.ToggleBottomPanelTab.command-terminal,WorkspaceShell,comfy-parity-process-diagnostics,later-owned,,
COMFY-CLOUD-226,Workspace.ToggleBottomPanelTab.logs-terminal,WorkspaceShell,comfy-parity-process-diagnostics,later-owned,ToggleLogsPanel,
COMFY-CLOUD-227,Workspace.ToggleBottomPanelTab.shortcuts-essentials,Settings,comfy-parity-settings-localization-ui,later-owned,,
COMFY-CLOUD-228,Workspace.ToggleBottomPanelTab.shortcuts-view-controls,Settings,comfy-parity-settings-localization-ui,later-owned,,
COMFY-CLOUD-224,Workspace.ToggleBottomPanel.Shortcuts,Settings,comfy-parity-settings-localization-ui,later-owned,ShowKeybindings,
COMFY-CLOUD-229,Workspace.ToggleFocusMode,WorkspaceShell,comfy-parity-workflow-experience,later-owned,,
COMFY-CLOUD-230,Workspace.ToggleSidebarTab.apps,AssetBrowser,comfy-parity-assets-editors-viewers,later-owned,,
COMFY-CLOUD-231,Workspace.ToggleSidebarTab.assets,AssetBrowser,comfy-parity-assets-editors-viewers,later-owned,ToggleAssetsSidebar,
COMFY-CLOUD-232,Workspace.ToggleSidebarTab.model-library,AssetBrowser,comfy-parity-assets-editors-viewers,later-owned,ToggleModelLibrarySidebar,
COMFY-CLOUD-233,Workspace.ToggleSidebarTab.node-library,AssetBrowser,comfy-parity-assets-editors-viewers,later-owned,ToggleNodeLibrarySidebar,
COMFY-CLOUD-234,Workspace.ToggleSidebarTab.workflows,WorkspaceShell,comfy-parity-workflow-experience,later-owned,ToggleWorkflowsSidebar,
