feature_id,row_kind,pack,version,node_identifier,labels,cloud_disabled,source_file,line,evidence_level,target_status,parity_decision
COMFY-CLI-CQL-A7A4975C9BA7,node pack,https://github.com/kijai/ComfyUI-KJNodes@53987d76fbf61830a724628d7681ae5724c98e2b,,,,false,comfy_cli/cql/data/supported_nodes.yaml,50,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-A08692D949D8,node policy,https://github.com/kijai/ComfyUI-KJNodes@53987d76fbf61830a724628d7681ae5724c98e2b,,CameraPoseVisualizer,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,52,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-F7AAE782DA00,node policy,https://github.com/kijai/ComfyUI-KJNodes@53987d76fbf61830a724628d7681ae5724c98e2b,,LoadVideosFromFolder,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,54,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-2A9CA55EAA37,node policy,https://github.com/kijai/ComfyUI-KJNodes@53987d76fbf61830a724628d7681ae5724c98e2b,,LoadImagesFromFolderKJ,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,56,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-1F4F6DCDE91D,node policy,https://github.com/kijai/ComfyUI-KJNodes@53987d76fbf61830a724628d7681ae5724c98e2b,,SaveImageKJ,WritesToDisk,true,comfy_cli/cql/data/supported_nodes.yaml,58,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-186D4EA7C0C6,node policy,https://github.com/kijai/ComfyUI-KJNodes@53987d76fbf61830a724628d7681ae5724c98e2b,,SaveStringKJ,WritesToDisk,true,comfy_cli/cql/data/supported_nodes.yaml,60,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-7CF653361B0A,node policy,https://github.com/kijai/ComfyUI-KJNodes@53987d76fbf61830a724628d7681ae5724c98e2b,,ModelSaveKJ,WritesToDisk,true,comfy_cli/cql/data/supported_nodes.yaml,62,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-B5D49109EEEB,node policy,https://github.com/kijai/ComfyUI-KJNodes@53987d76fbf61830a724628d7681ae5724c98e2b,,StartRecordCUDAMemoryHistory,Stateful,true,comfy_cli/cql/data/supported_nodes.yaml,64,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-31FBE8FD28A3,node policy,https://github.com/kijai/ComfyUI-KJNodes@53987d76fbf61830a724628d7681ae5724c98e2b,,EndRecordCUDAMemoryHistory,Stateful | WritesToDisk,true,comfy_cli/cql/data/supported_nodes.yaml,66,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-DD226AF2F7EA,node policy,https://github.com/kijai/ComfyUI-KJNodes@53987d76fbf61830a724628d7681ae5724c98e2b,,VisualizeCUDAMemoryHistory,WritesToDisk,true,comfy_cli/cql/data/supported_nodes.yaml,69,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-C176991A794C,node policy,https://github.com/kijai/ComfyUI-KJNodes@53987d76fbf61830a724628d7681ae5724c98e2b,,WebcamCaptureCV2,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,71,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-10862C6BC85F,node policy,https://github.com/kijai/ComfyUI-KJNodes@53987d76fbf61830a724628d7681ae5724c98e2b,,ScreencapStream,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,73,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-812194977B1A,node policy,https://github.com/kijai/ComfyUI-KJNodes@53987d76fbf61830a724628d7681ae5724c98e2b,,PlaySoundKJ,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,75,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-1FDDB32C9799,node policy,https://github.com/kijai/ComfyUI-KJNodes@53987d76fbf61830a724628d7681ae5724c98e2b,,GGUFLoaderKJ,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,77,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-33D0E28387A3,node pack,https://github.com/kijai/ComfyUI-KwaiKolorsWrapper@6fc1cd9d20bb7537facf180e5494b486b9710e24,,,,false,comfy_cli/cql/data/supported_nodes.yaml,80,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-4914AA671BE1,node pack,comfyui_controlnet_aux,1.1.5,,,false,comfy_cli/cql/data/supported_nodes.yaml,82,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-E00DB44DD44B,node pack,comfyui-animatediff-evolved,1.5.6,,,false,comfy_cli/cql/data/supported_nodes.yaml,85,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-F31CFBD5EF9E,node policy,comfyui-animatediff-evolved,1.5.6,ADE_LoadCameraPosesFromPath,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,88,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-FABEE1754C26,node pack,comfyui-videohelpersuite,1.7.9,,,false,comfy_cli/cql/data/supported_nodes.yaml,91,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-46BDAD61EDCC,node policy,comfyui-videohelpersuite,1.7.9,VHS_LoadVideoPath,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,94,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-E438CA3516CC,node policy,comfyui-videohelpersuite,1.7.9,VHS_LoadVideoFFmpegPath,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,96,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-882E81CE634A,node policy,comfyui-videohelpersuite,1.7.9,VHS_LoadImagesPath,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,98,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-27D70C1BD140,node policy,comfyui-videohelpersuite,1.7.9,VHS_LoadImagePath,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,100,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-506C94A17870,node policy,comfyui-videohelpersuite,1.7.9,VHS_SelectFilename,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,102,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-C585F125E959,node policy,comfyui-videohelpersuite,1.7.9,VHS_LoadImages,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,104,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-49EC56612CD3,node policy,comfyui-videohelpersuite,1.7.9,VHS_LoadAudio,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,106,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-D706AA6BE4A4,node policy,comfyui-videohelpersuite,1.7.9,VHS_BatchManager,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,108,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-8D14E3FCA95F,node pack,comfyui_ultimatesdupscale,1.6.2,,,false,comfy_cli/cql/data/supported_nodes.yaml,111,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-231323BBA549,node pack,audio-separation-nodes-comfyui,1.5.0,,,false,comfy_cli/cql/data/supported_nodes.yaml,114,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-09B1249EC820,node pack,ComfyUI-WanVideoWrapper,1.4.7,,,false,comfy_cli/cql/data/supported_nodes.yaml,117,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-717F1631D1F5,node policy,ComfyUI-WanVideoWrapper,1.4.7,WanVideoVRAMManagement,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,120,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-9CE6F85CD69A,node policy,ComfyUI-WanVideoWrapper,1.4.7,WanVideoSetBlockSwap,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,122,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-EB8887F2A989,node policy,ComfyUI-WanVideoWrapper,1.4.7,WanVideoBlockSwap,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,124,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-CF11C9D83CAE,node policy,ComfyUI-WanVideoWrapper,1.4.7,WanVideoLoraSelectByName,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,126,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-DB040B002243,node policy,ComfyUI-WanVideoWrapper,1.4.7,DownloadAndLoadNLFModel,NetworkAccess | DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,128,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-8ECEA626D954,node pack,https://github.com/kijai/ComfyUI-DynamiCrafterWrapper@d312c62982f1582b7955444d3a22ac948fb9c603,,,,false,comfy_cli/cql/data/supported_nodes.yaml,132,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-2EA38BAB279A,node policy,https://github.com/kijai/ComfyUI-DynamiCrafterWrapper@d312c62982f1582b7955444d3a22ac948fb9c603,,DownloadAndLoadCLIPModel,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,135,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-C6D88830CFE8,node pack,comfyui-enricos-nodes,3.1.6,,,false,comfy_cli/cql/data/supported_nodes.yaml,138,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-898FCADF9A29,node pack,comfyui-florence2,1.0.7,,,false,comfy_cli/cql/data/supported_nodes.yaml,141,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-879C7D8E4AD9,node policy,comfyui-florence2,1.0.7,Florence2ModelLoader,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,144,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-500E525EA58A,node pack,comfyui-inpaint-cropandstitch,2.1.8,,,false,comfy_cli/cql/data/supported_nodes.yaml,147,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-8113FA61C313,node pack,comfyui-inpaint-nodes,1.4.0,,,false,comfy_cli/cql/data/supported_nodes.yaml,151,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-3B19D3E0A225,node pack,comfyui_essentials,1.1.0,,,false,comfy_cli/cql/data/supported_nodes.yaml,154,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-E37BDDC1AD14,node pack,comfyui-supir,1.0.4,,,false,comfy_cli/cql/data/supported_nodes.yaml,157,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-77F89211608D,node pack,comfyui-segment-anything-2,1.0.2,,,false,comfy_cli/cql/data/supported_nodes.yaml,160,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-0F82258A11F4,node pack,https://github.com/Comfy-Org/CustomNodeComfyMath@c01177221c31b8e5fbc062778fc8254aeb541638,,,,false,comfy_cli/cql/data/supported_nodes.yaml,163,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-9FACC19C197B,node pack,comfyui-impact-pack,8.28.2,,,false,comfy_cli/cql/data/supported_nodes.yaml,166,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-EB0C92B37438,node policy,comfyui-impact-pack,8.28.2,PreviewBridge,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,169,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-4D6DE4CE31D5,node policy,comfyui-impact-pack,8.28.2,PreviewBridgeLatent,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,171,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-4767916E12FD,node policy,comfyui-impact-pack,8.28.2,ImageReceiver,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,173,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-F09778A2701E,node policy,comfyui-impact-pack,8.28.2,ImageSender,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,175,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-60445F17D553,node policy,comfyui-impact-pack,8.28.2,MaskRectAreaAdvanced,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,177,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-B55E46B054F2,node policy,comfyui-impact-pack,8.28.2,MaskRectArea,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,179,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-8403CE60DFB6,node policy,comfyui-impact-pack,8.28.2,ImpactSEGSPicker,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,181,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-9EE239998D24,node policy,comfyui-impact-pack,8.28.2,LatentReceiver,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,183,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-8D30EAF3A92A,node policy,comfyui-impact-pack,8.28.2,ImpactValueReceiver,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,185,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-48DB2FA7B4B4,node policy,comfyui-impact-pack,8.28.2,ImpactQueueTrigger,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,187,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-251D79C29CF2,node policy,comfyui-impact-pack,8.28.2,ImpactQueueTriggerCountdown,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,189,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-357025A9B371,node policy,comfyui-impact-pack,8.28.2,ImpactSetWidgetValue,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,191,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-B4BD2CA68705,node pack,comfyui_ipadapter_plus,2.0.0,,,false,comfy_cli/cql/data/supported_nodes.yaml,194,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-FFE72FD82086,node policy,comfyui_ipadapter_plus,2.0.0,IPAdapterSaveEmbeds,WritesToDisk | DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,197,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-EDD143B04783,node pack,ComfyUI-WanAnimatePreprocess,1.0.1,,,false,comfy_cli/cql/data/supported_nodes.yaml,201,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-C47FEFE446C1,node pack,https://github.com/lum3on/ComfyUI_AudioTools@c816d0a1629c05a0f463ddb77ea96ada69875d32,,,,false,comfy_cli/cql/data/supported_nodes.yaml,204,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-2FC47056E007,node policy,https://github.com/lum3on/ComfyUI_AudioTools@c816d0a1629c05a0f463ddb77ea96ada69875d32,,AudioLoadBatch,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,207,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-2B371E71F292,node policy,https://github.com/lum3on/ComfyUI_AudioTools@c816d0a1629c05a0f463ddb77ea96ada69875d32,,AudioGetFromList,DisabledOnCloud,true,comfy_cli/cql/data/supported_nodes.yaml,209,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
COMFY-CLI-CQL-108249BE2583,node pack,comfyui-fl-path-animator,1.0.6,,,false,comfy_cli/cql/data/supported_nodes.yaml,212,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-06192053CCBD,node pack,https://github.com/kijai/ComfyUI-DepthAnythingV2@d505cbca99803fc63327b8305618a23e59a18b42,,,,false,comfy_cli/cql/data/supported_nodes.yaml,215,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-69499515130F,node pack,https://github.com/kijai/ComfyUI-Lotus@dcd5bea7a418717a6e0c27a5f607058cb9c24a5e,,,,false,comfy_cli/cql/data/supported_nodes.yaml,218,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-45A979333093,node pack,https://github.com/AIWarper/ComfyUI-NormalCrafterWrapper@10408381e60f42775a977966e111f1353d86e970,,,,false,comfy_cli/cql/data/supported_nodes.yaml,221,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-C25602BCEC81,node pack,comfyui-advanced-controlnet,1.5.6,,,false,comfy_cli/cql/data/supported_nodes.yaml,224,code-inferred,conflicting,Treat as a legacy compatibility/migration identity; execute only an approved Rust/WASM plugin mapping.
COMFY-CLI-CQL-DDEB4C655270,node policy,comfyui-advanced-controlnet,1.5.6,LoadImagesFromDirectory,ReadsArbitraryFile,true,comfy_cli/cql/data/supported_nodes.yaml,227,code-inferred,conflicting,Preserve the legacy identifier in a versioned mapping; native plugin permissions are explicit and deny undeclared ports/capabilities.
