key,default_or_fallback,section,availability,feature_id,persistence,behavior,source,tests,evidence_level
hideCloudFromPicker,false,Advanced,conditional,COMFY-DESKTOP-006,settings.json (atomic .tmp/.bak strategy),Suppress cloud entry in picker without deleting it.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
oemManagedModelDirs,[],Internal,conditional,COMFY-DESKTOP-174,settings.json (atomic .tmp/.bak strategy),OEM-controlled model roots.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
oemWorkflowImportVersion,unset,Internal,conditional,COMFY-DESKTOP-054,settings.json (atomic .tmp/.bak strategy),Last imported OEM workflow manifest version.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
lastSaveDialogDir,unset,Internal,active,COMFY-DESKTOP-174,settings.json (atomic .tmp/.bak strategy),Most recent snapshot/export save directory.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
skipTemplatePickerStep,false,Installation,active,COMFY-DESKTOP-174,settings.json (atomic .tmp/.bak strategy),Skip starter-template selection during installation.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
pendingDownloadedUpdateVersion,unset,Internal,platform-specific,COMFY-DESKTOP-136,settings.json (atomic .tmp/.bak strategy),Windows staged update version.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
lastStartupUpdateAttemptVersion,unset,Internal,platform-specific,COMFY-DESKTOP-107,settings.json (atomic .tmp/.bak strategy),Windows startup update loop breaker.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
installUpdatesOnStartup,true on Windows,Updates,platform-specific,COMFY-DESKTOP-022,settings.json (atomic .tmp/.bak strategy),Allow staged startup update.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
showInstallerUI,true on Windows,Updates,platform-specific,COMFY-DESKTOP-022,settings.json (atomic .tmp/.bak strategy),Show installer UI for startup update.,projects/comfy/Comfy-Desktop/src/main/settings.ts,projects/comfy/Comfy-Desktop/src/main/settings.test.ts,test-backed
primaryInstallId,discarded,Legacy migration,deprecated/dead,COMFY-DESKTOP-149,settings.json load-time removal followed by atomic rewrite,The loader removes the key from memory and rewrites settings.json without it; standalone swap-installations scripts still read it as a legacy compatibility input.,projects/comfy/Comfy-Desktop/src/main/settings.ts:285-299,projects/comfy/Comfy-Desktop/src/main/settings.test.ts:115-137,test-backed
pinnedInstallIds,discarded,Legacy migration,deprecated/dead,COMFY-DESKTOP-149,settings.json load-time removal followed by atomic rewrite,The loader removes the obsolete pinned-install inventory from memory and rewrites settings.json without it.,projects/comfy/Comfy-Desktop/src/main/settings.ts:285-299,projects/comfy/Comfy-Desktop/src/main/settings.test.ts:115-137,test-backed
maxCachedFiles,discarded; maxCachedDownloads defaults to 1,Legacy migration,deprecated/dead,COMFY-DESKTOP-149,settings.json load-time removal followed by atomic rewrite,"The loader discards the predecessor value rather than translating it, then rewrites settings.json with the current maxCachedDownloads default.",projects/comfy/Comfy-Desktop/src/main/settings.ts:285-299,projects/comfy/Comfy-Desktop/src/main/settings.test.ts:141-155,test-backed
closeDirectlyOnLastWindow,discarded,Legacy migration,deprecated/dead,COMFY-DESKTOP-149,settings.json load-time removal followed by atomic rewrite,The loader removes the obsolete last-window quit toggle; confirmBeforeClosingWindow is the current independent close guard and remains false by default.,projects/comfy/Comfy-Desktop/src/main/settings.ts:285-299,No focused existing test; executable removal loop at projects/comfy/Comfy-Desktop/src/main/settings.ts:285-299,code-inferred
