feature_id,product,domain,name,classification,availability,evidence_level,confidence,source_file,symbol,test,documentation,runtime_observation,actor,trigger,preconditions,inputs_defaults,permissions_flags,success_behavior,interaction_accessibility,state_concurrency,error_recovery,persistence_serialization,interfaces_side_effects,platform_localization_variants,zed_status,zed_evidence,parity_gap,zed_acceptance,automated_validation,manual_validation,open_questions_assumptions
COMFY-ASSET-037,ComfyUI-Frontend,asset,WebSocket/event message asset_export,WebSocket or frontend event contract,conditional,test-backed,high,src/scripts/api.ts; src/schemas/apiSchema.ts,asset_export,src/stores/executionStore.test.ts; browser_tests/tests/wsReconnectStaleJob.spec.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,ComfyUI server or frontend event producer,Receive or dispatch asset_export.,The applicable distribution and feature gate are enabled and required source data is available.,wire=JSON; schema=AssetExportWsMessage.,No additional permission or feature flag was identified beyond the recorded availability.,"Parse asset_export, update its store/UI consumers, and preserve custom-listener dispatch compatibility.","Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Message handlers are asynchronous EventTarget listeners; listener exceptions and rejected promises are isolated and warned without stopping other listeners.,Malformed and unknown messages are warned; unknown custom types dispatch only when a listener registered; socket close reconnects after 300 ms.,"Not persisted unless the cited source or test records serialization, migration, or restart state.",WebSocket /ws; first outbound message advertises client feature flags; failure before first open falls back to one-second /prompt polling.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `WebSocket/event message asset_export`.,"Zed accepts/emits asset_export with the same wire schema, ordering impact, backward-compatible dispatch, and malformed-message behavior.","Protocol-contract fixture for asset_export, plus reconnect/fallback and listener-failure isolation.","Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-ASSET-038,ComfyUI-Frontend,asset,Setting Comfy.Assets.UseAssetAPI: Comfy.Assets.UseAssetAPI,setting,experimental,test-backed,high,src/platform/settings/constants/coreSettings.ts:1211,Comfy.Assets.UseAssetAPI,src/stores/modelStore.test.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, change, reset, or migrate setting Comfy.Assets.UseAssetAPI.",The applicable distribution and feature gate are enabled and required source data is available.,type=hidden; default=isCloud ? true : false; versionAdded=unspecified.,"Visibility can depend on distribution, experimental/deprecated metadata, server features, and renderer mode.",Comfy.Assets.UseAssetAPI; unset values resolve to the registered or install-version default and changed values apply once.,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Settings load before registration with three retries; duplicate registration is ignored with a warning.,Load errors remain visible in store state; failed persistence rejects; invalid legacy values use migrateDeprecatedValue when defined.,GET/POST /api/settings; single-value POST /api/settings/Comfy.Assets.UseAssetAPI; settingChanged telemetry follows successful local application.,onChange runs after registration and each effective value change; legacy settings change events are also dispatched.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `Setting Comfy.Assets.UseAssetAPI: Comfy.Assets.UseAssetAPI`.,"Zed exposes Comfy.Assets.UseAssetAPI with type hidden, default isCloud ? true : false, the same visibility, migration, side effects, and restart persistence.",Add schema/default/persistence/migration coverage for Comfy.Assets.UseAssetAPI; adapt cited test when present.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-ASSET-039,ComfyUI-Frontend,asset,Setting Comfy.Canvas.BackgroundImage: Canvas background image,setting,active,code-inferred,high,src/platform/settings/constants/coreSettings.ts:1130,Comfy.Canvas.BackgroundImage,No direct automated test was located; validate from the cited executable source.,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, change, reset, or migrate setting Comfy.Canvas.BackgroundImage.",The applicable distribution and feature gate are enabled and required source data is available.,type=backgroundImage; default=''; versionAdded=1.20.4.,"Visibility can depend on distribution, experimental/deprecated metadata, server features, and renderer mode.",Canvas background image; unset values resolve to the registered or install-version default and changed values apply once.,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Settings load before registration with three retries; duplicate registration is ignored with a warning.,Load errors remain visible in store state; failed persistence rejects; invalid legacy values use migrateDeprecatedValue when defined.,GET/POST /api/settings; single-value POST /api/settings/Comfy.Canvas.BackgroundImage; settingChanged telemetry follows successful local application.,onChange runs after registration and each effective value change; legacy settings change events are also dispatched.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `Setting Comfy.Canvas.BackgroundImage: Canvas background image`.,"Zed exposes Comfy.Canvas.BackgroundImage with type backgroundImage, default '', the same visibility, migration, side effects, and restart persistence.",Add schema/default/persistence/migration coverage for Comfy.Canvas.BackgroundImage; adapt cited test when present.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-ASSET-040,ComfyUI-Frontend,asset,Setting Comfy.Load3D.3DViewerEnable: Enable 3D Viewer (Beta),setting,experimental,test-backed,high,src/extensions/core/load3d.ts:229,Comfy.Load3D.3DViewerEnable,src/components/graph/SelectionToolbox.test.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, change, reset, or migrate setting Comfy.Load3D.3DViewerEnable.",The applicable distribution and feature gate are enabled and required source data is available.,type=boolean; default=false; versionAdded=unspecified.,"Visibility can depend on distribution, experimental/deprecated metadata, server features, and renderer mode.",Enable 3D Viewer (Beta); unset values resolve to the registered or install-version default and changed values apply once.,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Settings load before registration with three retries; duplicate registration is ignored with a warning.,Load errors remain visible in store state; failed persistence rejects; invalid legacy values use migrateDeprecatedValue when defined.,GET/POST /api/settings; single-value POST /api/settings/Comfy.Load3D.3DViewerEnable; settingChanged telemetry follows successful local application.,onChange runs after registration and each effective value change; legacy settings change events are also dispatched.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `Setting Comfy.Load3D.3DViewerEnable: Enable 3D Viewer (Beta)`.,"Zed exposes Comfy.Load3D.3DViewerEnable with type boolean, default false, the same visibility, migration, side effects, and restart persistence.",Add schema/default/persistence/migration coverage for Comfy.Load3D.3DViewerEnable; adapt cited test when present.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-ASSET-041,ComfyUI-Frontend,asset,Setting Comfy.Load3D.BackgroundColor: Initial Background Color,setting,experimental,test-backed,high,src/extensions/core/load3d.ts:163,Comfy.Load3D.BackgroundColor,src/composables/useLoad3d.test.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, change, reset, or migrate setting Comfy.Load3D.BackgroundColor.",The applicable distribution and feature gate are enabled and required source data is available.,type=color; default='282828'; versionAdded=unspecified.,"Visibility can depend on distribution, experimental/deprecated metadata, server features, and renderer mode.",Initial Background Color; unset values resolve to the registered or install-version default and changed values apply once.,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Settings load before registration with three retries; duplicate registration is ignored with a warning.,Load errors remain visible in store state; failed persistence rejects; invalid legacy values use migrateDeprecatedValue when defined.,GET/POST /api/settings; single-value POST /api/settings/Comfy.Load3D.BackgroundColor; settingChanged telemetry follows successful local application.,onChange runs after registration and each effective value change; legacy settings change events are also dispatched.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `Setting Comfy.Load3D.BackgroundColor: Initial Background Color`.,"Zed exposes Comfy.Load3D.BackgroundColor with type color, default '282828', the same visibility, migration, side effects, and restart persistence.",Add schema/default/persistence/migration coverage for Comfy.Load3D.BackgroundColor; adapt cited test when present.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-ASSET-042,ComfyUI-Frontend,asset,Setting Comfy.Load3D.CameraType: Initial Camera Type,setting,experimental,test-backed,high,src/extensions/core/load3d.ts:173,Comfy.Load3D.CameraType,src/extensions/core/load3d/Load3DConfiguration.test.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, change, reset, or migrate setting Comfy.Load3D.CameraType.",The applicable distribution and feature gate are enabled and required source data is available.,type=combo; default='perspective'; versionAdded=unspecified.,"Visibility can depend on distribution, experimental/deprecated metadata, server features, and renderer mode.",Initial Camera Type; unset values resolve to the registered or install-version default and changed values apply once.,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Settings load before registration with three retries; duplicate registration is ignored with a warning.,Load errors remain visible in store state; failed persistence rejects; invalid legacy values use migrateDeprecatedValue when defined.,GET/POST /api/settings; single-value POST /api/settings/Comfy.Load3D.CameraType; settingChanged telemetry follows successful local application.,onChange runs after registration and each effective value change; legacy settings change events are also dispatched.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `Setting Comfy.Load3D.CameraType: Initial Camera Type`.,"Zed exposes Comfy.Load3D.CameraType with type combo, default 'perspective', the same visibility, migration, side effects, and restart persistence.",Add schema/default/persistence/migration coverage for Comfy.Load3D.CameraType; adapt cited test when present.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-ASSET-043,ComfyUI-Frontend,asset,Setting Comfy.Load3D.LightAdjustmentIncrement: Light Adjustment Increment,setting,experimental,test-backed,high,src/extensions/core/load3d.ts:214,Comfy.Load3D.LightAdjustmentIncrement,src/components/load3d/controls/LightControls.test.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, change, reset, or migrate setting Comfy.Load3D.LightAdjustmentIncrement.",The applicable distribution and feature gate are enabled and required source data is available.,type=slider; default=0.5; versionAdded=unspecified.,"Visibility can depend on distribution, experimental/deprecated metadata, server features, and renderer mode.",Light Adjustment Increment; unset values resolve to the registered or install-version default and changed values apply once.,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Settings load before registration with three retries; duplicate registration is ignored with a warning.,Load errors remain visible in store state; failed persistence rejects; invalid legacy values use migrateDeprecatedValue when defined.,GET/POST /api/settings; single-value POST /api/settings/Comfy.Load3D.LightAdjustmentIncrement; settingChanged telemetry follows successful local application.,onChange runs after registration and each effective value change; legacy settings change events are also dispatched.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `Setting Comfy.Load3D.LightAdjustmentIncrement: Light Adjustment Increment`.,"Zed exposes Comfy.Load3D.LightAdjustmentIncrement with type slider, default 0.5, the same visibility, migration, side effects, and restart persistence.",Add schema/default/persistence/migration coverage for Comfy.Load3D.LightAdjustmentIncrement; adapt cited test when present.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-ASSET-044,ComfyUI-Frontend,asset,Setting Comfy.Load3D.LightIntensity: Initial Light Intensity,setting,experimental,test-backed,high,src/extensions/core/load3d.ts:184,Comfy.Load3D.LightIntensity,src/components/load3d/controls/LightControls.test.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, change, reset, or migrate setting Comfy.Load3D.LightIntensity.",The applicable distribution and feature gate are enabled and required source data is available.,type=number; default=3; versionAdded=unspecified.,"Visibility can depend on distribution, experimental/deprecated metadata, server features, and renderer mode.",Initial Light Intensity; unset values resolve to the registered or install-version default and changed values apply once.,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Settings load before registration with three retries; duplicate registration is ignored with a warning.,Load errors remain visible in store state; failed persistence rejects; invalid legacy values use migrateDeprecatedValue when defined.,GET/POST /api/settings; single-value POST /api/settings/Comfy.Load3D.LightIntensity; settingChanged telemetry follows successful local application.,onChange runs after registration and each effective value change; legacy settings change events are also dispatched.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `Setting Comfy.Load3D.LightIntensity: Initial Light Intensity`.,"Zed exposes Comfy.Load3D.LightIntensity with type number, default 3, the same visibility, migration, side effects, and restart persistence.",Add schema/default/persistence/migration coverage for Comfy.Load3D.LightIntensity; adapt cited test when present.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-ASSET-045,ComfyUI-Frontend,asset,Setting Comfy.Load3D.LightIntensityMaximum: Light Intensity Maximum,setting,experimental,test-backed,high,src/extensions/core/load3d.ts:194,Comfy.Load3D.LightIntensityMaximum,src/components/load3d/controls/LightControls.test.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, change, reset, or migrate setting Comfy.Load3D.LightIntensityMaximum.",The applicable distribution and feature gate are enabled and required source data is available.,type=number; default=10; versionAdded=unspecified.,"Visibility can depend on distribution, experimental/deprecated metadata, server features, and renderer mode.",Light Intensity Maximum; unset values resolve to the registered or install-version default and changed values apply once.,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Settings load before registration with three retries; duplicate registration is ignored with a warning.,Load errors remain visible in store state; failed persistence rejects; invalid legacy values use migrateDeprecatedValue when defined.,GET/POST /api/settings; single-value POST /api/settings/Comfy.Load3D.LightIntensityMaximum; settingChanged telemetry follows successful local application.,onChange runs after registration and each effective value change; legacy settings change events are also dispatched.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `Setting Comfy.Load3D.LightIntensityMaximum: Light Intensity Maximum`.,"Zed exposes Comfy.Load3D.LightIntensityMaximum with type number, default 10, the same visibility, migration, side effects, and restart persistence.",Add schema/default/persistence/migration coverage for Comfy.Load3D.LightIntensityMaximum; adapt cited test when present.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-ASSET-046,ComfyUI-Frontend,asset,Setting Comfy.Load3D.LightIntensityMinimum: Light Intensity Minimum,setting,experimental,test-backed,high,src/extensions/core/load3d.ts:204,Comfy.Load3D.LightIntensityMinimum,src/components/load3d/controls/LightControls.test.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, change, reset, or migrate setting Comfy.Load3D.LightIntensityMinimum.",The applicable distribution and feature gate are enabled and required source data is available.,type=number; default=1; versionAdded=unspecified.,"Visibility can depend on distribution, experimental/deprecated metadata, server features, and renderer mode.",Light Intensity Minimum; unset values resolve to the registered or install-version default and changed values apply once.,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Settings load before registration with three retries; duplicate registration is ignored with a warning.,Load errors remain visible in store state; failed persistence rejects; invalid legacy values use migrateDeprecatedValue when defined.,GET/POST /api/settings; single-value POST /api/settings/Comfy.Load3D.LightIntensityMinimum; settingChanged telemetry follows successful local application.,onChange runs after registration and each effective value change; legacy settings change events are also dispatched.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `Setting Comfy.Load3D.LightIntensityMinimum: Light Intensity Minimum`.,"Zed exposes Comfy.Load3D.LightIntensityMinimum with type number, default 1, the same visibility, migration, side effects, and restart persistence.",Add schema/default/persistence/migration coverage for Comfy.Load3D.LightIntensityMinimum; adapt cited test when present.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-ASSET-047,ComfyUI-Frontend,asset,Setting Comfy.Load3D.ShowGrid: Initial Grid Visibility,setting,experimental,test-backed,high,src/extensions/core/load3d.ts:153,Comfy.Load3D.ShowGrid,src/extensions/core/load3d/Load3DConfiguration.test.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, change, reset, or migrate setting Comfy.Load3D.ShowGrid.",The applicable distribution and feature gate are enabled and required source data is available.,type=boolean; default=true; versionAdded=unspecified.,"Visibility can depend on distribution, experimental/deprecated metadata, server features, and renderer mode.",Initial Grid Visibility; unset values resolve to the registered or install-version default and changed values apply once.,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Settings load before registration with three retries; duplicate registration is ignored with a warning.,Load errors remain visible in store state; failed persistence rejects; invalid legacy values use migrateDeprecatedValue when defined.,GET/POST /api/settings; single-value POST /api/settings/Comfy.Load3D.ShowGrid; settingChanged telemetry follows successful local application.,onChange runs after registration and each effective value change; legacy settings change events are also dispatched.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `Setting Comfy.Load3D.ShowGrid: Initial Grid Visibility`.,"Zed exposes Comfy.Load3D.ShowGrid with type boolean, default true, the same visibility, migration, side effects, and restart persistence.",Add schema/default/persistence/migration coverage for Comfy.Load3D.ShowGrid; adapt cited test when present.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-ASSET-048,ComfyUI-Frontend,asset,Setting Comfy.MaskEditor.BrushAdjustmentSpeed: Brush adjustment speed multiplier,setting,active,test-backed,high,src/extensions/core/maskeditor.ts:54,Comfy.MaskEditor.BrushAdjustmentSpeed,src/composables/maskeditor/useToolManager.test.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, change, reset, or migrate setting Comfy.MaskEditor.BrushAdjustmentSpeed.",The applicable distribution and feature gate are enabled and required source data is available.,type=slider; default=1.0; versionAdded=1.0.0.,"Visibility can depend on distribution, experimental/deprecated metadata, server features, and renderer mode.",Brush adjustment speed multiplier; unset values resolve to the registered or install-version default and changed values apply once.,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Settings load before registration with three retries; duplicate registration is ignored with a warning.,Load errors remain visible in store state; failed persistence rejects; invalid legacy values use migrateDeprecatedValue when defined.,GET/POST /api/settings; single-value POST /api/settings/Comfy.MaskEditor.BrushAdjustmentSpeed; settingChanged telemetry follows successful local application.,onChange runs after registration and each effective value change; legacy settings change events are also dispatched.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `Setting Comfy.MaskEditor.BrushAdjustmentSpeed: Brush adjustment speed multiplier`.,"Zed exposes Comfy.MaskEditor.BrushAdjustmentSpeed with type slider, default 1.0, the same visibility, migration, side effects, and restart persistence.",Add schema/default/persistence/migration coverage for Comfy.MaskEditor.BrushAdjustmentSpeed; adapt cited test when present.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-ASSET-049,ComfyUI-Frontend,asset,Setting Comfy.MaskEditor.UseDominantAxis: Lock brush adjustment to dominant axis,setting,active,test-backed,high,src/extensions/core/maskeditor.ts:69,Comfy.MaskEditor.UseDominantAxis,src/composables/maskeditor/useToolManager.test.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, change, reset, or migrate setting Comfy.MaskEditor.UseDominantAxis.",The applicable distribution and feature gate are enabled and required source data is available.,type=boolean; default=true; versionAdded=unspecified.,"Visibility can depend on distribution, experimental/deprecated metadata, server features, and renderer mode.",Lock brush adjustment to dominant axis; unset values resolve to the registered or install-version default and changed values apply once.,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Settings load before registration with three retries; duplicate registration is ignored with a warning.,Load errors remain visible in store state; failed persistence rejects; invalid legacy values use migrateDeprecatedValue when defined.,GET/POST /api/settings; single-value POST /api/settings/Comfy.MaskEditor.UseDominantAxis; settingChanged telemetry follows successful local application.,onChange runs after registration and each effective value change; legacy settings change events are also dispatched.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `Setting Comfy.MaskEditor.UseDominantAxis: Lock brush adjustment to dominant axis`.,"Zed exposes Comfy.MaskEditor.UseDominantAxis with type boolean, default true, the same visibility, migration, side effects, and restart persistence.",Add schema/default/persistence/migration coverage for Comfy.MaskEditor.UseDominantAxis; adapt cited test when present.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-ASSET-050,ComfyUI-Frontend,asset,Setting Comfy.ModelLibrary.NameFormat: What name to display in the model library tree view,setting,active,test-backed,high,src/platform/settings/constants/coreSettings.ts:434,Comfy.ModelLibrary.NameFormat,src/components/sidebar/tabs/ModelLibrarySidebarTab.test.ts,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, change, reset, or migrate setting Comfy.ModelLibrary.NameFormat.",The applicable distribution and feature gate are enabled and required source data is available.,type=combo; default='title'; versionAdded=unspecified.,"Visibility can depend on distribution, experimental/deprecated metadata, server features, and renderer mode.",What name to display in the model library tree view; unset values resolve to the registered or install-version default and changed values apply once.,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Settings load before registration with three retries; duplicate registration is ignored with a warning.,Load errors remain visible in store state; failed persistence rejects; invalid legacy values use migrateDeprecatedValue when defined.,GET/POST /api/settings; single-value POST /api/settings/Comfy.ModelLibrary.NameFormat; settingChanged telemetry follows successful local application.,onChange runs after registration and each effective value change; legacy settings change events are also dispatched.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `Setting Comfy.ModelLibrary.NameFormat: What name to display in the model library tree view`.,"Zed exposes Comfy.ModelLibrary.NameFormat with type combo, default 'title', the same visibility, migration, side effects, and restart persistence.",Add schema/default/persistence/migration coverage for Comfy.ModelLibrary.NameFormat; adapt cited test when present.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
COMFY-ASSET-051,ComfyUI-Frontend,asset,Setting Comfy.Node.AllowImageSizeDraw: Show width × height below the image preview,setting,active,code-inferred,high,src/platform/settings/constants/coreSettings.ts:393,Comfy.Node.AllowImageSizeDraw,No direct automated test was located; validate from the cited executable source.,No dedicated documentation claim is required; executable source and tests are authoritative.,Not dynamically rerun in this inventory; dependencies are absent.,user,"Load, display, change, reset, or migrate setting Comfy.Node.AllowImageSizeDraw.",The applicable distribution and feature gate are enabled and required source data is available.,type=boolean; default=true; versionAdded=unspecified.,"Visibility can depend on distribution, experimental/deprecated metadata, server features, and renderer mode.",Show width × height below the image preview; unset values resolve to the registered or install-version default and changed values apply once.,"Preserve keyboard, pointer, focus, labeling, and disabled-state behavior where exposed.",Settings load before registration with three retries; duplicate registration is ignored with a warning.,Load errors remain visible in store state; failed persistence rejects; invalid legacy values use migrateDeprecatedValue when defined.,GET/POST /api/settings; single-value POST /api/settings/Comfy.Node.AllowImageSizeDraw; settingChanged telemetry follows successful local application.,onChange runs after registration and each effective value change; legacy settings change events are also dispatched.,Localized through vue-i18n where user-facing; distribution gates apply.,missing,Repository-wide search and the target architecture audit found no Comfy-specific implementation outside projects/comfy/** and this specification; generic Zed primitives are reusable infrastructure only.,No Comfy-specific Zed implementation exists for this contract.; Source-specific gap detail: Zed has no native Rust/GPUI implementation of frontend contract `Setting Comfy.Node.AllowImageSizeDraw: Show width × height below the image preview`.,"Zed exposes Comfy.Node.AllowImageSizeDraw with type boolean, default true, the same visibility, migration, side effects, and restart persistence.",Add schema/default/persistence/migration coverage for Comfy.Node.AllowImageSizeDraw; adapt cited test when present.,"Exercise the success, empty, loading, error, cancellation, and restart variants that apply.",Runtime behavior remains to be observed against this source baseline.
