surface,member,interface,consumer,feature_id,source,contract,trust_boundary,evidence_level,source_signature,signature_confidence,unresolved_schema
window.api,openExternal,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-187,projects/comfy/Comfy-Desktop/src/types/ipc.ts:968,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:968 (source) => L968: openExternal(url: string): Promise<void>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.openExternal does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:968 (source) => L968: openExternal(url: string): Promise<void>,typed-static-signature,"The static declaration for window.api.openExternal does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,getDiskSpace,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-174,projects/comfy/Comfy-Desktop/src/types/ipc.ts:969,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:969 (source) => L969: getDiskSpace(targetPath: string): Promise<DiskSpaceInfo>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.getDiskSpace does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:969 (source) => L969: getDiskSpace(targetPath: string): Promise<DiskSpaceInfo>,typed-static-signature,"The static declaration for window.api.getDiskSpace does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,logsSnapshot,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-121,projects/comfy/Comfy-Desktop/src/types/ipc.ts:971,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:971 (source) => L971: logsSnapshot(installationId: string): Promise<string>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.logsSnapshot does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:971 (source) => L971: logsSnapshot(installationId: string): Promise<string>,typed-static-signature,"The static declaration for window.api.logsSnapshot does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,validateInstallPath,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-022,projects/comfy/Comfy-Desktop/src/types/ipc.ts:972,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:972 (source) => L972: validateInstallPath(targetPath: string): Promise<PathIssue[]>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.validateInstallPath does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:972 (source) => L972: validateInstallPath(targetPath: string): Promise<PathIssue[]>,typed-static-signature,"The static declaration for window.api.validateInstallPath does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,getInstallationSize,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-022,projects/comfy/Comfy-Desktop/src/types/ipc.ts:973,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:973 (source) => L973: getInstallationSize(installationId: string): Promise<{ sizeBytes: number }>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.getInstallationSize does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:973 (source) => L973: getInstallationSize(installationId: string): Promise<{ sizeBytes: number }>,typed-static-signature,"The static declaration for window.api.getInstallationSize does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,cancelInstallationSize,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-022,projects/comfy/Comfy-Desktop/src/types/ipc.ts:974,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:974 (source) => L974: cancelInstallationSize(): Promise<void>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.cancelInstallationSize does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:974 (source) => L974: cancelInstallationSize(): Promise<void>,typed-static-signature,"The static declaration for window.api.cancelInstallationSize does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,getLocaleMessages,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/src/types/ipc.ts:977,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:977 (source) => L977: getLocaleMessages(): Promise<Record<string, unknown>>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.getLocaleMessages does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,"projects/comfy/Comfy-Desktop/src/types/ipc.ts:977 (source) => L977: getLocaleMessages(): Promise<Record<string, unknown>>",typed-static-signature,"The static declaration for window.api.getLocaleMessages does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,getAvailableLocales,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/src/types/ipc.ts:978,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:978 (source) => L978: getAvailableLocales(): Promise<{ value: string; label: string }[]>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.getAvailableLocales does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:978 (source) => L978: getAvailableLocales(): Promise<{ value: string; label: string }[]>,typed-static-signature,"The static declaration for window.api.getAvailableLocales does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,getLocale,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/src/types/ipc.ts:982,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:982 (source) => L982: getLocale(): Promise<string>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.getLocale does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:982 (source) => L982: getLocale(): Promise<string>,typed-static-signature,"The static declaration for window.api.getLocale does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,getFirstUseState,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-036,projects/comfy/Comfy-Desktop/src/types/ipc.ts:990,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:990 (source) => L990: getFirstUseState(): Promise<{ skipPick: boolean; hasLegacyDesktop: boolean }>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.getFirstUseState does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:990 (source) => L990: getFirstUseState(): Promise<{ skipPick: boolean; hasLegacyDesktop: boolean }>,typed-static-signature,"The static declaration for window.api.getFirstUseState does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,getInstallations,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-022,projects/comfy/Comfy-Desktop/src/types/ipc.ts:993,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:993 (source) => L993: getInstallations(): Promise<Installation[]>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.getInstallations does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:993 (source) => L993: getInstallations(): Promise<Installation[]>,typed-static-signature,"The static declaration for window.api.getInstallations does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,getInstallationsSummary,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-022,projects/comfy/Comfy-Desktop/src/types/ipc.ts:1004,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:1004 (source) => L1004: getInstallationsSummary(): Promise<{ | L1005: localCount: number | L1006: hasLaunchedCloud: boolean | L1007: hasLegacyDesktop: boolean | L1008: }> | L1009: addInstallation(data: Record<string, unknown>): Promise<AddResult>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.getInstallationsSummary does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,"projects/comfy/Comfy-Desktop/src/types/ipc.ts:1004 (source) => L1004: getInstallationsSummary(): Promise<{ | L1005: localCount: number | L1006: hasLaunchedCloud: boolean | L1007: hasLegacyDesktop: boolean | L1008: }> | L1009: addInstallation(data: Record<string, unknown>): Promise<AddResult>",typed-static-signature,"The static declaration for window.api.getInstallationsSummary does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,addInstallation,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-022,projects/comfy/Comfy-Desktop/src/types/ipc.ts:1009,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:1009 (source) => L1009: addInstallation(data: Record<string, unknown>): Promise<AddResult>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.addInstallation does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,"projects/comfy/Comfy-Desktop/src/types/ipc.ts:1009 (source) => L1009: addInstallation(data: Record<string, unknown>): Promise<AddResult>",typed-static-signature,"The static declaration for window.api.addInstallation does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,reorderInstallations,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-022,projects/comfy/Comfy-Desktop/src/types/ipc.ts:1010,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:1010 (source) => L1010: reorderInstallations(orderedIds: string[]): Promise<void>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.reorderInstallations does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:1010 (source) => L1010: reorderInstallations(orderedIds: string[]): Promise<void>,typed-static-signature,"The static declaration for window.api.reorderInstallations does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,probeInstallation,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-022,projects/comfy/Comfy-Desktop/src/types/ipc.ts:1011,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:1011 (source) => L1011: probeInstallation(dirPath: string): Promise<ProbeResult[]>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.probeInstallation does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:1011 (source) => L1011: probeInstallation(dirPath: string): Promise<ProbeResult[]>,typed-static-signature,"The static declaration for window.api.probeInstallation does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,trackInstallation,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-022,projects/comfy/Comfy-Desktop/src/types/ipc.ts:1012,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:1012 (source) => L1012: trackInstallation(data: Record<string, unknown>): Promise<TrackResult>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.trackInstallation does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,"projects/comfy/Comfy-Desktop/src/types/ipc.ts:1012 (source) => L1012: trackInstallation(data: Record<string, unknown>): Promise<TrackResult>",typed-static-signature,"The static declaration for window.api.trackInstallation does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,installInstance,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-022,projects/comfy/Comfy-Desktop/src/types/ipc.ts:1016,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:1016 (source) => L1016: installInstance(installationId: string, express?: boolean): Promise<void>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.installInstance does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,"projects/comfy/Comfy-Desktop/src/types/ipc.ts:1016 (source) => L1016: installInstance(installationId: string, express?: boolean): Promise<void>",typed-static-signature,"The static declaration for window.api.installInstance does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,skipTemplateDownload,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-136,projects/comfy/Comfy-Desktop/src/types/ipc.ts:1019,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:1019 (source) => L1019: skipTemplateDownload(installationId: string): Promise<void>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.skipTemplateDownload does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,projects/comfy/Comfy-Desktop/src/types/ipc.ts:1019 (source) => L1019: skipTemplateDownload(installationId: string): Promise<void>,typed-static-signature,"The static declaration for window.api.skipTemplateDownload does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
window.api,updateInstallation,ElectronApi,panel/chooser renderer,COMFY-DESKTOP-022,projects/comfy/Comfy-Desktop/src/types/ipc.ts:1020,"Exact source signature: projects/comfy/Comfy-Desktop/src/types/ipc.ts:1020 (source) => L1020: updateInstallation( | L1021: installationId: string, | L1022: data: Record<string, unknown> | L1023: ): Promise<ActionResult | void>; Callback members return the source-declared unsubscribe/result type; properties and calls preserve the declared argument and return types.; The static declaration for window.api.updateInstallation does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001.",contextBridge exposure; no direct ipcRenderer or Node primitive is exposed.,code-inferred,"projects/comfy/Comfy-Desktop/src/types/ipc.ts:1020 (source) => L1020: updateInstallation( | L1021: installationId: string, | L1022: data: Record<string, unknown> | L1023: ): Promise<ActionResult | void>",typed-static-signature,"The static declaration for window.api.updateInstallation does not prove runtime structured-clone values, rejected-error serialization, callback timing/unsubscribe cleanup, or version skew; validate those through the mapped IPC channel and VAL-DESKTOP-001."
