path,classification,feature_ids,coverage_disposition,reason
projects/comfy/Comfy-Desktop/e2e/lifecycle-copy.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/lifecycle-deep-links.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/lifecycle-delete-untrack.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/lifecycle-dismiss-error.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/lifecycle-first-use-migrate.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/lifecycle-first-use-skip.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/lifecycle-migrate.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/lifecycle-periodic-update-check.test.ts,test-only,COMFY-DESKTOP-107,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/lifecycle-picker-cluster.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/lifecycle-port-conflict.test.ts,test-only,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/lifecycle-progress-reboot.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/lifecycle-snapshot-export.test.ts,test-only,COMFY-DESKTOP-121;COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/lifecycle-snapshot-import.test.ts,test-only,COMFY-DESKTOP-121;COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/lifecycle-snapshot-restore.test.ts,test-only,COMFY-DESKTOP-121,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/lifecycle-snapshot-roundtrip.test.ts,test-only,COMFY-DESKTOP-121,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/lifecycle-snapshot-share.test.ts,test-only,COMFY-DESKTOP-121,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/lifecycle-snapshot.test.ts,test-only,COMFY-DESKTOP-121,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/lifecycle-startup-update-check.test.ts,test-only,COMFY-DESKTOP-107,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/lifecycle-update-check.test.ts,test-only,COMFY-DESKTOP-107,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/lifecycle.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/nav-matrix-cloud.test.ts,test-only,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/nav-matrix-dashboard.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/nav-matrix-instance.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/picker-settings-staleness.test.ts,test-only,COMFY-DESKTOP-149,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/picker-stop-confirm.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/progress-error-overflow.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/quit-flow.spec.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/support/cdpPages.ts,test-only,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/support/chooserHelpers.ts,test-only,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/support/devHooks.ts,test-only,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/support/electronHarness.ts,test-only,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/support/evalRetry.ts,test-only,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/support/hoverGate.ts,test-only,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/support/navMatrixHelpers.ts,test-only,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/support/testIds.ts,test-only,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/title-bar-hover-gate-comfy-window.test.ts,test-only,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/title-bar-hover-gate.test.ts,test-only,COMFY-DESKTOP-189,mapped,Mapped to the deterministic E2E shell-control capability; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/e2e/update-pills.test.ts,test-only,COMFY-DESKTOP-107,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/e2e/window-visible.spec.ts,test-only,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/electron-builder.yml,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/electron.vite.config.ts,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/eslint.config.ts,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/lib/git_operations.py,production,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/lib/pygit2_compat.py,production,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/lib/update_comfyui.py,production,COMFY-DESKTOP-107,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/linux-dev.sh,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/locales/drafts/README.md,production,COMFY-DESKTOP-149,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/locales/en.json,production,COMFY-DESKTOP-149,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/locales/zh.json,production,COMFY-DESKTOP-149,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/package.json,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/packages/comfyui-desktop-bridge-types/comfyDesktopBridge.d.ts,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/packages/comfyui-desktop-bridge-types/index.d.ts,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/packages/comfyui-desktop-bridge-types/index.js,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/packages/comfyui-desktop-bridge-types/package.json,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/playwright.config.ts,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/pnpm-lock.yaml,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/resources/apparmor-profile,production,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/resources/dmg/background.png,asset,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/resources/dmg/background.tiff,production,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/resources/dmg/background@2x.png,asset,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/resources/icon.png,asset,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/resources/installerHeader.bmp,production,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/resources/installerHeaderIcon.ico,asset,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/resources/installerIcon.ico,asset,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/resources/installerSidebar.bmp,production,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/resources/uninstallerIcon.ico,asset,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/resources/uninstallerSidebar.bmp,production,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/scripts/after-install.sh,production,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/scripts/after-remove.sh,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/scripts/afterPack.mjs,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/scripts/build-bootstrap-python.mjs,production,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/scripts/build-dmg-background.swift,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/scripts/datadog-release-version.cjs,production,COMFY-DESKTOP-167;COMFY-DESKTOP-107,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/scripts/fetch-bootstrap-python.mjs,production,COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/scripts/fetch-font.mjs,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/scripts/generate-sandbox.mjs,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/scripts/installer.nsh,production,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/scripts/postinstall.mjs,production,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/scripts/prepare.mjs,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/scripts/reset-linux.sh,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/scripts/reset-mac.sh,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/scripts/reset-windows.ps1,production,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/scripts/swap-installations.ps1,production,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/scripts/swap-installations.sh,production,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/scripts/todesktop-afterPack.cjs,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/scripts/todesktop-beforeBuild.cjs,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/scripts/todesktop-beforeInstall.cjs,production,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/scripts/upload-datadog-sourcemaps.mjs,production,COMFY-DESKTOP-167;COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/bridgeHtml.ts,production,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/config.test.ts,test-only,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/config.ts,production,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/copyLinkBanner.test.ts,test-only,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/copyLinkBanner.ts,production,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/index.ts,production,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/inject.test.ts,test-only,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/inject.ts,production,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/intercept.test.ts,test-only,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/intercept.ts,production,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/oauth.ts,production,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/server.test.ts,test-only,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/auth/firebaseBridge/server.ts,production,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/host/attach.ts,production,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/host/attachHostPreview.ts,production,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.test.ts,test-only,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/host/createHostWindow.ts,production,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/host/detach.test.ts,test-only,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/host/detach.ts,production,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/host/panelView.test.ts,test-only,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/host/panelView.ts,production,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/host/registry.test.ts,test-only,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/host/registry.ts,production,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/index.ts,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/src/main/installations.test.ts,test-only,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/installations.ts,production,COMFY-DESKTOP-001,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/lib/__fixtures__/launch/first-run.log,production,COMFY-DESKTOP-095;COMFY-DESKTOP-051,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/lib/actions.ts,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/src/main/lib/allowedPopups.test.ts,test-only,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/lib/allowedPopups.ts,production,COMFY-DESKTOP-076,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/lib/appLog.test.ts,test-only,COMFY-DESKTOP-095,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/lib/appLog.ts,production,COMFY-DESKTOP-095,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/lib/bootPhaseBuffer.test.ts,test-only,COMFY-DESKTOP-174,mapped,Mapped to the shared desktop service/bridge contract; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/src/main/lib/bootPhaseBuffer.ts,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/src/main/lib/bundledScript.test.ts,test-only,COMFY-DESKTOP-174,mapped,Mapped to the shared desktop service/bridge contract; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/src/main/lib/bundledScript.ts,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/src/main/lib/cache.ts,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/src/main/lib/canvasEntry.test.ts,test-only,COMFY-DESKTOP-174,mapped,Mapped to the shared desktop service/bridge contract; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/src/main/lib/canvasEntry.ts,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/src/main/lib/channel-cards.test.ts,test-only,COMFY-DESKTOP-174,mapped,Mapped to the shared desktop service/bridge contract; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/src/main/lib/channel-cards.ts,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/src/main/lib/cloudCapacity.ts,production,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/lib/cloudEntry.ts,production,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/lib/cloudUrl.test.ts,test-only,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/lib/cloudUrl.ts,production,COMFY-DESKTOP-162,mapped,Mapped by source subsystem to the named desktop capability cluster.
projects/comfy/Comfy-Desktop/src/main/lib/cnr.test.ts,test-only,COMFY-DESKTOP-174,mapped,Mapped to the shared desktop service/bridge contract; case titles retain the more specific exercised behavior.
projects/comfy/Comfy-Desktop/src/main/lib/cnr.ts,infrastructure-only,,explicitly-classified,Classified as shared UI/build/type infrastructure; retained explicitly rather than silently excluded.
projects/comfy/Comfy-Desktop/src/main/lib/comfy-args.test.ts,test-only,COMFY-DESKTOP-174,mapped,Mapped to the shared desktop service/bridge contract; case titles retain the more specific exercised behavior.
