record_id,family,name,legacy_behavior,source_evidence,corroborated_feature_ids,evidence_level,availability,native_rust_wasm_port,production_legacy_execution
COMFY-DOC-EXT-D91CCEC8B971,Python V3 legacy,define_schema,Return typed node schema,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,declarative node descriptor port,prohibited
COMFY-DOC-EXT-F5807C3BA7AC,Python V3 legacy,execute,Class-method node execution,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,typed native/WASM execution port,prohibited
COMFY-DOC-EXT-085D1BE2B72C,Python V3 legacy,ComfyExtension,Extension lifecycle object,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,versioned plugin descriptor and lifecycle trait,prohibited
COMFY-DOC-EXT-B42EE6D617CC,Python V3 legacy,comfy_entrypoint,Return extension object,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,signed plugin entry export,prohibited
COMFY-DOC-EXT-1647DFA61BB6,Python V3 legacy,get_node_list,Return registered node classes,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,node descriptor enumeration port,prohibited
COMFY-DOC-EXT-C3868356B47B,Python V3 legacy,on_load,Register extension resources and replacements,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,bounded initialization port,prohibited
COMFY-DOC-EXT-6FCA63641263,Python V3 legacy,validate_inputs,Validate node inputs,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,pure validation port,prohibited
COMFY-DOC-EXT-C5847E413D37,Python V3 legacy,check_lazy_status,Request lazy inputs,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,lazy dependency-selection port,prohibited
COMFY-DOC-EXT-01EED2B2C3A4,Python V3 legacy,fingerprint_inputs,Return change-detection key,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,deterministic cache-key port,prohibited
COMFY-DOC-EXT-593A66CEF0CC,Python V3 legacy,NodeReplace,Declare legacy node replacement,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,versioned legacy identifier mapping,prohibited
COMFY-DOC-EXT-D1F2FB3C6646,Python V3 legacy,old_widget_ids,Bind positional legacy widgets,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,legacy widget-index mapping,prohibited
COMFY-DOC-EXT-C6FFD894E9EC,Python V3 legacy,input_mapping,Map or default replacement inputs,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,typed input migration descriptor,prohibited
COMFY-DOC-EXT-B547F5849999,Python V3 legacy,output_mapping,Map replacement output slots,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,typed output migration descriptor,prohibited
COMFY-DOC-EXT-6218DAE91255,Python V3 legacy,GET /api/node_replacements,Expose replacement registry,custom-nodes/v3_migration.mdx; custom-nodes/backend/node-replacement.mdx,COMFY-EXT-007; COMFY-EXT-015; COMFY-EXT-016; COMFY-EXT-022,documented-only,active source compatibility,native read-only replacement registry service,prohibited
COMFY-DOC-EXT-8D1762EDA975,JavaScript frontend legacy,name,Unique extension name; duplicate or empty registration throws,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-037,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-B1D5D571711D,JavaScript frontend legacy,commands,Register extension commands with source attribution,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-038,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-0E48680E7BE4,JavaScript frontend legacy,keybindings,Register extension default keybindings,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-039,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-DBBCD77AA043,JavaScript frontend legacy,menuCommands,Add command groups to menu paths,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-040,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-726F963C6C0B,JavaScript frontend legacy,settings,Register extension settings after server values load,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-041,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-88494AF944C2,JavaScript frontend legacy,bottomPanelTabs,Register extension bottom panel tabs and commands,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-042,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-5E05B65BC11A,JavaScript frontend legacy,aboutPageBadges,Contribute About page badges,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-043,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-1973E871F1E3,JavaScript frontend legacy,topbarBadges,Contribute topbar badges,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-044,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-83C083F54478,JavaScript frontend legacy,actionBarButtons,Contribute actionbar buttons,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-045,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-08B44E1A4AA1,JavaScript frontend legacy,init,Initialize after canvas creation and before node registration,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-046,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-721CC2A0D0F7,JavaScript frontend legacy,setup,Run after standard nodes and drop handlers are installed,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-047,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-D55508B8EC71,JavaScript frontend legacy,addCustomNodeDefs,Mutate/add backend node definitions before registration,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-048,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-31B215D1AC0F,JavaScript frontend legacy,getCustomWidgets,Provide sync or async custom widget constructors,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-049,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-06BF7EBB0A98,JavaScript frontend legacy,getSelectionToolboxCommands,Contribute selection toolbox commands,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-050,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-8C31E8F8C1DE,JavaScript frontend legacy,getCanvasMenuItems,Contribute canvas context menu items and separators,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-051,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-1C2D09F4E47F,JavaScript frontend legacy,getNodeMenuItems,Contribute node context menu items and separators,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-052,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-79F245668D05,JavaScript frontend legacy,beforeRegisterNodeDef,Modify generated node class before LiteGraph registration,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-053,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-F3AA29FF1A2A,JavaScript frontend legacy,beforeRegisterVueAppNodeDefs,Mutate node definitions before Vue store indexing,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-054,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-A7589728E522,JavaScript frontend legacy,registerCustomNodes,Register frontend-only LiteGraph nodes after backend nodes,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-055,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-DCD83500B316,JavaScript frontend legacy,loadedGraphNode,Patch each node after workflow configuration,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-056,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-39F4DEB34012,JavaScript frontend legacy,nodeCreated,Run after a node instance is created,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-057,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-EB7A80017186,JavaScript frontend legacy,beforeConfigureGraph,Mutate workflow JSON and append missing-node data before configure,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-058,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-4413795F3793,JavaScript frontend legacy,afterConfigureGraph,Run after graph configure with missing-node data,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-059,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-00E872444B84,JavaScript frontend legacy,onAuthUserResolved,Receive latest anonymized auth user and future changes,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-060,documented-only,experimental,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-BB54C50FEB80,JavaScript frontend legacy,onAuthTokenRefreshed,Receive auth token refresh notification,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-061,documented-only,experimental,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-D8A0058BF6F6,JavaScript frontend legacy,onAuthUserLogout,Receive logout notification,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-062,documented-only,experimental,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-A2417BF8D805,JavaScript frontend legacy,onNodeOutputsUpdated,Receive node output map replacement,custom-nodes/js; src/types/comfy.ts; src/services/extensionService.ts,COMFY-FRONTEXT-EXT-063,documented-only,active,"Explicit capability-scoped host port or declarative contribution; DOM, prototype, global-object, and arbitrary JavaScript execution are not supported.",prohibited
COMFY-DOC-EXT-9BF8692BF3B4,embedded node documentation,NodeName.md fallback,Default node documentation fallback,custom-nodes/help_page.mdx; projects/comfy/ComfyUI/app/frontend_management.py:321; server.py:1239,COMFY-API-0090; COMFY-EXT-009,documented-only,active,native documentation lookup port,prohibited
COMFY-DOC-EXT-A911876C7954,embedded node documentation,NodeName/<locale>.md,Localized node documentation,custom-nodes/help_page.mdx; projects/comfy/ComfyUI/app/frontend_management.py:321; server.py:1239,COMFY-API-0090; COMFY-EXT-009,documented-only,active,locale-aware native documentation lookup port,prohibited
COMFY-DOC-EXT-ED6BAE8C2409,embedded node documentation,locale fallback,Select user locale then fallback document,custom-nodes/help_page.mdx; projects/comfy/ComfyUI/app/frontend_management.py:321; server.py:1239,COMFY-API-0090; COMFY-EXT-009,documented-only,active,deterministic locale fallback port,prohibited
COMFY-DOC-EXT-9F2F8569A0A2,embedded node documentation,Markdown/media allowlist,Markdown plus constrained video/source attributes,custom-nodes/help_page.mdx; projects/comfy/ComfyUI/app/frontend_management.py:321; server.py:1239,COMFY-API-0090; COMFY-EXT-009,documented-only,active,sanitized native Markdown/media renderer,prohibited
COMFY-DOC-EXT-4BB0CEE44AF1,embedded node documentation,/docs static route,Conditionally serve installed package documentation,custom-nodes/help_page.mdx; projects/comfy/ComfyUI/app/frontend_management.py:321; server.py:1239,COMFY-API-0090; COMFY-EXT-009,documented-only,active,native embedded resource registry; no Python package import,prohibited
