feature_id,key,behavior,classification,source_file,line,evidence_level,tests,target_status,parity_decision
COMFY-CLI-ENV-C9A89ECC2CF2,COMFY_CLOUD_BASE_URL,Cloud frontend/API origin override.,input,comfy_cli/cloud/__init__.py,4,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-0AA68F521319,COMFY_CLOUD_RESOURCE_URL,OAuth protected-resource override.,input,comfy_cli/cloud/__init__.py,81,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-8BA7F0A32419,COMFY_CLOUD_SCOPES,Whitespace-separated OAuth scope override.,input,comfy_cli/cloud/__init__.py,97,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-27D2B60C87EE,COMFY_NODE_CHANGELOG,Custom-node publish changelog fallback.,input,comfy_cli/command/custom_nodes/command.py,1028,test-backed,tests/comfy_cli/command/nodes/test_publish.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-FD094DAB9094,COMFY_NO_TELEMETRY,Any nonempty value other than 0 disables telemetry.,input,comfy_cli/cmdline.py,1402,test-backed,tests/comfy_cli/test_tracking.py | tests/e2e/verify_tracking_live.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-73B0ACA2AC4E,COMFY_NO_UPDATE_CHECK,Disables the daily PyPI update check.,input,comfy_cli/update.py,16,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-62A109EFE6C9,COMFY_OUTPUT,Selects pretty/json/ndjson output when flags do not override it.,input,comfy_cli/cmdline.py,311,test-backed,tests/comfy_cli/command/generate/test_emit.py | tests/comfy_cli/command/test_run_cli.py | tests/comfy_cli/command/test_transfer_download.py | tests/comfy_cli/output/test_envelope_schemas.py | tests/comfy_cli/output/test_renderer.py | tests/e2e/test_e2e.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-6E1152621BB5,COMFY_SECRETS_PATH,Overrides the plaintext secret-store path.,input,comfy_cli/auth/store.py,57,test-backed,tests/comfy_cli/auth/test_auth_command.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-176FD241BF0D,COMFY_USER_AGENT,Explicit agent caller label and agentic-mode override.,input,comfy_cli/caller.py,9,test-backed,tests/comfy_cli/output/test_caller.py | tests/comfy_cli/output/test_envelope_schemas.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-7F3C6A75ABD6,COMFY_WHERE,Selects local or cloud routing after an explicit flag.,input/output,comfy_cli/cmdline.py,242,test-backed,tests/comfy_cli/auth/test_where.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_run_json.py | tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/test_host_port.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-B01B8DD4BAEB,CONDA_DEFAULT_ENV,Displayed environment name.,input,comfy_cli/env_checker.py,92,test-backed,tests/comfy_cli/test_env_checker.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-F65F46175112,CONDA_PREFIX,Workspace Python resolution candidate.,input,comfy_cli/resolve_python.py,30,test-backed,tests/comfy_cli/test_global_python_install.py | tests/comfy_cli/test_resolve_python.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-79F23AF44C50,CUDA_VISIBLE_DEVICES,"Temporarily cleared while probing CUDA driver support, then restored.",input/mutated/restored,comfy_cli/cuda_detect.py,104,test-backed,tests/comfy_cli/test_cuda_detect.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-C72FCEB5F32A,DO_NOT_TRACK,Cross-tool telemetry opt-out.,input,comfy_cli/cmdline.py,1402,test-backed,tests/comfy_cli/test_tracking.py | tests/e2e/verify_tracking_live.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-C16A2BEC2B99,ENVIRONMENT,"Selects development, staging, or production node-registry base URL.",input,comfy_cli/registry/api.py,22,test-backed,tests/e2e/test_e2e.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-D29E33C33D87,GITHUB_TOKEN,Optional GitHub API bearer for release and PR lookup.,secret input,comfy_cli/command/install.py,606,test-backed,tests/comfy_cli/command/github/test_pr.py | tests/e2e/test_e2e.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-94F0AFA35DFB,HF_API_TOKEN,Hugging Face model-download credential override.,secret input,comfy_cli/command/models/models.py,257,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-5049570EC172,LOG_LEVEL,Python logging threshold; defaults to ERROR.,input,comfy_cli/logging.py,22,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-2630DF56173B,POSTHOG_API_KEY,Overrides the embedded public PostHog ingest key.,secret-like input,comfy_cli/tracking.py,26,test-backed,tests/e2e/verify_tracking_live.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-7672EA7C8B5F,PYTHONENCODING,Set to UTF-8 for foreground ComfyUI child execution.,child output,comfy_cli/command/launch.py,61,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-B4E7CEDA24A2,PYTHONIOENCODING,Set to UTF-8 for background child execution.,child output,comfy_cli/command/launch.py,303,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-0C2541BD83E7,PYTHONUNBUFFERED,Set for background child readiness-line delivery.,child output,comfy_cli/command/custom_nodes/cm_cli_util.py,133,test-backed,tests/comfy_cli/test_cm_cli_python_resolution.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-8BA899013C79,VIRTUAL_ENV,Workspace Python resolution candidate.,input,comfy_cli/env_checker.py,91,test-backed,tests/comfy_cli/test_env_checker.py | tests/comfy_cli/test_global_python_install.py | tests/comfy_cli/test_resolve_python.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-992F427606D0,XDG_CACHE_HOME,Overrides object-info and gallery cache roots.,input,comfy_cli/command/templates.py,45,test-backed,tests/comfy_cli/cql/test_loader_resilient.py,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
COMFY-CLI-ENV-E366E8C15BAF,__COMFY_CLI_SESSION__,Private reboot-session marker path sent to ComfyUI/Manager children.,child output,comfy_cli/command/custom_nodes/cm_cli_util.py,131,code-inferred,,missing,Replace Python-child semantics with native state/configuration while preserving externally visible precedence and safety.
