node_identifier,class_name,display_name,category,product,classification,availability,evidence_level,confidence,schema_api,schema_source,inputs,outputs,input_is_list,output_is_list,lazy_inputs,output_node,execution_function,validation,caching,change_detection,execution_blocking,error_behavior,source_file,source_symbol,source_line,test_evidence,registration_evidence,feature_id
AudioEncoderEncode,AudioEncoderEncode,AudioEncoderEncode,model/conditioning,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls) -> io.Schema: return io.Schema(node_id='AudioEncoderEncode', category='model/conditioning', inputs=[io.AudioEncoder.Input('audio_encoder'), io.Audio.Input('audio')], outputs=[io.AudioEncoderOutput.Output()])",io.AudioEncoder.Input:audio_encoder | io.Audio.Input:audio,io.AudioEncoderOutput.Output:,False,[false],False,False,AudioEncoderEncode.execute (comfy_extras/nodes_audio_encoder.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_audio_encoder.py,AudioEncoderEncode,34,,ComfyExtension.get_node_list,COMFY-NODE-0011
AudioEncoderLoader,AudioEncoderLoader,Load Audio Encoder,model/loaders,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls) -> io.Schema: return io.Schema(node_id='AudioEncoderLoader', display_name='Load Audio Encoder', category='model/loaders', inputs=[io.Combo.Input('audio_encoder_name', options=folder_paths.get_filename_list('audio_encoders'))], outputs=[io.AudioEncoder.Output()])",io.Combo.Input:audio_encoder_name(options=folder_paths.get_filename_list('audio_encoders')),io.AudioEncoder.Output:,False,[false],False,False,AudioEncoderLoader.execute (comfy_extras/nodes_audio_encoder.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,class raises: RuntimeError('ERROR: audio encoder file is invalid and does not contain a valid model.'); uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_audio_encoder.py,AudioEncoderLoader,8,,ComfyExtension.get_node_list,COMFY-NODE-0012
AudioEqualizer3Band,AudioEqualizer3Band,Audio Equalizer (3-Band),audio,ComfyUI,built-in node,experimental,code-inferred,high,V3,"@classmethod def define_schema(cls): return IO.Schema(node_id='AudioEqualizer3Band', search_aliases=['eq', 'bass boost', 'treble boost', 'equalizer'], display_name='Audio Equalizer (3-Band)', category='audio', is_experimental=True, inputs=[IO.Audio.Input('audio'), IO.Float.Input('low_gain_dB', default=0.0, min=-24.0, max=24.0, step=0.1, tooltip='Gain for Low frequencies (Bass)'), IO.Int.Input('low_freq', default=100, min=20, max=500, tooltip='Cutoff frequency for Low shelf'), IO.Float.Input('mid_gain_dB', default=0.0, min=-24.0, max=24.0, step=0.1, tooltip='Gain for Mid frequencies'), IO.Int.Input('mid_freq', default=1000, min=200, max=4000, tooltip='Center frequency for Mids'), IO.Float.Input('mid_q', default=0.707, min=0.1, max=10.0, step=0.1, tooltip='Q factor (bandwidth) for Mids'), IO.Float.Input('high_gain_dB', default=0.0, min=-24.0, max=24.0, step=0.1, tooltip='Gain for High frequencies (Treble)'), IO.Int.Input('high_freq', default=5000, min=1000, max=15000, tooltip='Cutoff frequency for High shelf')], outputs=[IO.Audio.Output()])",IO.Audio.Input:audio | IO.Float.Input:low_gain_dB(default=0.0;min=-24.0;max=24.0;step=0.1) | IO.Int.Input:low_freq(default=100;min=20;max=500) | IO.Float.Input:mid_gain_dB(default=0.0;min=-24.0;max=24.0;step=0.1) | IO.Int.Input:mid_freq(default=1000;min=200;max=4000) | IO.Float.Input:mid_q(default=0.707;min=0.1;max=10.0;step=0.1) | IO.Float.Input:high_gain_dB(default=0.0;min=-24.0;max=24.0;step=0.1) | IO.Int.Input:high_freq(default=5000;min=1000;max=15000),IO.Audio.Output:,False,[false],False,False,AudioEqualizer3Band.execute (comfy_extras/nodes_audio.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_audio.py,AudioEqualizer3Band,797,,ComfyExtension.get_node_list,COMFY-NODE-0013
AudioMerge,AudioMerge,Merge Audio,audio,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return IO.Schema(node_id='AudioMerge', search_aliases=['mix audio', 'overlay audio', 'layer audio'], display_name='Merge Audio', description='Combine two audio tracks by overlaying their waveforms.', category='audio', inputs=[IO.Audio.Input('audio1'), IO.Audio.Input('audio2'), IO.Combo.Input('merge_method', options=['add', 'mean', 'subtract', 'multiply'], tooltip='The method used to combine the audio waveforms.')], outputs=[IO.Audio.Output()])","IO.Audio.Input:audio1 | IO.Audio.Input:audio2 | IO.Combo.Input:merge_method(options=['add', 'mean', 'subtract', 'multiply'])",IO.Audio.Output:,False,[false],False,False,AudioMerge.execute (comfy_extras/nodes_audio.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_audio.py,AudioMerge,642,,ComfyExtension.get_node_list,COMFY-NODE-0014
BasicGuider,BasicGuider,Basic Guider,model/sampling/guiders,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='BasicGuider', display_name='Basic Guider', category='model/sampling/guiders', inputs=[io.Model.Input('model'), io.Conditioning.Input('conditioning')], outputs=[io.Guider.Output()])",io.Model.Input:model | io.Conditioning.Input:conditioning,io.Guider.Output:,False,[false],False,False,BasicGuider.execute (comfy_extras/nodes_custom_sampler.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_custom_sampler.py,BasicGuider,794,,ComfyExtension.get_node_list,COMFY-NODE-0015
BasicScheduler,BasicScheduler,BasicScheduler,model/sampling/schedulers,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='BasicScheduler', category='model/sampling/schedulers', inputs=[io.Model.Input('model'), io.Combo.Input('scheduler', options=comfy.samplers.SCHEDULER_NAMES), io.Int.Input('steps', default=20, min=1, max=10000), io.Float.Input('denoise', default=1.0, min=0.0, max=1.0, step=0.01)], outputs=[io.Sigmas.Output()])",io.Model.Input:model | io.Combo.Input:scheduler(options=comfy.samplers.SCHEDULER_NAMES) | io.Int.Input:steps(default=20;min=1;max=10000) | io.Float.Input:denoise(default=1.0;min=0.0;max=1.0;step=0.01),io.Sigmas.Output:,False,[false],False,False,BasicScheduler.execute (comfy_extras/nodes_custom_sampler.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_custom_sampler.py,BasicScheduler,17,,ComfyExtension.get_node_list,COMFY-NODE-0016
BatchImagesNode,BatchImagesNode,Batch Images,image/batch,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): autogrow_template = io.Autogrow.TemplatePrefix(io.Image.Input('image'), prefix='image', min=1, max=50) return io.Schema(node_id='BatchImagesNode', display_name='Batch Images', category='image/batch', essentials_category='Image Tools', search_aliases=['batch', 'image batch', 'batch images', 'combine images', 'merge images', 'stack images'], inputs=[io.Autogrow.Input('images', template=autogrow_template)], outputs=[io.Image.Output()])",io.Autogrow.Input:images,io.Image.Output:,False,[false],False,False,BatchImagesNode.execute (comfy_extras/nodes_post_processing.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_post_processing.py,BatchImagesNode,568,,ComfyExtension.get_node_list,COMFY-NODE-0017
BatchLatentsNode,BatchLatentsNode,Batch Latents,model/latent/batch,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): autogrow_template = io.Autogrow.TemplatePrefix(io.Latent.Input('latent'), prefix='latent', min=1, max=50) return io.Schema(node_id='BatchLatentsNode', search_aliases=['combine latents', 'stack latents', 'merge latents'], display_name='Batch Latents', category='model/latent/batch', inputs=[io.Autogrow.Input('latents', template=autogrow_template)], outputs=[io.Latent.Output()])",io.Autogrow.Input:latents,io.Latent.Output:,False,[false],False,False,BatchLatentsNode.execute (comfy_extras/nodes_post_processing.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_post_processing.py,BatchLatentsNode,611,,ComfyExtension.get_node_list,COMFY-NODE-0018
BatchMasksNode,BatchMasksNode,Batch Masks,image/mask,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): autogrow_template = io.Autogrow.TemplatePrefix(io.Mask.Input('mask'), prefix='mask', min=1, max=50) return io.Schema(node_id='BatchMasksNode', search_aliases=['combine masks', 'stack masks', 'merge masks'], display_name='Batch Masks', category='image/mask', inputs=[io.Autogrow.Input('masks', template=autogrow_template)], outputs=[io.Mask.Output()])",io.Autogrow.Input:masks,io.Mask.Output:,False,[false],False,False,BatchMasksNode.execute (comfy_extras/nodes_post_processing.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_post_processing.py,BatchMasksNode,590,,ComfyExtension.get_node_list,COMFY-NODE-0019
BeebleSwitchXImageEdit,BeebleSwitchXImageEdit,Beeble SwitchX Image Edit,partner/image/Beeble,ComfyUI,API node,cloud/paid,code-inferred,high,V3,"@classmethod def define_schema(cls) -> IO.Schema: return IO.Schema(node_id='BeebleSwitchXImageEdit', display_name='Beeble SwitchX Image Edit', category='partner/image/Beeble', description=""Edit a single image with Beeble SwitchX. Switches anything in the scene (background, lighting, costume) while preserving the original subject's pixels. Provide a reference image and/or text prompt to describe the new look. Max ~2.77MP."", inputs=_common_inputs(source=IO.Image.Input('image'), video=False), outputs=[IO.Image.Output(display_name='image'), IO.Mask.Output(display_name='alpha', tooltip=""The alpha matte Beeble used. Empty for 'fill' mode, which has no separate matte."")], hidden=[IO.Hidden.auth_token_comfy_org, IO.Hidden.api_key_comfy_org, IO.Hidden.unique_id], is_api_node=True, price_badge=IO.PriceBadge(depends_on=IO.PriceBadgeDepends(widgets=['max_resolution']), expr='\n (\n $rate := widgets.max_resolution = ""1080p"" ? 0.429 : 0.143;\n {""type"":""usd"",""usd"": $rate}\n )\n '))",IO.Image.Input:image,"IO.Image.Output:(display_name='image') | IO.Mask.Output:(display_name='alpha';tooltip=""The alpha matte Beeble used. Empty for 'fill' mode, which has no separate matte."")",False,"[false, false]",False,False,async BeebleSwitchXImageEdit.execute (comfy_api_nodes/nodes_beeble.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream; async functions awaited,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_api_nodes/nodes_beeble.py,BeebleSwitchXImageEdit,298,,ComfyExtension.get_node_list,COMFY-NODE-0020
BeebleSwitchXVideoEdit,BeebleSwitchXVideoEdit,Beeble SwitchX Video Edit,partner/video/Beeble,ComfyUI,API node,cloud/paid,code-inferred,high,V3,"@classmethod def define_schema(cls) -> IO.Schema: return IO.Schema(node_id='BeebleSwitchXVideoEdit', display_name='Beeble SwitchX Video Edit', category='partner/video/Beeble', description=""Edit a video with Beeble SwitchX. Switches anything in the scene (background, lighting, costume) while preserving the original subject's pixels and motion. Provide a reference image and/or text prompt to describe the new look. Max 240 frames, max ~2.77MP per frame."", inputs=_common_inputs(source=IO.Video.Input('video'), video=True), outputs=[IO.Video.Output(display_name='video'), IO.Video.Output(display_name='alpha', tooltip=""The alpha matte Beeble used. Empty for 'fill' mode, which has no separate matte."")], hidden=[IO.Hidden.auth_token_comfy_org, IO.Hidden.api_key_comfy_org, IO.Hidden.unique_id], is_api_node=True, price_badge=IO.PriceBadge(depends_on=IO.PriceBadgeDepends(widgets=['max_resolution']), expr='\n (\n $rate := widgets.max_resolution = ""1080p"" ? 0.429 : 0.143;\n {""type"":""usd"",""usd"": $rate, ""format"":{""suffix"":""/30 frames""}}\n )\n '))",IO.Video.Input:video,"IO.Video.Output:(display_name='video') | IO.Video.Output:(display_name='alpha';tooltip=""The alpha matte Beeble used. Empty for 'fill' mode, which has no separate matte."")",False,"[false, false]",False,False,async BeebleSwitchXVideoEdit.execute (comfy_api_nodes/nodes_beeble.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream; async functions awaited,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_api_nodes/nodes_beeble.py,BeebleSwitchXVideoEdit,202,,ComfyExtension.get_node_list,COMFY-NODE-0021
BerniniConditioning,BerniniConditioning,Bernini Conditioning,model/conditioning/bernini,ComfyUI,built-in node,active,code-inferred,high,V3,"@classmethod def define_schema(cls): return io.Schema(node_id='BerniniConditioning', display_name='Bernini Conditioning', category='model/conditioning/bernini', description='Conditioning node for Bernini in-context video/image conditioning. It can be used for the following tasks: t2v (text-to-video), v2v (video-to-video), rv2v (reference-guided video editing), r2v (reference-to-video), ads2v (insert image/video into video).Reference images injected as in-context tokens (r2v, rv2v) are encoded independently at their own native aspect ratio (long edge capped at ref_max_size)', inputs=[io.Conditioning.Input('positive'), io.Conditioning.Input('negative'), io.Vae.Input('vae'), io.Int.Input('width', default=832, min=16, max=8192, step=16), io.Int.Input('height', default=480, min=16, max=8192, step=16), io.Int.Input('length', default=81, min=1, max=8192, step=4), io.Int.Input('batch_size', default=1, min=1, max=4096), io.Image.Input('source_video', optional=True, tooltip='Source video to edit or restyle (v2v, rv2v). Resized to width/height and trimmed to length.'), io.Image.Input('reference_video', optional=True, tooltip='Video to insert into the source video (ads2v).'), io.Autogrow.Input('reference_images', optional=True, template=io.Autogrow.TemplatePrefix(input=io.Image.Input('reference_image', tooltip='Reference image injected as an in-context token (r2v, rv2v).'), prefix='reference_image_', min=0, max=8)), io.Int.Input('ref_max_size', default=848, min=16, max=8192, step=16, optional=True, tooltip='Max size for the long edge of reference_video and reference_images. Resized with preserved aspect ratio and snapped to 16px.')], outputs=[io.Conditioning.Output(display_name='positive'), io.Conditioning.Output(display_name='negative'), io.Latent.Output(display_name='latent')])",io.Conditioning.Input:positive | io.Conditioning.Input:negative | io.Vae.Input:vae | io.Int.Input:width(default=832;min=16;max=8192;step=16) | io.Int.Input:height(default=480;min=16;max=8192;step=16) | io.Int.Input:length(default=81;min=1;max=8192;step=4) | io.Int.Input:batch_size(default=1;min=1;max=4096) | io.Image.Input:source_video(optional=True) | io.Image.Input:reference_video(optional=True) | io.Autogrow.Input:reference_images(optional=True) | io.Int.Input:ref_max_size(default=848;min=16;max=8192;step=16;optional=True) | io.Image.Input:reference_image,io.Conditioning.Output:(display_name='positive') | io.Conditioning.Output:(display_name='negative') | io.Latent.Output:(display_name='latent'),False,"[false, false, false]",False,False,BerniniConditioning.execute (comfy_extras/nodes_bernini.py),executor schema/type/range validation,input-signature cache; re-executes when inputs/upstream change,default input/upstream signature,ExecutionBlocker propagates and blocks downstream,uncaught failures surface as execution_error with node/type/input/traceback; interruption surfaces execution_interrupted,comfy_extras/nodes_bernini.py,BerniniConditioning,19,,ComfyExtension.get_node_list,COMFY-NODE-0022
