feature_id,disposition,placement,owner_task_id
COMFY-FRONTEND-SURFACE-E3BFF4F84DCE,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-56F5D26EBA8A,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-6EBE1E5CAB73,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-59C77CC34110,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-94F159AE9BFC,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-18295E1A2B3E,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-CDD6AE68B129,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-E14EE3CDA1D3,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-1D5B7BB84373,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-E276F2DA0B1F,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-2470F31B8ABA,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-6C4A4BB33346,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-8AC8BA44C185,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-29B2F54C9388,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-92A97D7D619A,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-1C6B141EC26A,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-344741F08869,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-A21740B27C66,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-0C04B9F62909,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-69997440165A,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-CC7C38462B5C,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-A5109CE0F6A0,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-483C2417D5C4,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-41E15523F3C3,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-9573ACDCC5E7,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-3314EF4FEC8E,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-EE6E70E2E5B5,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-00F979E8FDDD,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-9D489DDD76CB,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-3AD418B4A55B,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-AB859BDF7A89,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-5BC15AE52BAD,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-0C76CE9C1194,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-86629EEEB62F,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-801A3D089783,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-A648DFF7F899,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-249874904ABC,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-48829FBBDABA,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-33DDFBFF70B7,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-87FB4B5600DE,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-92C040B143BA,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-5FC4B2B94C5F,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-E91ACF6F2109,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-0117174E5D46,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-8A0B5C1D41FF,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-C6E28B3CFBE3,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-4A54581DEF76,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-9ED1620662E9,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-EA3ADCD5FB4C,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-7E50536DDEE5,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-20E4ECE6CA0C,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-D638316E1B1B,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-469D5A7D2F8B,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-E5914208D994,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-3FC70C92DBCB,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-C24B18B7F82E,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-D0CE5EAC406F,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-B6C2D94A52CE,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-EBDF805E5913,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-45AC7FA446C2,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-1FA250F8AEAE,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-D1BB0DC6152F,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-67C3E98D23C0,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-53C86D7F1E04,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-1BA8B4019FA2,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-884036F3A703,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-7616D462F013,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-F1FEE86C5B19,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-B9BBAF529966,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-E0B8E0486CD8,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-8291C39E413E,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-1AC61BDBFE13,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-68480CCC7892,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-755A05B1ADF8,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-629DCA3B0AA5,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-BE77B6775153,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-9CC76F33BEBB,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-4774CA5BAA9E,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-1F9BA10959D6,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-F0D77EB79D43,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-8A488DF473D1,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-93D66E46F4A8,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-B8820378BFAC,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-FDD5D83C9AE0,defer,ServiceContractAndAuthorization,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-89E05C30A7C4,place,WorkspaceShellItem,comfy-parity-workflow-experience
COMFY-FRONTEND-SURFACE-7B8DC1868BBD,place,WorkspaceShellItem,comfy-parity-workflow-experience
COMFY-FRONTEND-SURFACE-7857A74B8B20,place,WorkspaceShellItem,comfy-parity-workflow-experience
COMFY-FRONTEND-SURFACE-622B1B2F4A96,place,AccountPopover,comfy-parity-auth-cloud-telemetry
COMFY-FRONTEND-SURFACE-DC82D8BA1ACB,place,WorkspaceShellItem,comfy-parity-workflow-experience
COMFY-FRONTEND-SURFACE-CCD87F98C65F,place,WorkflowWorkspaceItem,comfy-parity-workflow-experience
COMFY-FRONTEND-SURFACE-8563B44C2B86,place,WorkspaceShellItem,comfy-parity-workflow-experience
COMFY-FRONTEND-SURFACE-73481BA63E90,place,WorkspaceShellItem,comfy-parity-workflow-experience
COMFY-FRONTEND-SURFACE-D69FC87D0E88,place,WorkspaceShellItem,comfy-parity-workflow-experience
COMFY-FRONTEND-SURFACE-86E2F248090D,place,WorkspaceShellItem,comfy-parity-workflow-experience
COMFY-FRONTEND-SURFACE-669D98E8ABAE,place,WorkspaceShellItem,comfy-parity-workflow-experience
COMFY-FRONTEND-SURFACE-5B0ECF17F201,place,WorkspaceShellItem,comfy-parity-workflow-experience
COMFY-FRONTEND-SURFACE-FE152C54A950,place,WorkspaceShellItem,comfy-parity-workflow-experience
COMFY-FRONTEND-SURFACE-2F609B5604E0,place,GraphWorkspaceItem,comfy-parity-assets-editors-viewers
COMFY-FRONTEND-SURFACE-6CFB2CFE06EF,place,GraphWorkspaceItem,comfy-parity-assets-editors-viewers
COMFY-FRONTEND-SURFACE-537E4D68AD0B,place,WorkflowWorkspaceItem,comfy-parity-workflow-experience
COMFY-FRONTEND-SURFACE-19670A672CA3,place,WorkflowWorkspaceItem,comfy-parity-workflow-experience
COMFY-FRONTEND-SURFACE-E45DD562BA69,place,WorkflowWorkspaceItem,comfy-parity-workflow-experience
