record_id,path,title,description,role,domain,availability,document_evidence_level,corroboration_status,corroborated_feature_ids,native_parity_treatment
COMFY-DOC-7DAF295980B2,built-in-nodes/ARVideoI2V.mdx,ARVideoI2V - ComfyUI Built-in Node Documentation,"Complete documentation for the ARVideoI2V node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0008,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-AFB4DE7F6BA4,built-in-nodes/AddNoise.mdx,AddNoise - ComfyUI Built-in Node Documentation,"Complete documentation for the AddNoise node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0001,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-0BACB08230F3,built-in-nodes/AddTextPrefix.mdx,AddTextPrefix - ComfyUI Built-in Node Documentation,"Complete documentation for the AddTextPrefix node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0002,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-98C332C86BEF,built-in-nodes/AddTextSuffix.mdx,AddTextSuffix - ComfyUI Built-in Node Documentation,"Complete documentation for the AddTextSuffix node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0003,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-008E818C3FCA,built-in-nodes/AdjustBrightness.mdx,AdjustBrightness - ComfyUI Built-in Node Documentation,"Complete documentation for the AdjustBrightness node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0004,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-91A016FD5B7C,built-in-nodes/AdjustContrast.mdx,AdjustContrast - ComfyUI Built-in Node Documentation,"Complete documentation for the AdjustContrast node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0005,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-523D20E6B6A7,built-in-nodes/AlignYourStepsScheduler.mdx,AlignYourStepsScheduler - ComfyUI Built-in Node Documentation,"Complete documentation for the AlignYourStepsScheduler node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0006,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-65DE7DF91A1B,built-in-nodes/AudioAdjustVolume.mdx,AudioAdjustVolume - ComfyUI Built-in Node Documentation,"Complete documentation for the AudioAdjustVolume node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0009,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-0F41D6DD541E,built-in-nodes/AudioConcat.mdx,AudioConcat - ComfyUI Built-in Node Documentation,"Complete documentation for the AudioConcat node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0010,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-D2828AC01E62,built-in-nodes/AudioEncoderEncode.mdx,AudioEncoderEncode - ComfyUI Built-in Node Documentation,"Complete documentation for the AudioEncoderEncode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0011,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-871B5D246536,built-in-nodes/AudioEncoderLoader.mdx,AudioEncoderLoader - ComfyUI Built-in Node Documentation,"Complete documentation for the AudioEncoderLoader node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0012,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-2E6065591CA3,built-in-nodes/AudioEqualizer3Band.mdx,AudioEqualizer3Band - ComfyUI Built-in Node Documentation,"Complete documentation for the AudioEqualizer3Band node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0013,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-090A5E4FF58C,built-in-nodes/AudioMerge.mdx,AudioMerge - ComfyUI Built-in Node Documentation,"Complete documentation for the AudioMerge node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0014,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-E2CF5951E866,built-in-nodes/AutogrowNamesTestNode.mdx,AutogrowNamesTestNode - ComfyUI Built-in Node Documentation,"Complete documentation for the AutogrowNamesTestNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-INACTIVE-0001,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-70DD002D1E9F,built-in-nodes/AutogrowPrefixTestNode.mdx,AutogrowPrefixTestNode - ComfyUI Built-in Node Documentation,"Complete documentation for the AutogrowPrefixTestNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-INACTIVE-0002,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-49D0E63EAF05,built-in-nodes/BasicGuider.mdx,BasicGuider - ComfyUI Built-in Node Documentation,"Complete documentation for the BasicGuider node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0015,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-9FB4E93785AF,built-in-nodes/BasicScheduler.mdx,BasicScheduler - ComfyUI Built-in Node Documentation,"Complete documentation for the BasicScheduler node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0016,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-F62F316D33C0,built-in-nodes/BatchImagesMasksLatentsNode.mdx,BatchImagesMasksLatentsNode - ComfyUI Built-in Node Documentation,"Complete documentation for the BatchImagesMasksLatentsNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-INACTIVE-0003,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-489096472F25,built-in-nodes/BatchImagesNode.mdx,BatchImagesNode - ComfyUI Built-in Node Documentation,"Complete documentation for the BatchImagesNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0017,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-DD059E12F3B0,built-in-nodes/BatchLatentsNode.mdx,BatchLatentsNode - ComfyUI Built-in Node Documentation,"Complete documentation for the BatchLatentsNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0018,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-5CA70A4A1E9D,built-in-nodes/BatchMasksNode.mdx,BatchMasksNode - ComfyUI Built-in Node Documentation,"Complete documentation for the BatchMasksNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0019,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-C85886641CA5,built-in-nodes/BeebleSwitchXImageEdit.mdx,BeebleSwitchXImageEdit - ComfyUI Built-in Node Documentation,"Complete documentation for the BeebleSwitchXImageEdit node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0020,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-01E7D0C9428B,built-in-nodes/BeebleSwitchXVideoEdit.mdx,BeebleSwitchXVideoEdit - ComfyUI Built-in Node Documentation,"Complete documentation for the BeebleSwitchXVideoEdit node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0021,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-DED2F8872905,built-in-nodes/BerniniConditioning.mdx,BerniniConditioning - ComfyUI Built-in Node Documentation,"Complete documentation for the BerniniConditioning node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0022,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-5DF6805C1145,built-in-nodes/BetaSamplingScheduler.mdx,BetaSamplingScheduler - ComfyUI Built-in Node Documentation,"Complete documentation for the BetaSamplingScheduler node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0023,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-5F1426D04CFC,built-in-nodes/BriaImageEditNode.mdx,BriaImageEditNode - ComfyUI Built-in Node Documentation,"Complete documentation for the BriaImageEditNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0024,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-B95824F61402,built-in-nodes/BriaRemoveImageBackground.mdx,BriaRemoveImageBackground - ComfyUI Built-in Node Documentation,"Complete documentation for the BriaRemoveImageBackground node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0025,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-04D735148C4B,built-in-nodes/BriaRemoveVideoBackground.mdx,BriaRemoveVideoBackground - ComfyUI Built-in Node Documentation,"Complete documentation for the BriaRemoveVideoBackground node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0026,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-CAF738B856DF,built-in-nodes/BriaTransparentVideoBackground.mdx,BriaTransparentVideoBackground - ComfyUI Built-in Node Documentation,"Complete documentation for the BriaTransparentVideoBackground node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0027,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-B76F481BC4DB,built-in-nodes/BriaVideoGreenScreen.mdx,BriaVideoGreenScreen - ComfyUI Built-in Node Documentation,"Complete documentation for the BriaVideoGreenScreen node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0028,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-AA6F23CA91C4,built-in-nodes/BriaVideoReplaceBackground.mdx,BriaVideoReplaceBackground - ComfyUI Built-in Node Documentation,"Complete documentation for the BriaVideoReplaceBackground node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0029,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-649104DB031A,built-in-nodes/BuildJsonPromptIdeogram.mdx,BuildJsonPromptIdeogram - ComfyUI Built-in Node Documentation,"Complete documentation for the BuildJsonPromptIdeogram node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0030,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-6B79D5060ADE,built-in-nodes/ByteDance2FirstLastFrameNode.mdx,ByteDance2FirstLastFrameNode - ComfyUI Built-in Node Documentation,"Complete documentation for the ByteDance2FirstLastFrameNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0031,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-9578C98D9DE5,built-in-nodes/ByteDance2ReferenceNode.mdx,ByteDance2ReferenceNode - ComfyUI Built-in Node Documentation,"Complete documentation for the ByteDance2ReferenceNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0032,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-F60BB10D841C,built-in-nodes/ByteDance2TextToVideoNode.mdx,ByteDance2TextToVideoNode - ComfyUI Built-in Node Documentation,"Complete documentation for the ByteDance2TextToVideoNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0033,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-ED01A55A44AF,built-in-nodes/ByteDanceCreateImageAsset.mdx,ByteDanceCreateImageAsset - ComfyUI Built-in Node Documentation,"Complete documentation for the ByteDanceCreateImageAsset node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0034,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-171855444CD9,built-in-nodes/ByteDanceCreateVideoAsset.mdx,ByteDanceCreateVideoAsset - ComfyUI Built-in Node Documentation,"Complete documentation for the ByteDanceCreateVideoAsset node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0035,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-A2C593259D02,built-in-nodes/ByteDanceFirstLastFrameNode.mdx,ByteDanceFirstLastFrameNode - ComfyUI Built-in Node Documentation,"Complete documentation for the ByteDanceFirstLastFrameNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0036,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-D6480C4D76DC,built-in-nodes/ByteDanceImageEditNode.mdx,ByteDanceImageEditNode - ComfyUI Built-in Node Documentation,"Complete documentation for the ByteDanceImageEditNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,provider-unverified; documented-only,,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-C4870919B029,built-in-nodes/ByteDanceImageNode.mdx,ByteDanceImageNode - ComfyUI Built-in Node Documentation,"Complete documentation for the ByteDanceImageNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0037,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-708B751EBFEA,built-in-nodes/ByteDanceImageReferenceNode.mdx,ByteDanceImageReferenceNode - ComfyUI Built-in Node Documentation,"Complete documentation for the ByteDanceImageReferenceNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0038,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-BF2FCDC7F87F,built-in-nodes/ByteDanceImageToVideoNode.mdx,ByteDanceImageToVideoNode - ComfyUI Built-in Node Documentation,"Complete documentation for the ByteDanceImageToVideoNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0039,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-75152C3F8624,built-in-nodes/ByteDanceSeedAudio.mdx,ByteDanceSeedAudio - ComfyUI Built-in Node Documentation,"Complete documentation for the ByteDanceSeedAudio node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0040,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-3BD0E15FA214,built-in-nodes/ByteDanceSeedNode.mdx,ByteDanceSeedNode - ComfyUI Built-in Node Documentation,"Complete documentation for the ByteDanceSeedNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0041,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-D21F13F0313E,built-in-nodes/ByteDanceSeedreamNode.mdx,ByteDanceSeedreamNode - ComfyUI Built-in Node Documentation,"Complete documentation for the ByteDanceSeedreamNode node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0042,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
COMFY-DOC-F7140DED40CF,built-in-nodes/ByteDanceSeedreamNodeV2.mdx,ByteDanceSeedreamNodeV2 - ComfyUI Built-in Node Documentation,"Complete documentation for the ByteDanceSeedreamNodeV2 node in ComfyUI. Learn its inputs, outputs, parameters and usage.",built-in node reference,built-in-nodes,active,documented-only,registered-node-id-exact; executable-backend-registry,COMFY-NODE-0043,Use as conformance-oracle prose only; implement the observable contract natively in Rust/GPUI or preserve an explicit uncertainty.
