feature_id,command_id,command_path,scope,name,kind,flags,annotation,value_type,nullable,value_arity,cardinality,repeatable,choices,constraints,boolean_forms,default,default_source,required,hidden,envvar,help,source_file,line,type_evidence,evidence_level,target_status,parity_decision
COMFY-CLI-PARAM-F2E1B19BDE85,COMFY-CLI-CMD-2942F9AAA11E,comfy agent-review,command,summary,argument,,str,string,false,1,1 value,false,,{},,,<required>,true,false,,"A brief, factual summary of the session — your assessment, not the user's words.",comfy_cli/cmdline.py,1487,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-39C502B12BBE,COMFY-CLI-CMD-9C49EFCBA129,comfy assets push,command,force,option,--force,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,"Re-push every file, even when the lock says it is already current.",comfy_cli/command/project.py,193,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-B4BA4A338BF6,COMFY-CLI-CMD-9C49EFCBA129,comfy assets push,command,where,option,--where,str | None,string,true,1,0..1 values,false,,{},,,None,false,false,,"Push target (local|cloud). Omitted: the usual chain — env, project default, config, auto.",comfy_cli/command/project.py,185,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-36A89B6E3686,COMFY-CLI-CMD-9AFC11A36497,comfy auth remove,command,provider,argument,,str,string,false,1,1 value,false,,{},,,<required>,true,false,,Provider name.,comfy_cli/auth/command.py,96,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-4AE1492ABB61,COMFY-CLI-CMD-42B79C5307CE,comfy auth set,command,key,option,--key,str,string,false,1,1 value,false,,{},,,<required>,true,false,,The API token. Stored locally; never sent except to the provider.,comfy_cli/auth/command.py,51,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-5C461DFC78EF,COMFY-CLI-CMD-42B79C5307CE,comfy auth set,command,provider,argument,,str,string,false,1,1 value,false,,{},,,<required>,true,false,,Provider name — `civitai` or `huggingface`. Comfy Cloud uses `comfy cloud login`.,comfy_cli/auth/command.py,47,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-255FFE901DAC,COMFY-CLI-CMD-8E7E3F798F2B,comfy cloud login,command,no_browser,option,--no-browser,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,Don't try to open the browser automatically — just print the URL.,comfy_cli/cloud/command.py,45,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-6593E684126C,COMFY-CLI-CMD-8E7E3F798F2B,comfy cloud login,command,timeout,option,--timeout,int,integer,false,1,0..1 values,false,,{},,300,300,false,false,,Seconds to wait for the browser callback before giving up.,comfy_cli/cloud/command.py,52,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-A1A6008B3879,COMFY-CLI-CMD-F3634696BF8E,comfy cloud set-base-url,command,clear,option,--clear,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,"Clear the persisted base URL (falls back to env var, then default).",comfy_cli/cloud/command.py,256,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-E964A8A8389E,COMFY-CLI-CMD-F3634696BF8E,comfy cloud set-base-url,command,url,argument,,str | None,string,true,1,0..1 values,false,,{},,,None,false,false,,Base URL like 'https://fe-pr-12159.testenvs.comfy.org'. Pass '' or omit and use --clear to reset.,comfy_cli/cloud/command.py,250,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-A57D98FBB457,COMFY-CLI-CMD-446049474154,comfy cloud set-key,command,key,option,--key,str,string,false,1,1 value,false,,{},,,<required>,true,false,,The Comfy Cloud API key.,comfy_cli/cloud/command.py,315,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-B0F92D2DC274,COMFY-CLI-CMD-0BEDBDC5A1B0,comfy code-search,command,count,option,--count | -n,int,integer,false,1,0..1 values,false,,{},,,DEFAULT_COUNT,false,false,,Maximum number of results,comfy_cli/command/code_search.py,161,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-D9D96520F6C5,COMFY-CLI-CMD-0BEDBDC5A1B0,comfy code-search,command,json_output,option,--json | -j,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,Output results as JSON,comfy_cli/command/code_search.py,165,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-250275A3B2FD,COMFY-CLI-CMD-0BEDBDC5A1B0,comfy code-search,command,query,argument,,str,string,false,1,1 value,false,,{},,,<required>,true,false,,Search query (supports Sourcegraph syntax). Defaults to file matches; pass your own `type:` filter (e.g. `type:commit`) to override.,comfy_cli/command/code_search.py,148,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-8DAAEDDDB0E5,COMFY-CLI-CMD-0BEDBDC5A1B0,comfy code-search,command,repo,option,--repo | -r,str | None,string,true,1,0..1 values,false,,{},,,None,false,false,,"Filter by repository (e.g. ComfyUI, Comfy-Org/ComfyUI)",comfy_cli/command/code_search.py,157,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-A3A5ED6A92CC,COMFY-CLI-CMD-078208D4B0C0,comfy cs,command,count,option,--count | -n,int,integer,false,1,0..1 values,false,,{},,,DEFAULT_COUNT,false,false,,Maximum number of results,comfy_cli/command/code_search.py,161,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-87BDC06ECA7A,COMFY-CLI-CMD-078208D4B0C0,comfy cs,command,json_output,option,--json | -j,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,Output results as JSON,comfy_cli/command/code_search.py,165,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-4FCC68213BAF,COMFY-CLI-CMD-078208D4B0C0,comfy cs,command,query,argument,,str,string,false,1,1 value,false,,{},,,<required>,true,false,,Search query (supports Sourcegraph syntax). Defaults to file matches; pass your own `type:` filter (e.g. `type:commit`) to override.,comfy_cli/command/code_search.py,148,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-3F89FBE80A32,COMFY-CLI-CMD-078208D4B0C0,comfy cs,command,repo,option,--repo | -r,str | None,string,true,1,0..1 values,false,,{},,,None,false,false,,"Filter by repository (e.g. ComfyUI, Comfy-Org/ComfyUI)",comfy_cli/command/code_search.py,157,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-FF966045EC0E,COMFY-CLI-CMD-3C3A8A6D0DFF,comfy discover,command,schemas_only,option,--schemas-only,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,"Emit only the schemas bundle, omitting the command tree.",comfy_cli/cmdline.py,1321,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-C17D28061919,COMFY-CLI-CMD-42180AF40C34,comfy download,command,out_dir,option,--out-dir | -o,str,string,false,1,0..1 values,false,,{},,./outputs,'./outputs',false,false,,Directory to save outputs to.,comfy_cli/cmdline.py,996,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-CDDBD4A07949,COMFY-CLI-CMD-42180AF40C34,comfy download,command,prompt_id,argument,,str | None,string,true,1,0..1 values,false,,{},,,None,false,false,,Prompt ID to download outputs for. Omit to read from piped stdin.,comfy_cli/cmdline.py,992,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-B9F222CBD1AE,COMFY-CLI-CMD-42180AF40C34,comfy download,command,url_only,option,--url-only,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,Emit output URLs without downloading files. Useful for agents that pass URLs to other tools.,comfy_cli/cmdline.py,1004,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-829F06FD3E05,COMFY-CLI-CMD-42180AF40C34,comfy download,command,where,option,--where,str | None,string,true,1,0..1 values,false,,{},,,None,false,false,,Routing target: 'local' or 'cloud'.,comfy_cli/cmdline.py,1000,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-013D89C9B4F5,COMFY-CLI-CMD-78D1C8647E7C,comfy feedback,command,message,argument,,str | None,string,true,1,0..1 values,false,,{},,,None,false,false,,"Your feedback, e.g. comfy feedback ""run is great but jobs watch needs an ETA"". Omit (interactive only) to answer a few quick questions.",comfy_cli/cmdline.py,1418,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-E87D6C0F3F9E,COMFY-CLI-CMD-4009084CC721,comfy generate,dynamic fixed,api_key,option,--api-key,string,string,true,1,0..1 values,false,,"{""parser"": ""_separate_meta_flags""}",,,None,false,false,COMFY_API_KEY,Per-call API-key override.,comfy_cli/command/generate/app.py,87,static dynamic-parser branches,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-4B3730D1C735,COMFY-CLI-CMD-4009084CC721,comfy generate,dynamic fixed,async,option,--async,boolean,boolean,false,0 or 1 inline,0..1 flag occurrences,false,,"{""inline_false_values"": ""false | 0 | no"", ""other_inline_values"": ""true"", ""parser"": ""_separate_meta_flags""}",,false,false,false,false,,Submit an asynchronous partner job without polling.,comfy_cli/command/generate/app.py,87,static dynamic-parser branches,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-19F4430C6182,COMFY-CLI-CMD-4009084CC721,comfy generate,dynamic fixed,category,option,--category | --style | -c,string,string,true,1,0..1 values,false,,"{""parser"": ""_arg_value""}",,,None,false,false,,Filter `generate list` by category/style.,comfy_cli/command/generate/app.py,428,static dynamic-parser branches,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-7C8A559F53D9,COMFY-CLI-CMD-4009084CC721,comfy generate,dynamic fixed,download,option,--download,string,string,true,1,0..1 values,false,,"{""parser"": ""_separate_meta_flags""}",,,None,false,false,,Save returned media.,comfy_cli/command/generate/app.py,87,static dynamic-parser branches,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-DF490F549C34,COMFY-CLI-CMD-4009084CC721,comfy generate,dynamic fixed,emit_workflow,option,--emit-workflow,path,path,true,1,0..1 values,false,,"{""parser"": ""_separate_meta_flags""}",,,None,false,false,,Write a runnable workflow instead of calling the proxy.,comfy_cli/command/generate/app.py,87,static dynamic-parser branches,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-9ADBEFDE6841,COMFY-CLI-CMD-4009084CC721,comfy generate,dynamic fixed,json,option,--json,boolean,boolean,false,0 or 1 inline,0..1 flag occurrences,false,,"{""inline_false_values"": ""false | 0 | no"", ""other_inline_values"": ""true"", ""parser"": ""_separate_meta_flags""}",,false,false,false,false,,Emit partner-command JSON.,comfy_cli/command/generate/app.py,87,static dynamic-parser branches,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-6DA8EA8038AA,COMFY-CLI-CMD-4009084CC721,comfy generate,dynamic fixed,output_prefix,option,--output-prefix,string,string,true,1,0..1 values,false,,"{""default_applies_when"": ""--emit-workflow"", ""parser"": ""_separate_meta_flags""}",,generate,generate,false,false,,Output filename prefix.,comfy_cli/command/generate/app.py,87,static dynamic-parser branches,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-886FD274FBA1,COMFY-CLI-CMD-4009084CC721,comfy generate,dynamic fixed,partner,option,--partner | -p,string,string,true,1,0..1 values,false,,"{""parser"": ""_arg_value""}",,,None,false,false,,Filter `generate list` by partner.,comfy_cli/command/generate/app.py,428,static dynamic-parser branches,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-2006E246CF7A,COMFY-CLI-CMD-4009084CC721,comfy generate,dynamic fixed,query,option,--query | -q,string,string,true,1,0..1 values,false,,"{""parser"": ""_arg_value""}",,,None,false,false,,Filter `generate list` by query.,comfy_cli/command/generate/app.py,428,static dynamic-parser branches,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-E2250129FD17,COMFY-CLI-CMD-4009084CC721,comfy generate,dynamic fixed,target,argument,,str | None,string,true,1,0..1 values,false,,"{""otherwise"": ""partner model alias"", ""reserved_actions"": ""list | schema | refresh | upload | resume""}",,,None,false,false,,"A model alias (e.g. flux-pro, ideogram-edit, dalle) or one of: list, schema, refresh, upload, resume.",comfy_cli/command/generate/app.py,49,static source annotation,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-503366546BD4,COMFY-CLI-CMD-4009084CC721,comfy generate,dynamic fixed,timeout,option,--timeout,number,number,true,1,0..1 values,false,,"{""parser"": ""_separate_meta_flags"", ""value_parser"": ""float""}",,300.0,300.0,false,false,,Partner request or polling timeout.,comfy_cli/command/generate/app.py,87,static dynamic-parser branches,code-inferred,deferred,Retain as an explicit contract; implement only through approved native service integration.
COMFY-CLI-PARAM-72E1ADA2DF37,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,amd,option,--amd,bool | None,boolean,true,0,0..1 flag occurrences,false,,"{""callback"": ""g_gpu_exclusivity.validate""}",,,None,false,false,,Install for AMD gpu,comfy_cli/cmdline.py,455,static source annotation,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-8F7946F13551,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,commit,option,--commit,str | None,string,true,1,0..1 values,false,,"{""callback"": ""validate_commit_and_version""}",,,None,false,false,,Specify commit hash for ComfyUI,comfy_cli/cmdline.py,488,static source annotation,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-7087E89B3BD3,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,cpu,option,--cpu,bool | None,boolean,true,0,0..1 flag occurrences,false,,"{""callback"": ""g_gpu_exclusivity.validate""}",,,None,false,false,,Install for CPU,comfy_cli/cmdline.py,480,static source annotation,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-42401A6C5D49,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,cuda_version,option,--cuda-version,CUDAVersion | None,enum,true,1,0..1 values,false,13.0 | 12.9 | 12.8 | 12.6 | 12.4 | 12.1 | 11.8,{},,,None,false,false,,,comfy_cli/cmdline.py,453,static source annotation; Enum values from projects/comfy/comfy-cli/comfy_cli/constants.py:82,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-D8CA0AB0BD09,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,fast_deps,option,--fast-deps,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,Use uv instead of pip for dependency resolution (comfy-cli built-in resolver),comfy_cli/cmdline.py,491,static source annotation,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-07E831265C7F,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,intel_arc,option,--intel-arc,bool | None,boolean,true,0,0..1 flag occurrences,false,,"{""callback"": ""g_gpu_exclusivity.validate""}",,,None,false,true,,Install for Intel Arc gpu,comfy_cli/cmdline.py,471,static source annotation,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-9EF4DFC66402,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,m_series,option,--m-series,bool | None,boolean,true,0,0..1 flag occurrences,false,,"{""callback"": ""g_gpu_exclusivity.validate""}",,,None,false,false,,Install for Mac M-Series gpu,comfy_cli/cmdline.py,463,static source annotation,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-47EDBEA1415C,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,nvidia,option,--nvidia,bool | None,boolean,true,0,0..1 flag occurrences,false,,"{""callback"": ""g_gpu_exclusivity.validate""}",,,None,false,false,,Install for Nvidia gpu,comfy_cli/cmdline.py,445,static source annotation,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-75C4DDCF5FA0,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,pr,option,--pr,str | None,string,true,1,0..1 values,false,,{},,,None,false,false,,"Install from a specific PR. Supports formats: username:branch, #123, or PR URL",comfy_cli/cmdline.py,499,static source annotation,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-E78578EE67ED,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,restore,option,--restore,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,Restore dependencies for installed ComfyUI if not installed,comfy_cli/cmdline.py,427,static source annotation,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-EDAB2456C365,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,rocm_version,option,--rocm-version,ROCmVersion,enum,false,1,0..1 values,false,7.2 | 7.1 | 7.0 | 6.3 | 6.2 | 6.1,{},,,ROCmVersion.v7_2,false,false,,,comfy_cli/cmdline.py,454,static source annotation; Enum values from projects/comfy/comfy-cli/comfy_cli/constants.py:92,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-3865BAA2FDC3,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,skip_manager,option,--skip-manager,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,Skip installing the manager component,comfy_cli/cmdline.py,434,static source annotation,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-D3A7772BA171,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,skip_requirement,option,--skip-requirement,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,Skip installing requirements.txt,comfy_cli/cmdline.py,442,static source annotation,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-D6D5FFB5B423,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,skip_torch_or_directml,option,--skip-torch-or-directml,bool,boolean,false,0,0..1 flag occurrences,false,,{},,false,False,false,false,,Skip installing PyTorch Or DirectML,comfy_cli/cmdline.py,438,static source annotation,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-4A445A1C53D9,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,url,option,--url,str,string,false,1,0..1 values,false,,{},,,constants.COMFY_GITHUB_URL,false,false,,"url or local path pointing to the ComfyUI core git repo to be installed. A specific branch can optionally be specified using a setuptools-like syntax, eg https://foo.git@bar",comfy_cli/cmdline.py,412,static source annotation,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-534627A78534,COMFY-CLI-CMD-1D725BCB02CF,comfy install,command,version,option,--version,str,string,false,1,0..1 values,false,,"{""callback"": ""validate_version""}",,nightly,'nightly',false,false,,"Specify version of ComfyUI to install. Default is nightl, which is the latest commit on master branch. Other options include: latest, which is the latest stable release. Or a specific version number, eg. 0.2.0",comfy_cli/cmdline.py,419,static source annotation,code-inferred,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.
COMFY-CLI-PARAM-185FFE43BB58,COMFY-CLI-CMD-7EB26619F524,comfy jobs cancel,command,host,option,--host,str | None,string,true,1,0..1 values,false,,{},,,None,false,false,,,comfy_cli/command/jobs.py,961,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-1B228F46EF39,COMFY-CLI-CMD-7EB26619F524,comfy jobs cancel,command,port,option,--port,int | None,integer,true,1,0..1 values,false,,{},,,None,false,false,,,comfy_cli/command/jobs.py,962,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-248723895467,COMFY-CLI-CMD-7EB26619F524,comfy jobs cancel,command,prompt_id,argument,,str,string,false,1,1 value,false,,{},,,<required>,true,false,,The prompt_id to cancel.,comfy_cli/command/jobs.py,960,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
COMFY-CLI-PARAM-F658124CA2A4,COMFY-CLI-CMD-7EB26619F524,comfy jobs cancel,command,where,option,--where,str | None,string,true,1,0..1 values,false,,{},,,None,false,false,,'local' (default) or 'cloud'.,comfy_cli/command/jobs.py,963,static source annotation,code-inferred,missing,Implement natively in Rust/GPUI or expose through Zed's native compatibility service.
