feature_id,code,meaning,hint,source_file,line,evidence_level,tests,target_status,parity_decision
COMFY-CLI-ERROR-0D1ABE92D0C9,ws_disconnected,WebSocket dropped and reconnect failed mid-execution.,check the server is still running; re-run the command,comfy_cli/error_codes.py,101,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-E47ECD04ED59,ws_timeout,WebSocket idle past `--timeout` while waiting for the server.,re-run with a larger `--timeout` (e.g. `--timeout 300`),comfy_cli/error_codes.py,106,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-C50F147C1EC0,prompt_rejected,Server returned 400. `details.node_errors` carries the per-node errors.,inspect `details.node_errors` and fix the workflow,comfy_cli/error_codes.py,111,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-82C822747D3E,client_error,Server rejected the request with an HTTP 4xx that isn't a validation failure (401/403/429/…). `details.status` and `details.body` carry the response.,check `details.body` for the server's message,comfy_cli/error_codes.py,116,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-0F0942BA21C6,server_error,Server returned an HTTP 5xx while submitting the workflow. `details.status` and `details.body` carry the response.,check the ComfyUI server logs,comfy_cli/error_codes.py,122,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-7527F9167136,invalid_response,Server returned HTTP 2xx but the body was unparseable or lacked a `prompt_id`.,check that the host:port really is a ComfyUI server,comfy_cli/error_codes.py,128,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-5B14792B119E,object_info_unavailable,"`/object_info` returned an HTTP error, or an HTTP 200 with an unparseable body. `details.status` and `details.body` carry the response.",check the ComfyUI server logs; restart the server,comfy_cli/error_codes.py,133,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-3D27EB4DE658,prompt_not_found,Asked about a prompt_id the server doesn't know.,`comfy jobs ls` to find a valid prompt_id,comfy_cli/error_codes.py,139,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-E94361F71563,partner_node_requires_credential,"Workflow uses a partner-API node (category `partner/*` — Veo, Kling, BFL, Gemini, etc.) but no `api_key_comfy_org` credential is available. Local submit would succeed at /prompt and then fail opaquely at execute time with `Unauthorized: Please login first`.","re-submit with `--where cloud` (the CLI auto-injects the credential there), or run `comfy auth set comfy-cloud-api-key --key …` so the local submit path can inject it too",comfy_cli/error_codes.py,144,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-3A1A6B3D24B8,workflow_empty,Workflow JSON is an empty object (no nodes).,add at least one node to the workflow,comfy_cli/error_codes.py,152,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-81F87FF16C96,conversion_error,UI-format workflow could not be converted to API format.,export your workflow from ComfyUI via 'File > Export (API)' and retry,comfy_cli/error_codes.py,157,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-4B8560F0C608,conversion_crash,UI-format workflow conversion crashed unexpectedly.,export your workflow from ComfyUI via 'File > Export (API)' and retry,comfy_cli/error_codes.py,162,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-74AA413ECA30,template_not_found,The requested workflow template was not found.,check the template name and try again,comfy_cli/error_codes.py,167,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-C69A6885BED7,gallery_load_failed,Failed to load the workflow gallery.,check your network connection and try again,comfy_cli/error_codes.py,172,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-6001A2A832CB,gallery_fetch_failed,Failed to fetch gallery data from the remote server.,check your network connection and try again,comfy_cli/error_codes.py,177,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-6DFDE9E8FCE9,workflow_unknown_nodes,Workflow references class_type(s) not present in the server's object_info. `details.unknown_nodes` lists each with close_matches.,fix the class_type names; install missing custom nodes,comfy_cli/error_codes.py,182,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-BD63797A0D59,where_invalid,`--where` value was neither `local` nor `cloud`.,use `--where local` or `--where cloud`,comfy_cli/error_codes.py,189,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-2BD6DAECC478,cloud_not_configured,`--where cloud` requested without a stored session.,run `comfy cloud login`,comfy_cli/error_codes.py,194,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-F639F5FDB845,cloud_unauthorized,Cloud rejected the bearer token (missing / expired / invalid).,run `comfy cloud login`,comfy_cli/error_codes.py,199,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-A8EE412F7EDF,cloud_http_error,Cloud returned a non-2xx HTTP error. `details.status` carries the code.,check `details.body` for the server's message,comfy_cli/error_codes.py,204,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-EBD657E4A8F3,cloud_timeout,Cloud wait_for_completion exceeded `--timeout`.,"raise `--timeout`, or `comfy jobs watch <id> --where cloud`",comfy_cli/error_codes.py,209,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-291D82FE37D8,partial_execution,The cloud reported `completed` but returned outputs for fewer output nodes than were submitted — branch(es) were pruned server-side (likely failed validation). Surfaced as a non-fatal warning in `data.warnings`.,inspect the pruned branch's inputs; validate with `comfy --json validate` against `--where cloud` before re-running,comfy_cli/error_codes.py,214,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-63022A10CAE9,invalid_argument,An argument intended for a URL path failed safe-path validation.,"use only alphanumerics, `_`, `-`, or `.` in path-segment arguments",comfy_cli/error_codes.py,223,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-596095C154FC,folder_not_found,Cloud or local server returned 404 for the requested model folder.,list available folders via `comfy models list-folders`,comfy_cli/error_codes.py,228,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-D686C38D5D32,model_not_found,No asset matched the requested model name exactly. `details.close_matches` lists substring hits.,use `comfy models search --text <substring>` to find candidates,comfy_cli/error_codes.py,233,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-3DC32DFEEC1F,models_show_local_unsupported,`comfy models show` needs the cloud asset catalog; local servers don't have one.,for local filename listing use `comfy models list-folder <folder>`,comfy_cli/error_codes.py,238,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-8B5628ADE529,template_fetch_failed,Fetching the per-template workflow JSON from `Comfy-Org/workflow_templates` failed.,"check network; if 404, the gallery and templates dir are out of sync — report upstream",comfy_cli/error_codes.py,243,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-3BA6BD951B12,template_workflow_invalid_json,Upstream `templates/<name>.json` was not parseable JSON.,report at https://github.com/Comfy-Org/workflow_templates/issues,comfy_cli/error_codes.py,248,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-61D6A77BD897,cancel_failed,`comfy jobs cancel` could not reach the local server to cancel the prompt.,check the server is still running on the host/port,comfy_cli/error_codes.py,253,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-CF3CBC17D2A6,auth_invalid_key,Missing or empty `--key` on `comfy auth set`.,pass `--key <KEY>`,comfy_cli/error_codes.py,259,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-C3014447A532,auth_not_found,Tried to remove a provider with no stored key.,`comfy auth list` to see what's stored,comfy_cli/error_codes.py,264,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-EB0979CF813E,auth_not_signed_in,Action requires a Comfy Cloud session.,run `comfy cloud login`,comfy_cli/error_codes.py,269,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-579B0480E713,auth_use_login_for_cloud,`comfy auth set comfy-cloud` is no longer the cloud auth path.,use `comfy cloud login`,comfy_cli/error_codes.py,274,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-1C0FCF8E4837,auth_use_logout_for_cloud,`comfy auth remove comfy-cloud` is no longer the cloud signout path.,use `comfy cloud logout`,comfy_cli/error_codes.py,279,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-6D80F12E6F12,oauth_register_failed,Dynamic client registration (RFC 7591) failed.,check that the cloud server is reachable,comfy_cli/error_codes.py,285,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-0528D7DDB0E0,oauth_authorize_failed,"OAuth authorization step failed (user denied, state mismatch, etc.).",re-run `comfy cloud login`,comfy_cli/error_codes.py,290,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-71528578130E,oauth_token_failed,OAuth token exchange failed.,re-run `comfy cloud login` to start a fresh authorization,comfy_cli/error_codes.py,295,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-627FADCD30BA,oauth_refresh_failed,OAuth token refresh failed.,run `comfy cloud login` to sign in again,comfy_cli/error_codes.py,300,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-022CC13E95EA,oauth_cancelled,OAuth flow was cancelled by the user.,re-run `comfy cloud login` to retry sign-in,comfy_cli/error_codes.py,305,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-5EF435BF6769,oauth_timeout,Timed out waiting for browser callback during OAuth login.,re-run `comfy cloud login` and complete the sign-in in your browser,comfy_cli/error_codes.py,310,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-5AD649ED14F1,watcher_crashed,Background watcher process is no longer running; job state is stale.,"re-submit the workflow, or check `comfy jobs status <id>` against the server",comfy_cli/error_codes.py,316,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-499AF1AB6CB1,watcher_timeout,Background watcher gave up after max runtime without a terminal status.,"the job may still be running — check `comfy jobs status <id>`, or re-watch with a longer `--timeout`",comfy_cli/error_codes.py,321,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-44DA1545B12C,watcher_poll_error,Background watcher encountered a transient error polling the server.,transient — the job is likely still running; re-run `comfy jobs watch <id>`,comfy_cli/error_codes.py,326,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-D3E145783B90,unknown_status_stall,Cloud reported a status the CLI does not recognize and it did not change within the stall window.,check `comfy jobs status <id> --where cloud`; report the status so it can be mapped,comfy_cli/error_codes.py,331,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-BBED5A11606E,no_prompt_ids,`jobs wait` was given no prompt_ids to wait on.,"pass one or more prompt_ids, or `--all` to wait on every locally-tracked job",comfy_cli/error_codes.py,336,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-ABC938582A72,wait_timeout,`jobs wait` gave up before every job reached a terminal state.,"the jobs may still be running — raise `--timeout`, or check `comfy jobs status <id>`",comfy_cli/error_codes.py,341,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-F0D5601E5865,execution_error,ComfyUI reported an execution error for the workflow.,inspect the error details or re-run with `--wait --verbose`,comfy_cli/error_codes.py,346,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-F77D274DCC3A,transient_auth,"An API node's server-side session token expired mid-execution (""Unauthorized: Please login first to use this node""). Transient — not a local credential problem.",resubmit the same workflow — it succeeds on retry; `comfy cloud login` will not help,comfy_cli/error_codes.py,351,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-7B8D39A5A9F9,no_log_file,"`comfy logs` found no captured ComfyUI log — the server was never launched via `comfy launch --background`, or it was launched externally.",start ComfyUI with `comfy launch` so its output is captured,comfy_cli/error_codes.py,358,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-2549F1CACF6D,log_read_failed,`comfy logs` located the logfile but could not read it — it was removed or its permissions changed between the existence check and the read (TOCTOU window).,"check the file still exists and is readable, then retry",comfy_cli/error_codes.py,364,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-C35A95CE801F,missing_argument,Required argument(s) not provided.,run the command with `--help` to see its required arguments,comfy_cli/error_codes.py,371,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-3710CEEB630E,json_incompatible,Requested feature is not available in JSON output mode.,drop `--json` (or pass `--no-json`) for this command,comfy_cli/error_codes.py,376,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-1BC2F67B4DE5,unknown_skill,Requested skill is not in the bundled set.,run `comfy skills list` to see available skills,comfy_cli/error_codes.py,382,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-E6A1E805B376,skill_invalid,"A skill path failed format validation (missing SKILL.md, frontmatter name/description, or name/dir mismatch).",a skill dir must contain SKILL.md with `name:`/`description:` frontmatter; run `comfy skills validate <path>`,comfy_cli/error_codes.py,387,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-79987B7A5C4B,workflow_not_frontend_format,Workflow editing requires the UI export (with `nodes[]` / `links[]`); got API-format. Auto-convert isn't wired yet.,"in ComfyUI, use the regular save (File > Save Workflow) — the API export is for `comfy run`, not for editing",comfy_cli/error_codes.py,393,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-E2D5E2F7B5D6,workflow_slot_invalid,"A slot override failed validation (bad shape, unknown address, etc.).",see `details` — addresses follow `<instance_id>.<input_name>`,comfy_cli/error_codes.py,399,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-2EEDF1E64A08,fragment_invalid,"A workflow fragment file failed schema validation (bad `_fragment` header, missing fields, dangling `binds`, malformed interior node).",see `details.path` and the message — run `comfy workflow fragment validate <path>` to re-check,comfy_cli/error_codes.py,405,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-0D7451E418D8,fragment_lib_not_found,The fragment library directory doesn't exist.,create `./fragments/` (default) or pass `--lib <dir>`,comfy_cli/error_codes.py,411,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-74FE5EE93676,blueprint_not_found,The compose blueprint YAML file doesn't exist.,check the path,comfy_cli/error_codes.py,416,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-AF191E2F8CC6,blueprint_invalid_yaml,The blueprint file isn't valid YAML.,lint with `yamllint` or fix the syntax,comfy_cli/error_codes.py,421,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-C04233021CB5,blueprint_invalid,"The blueprint semantically fails to compose: missing required input/param, unknown input/param key, duplicate alias, or unresolvable cross-step reference.",see `details.step_alias` and the message,comfy_cli/error_codes.py,426,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-363F47E0321F,blueprint_yaml_unavailable,PyYAML is not installed — `comfy workflow compose` needs it to read blueprints.,pip install pyyaml,comfy_cli/error_codes.py,432,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-DAE2000FEDB2,compose_io_error,"Reading the blueprint or writing the composed workflow failed with an OSError (permissions, missing parent dir, disk full, unreadable encoding).",check the path is readable/writable and the disk has space,comfy_cli/error_codes.py,437,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-93E5DF477ECD,workflow_conversion_failed,"`comfy workflow decompose` could not flatten a frontend-format workflow to API format (malformed graph, or object_info that doesn't match the nodes).","re-export from ComfyUI, or pass a matching --input object_info.json",comfy_cli/error_codes.py,443,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-E556CD0D4762,decompose_io_error,"Writing the projected fragment file failed with an OSError (permissions, missing parent dir, disk full).",check the --out/--lib path is writable and the disk has space,comfy_cli/error_codes.py,449,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-0CE9F5F5DF11,preview_input_not_found,The file passed to `comfy preview` doesn't exist or isn't readable.,check the path,comfy_cli/error_codes.py,455,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-B15E93229CFE,ffmpeg_unavailable,`comfy preview` needs ffmpeg + ffprobe on PATH and they weren't found.,install ffmpeg (e.g. `brew install ffmpeg` / `apt install ffmpeg`),comfy_cli/error_codes.py,460,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-06387B7ECAF8,preview_unsupported_media,The file has no image/video/audio stream to preview.,"pass an image, video, or audio file",comfy_cli/error_codes.py,465,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-62B45CFB11F9,preview_failed,ffprobe/ffmpeg failed to probe the file or render the preview image.,check the file isn't corrupt; try a different --grid/--width,comfy_cli/error_codes.py,470,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-EACAA1291574,cql_no_graph,"No object_info source available (no local server, no `--input`).","pass `--input <path>`, or start the server with `comfy launch`",comfy_cli/error_codes.py,476,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-068F848146EA,object_info_stale,Live object_info fetch failed; the response was served from a cached copy that may be out of date. `details.source` has the host key; `details.reason` has the fetch error. Surfaced in `data.warnings[]` (not as an error envelope) so the command still succeeds.,re-run once the server/session is reachable to get a fresh schema,comfy_cli/error_codes.py,481,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-7FA859FA43BB,description_ignored,"`comfy workflow save --where local --description` was given a description, but the local file-backed `/userdata` store has nowhere to keep it. Surfaced in `data.warnings[]` (not as an error envelope) so the save still succeeds.",descriptions are a Comfy Cloud feature; drop `--description` on the local path,comfy_cli/error_codes.py,488,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-C08F80BC6808,cql_query_invalid,Grammar query failed to parse or evaluate.,check the grammar; `comfy nodes ls --help` has examples,comfy_cli/error_codes.py,495,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-13B5508031C6,node_not_found,Requested node class isn't in the loaded environment.,see `details.close_matches` or run `comfy nodes search`,comfy_cli/error_codes.py,500,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-C9C5E54927D5,upload_failed,HTTP error during file upload to the server's input directory.,check the file exists and the server is reachable,comfy_cli/error_codes.py,506,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-996D13D9E35F,download_failed,HTTP error while downloading an output file.,check that the job completed successfully and the server is reachable,comfy_cli/error_codes.py,511,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-370AC5565BF3,download_no_outputs,The job has no output files (yet).,wait for the job to complete before downloading,comfy_cli/error_codes.py,516,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-E23D9BB36FF7,download_no_prompt,No prompt_id was provided to the download command.,"pass a prompt_id argument, or pipe from `comfy --json run --wait`",comfy_cli/error_codes.py,521,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
COMFY-CLI-ERROR-90374BEA2515,download_job_not_found,The prompt_id wasn't found in state files or the server API.,check the prompt_id and ensure the job has completed,comfy_cli/error_codes.py,526,test-backed,tests/comfy_cli/output/test_error_code_registry.py,missing,Preserve stable code and exit semantics at native compatibility surfaces.
