feature_id,name,behavior,source_file,evidence_level,tests,target_status,parity_decision
COMFY-CLI-FORMAT-BF3E064DC11C,update-check.json,Best-effort 24-hour PyPI version cache.,comfy_cli/update.py,test-backed,tests/comfy_cli/test_update.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-B27ECB9A0DD8,skills-manifest.json,"Installed agent-skill provenance, content SHA, and CLI version.",comfy_cli/skills/__init__.py,test-backed,tests/comfy_cli/skills/test_installer.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-97D413B1AEF4,gallery index JSON,XDG-aware cached workflow-template index.,comfy_cli/command/templates.py,test-backed,tests/comfy_cli/command/test_templates.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-C40810B94E5A,OpenAPI cache YAML,Seven-day partner endpoint schema cache at ~/.comfy/openapi-cache.yml.,comfy_cli/command/generate/spec.py,test-backed,tests/comfy_cli/command/generate/test_spec.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-A26EC79A50F5,object_info cache JSON,Atomic per-target schema cache keyed by a SHA-256 target digest.,comfy_cli/cql/loader.py,test-backed,tests/comfy_cli/cql/test_loader_resilient.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-EAF59D690AD0,comfy.lock.yaml,Workspace model/custom-node metadata; README field schema is explicitly beta/WIP.,comfy_cli/workspace_manager.py,test-backed,tests/comfy_cli/test_workspace_manager.py,conflicting,Import only for migration/conformance; production writes a versioned native equivalent and executes no Python.
COMFY-CLI-FORMAT-2EA05906E746,background log text,"Owner-only per-workspace/per-port process log, truncated on launch and bounded in JSON output.",comfy_cli/command/launch.py,test-backed,tests/comfy_cli/command/test_launch_background.py | tests/comfy_cli/command/test_logs.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-A55C30FE4675,custom-node pyproject TOML,Python project plus [tool.comfy] package/registry metadata.,comfy_cli/registry/config_parser.py,test-backed,tests/comfy_cli/registry/test_config_parser.py,conflicting,Import only for migration/conformance; production writes a versioned native equivalent and executes no Python.
COMFY-CLI-FORMAT-966D477B754C,.comfyignore,Pathspec exclusions applied when packing custom nodes.,comfy_cli/command/custom_nodes/command.py,test-backed,tests/comfy_cli/command/nodes/test_pack.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-3F6FF9E8323E,node.zip,Registry upload archive for a custom-node release.,comfy_cli/constants.py,test-backed,tests/comfy_cli/command/nodes/test_pack.py | tests/comfy_cli/command/nodes/test_publish.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-E144F0683059,Manager snapshot,ComfyUI-Manager environment snapshot accepted for save/restore and workflow dependency extraction.,comfy_cli/command/custom_nodes/command.py,test-backed,tests/comfy_cli/command/nodes/test_node_install.py,conflicting,Import only for migration/conformance; production writes a versioned native equivalent and executes no Python.
COMFY-CLI-FORMAT-718A89EA48FA,dependency metadata,"requirements.txt, pyproject.toml, setup.cfg, setup.py, and requirements.compiled inputs.",comfy_cli/uv.py,test-backed,tests/comfy_cli/command/test_cm_cli_util.py | tests/comfy_cli/command/nodes/test_node_install.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-6AC6057FD7DD,media files,Image/video/audio inputs and outputs plus preview PNGs through ffprobe/ffmpeg.,comfy_cli/command/preview.py,test-backed,tests/comfy_cli/command/test_preview.py | tests/comfy_cli/command/test_transfer_download.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-5BEE0EF19C30,model files,".ckpt, .pt, .bin, .pth, and .safetensors discovery/download/removal.",comfy_cli/constants.py,test-backed,tests/comfy_cli/command/models/test_models.py | tests/comfy_cli/command/models/test_search.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-132C36ACF2E2,workflow metadata media,Workflow dependency extraction accepts .json and PNG metadata through Manager.,comfy_cli/command/custom_nodes/command.py,test-backed,tests/comfy_cli/command/nodes/test_node_install.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-0BF4E3D64F3A,python.tgz standalone,Dehydrated standalone Python/Comfy dependency archive.,comfy_cli/standalone.py,test-backed,tests/comfy_cli/test_standalone.py,conflicting,Import only for migration/conformance; production writes a versioned native equivalent and executes no Python.
COMFY-CLI-FORMAT-E1CD42A23374,PR cache metadata JSON,Seven-day/ten-item frontend PR cache record and dist directory.,comfy_cli/pr_cache.py,test-backed,tests/comfy_cli/command/test_frontend_pr.py | tests/comfy_cli/command/test_launch_frontend_pr.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-021F28CF231A,run journal JSONL,Append-only best-effort project run provenance.,comfy_cli/project.py,test-backed,tests/comfy_cli/test_project.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-E7974591F467,agent skill files,"SKILL.md, Cursor .mdc, and fenced AGENTS.md blocks with manifest state.",comfy_cli/skills/__init__.py,test-backed,tests/comfy_cli/skills/test_installer.py,missing,Implement natively in Rust and preserve the observable contract.
COMFY-CLI-FORMAT-7C087615FE88,multipart transfer,Upload/image requests and downloaded output bytes with redirect/auth controls.,comfy_cli/command/transfer.py,test-backed,tests/comfy_cli/command/test_transfer_upload.py | tests/comfy_cli/command/test_transfer_redirect.py,missing,Implement natively in Rust and preserve the observable contract.
