feature_id,placement,owner_task_id,command_id,disposition,native_action,context_action,context_infrastructure,context_surface,rationale
COMFY-MENU-072,AssetBrowser,comfy-parity-assets-editors-viewers,,gated-or-deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-073,AssetBrowser,comfy-parity-assets-editors-viewers,,gated-or-deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-074,AssetBrowser,comfy-parity-assets-editors-viewers,,gated-or-deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-075,AssetBrowser,comfy-parity-assets-editors-viewers,,gated-or-deferred,,,,,"asset browsing, filtering, settings, and media context surface"
COMFY-MENU-076,NodeLibrary,comfy-parity-assets-editors-viewers,,deferred,,,,,node library and tree-folder context surface
COMFY-MENU-077,NodeLibrary,comfy-parity-assets-editors-viewers,,deferred,,,,,node library and tree-folder context surface
COMFY-MENU-078,NodeLibrary,comfy-parity-assets-editors-viewers,,deferred,,,,,node library and tree-folder context surface
COMFY-MENU-079,Settings,comfy-parity-settings-localization-ui,,deferred,,,,,"keybinding, theme, and settings surface"
COMFY-MENU-080,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ToggleNodesTwo,,Canvas,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-081,WorkspaceShell,comfy-parity-workflow-experience,,deferred,,,,,"workflow lifecycle, template, tab, and App Builder surface"
COMFY-MENU-082,Settings,comfy-parity-settings-localization-ui,,deferred,,,,,"keybinding, theme, and settings surface"
COMFY-MENU-083,ExtensionHost,comfy-parity-assets-editors-viewers,,gated-or-deferred,,,,,extension manager and custom-node discovery surface
COMFY-MENU-084,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-085,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-086,Account,comfy-parity-auth-cloud-telemetry,,gated-or-deferred,,,,,"profile, workspace membership, and authenticated cloud surface"
COMFY-MENU-087,Account,comfy-parity-auth-cloud-telemetry,,gated-or-deferred,,,,,"profile, workspace membership, and authenticated cloud surface"
COMFY-MENU-088,Account,comfy-parity-auth-cloud-telemetry,,gated-or-deferred,,,,,"profile, workspace membership, and authenticated cloud surface"
COMFY-MENU-089,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-090,HelpCenter,comfy-parity-backward-compatibility,,legacy,,,,,inactive legacy website navigation surface
COMFY-MENU-091,HelpCenter,comfy-parity-backward-compatibility,,legacy,,,,,inactive legacy website navigation surface
COMFY-MENU-092,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-093,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-094,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-095,Account,comfy-parity-auth-cloud-telemetry,,gated-or-deferred,,,,,"profile, workspace membership, and authenticated cloud surface"
COMFY-MENU-096,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-097,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-098,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-099,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-100,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-101,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-102,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-103,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-104,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-105,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-106,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-107,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-108,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-109,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-110,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-111,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-112,HelpCenter,comfy-parity-backward-compatibility,,legacy,,,,,inactive legacy website navigation surface
COMFY-MENU-113,HelpCenter,comfy-parity-settings-localization-ui,,deferred,,,,,"help, documentation, public navigation, and discoverability surface"
COMFY-MENU-114,GraphWorkspace,comfy-parity-assets-editors-viewers,,deferred,,,,,"node creation, node information, and node-template surface"
COMFY-MENU-115,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,AddGroup,,Canvas,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-116,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,Paste,,Canvas,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-117,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ConvertToSubgraph,,Selection,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-118,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,AlignSelection,,Selection,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-119,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ConvertToSubgraph,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-120,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,OpenNodeProperties,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-121,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,OpenNodePropertiesPanel,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-122,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,RenameNode,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-123,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ChooseNodeMode,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-124,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,AdjustNodeSize,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-125,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ToggleNodeCollapse,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-126,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ToggleAdvancedWidgets,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-127,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ToggleNodePin,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-128,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ChooseNodeColor,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-129,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,ChooseNodeShape,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-130,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,DuplicateSelection,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-131,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,AlignSelection,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-132,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,DistributeSelection,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
COMFY-MENU-133,GraphWorkspace,comfy-parity-graph-context-menu-surfaces,,native,,DeleteSelection,,Node,"native graph, selection, node, group, reroute, and subgraph context menu"
