feature_id,path,top_level,hidden,classification,availability,evidence_level,confidence,help,source_file,symbol,line,registration,tests,target_status,parity_decision,notes
COMFY-CLI-CMD-0BEDBDC5A1B0,comfy code-search,code-search,false,reachable CLI leaf,active,code-inferred,high,Search code across ComfyUI repositories.,comfy_cli/command/code_search.py,code_search,147,callback leaf alias,tests/comfy_cli/command/test_code_search.py | tests/comfy_cli/command/test_command_init.py,deferred,Retain as an explicit contract; implement only through approved native service integration.,
COMFY-CLI-CMD-078208D4B0C0,comfy cs,cs,true,reachable CLI leaf,developer-only,code-inferred,high,Search code across ComfyUI repositories.,comfy_cli/command/code_search.py,code_search,147,callback leaf alias,tests/comfy_cli/command/test_code_search.py | tests/comfy_cli/command/test_command_init.py,deferred,Retain as an explicit contract; implement only through approved native service integration.,
COMFY-CLI-CMD-926F4E2F5058,comfy dependency,dependency,ambiguous,reachable CLI leaf,active,code-inferred,high,,comfy_cli/cmdline.py,dependency,1509,decorator,tests/comfy_cli/command/nodes/test_node_install.py | tests/comfy_cli/command/test_cm_cli_util.py | tests/comfy_cli/registry/test_config_parser.py | tests/comfy_cli/test_cmdline_python_resolution.py | tests/comfy_cli/test_install_python_resolution.py | tests/uv/test_uv.py,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.,2 registrations collapse to one path; stacked visible and hidden decorators create conflicting presentation metadata
COMFY-CLI-CMD-3C3A8A6D0DFF,comfy discover,discover,false,reachable CLI leaf,active,code-inferred,high,"Emit a self-describing surface (commands, schemas, error codes) for agents.",comfy_cli/cmdline.py,discover,1320,decorator,tests/comfy_cli/auth/test_where.py | tests/comfy_cli/command/models/test_search.py | tests/comfy_cli/command/test_assets_push.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/command/test_run_cli.py | tests/comfy_cli/command/test_workflow_slots.py | tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/output/test_branding.py | tests/comfy_cli/output/test_discovery.py | tests/comfy_cli/output/test_error_code_registry.py | tests/comfy_cli/output/test_panels.py | tests/comfy_cli/skills/test_installer.py | tests/comfy_cli/test_cmdline_python_resolution.py | tests/comfy_cli/test_project.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-42180AF40C34,comfy download,download,false,reachable CLI leaf,active,code-inferred,high,Download outputs from a completed job. Reads prompt_id from argument or piped stdin.,comfy_cli/cmdline.py,download,991,decorator,tests/comfy_cli/command/generate/test_app.py | tests/comfy_cli/command/generate/test_app_lifecycle.py | tests/comfy_cli/command/generate/test_output.py | tests/comfy_cli/command/generate/test_upload.py | tests/comfy_cli/command/generate/test_video_poll.py | tests/comfy_cli/command/github/test_pr.py | tests/comfy_cli/command/models/test_models.py | tests/comfy_cli/command/nodes/test_node_install.py | tests/comfy_cli/command/test_observer_session_safety.py | tests/comfy_cli/command/test_run.py | tests/comfy_cli/command/test_transfer_download.py | tests/comfy_cli/command/test_transfer_redirect.py | tests/comfy_cli/command/test_transfer_upload.py | tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/output/test_help_json.py | tests/comfy_cli/registry/test_api.py | tests/comfy_cli/test_aria2_download.py | tests/comfy_cli/test_cmdline_python_resolution.py | tests/comfy_cli/test_install_python_resolution.py | tests/comfy_cli/test_models_python_resolution.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-9DE8311FCE5F,comfy env,env,false,reachable CLI leaf,active,code-inferred,high,Print out current environment variables.,comfy_cli/cmdline.py,env,1362,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/auth/test_oauth.py | tests/comfy_cli/auth/test_where.py | tests/comfy_cli/command/generate/test_app.py | tests/comfy_cli/command/generate/test_app_lifecycle.py | tests/comfy_cli/command/generate/test_client.py | tests/comfy_cli/command/generate/test_emit.py | tests/comfy_cli/command/github/test_pr.py | tests/comfy_cli/command/models/test_search.py | tests/comfy_cli/command/nodes/test_publish.py | tests/comfy_cli/command/test_asset_refs.py | tests/comfy_cli/command/test_assets_push.py | tests/comfy_cli/command/test_cm_cli_util.py | tests/comfy_cli/command/test_code_search.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_logs.py | tests/comfy_cli/command/test_manager_gui.py | tests/comfy_cli/command/test_nodes_cli.py | tests/comfy_cli/command/test_nodes_introspect.py | tests/comfy_cli/command/test_project_command.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-78D1C8647E7C,comfy feedback,feedback,false,reachable CLI leaf,active,code-inferred,high,Provide feedback on the Comfy CLI tool. Pass it inline to send in one shot.,comfy_cli/cmdline.py,feedback,1417,decorator,tests/comfy_cli/output/test_discovery.py | tests/comfy_cli/test_cmdline_python_resolution.py | tests/comfy_cli/test_feedback_commands.py | tests/comfy_cli/test_tracking.py,deferred,Retain as an explicit contract; implement only through approved native service integration.,
COMFY-CLI-CMD-4009084CC721,comfy generate,generate,false,reachable CLI leaf,cloud/paid,code-inferred,high,Generate media through one of 52 schema-driven partner endpoints or perform list/schema/refresh/upload/resume actions.,comfy_cli/command/generate/app.py,register_with._generate_entry,40,dynamic register_with,tests/comfy_cli/command/generate/test_app.py | tests/comfy_cli/command/generate/test_app_lifecycle.py,deferred,Retain as an explicit contract; implement only through approved native service integration.,
COMFY-CLI-CMD-AE3FB797266C,comfy help,help,false,reachable CLI leaf,active,code-inferred,high,Display help for commands,comfy_cli/cmdline.py,help,127,decorator,tests/comfy_cli/command/generate/test_adapters.py | tests/comfy_cli/command/generate/test_app.py | tests/comfy_cli/command/generate/test_app_lifecycle.py | tests/comfy_cli/command/generate/test_upload.py | tests/comfy_cli/command/generate/test_video_poll.py | tests/comfy_cli/command/models/test_search.py | tests/comfy_cli/command/nodes/test_node_install.py | tests/comfy_cli/command/test_asset_refs.py | tests/comfy_cli/command/test_manager_gui.py | tests/comfy_cli/command/test_npm_help.py | tests/comfy_cli/command/test_run.py | tests/comfy_cli/command/test_templates.py | tests/comfy_cli/command/test_transfer_upload.py | tests/comfy_cli/command/test_var_refs.py | tests/comfy_cli/command/test_workflow_fragments.py | tests/comfy_cli/cql/test_engine.py | tests/comfy_cli/cql/test_loader_resilient.py | tests/comfy_cli/cql/test_net.py | tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/output/test_branding.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-1D725BCB02CF,comfy install,install,false,reachable CLI leaf,active,code-inferred,high,Download and install ComfyUI and ComfyUI-Manager,comfy_cli/cmdline.py,install,411,decorator,tests/comfy_cli/auth/test_oauth.py | tests/comfy_cli/command/github/test_pr.py | tests/comfy_cli/command/nodes/test_node_install.py | tests/comfy_cli/command/nodes/test_publish.py | tests/comfy_cli/command/test_assets_push.py | tests/comfy_cli/command/test_cm_cli_util.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_frontend_pr.py | tests/comfy_cli/command/test_launch_frontend_pr.py | tests/comfy_cli/command/test_manager_gui.py | tests/comfy_cli/command/test_npm_help.py | tests/comfy_cli/command/test_preview.py | tests/comfy_cli/command/test_transfer_upload.py | tests/comfy_cli/conftest.py | tests/comfy_cli/output/test_branding.py | tests/comfy_cli/output/test_cancellation.py | tests/comfy_cli/output/test_help_json.py | tests/comfy_cli/output/test_renderer.py | tests/comfy_cli/registry/test_api.py,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.,
COMFY-CLI-CMD-7EB26619F524,comfy jobs cancel,jobs,false,reachable CLI leaf,active,code-inferred,high,Cancel a job. Idempotent — calling on an already-terminal prompt returns ok.,comfy_cli/command/jobs.py,cancel_cmd,959,decorator,tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/test_jobs_state.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-D5C6B6A5304A,comfy jobs ls,jobs,false,reachable CLI leaf,active,code-inferred,high,List jobs: locally-tracked async submits + server queue/history.,comfy_cli/command/jobs.py,ls_cmd,352,decorator,tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/test_jobs_state.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-CE8B0C60703F,comfy jobs status,jobs,false,reachable CLI leaf,active,code-inferred,high,Show the status of a single prompt_id (local or --where cloud).,comfy_cli/command/jobs.py,status_cmd,589,decorator,tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/skills/test_installer.py | tests/comfy_cli/test_jobs_state.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-0DCAB9115E78,comfy jobs wait,jobs,false,reachable CLI leaf,active,code-inferred,high,Block until ALL given prompt_ids reach a terminal state; emit a summary.,comfy_cli/command/jobs.py,wait_cmd,840,decorator,tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/test_jobs_state.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-0210446D9C2D,comfy jobs watch,jobs,false,reachable CLI leaf,active,code-inferred,high,Tail live execution events for a prompt_id (WS local / polling cloud).,comfy_cli/command/jobs.py,watch_cmd,1127,decorator,tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/test_jobs_state.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-704AAB5AC1A0,comfy launch,launch,false,reachable CLI leaf,active,code-inferred,high,Launch ComfyUI: ?[--background] ?[-- <extra args ...>],comfy_cli/cmdline.py,launch,1092,decorator,tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_launch_background.py | tests/comfy_cli/command/test_launch_frontend_pr.py | tests/comfy_cli/command/test_logs.py | tests/comfy_cli/command/test_manager_gui.py | tests/comfy_cli/command/test_workflow_saved.py | tests/comfy_cli/output/test_branding.py | tests/comfy_cli/output/test_help_json.py | tests/comfy_cli/output/test_panels.py | tests/comfy_cli/test_cmdline_python_resolution.py | tests/comfy_cli/test_config_manager.py | tests/comfy_cli/test_launch_python_resolution.py | tests/e2e/test_e2e.py | tests/e2e/test_e2e_uv_compile.py,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.,
COMFY-CLI-CMD-95F616C80614,comfy logs,logs,false,reachable CLI leaf,active,code-inferred,high,Show the captured background ComfyUI log (from `comfy launch --background`).,comfy_cli/cmdline.py,logs,1109,decorator,tests/comfy_cli/command/test_logs.py | tests/comfy_cli/test_cmdline_python_resolution.py | tests/comfy_cli/test_config_manager.py,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.,
COMFY-CLI-CMD-E0A17FC7F11C,comfy manager clear,manager,false,reachable CLI leaf,active,code-inferred,high,Clear reserved startup action in ComfyUI-Manager,comfy_cli/command/custom_nodes/command.py,clear,447,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/auth/test_oauth.py | tests/comfy_cli/auth/test_where.py | tests/comfy_cli/command/github/test_pr.py | tests/comfy_cli/command/test_asset_refs.py | tests/comfy_cli/command/test_assets_push.py | tests/comfy_cli/command/test_cm_cli_util.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_manager_gui.py | tests/comfy_cli/command/test_observer_session_safety.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/command/test_var_refs.py | tests/comfy_cli/command/test_workflow_fragments.py | tests/comfy_cli/cql/test_loader_resilient.py | tests/comfy_cli/registry/test_config_parser.py | tests/comfy_cli/test_aria2_download.py | tests/comfy_cli/test_config_manager.py | tests/comfy_cli/test_env_checker.py | tests/comfy_cli/test_feedback_commands.py,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.,
COMFY-CLI-CMD-5EF3F3311A22,comfy manager disable,manager,false,reachable CLI leaf,active,code-inferred,high,Disable ComfyUI-Manager completely,comfy_cli/command/custom_nodes/command.py,disable_manager,262,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_manager_gui.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_feedback_commands.py,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.,
COMFY-CLI-CMD-C56F3EF316D7,comfy manager disable-gui,manager,false,reachable CLI leaf,active,code-inferred,high,Enable ComfyUI-Manager without GUI,comfy_cli/command/custom_nodes/command.py,disable_gui,282,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_manager_gui.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_feedback_commands.py,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.,
COMFY-CLI-CMD-AEE61D18EC5B,comfy manager enable-gui,manager,false,reachable CLI leaf,active,code-inferred,high,Enable ComfyUI-Manager with new GUI,comfy_cli/command/custom_nodes/command.py,enable_gui,272,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_cm_cli_util.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_manager_gui.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_feedback_commands.py,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.,
COMFY-CLI-CMD-BADED7CF1202,comfy manager enable-legacy-gui,manager,false,reachable CLI leaf,active,code-inferred,high,Enable ComfyUI-Manager with legacy GUI,comfy_cli/command/custom_nodes/command.py,enable_legacy_gui,292,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_manager_gui.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_feedback_commands.py,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.,
COMFY-CLI-CMD-88BED798528E,comfy manager migrate-legacy,manager,false,reachable CLI leaf,active,code-inferred,high,Migrate legacy git-cloned ComfyUI-Manager to .disabled,comfy_cli/command/custom_nodes/command.py,migrate_legacy,302,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_manager_gui.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_feedback_commands.py,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.,
COMFY-CLI-CMD-BA3D36D7F3C8,comfy manager uv-compile-default,manager,false,reachable CLI leaf,active,code-inferred,high,Set whether --uv-compile is used by default for custom node operations,comfy_cli/command/custom_nodes/command.py,uv_compile_default,429,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_command_init.py | tests/comfy_cli/command/test_manager_gui.py | tests/comfy_cli/command/test_project_command.py | tests/comfy_cli/test_feedback_commands.py | tests/e2e/test_e2e.py,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.,
COMFY-CLI-CMD-73E7FD254830,comfy model download,model,false,reachable CLI leaf,active,code-inferred,high,Download model file from url,comfy_cli/command/models/models.py,download,202,decorator,tests/comfy_cli/command/generate/test_app.py | tests/comfy_cli/command/generate/test_app_lifecycle.py | tests/comfy_cli/command/generate/test_output.py | tests/comfy_cli/command/generate/test_upload.py | tests/comfy_cli/command/generate/test_video_poll.py | tests/comfy_cli/command/github/test_pr.py | tests/comfy_cli/command/models/test_models.py | tests/comfy_cli/command/nodes/test_node_install.py | tests/comfy_cli/command/test_observer_session_safety.py | tests/comfy_cli/command/test_run.py | tests/comfy_cli/command/test_transfer_download.py | tests/comfy_cli/command/test_transfer_redirect.py | tests/comfy_cli/command/test_transfer_upload.py | tests/comfy_cli/jobs/test_jobs.py | tests/comfy_cli/output/test_help_json.py | tests/comfy_cli/registry/test_api.py | tests/comfy_cli/test_aria2_download.py | tests/comfy_cli/test_install_python_resolution.py | tests/comfy_cli/test_models_python_resolution.py | tests/comfy_cli/test_standalone.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-2F3265AA0BF5,comfy model list,model,false,reachable CLI leaf,active,code-inferred,high,Display a list of all models currently downloaded in a table format.,comfy_cli/command/models/models.py,list_command,451,decorator,tests/comfy_cli/command/models/test_models.py | tests/comfy_cli/command/test_launch_frontend_pr.py | tests/comfy_cli/test_models_python_resolution.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-AA2ACE85EF11,comfy model remove,model,false,reachable CLI leaf,active,code-inferred,high,"Remove one or more downloaded models, either by specifying them directly or through an interactive selection.",comfy_cli/command/models/models.py,remove,374,decorator,tests/comfy_cli/auth/test_auth_command.py | tests/comfy_cli/auth/test_oauth.py | tests/comfy_cli/auth/test_store.py | tests/comfy_cli/command/models/test_models.py | tests/comfy_cli/command/test_launch_background.py | tests/comfy_cli/command/test_nodes_cli.py | tests/comfy_cli/command/test_npm_help.py | tests/comfy_cli/command/test_run.py | tests/comfy_cli/command/test_workflow_fragments.py | tests/comfy_cli/output/test_discovery.py | tests/comfy_cli/output/test_error_code_registry.py | tests/comfy_cli/skills/test_installer.py | tests/comfy_cli/test_aria2_download.py | tests/comfy_cli/test_config_manager.py | tests/comfy_cli/test_global_python_install.py | tests/comfy_cli/test_models_python_resolution.py | tests/comfy_cli/test_resolve_python.py | tests/comfy_cli/test_update.py | tests/e2e/test_e2e.py | tests/e2e/test_e2e_uv_compile.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-33F9DE2059B6,comfy models list-folder,models,false,reachable CLI leaf,active,code-inferred,high,List model files in a specific folder. Returns name + pathIndex per entry — no enrichment.,comfy_cli/command/models/search.py,list_folder_cmd,222,decorator,tests/comfy_cli/command/models/test_search.py | tests/comfy_cli/command/test_code_search.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-9784AD26C3AE,comfy models list-folders,models,false,reachable CLI leaf,active,code-inferred,high,"List model folders available to the resolved backend (cloud: /api/experiment/models, local: /models).",comfy_cli/command/models/search.py,list_folders_cmd,156,decorator,tests/comfy_cli/command/models/test_search.py | tests/comfy_cli/command/test_code_search.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-EC1B2AD720A3,comfy models search,models,false,reachable CLI leaf,active,code-inferred,high,Search models. Cloud: enriched via /api/assets. Local: filename substring on /models/<folder>.,comfy_cli/command/models/search.py,search_cmd,441,decorator,tests/comfy_cli/command/models/test_search.py | tests/comfy_cli/command/test_code_search.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-5434AE46FE8E,comfy models show,models,false,reachable CLI leaf,active,code-inferred,high,Show one model by exact name. Surfaces both metadata bags verbatim alongside the projected row.,comfy_cli/command/models/search.py,show_cmd,529,decorator,tests/comfy_cli/command/models/test_search.py | tests/comfy_cli/command/test_code_search.py,missing,Implement natively in Rust/GPUI or expose through Sim's native compatibility service.,
COMFY-CLI-CMD-33A7FA97E791,comfy node bisect bad,node,false,reachable CLI leaf,active,code-inferred,high,"Mark the current active set as bad, indicating the problem is within the test set.",comfy_cli/command/custom_nodes/bisect_custom_nodes.py,bad,201,decorator,tests/comfy_cli/auth/test_oauth.py | tests/comfy_cli/cloud/test_client.py | tests/comfy_cli/command/generate/test_app.py | tests/comfy_cli/command/generate/test_client.py | tests/comfy_cli/command/generate/test_schema.py | tests/comfy_cli/command/github/test_pr.py | tests/comfy_cli/command/models/test_search.py | tests/comfy_cli/command/nodes/test_bisect_custom_nodes.py | tests/comfy_cli/command/nodes/test_node_install.py | tests/comfy_cli/command/nodes/test_publish.py | tests/comfy_cli/command/test_run.py | tests/comfy_cli/command/test_run_json.py | tests/comfy_cli/command/test_var_refs.py | tests/comfy_cli/command/test_workflow_fragments.py | tests/comfy_cli/command/test_workflow_saved.py | tests/comfy_cli/command/test_workflow_slots.py | tests/comfy_cli/cql/test_engine.py | tests/comfy_cli/cql/test_loader.py | tests/comfy_cli/output/test_branding.py | tests/comfy_cli/output/test_error_code_registry.py,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.,
COMFY-CLI-CMD-A713422101BB,comfy node bisect good,node,false,reachable CLI leaf,active,code-inferred,high,"Mark the current active set as good, indicating the problem is outside the test set.",comfy_cli/command/custom_nodes/bisect_custom_nodes.py,good,182,decorator,tests/comfy_cli/auth/test_oauth.py | tests/comfy_cli/auth/test_where.py | tests/comfy_cli/command/nodes/test_bisect_custom_nodes.py | tests/comfy_cli/test_project.py,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.,
COMFY-CLI-CMD-6309E11C704C,comfy node bisect reset,node,false,reachable CLI leaf,active,code-inferred,high,Reset the current bisect session.,comfy_cli/command/custom_nodes/bisect_custom_nodes.py,reset,220,decorator,tests/comfy_cli/cloud/test_client.py | tests/comfy_cli/command/github/test_pr.py | tests/comfy_cli/command/models/test_search.py | tests/comfy_cli/command/nodes/test_bisect_custom_nodes.py | tests/comfy_cli/command/test_asset_refs.py | tests/comfy_cli/command/test_assets_push.py | tests/comfy_cli/command/test_command.py | tests/comfy_cli/command/test_logs.py | tests/comfy_cli/command/test_nodes_cli.py | tests/comfy_cli/command/test_nodes_introspect.py | tests/comfy_cli/command/test_observer_session_safety.py | tests/comfy_cli/command/test_run_json.py | tests/comfy_cli/command/test_templates.py | tests/comfy_cli/command/test_transfer_download.py | tests/comfy_cli/command/test_transfer_upload.py | tests/comfy_cli/command/test_var_refs.py | tests/comfy_cli/command/test_workflow_fragments.py | tests/comfy_cli/command/test_workflow_saved.py | tests/comfy_cli/command/test_workflow_slots.py | tests/comfy_cli/conftest.py,conflicting,Replace with native Rust runtime/plugin lifecycle; production must never spawn Python or cm-cli.,
