feature_id,storage,key_or_pattern,purpose,availability,evidence_level,value_shape,security_classification,recovery_behavior,source_evidence
COMFY-GRAPH-014,localStorage,litegrapheditor_clipboard,literal use in src/lib/litegraph/src/LGraphCanvas.ts,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/lib/litegraph/src/LGraphCanvas.ts
COMFY-WORKFLOW-017,localStorage,litegrapheditor_clipboard,literal use in src/platform/workflow/core/services/workflowService.ts,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/platform/workflow/core/services/workflowService.ts
COMFY-GRAPH-015,localStorage,litegrapheditor_clipboard,literal use in src/scripts/app.ts,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/scripts/app.ts
COMFY-WORKFLOW-018,localStorage,litegrapheditor_clipboard,serialized graph clipboard and node templates,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,src/lib/litegraph/src/LGraphCanvas.ts; src/extensions/core/nodeTemplates.ts; src/platform/workflow/core/services/workflowService.ts
COMFY-CLOUD-073,localStorage,team_workspaces_enabled,VueUse storage in src/platform/remoteConfig/remoteConfig.ts,active,code-inferred,boolean or serialized boolean,nonsensitive preference or feature-state value,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,VueUse storage in src/platform/remoteConfig/remoteConfig.ts
COMFY-CLOUD-074,localStorage,team_workspaces_enabled,cached authenticated feature gate,active,code-inferred,boolean or serialized boolean,nonsensitive preference or feature-state value,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,Static browser-storage scan retained by COMFY-CLOUD-074; cached authenticated feature gate
COMFY-WORKFLOW-019,localStorage,workflow,literal use in src/platform/workflow/persistence/stores/workflowDraftStoreV2.ts,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/platform/workflow/persistence/stores/workflowDraftStoreV2.ts
COMFY-WORKFLOW-020,localStorage,workflow,literal use in src/services/useNewUserService.ts,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/services/useNewUserService.ts
COMFY-CLOUD-075,sessionStorage,Comfy.Workflow.ActivePath:{clientId},active workflow pointer with workspace ID,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,src/platform/workflow/persistence/base/storageKeys.ts; src/platform/workflow/persistence/stores/workflowDraftStoreV2.ts; src/services/useNewUserService.ts
COMFY-WORKFLOW-021,sessionStorage,Comfy.Workflow.OpenPaths:{clientId},ordered open workflow pointers and active index,active,code-inferred,"JSON workflow document, index, pointer, or graph clipboard value as defined by the cited consumer","potentially sensitive workflow names, paths, prompts, and graph content",Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,src/platform/workflow/persistence/base/storageKeys.ts; src/platform/workflow/persistence/stores/workflowDraftStoreV2.ts; src/services/useNewUserService.ts
COMFY-SETTING-012,sessionStorage,clientId,WebSocket/browser-tab client identity,active,code-inferred,string identifier,pseudonymous browser-tab/WebSocket correlation identifier,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,src/scripts/api.ts; browser_tests/fixtures/ComfyPage.ts
COMFY-SETTING-013,sessionStorage,clientId,literal use in src/scripts/api.ts,active,code-inferred,string identifier,pseudonymous browser-tab/WebSocket correlation identifier,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,literal use in src/scripts/api.ts
COMFY-SETTING-014,window.name,clientId,WebSocket identity reused by reload but not duplicated tab,active,code-inferred,string identifier,pseudonymous browser-tab/WebSocket correlation identifier,Storage parsing/quota failures use the cited call-site fallback; invalid workflow state is ignored or pruned without deleting unrelated drafts.,src/scripts/api.ts; browser_tests/fixtures/ComfyPage.ts
COMFY-PERSIST-001,localStorage,Comfy.RerouteNode.DefaultVisibility,Default visibility of reroute output type labels,active,code-inferred,string marker `true` or absent,nonsensitive UI preference,Missing or deleted key restores hidden-by-default behavior,src/extensions/core/rerouteNode.ts:274-283
COMFY-PERSIST-002,localStorage,Comfy.MenuPosition.Floating,Floating action-bar coordinates,active,code-inferred,"JSON object `{x:number,y:number}`",nonsensitive UI layout,"VueUse falls back to `{x:0,y:0}` when no value exists",src/components/actionbar/ComfyActionbar.vue:153-156
COMFY-PERSIST-003,localStorage,maskeditor_brush_settings,Mask-editor brush settings across sessions,active,test-backed,"JSON Brush `{size,opacity,hardness,type,stepSize?}`",nonsensitive editor preference,Malformed or unavailable storage is logged and ignored; missing stepSize defaults to 5,src/composables/maskeditor/useBrushPersistence.ts:7-47; src/composables/maskeditor/useBrushPersistence.test.ts
COMFY-PERSIST-004,localStorage,comfy_api_key,Comfy API authentication credential,conditional,code-inferred,raw API-key string or null,secret-bearing; source stores a raw bearer-equivalent credential in browser localStorage,Invalid or unassociated keys are cleared and surface a localized error; storage failures surface an error toast; Zed must use a secure secret provider/reference and never store raw key bytes in settings or workspace data,src/stores/apiKeyAuthStore.ts:15-101
COMFY-PERSIST-005,localStorage,closedBanners,Website announcement dismissals keyed by content-and-locale version,active,test-backed,"JSON `Record<bannerVersion,boolean>`",nonsensitive website preference,Malformed/unavailable storage falls back to no dismissals; write failure leaves the banner visible on later loads,apps/website/src/utils/banner.ts:7; apps/website/src/composables/useBannerDismissal.ts:5-21
COMFY-PERSIST-006,sessionStorage,Comfy.Workspace.Current,Current personal or team workspace context,cloud/paid,test-backed,"JSON workspace-with-role object",sensitive account/workspace context,Missing partial malformed or expired session data clears all workspace-session keys and falls back to unauthenticated/personal context,src/platform/workspace/workspaceConstants.ts:3; src/platform/workspace/stores/workspaceAuthStore.ts:212-280; src/platform/workspace/stores/useWorkspaceAuth.test.ts
COMFY-PERSIST-007,sessionStorage,Comfy.Workspace.Token,Current workspace authorization token,cloud/paid,test-backed,raw workspace token string,secret-bearing session credential,Missing partial malformed or expired session data clears token workspace and expiry together; Zed must use a secure ephemeral credential store and never serialize raw token bytes to workspace/settings data,src/platform/workspace/workspaceConstants.ts:4; src/platform/workspace/stores/workspaceAuthStore.ts:212-280; src/platform/workspace/stores/useWorkspaceAuth.test.ts
COMFY-PERSIST-008,sessionStorage,Comfy.Workspace.ExpiresAt,Workspace-token expiry,cloud/paid,test-backed,base-10 epoch-millisecond string,sensitive session metadata,Non-numeric expired missing or partial state clears all workspace-session keys before reauthentication,src/platform/workspace/workspaceConstants.ts:5; src/platform/workspace/stores/workspaceAuthStore.ts:212-280; src/platform/workspace/stores/useWorkspaceAuth.test.ts
COMFY-PERSIST-009,localStorage,pending_topup_timestamp,Pending API-credit top-up correlation marker,cloud/paid,test-backed,base-10 epoch-millisecond string,sensitive billing activity metadata,Marker is consumed on focus or removed after completion; values older than 24 hours are deleted without success telemetry,src/platform/telemetry/topupTracker.ts:4-83; src/platform/telemetry/topupTracker.test.ts
COMFY-PERSIST-010,localStorage,comfy_checkout_attribution,Checkout attribution captured from URL and analytics providers,cloud/paid,test-backed,"JSON partial record of im_ref/UTM/click identifiers",sensitive marketing and cross-site attribution identifiers,Malformed or unavailable storage becomes an empty record; time-bounded analytics-provider reads fail closed and writes are best effort,src/platform/telemetry/utils/checkoutAttribution.ts:20-54; src/platform/telemetry/utils/__tests__/checkoutAttribution.test.ts
COMFY-PERSIST-011,localStorage,Comfy.SurveyState,Nightly feature-survey opt-out cooldown and seen timestamps,experimental,test-backed,"JSON `{optedOut:boolean,seenSurveys:Record<featureId,epochMs>}`",nonsensitive product-research preference,VueUse restores defaults when absent; reset replaces the entire record and eligibility remains gated to nightly localhost,src/platform/surveys/useSurveyEligibility.ts:19-99; src/platform/surveys/useSurveyEligibility.test.ts
COMFY-PERSIST-012,localStorage,Comfy.FeatureUsage,Per-feature usage counters used for survey eligibility,experimental,test-backed,"JSON `Record<featureId,{useCount,firstUsed,lastUsed}>`",behavioral telemetry stored locally,Missing feature entries read as zero; reset removes only the named feature and malformed storage follows VueUse fallback behavior,src/platform/surveys/useFeatureUsageTracker.ts:4-48; src/platform/surveys/useFeatureUsageTracker.test.ts
COMFY-PERSIST-013,localStorage,Comfy.ConflictModalDismissed,Custom-node conflict modal acknowledgment,active,test-backed,JSON boolean,nonsensitive manager UI acknowledgment,Absent value defaults false; resetting conflict acknowledgments makes the modal eligible again,src/workbench/extensions/manager/composables/useConflictAcknowledgment.ts:9-31; src/workbench/extensions/manager/composables/useConflictAcknowledgment.test.ts
COMFY-PERSIST-014,localStorage,Comfy.ConflictRedDotDismissed,Custom-node conflict red-dot acknowledgment,active,test-backed,JSON boolean,nonsensitive manager UI acknowledgment,Absent value defaults false; resetting conflict acknowledgments restores the red dot when conflicts exist,src/workbench/extensions/manager/composables/useConflictAcknowledgment.ts:9-31; src/workbench/extensions/manager/composables/useConflictAcknowledgment.test.ts
COMFY-PERSIST-015,localStorage,Comfy.ConflictWarningBannerDismissed,Custom-node conflict warning-banner acknowledgment,active,test-backed,JSON boolean,nonsensitive manager UI acknowledgment,Absent value defaults false; resetting conflict acknowledgments restores the banner when conflicts exist,src/workbench/extensions/manager/composables/useConflictAcknowledgment.ts:9-31; src/workbench/extensions/manager/composables/useConflictAcknowledgment.test.ts
COMFY-PERSIST-016,localStorage,Comfy.Manager.UI.State,Manager selected tab search mode query and sort,active,code-inferred,"JSON ManagerState `{selectedTabId,searchQuery,searchMode,sortField}`",search query may reveal locally installed node interests,Malformed storage is logged and replaced in memory with All/packs/downloads defaults; reset persists those defaults,src/workbench/extensions/manager/composables/useManagerStatePersistence.ts:7-54
COMFY-PERSIST-017,localStorage,comfy.subscription.pending_checkout_attempt,Pending subscription checkout correlation and expected transition,cloud/paid,test-backed,"JSON PendingSubscriptionCheckoutAttempt with attempt UUID timestamp tier cycle type and optional prior state/source",sensitive billing intent metadata,Malformed invalid or older-than-six-hours attempts are cleared; storage unavailability is tolerated; changes dispatch a local event,src/platform/cloud/subscription/utils/subscriptionCheckoutTracker.ts:21-170; src/platform/cloud/subscription/utils/subscriptionCheckoutTracker.test.ts
COMFY-PERSIST-018,sessionStorage,Comfy.OAuthRequestId,OAuth consent request correlation across social-login redirects,cloud/paid,test-backed,UUID string,sensitive OAuth correlation identifier,Malformed repeated or explicitly invalid input clears stale state; valid value survives redirects until explicit completion/clear,src/platform/cloud/oauth/oauthState.ts:3-58; src/platform/cloud/oauth/oauthState.test.ts
COMFY-PERSIST-019,sessionStorage,comfy:resume-team-pricing,One-shot intent to resume pricing after workspace creation/switch,cloud/paid,test-backed,string marker `1`,sensitive billing-navigation intent,Startup consumes and removes the marker exactly once; unavailable storage is ignored and personal-workspace state suppresses pricing,src/platform/cloud/subscription/composables/useSubscriptionDialog.ts:14; src/platform/cloud/subscription/composables/useSubscriptionDialog.ts:222-254; src/platform/cloud/subscription/composables/useSubscriptionDialog.test.ts
COMFY-PERSIST-020,sessionStorage,Comfy.PreservedQuery.{namespace},Namespaced query values carried across auth share invite and desktop-login redirects,conditional,test-backed,"JSON `Record<string,string>`; known namespaces include template/share_auth/desktop_login",sensitive because values can contain one-time codes share IDs attribution or redirect context,Invalid non-object/non-string records are deleted; unavailable writes warn; explicit clear consumes the namespace; Zed must preserve only allowlisted values with bounded lifetime and redaction,src/platform/navigation/preservedQueryManager.ts:3-151; src/platform/navigation/preservedQueryManager.test.ts; src/stores/authStore.test.ts
COMFY-PERSIST-021,localStorage,builder-splitter,App Builder left-side splitter percentages,active,code-inferred,JSON number array summing approximately 100,nonsensitive UI layout,Invalid nonfinite empty or nonpositive arrays are ignored; drift above 0.5 is renormalized to 100 percent,src/components/LiteGraphCanvasSplitterOverlay.vue:24; src/components/LiteGraphCanvasSplitterOverlay.vue:231-258
COMFY-PERSIST-022,localStorage,builder-splitter-right,App Builder right-side splitter percentages,active,code-inferred,JSON number array summing approximately 100,nonsensitive UI layout,Invalid nonfinite empty or nonpositive arrays are ignored; drift above 0.5 is renormalized to 100 percent,src/components/LiteGraphCanvasSplitterOverlay.vue:25; src/components/LiteGraphCanvasSplitterOverlay.vue:231-258
COMFY-PERSIST-023,localStorage,{sidebarTabKey}[-{left|right}][-with-offside],Graph workspace sidebar splitter percentages per tab/location/offside layout,active,code-inferred,JSON number array summing approximately 100,nonsensitive UI layout,Dynamic key uses unified/active/default sidebar identity; invalid arrays are ignored and valid drift is renormalized,src/components/LiteGraphCanvasSplitterOverlay.vue:198-215; src/components/LiteGraphCanvasSplitterOverlay.vue:231-258
COMFY-PERSIST-024,localStorage,bottom-panel-splitter,Bottom-panel splitter percentages,active,code-inferred,JSON number array,nonsensitive UI layout,PrimeVue restores the saved array when present and otherwise applies component defaults,src/components/LiteGraphCanvasSplitterOverlay.vue:76-77
