record_id,method,path,operation_id,summary,tags,openapi_version,api_info_version,availability,document_evidence_level,route_shape_reconciliation,corroborated_feature_ids,native_parity_treatment
COMFY-DOC-OPENAPI-F1456043BA1A,GET,/api/history_v2,getHistory,Get execution history (v2),job,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0036,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-0B3AF80CD8C6,GET,/api/history_v2/{prompt_id},getHistoryForPrompt,Get history for specific prompt,job,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0037,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-8B73AC6DCFE9,GET,/api/jobs,listJobs,List jobs with pagination and filtering,job,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0041,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-06D2EDA28A41,GET,/api/jobs/{job_id},getJobDetail,Get full job details,job,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0043; COMFY-UI-021; COMFY-UI-023,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-1988E8BD6860,GET,/api/view,viewFile,View a file,file,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0076; COMFY-API-0137,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-0FC81ECAEB2A,GET,/api/files/mask-layers,getMaskLayers,Get related mask layer files,file,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0029; COMFY-ASSET-023,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-29C7502FB867,GET,/api/assets,listAssets,List user assets,asset,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0007; COMFY-ASSET-019; COMFY-ASSET-021,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-670298557E82,POST,/api/assets,uploadAsset,Upload a new asset,asset,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0008; COMFY-ASSET-020,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-F2EA5EA9F132,POST,/api/assets/from-hash,createAssetFromHash,Create asset reference from existing hash,asset,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0009,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-DAF5E1D22807,GET,/api/assets/remote-metadata,getRemoteAssetMetadata,Get asset metadata from remote URL,asset,3.0.3,1.0.0,cloud/paid; experimental,documented-only,no-executable-route-shape-corroboration,,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-81D7D5705F6E,POST,/api/assets/download,createAssetDownload,Initiate background download for large files,asset,3.0.3,1.0.0,cloud/paid; experimental,documented-only,no-executable-route-shape-corroboration,,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-704A9408A131,GET,/api/assets/{id},getAssetById,Get asset details,asset,3.0.3,1.0.0,cloud/paid; experimental,documented-only,frontend-route-shape-corroborated,COMFY-ASSET-016,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-AC228E999A3F,PUT,/api/assets/{id},updateAsset,Update asset metadata,asset,3.0.3,1.0.0,cloud/paid; experimental,documented-only,no-executable-route-shape-corroboration,,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-641150114B39,DELETE,/api/assets/{id},deleteAsset,Delete asset,asset,3.0.3,1.0.0,cloud/paid; experimental,documented-only,frontend-route-shape-corroborated,COMFY-ASSET-015,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-5647C4D00756,POST,/api/assets/{id}/tags,addAssetTags,Add tags to asset,asset,3.0.3,1.0.0,cloud/paid; experimental,documented-only,frontend-route-shape-corroborated,COMFY-ASSET-014,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-43D90B0B1F3D,DELETE,/api/assets/{id}/tags,removeAssetTags,Remove tags from asset,asset,3.0.3,1.0.0,cloud/paid; experimental,documented-only,frontend-route-shape-corroborated,COMFY-ASSET-013,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-C8468DD084B7,GET,/api/tags,listTags,List all tags,asset,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0059,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-0576E800A8B3,GET,/api/assets/tags/refine,getAssetTagHistogram,Get tag histogram for filtered assets,asset,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0015,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-1F600CBF47B0,HEAD,/api/assets/hash/{hash},checkAssetByHash,Check if asset exists by hash,asset,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0010,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-46B415BCFAD6,GET,/api/queue,getQueueInfo,Get queue information,job,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0052; COMFY-API-0119; COMFY-QUEUE-007,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-B43C2850F535,POST,/api/queue,manageQueue,Manage queue operations,job,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0053; COMFY-API-0120,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-01A2BF63DD5E,POST,/api/interrupt,interruptJob,Interrupt currently running jobs,job,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0039; COMFY-API-0111,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-04D10CAFDC6A,GET,/api/userdata,getUserdata,List user data files,user,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0065; COMFY-API-0129; COMFY-UI-037,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-3FEAFF45CD10,GET,/api/userdata/{file},getUserdataFile,Get user data file,user,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0067; COMFY-API-0131; COMFY-UI-035,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-B08C00AC2A32,POST,/api/userdata/{file},postUserdataFile,Upload or update a user data file,user,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0068; COMFY-API-0132; COMFY-UI-036,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-B88C3E6716B5,DELETE,/api/userdata/{file},deleteUserdataFile,Delete a user data file,user,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0066; COMFY-API-0130; COMFY-UI-034,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-16AD1378E1E8,POST,/api/upload/image,uploadImage,Upload an image file,file,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0062; COMFY-API-0127; COMFY-ASSET-026,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-C411BB466286,POST,/api/upload/mask,uploadMask,Upload a mask image,file,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0063; COMFY-API-0128,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-DD57A73D5256,GET,/api/system_stats,getSystemStats,Get system statistics,system,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0058; COMFY-API-0125; COMFY-UI-031,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-2B5B9532D391,GET,/api/user,getUser,Get current user information,user,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-and-frontend-route-shape-corroborated,COMFY-API-0064; COMFY-CLOUD-103,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
COMFY-DOC-OPENAPI-FD57A15DAA8A,GET,/api/job/{job_id}/status,getJobStatus,Get job status,job,3.0.3,1.0.0,cloud/paid; experimental,documented-only,backend-route-shape-corroborated,COMFY-API-0040,Do not implement paid cloud semantics from documentation alone; retain as an explicit provider/defer decision.
