data_source_id,record_type,name,backend,scope,durability,authority,source_paths,capability_ids,migration_requirement,status,summary
MIG-0011,sql_migration,0011_nip_rs_exact_tag_cardinality,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0011_nip_rs_exact_tag_cardinality.sql,CAP-013;CAP-030,Preserve exact NIP-RS tag cardinality checks at canonical ingress,mapped,Adds exact tag-cardinality guards for encrypted read-state events.
MIG-0012,sql_migration,0012_push_leases,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0012_push_leases.sql,CAP-016,Import encrypted push leases and the wake outbox without exposing ciphertext to projections,mapped,Adds durable push leases endpoint state and wake-delivery outbox records.
MIG-0013,sql_migration,0013_push_endpoint_state,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0013_push_endpoint_state.sql,CAP-016,Preserve generation-scoped endpoint invalidation during gateway migration,mapped,Adds generation tracking and invalidation state for push endpoints.
MIG-0014,sql_migration,0014_push_lease_fts,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0014_push_lease_fts.sql,CAP-015;CAP-016,Keep push-lease ciphertext excluded from canonical FTS,mapped,Removes encrypted push-lease payloads from the searchable event allowlist.
MIG-0015,sql_migration,0015_push_gateway_authority,PostgreSQL,deployment,durable,schema-history,projects/buzz/migrations/0015_push_gateway_authority.sql,CAP-016,Move global gateway challenges installations delegations quotas and replay state under one approved authority,mapped,Adds deployment-global push gateway authority tables and expiry indexes.
MIG-0016,sql_migration,0016_community_archival,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0016_community_archival.sql,CAP-003;CAP-030,Import archive state separately from access revocation and deletion,mapped,Adds reversible community archival state.
MIG-0017,sql_migration,0017_product_feedback,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0017_product_feedback.sql,CAP-017;CAP-029,Preserve signed feedback attribution and moderation visibility,mapped,Adds signed product-feedback persistence.
MIG-0018,sql_migration,0018_push_match_queue,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0018_push_match_queue.sql,CAP-016,Import pending event-to-push matches with idempotency and reconciliation,mapped,Adds the durable push matching queue.
MIG-0019,sql_migration,0019_mesh_status_retention,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0019_mesh_status_retention.sql,CAP-035,Preserve bounded mesh-status retention without treating it as compute-job authority,mapped,Adds retention rules for shared-compute mesh status events.
MIG-0020,sql_migration,0020_join_policy_acceptances,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0020_join_policy_acceptances.sql,CAP-003;CAP-008,Import versioned acceptance evidence and fail closed when policy versions cannot be resolved,mapped,Adds versioned community join-policy acceptance records.
MIG-0021,sql_migration,0021_created_at_fence_floor,PostgreSQL,deployment,durable,schema-history,projects/buzz/migrations/0021_created_at_fence_floor.sql,CAP-003;CAP-004;CAP-005,Preserve the commit-time created-at floor across replicas before enabling writes,mapped,Adds the replica-safe created-at fence floor.
MIG-0022,sql_migration,0022_event_ttl_refresh,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0022_event_ttl_refresh.sql,CAP-010;CAP-030,Preserve transactional ephemeral-channel TTL refresh and rollback semantics,mapped,Refreshes event retention when ephemeral channel deadlines move.
MIG-0023,sql_migration,0023_push_match_gate,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0023_push_match_gate.sql,CAP-016,Keep community push-match enablement fail closed during mixed-version operation,mapped,Adds a community-level gate for push-match enqueueing.
MIG-0024,sql_migration,0024_event_ttl_refresh_shared_lock,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0024_event_ttl_refresh_shared_lock.sql,CAP-010;CAP-030,Retain the shared-lock repair for concurrent TTL refresh operations,mapped,Repairs ephemeral retention under concurrent channel updates.
MIG-0025,sql_migration,0025_relay_invites,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0025_relay_invites.sql,CAP-008;CAP-010,Import invite uses expiries and revocations atomically,mapped,Adds use-limited community relay invitations.
MIG-0026,sql_migration,0026_replica_heartbeat,PostgreSQL,deployment,durable,schema-history,projects/buzz/migrations/0026_replica_heartbeat.sql,CAP-004;CAP-005;CAP-006;CAP-043,Preserve heartbeat freshness checks before routing reads to replicas,mapped,Adds replica heartbeat and read-freshness evidence.
MIG-0027,sql_migration,0027_channels_id_lookup_index,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0027_channels_id_lookup_index.sql,CAP-003;CAP-010,Recreate the channel-to-community covering index after import,mapped,Adds a live channel identifier lookup index that includes community ownership.
MIG-0028,sql_migration,0028_long_reaction_payloads,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0028_long_reaction_payloads.sql,CAP-011;CAP-017,Preserve long custom-emoji reaction payloads without truncation,mapped,Expands reaction payload storage for custom emoji.
MIG-0029,sql_migration,0029_community_deletion,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0029_community_deletion.sql,CAP-030;CAP-041,Import deletion requests leases manifests checkpoints and tombstones without executing destructive phases,mapped,Adds the durable whole-community deletion control plane.
MIG-0030,sql_migration,0030_community_deletion_recovery,PostgreSQL,community,durable,schema-history,projects/buzz/migrations/0030_community_deletion_recovery.sql,CAP-030;CAP-041,Preserve terminal recovery state before any irreversible deletion work is approved,mapped,Adds recoverable terminal states and control-plane repair support.
SCHEMA-001,schema_snapshot,current_buzz_schema,PostgreSQL,deployment-and-community,durable,reference-snapshot,projects/buzz/schema/schema.sql,CAP-003;CAP-005;CAP-008;CAP-010;CAP-011;CAP-013;CAP-015;CAP-016;CAP-017;CAP-019;CAP-024;CAP-027;CAP-028;CAP-029;CAP-030;CAP-035;CAP-041;CAP-043,Compare migration replay output to this snapshot but keep ordered migrations as authority,mapped,Represents the expected schema after all 30 Buzz migrations.
STORE-POSTGRES-001,canonical_store,signed_events_and_projections,PostgreSQL,deployment-and-community,durable,Buzz-authoritative-until-cutover,projects/buzz/crates/buzz-db/src/lib.rs;projects/buzz/schema/schema.sql,CAP-003;CAP-005;CAP-010;CAP-011;CAP-012;CAP-013;CAP-015;CAP-016;CAP-017;CAP-018;CAP-019;CAP-020;CAP-024;CAP-027;CAP-028;CAP-029;CAP-030,Import through one Zed migration authority with counts hashes reconciliation and rollback,mapped,Stores signed events plus community collaboration workflow Git moderation push audit and deletion projections.
STORE-S3-MEDIA-001,object_store,media_blobs_and_sidecars,S3-compatible,community,durable,Buzz-authoritative-until-cutover,projects/buzz/crates/buzz-media/src/storage.rs;projects/buzz/crates/buzz-media/src/upload.rs;projects/buzz/crates/buzz-media/src/upload_record.rs,CAP-031,Copy or adopt tenant-keyed objects with digest checks orphan reconciliation and rollback,mapped,Stores original media thumbnails attachments and metadata sidecars in a private bucket.
STORE-S3-GIT-001,object_store,git_objects_manifests_and_refs,S3-compatible,community-and-repository,durable,Buzz-authoritative-until-ADR-003,projects/buzz/crates/buzz-relay/src/api/git/store.rs,CAP-018;CAP-019;CAP-020,Preserve create-only content addressing verified reads and linearizable pointer CAS,mapped,Stores immutable Git packs and manifests plus CAS-updated repository ref pointers.
CACHE-GIT-PACK-001,derived_cache,hydrated_git_pack_cache,local-filesystem,process,ephemeral,derived-rebuildable,projects/buzz/crates/buzz-relay/src/api/git/pack_cache.rs,CAP-019,Do not migrate; recreate from verified S3 Git objects and remove stale sessions,mapped,Provides a byte-bounded process-local cache of immutable Git pack and index pairs.
REDIS-EVENTS-001,redis_state,event_fanout_topics,Redis,community,ephemeral,derived-transport,projects/buzz/crates/buzz-pubsub/src/topic.rs;projects/buzz/crates/buzz-pubsub/src/publisher.rs;projects/buzz/crates/buzz-pubsub/src/subscriber.rs,CAP-004;CAP-006;CAP-014,Do not migrate payload state; reconnect and resubscribe from local desired-topic references,mapped,Uses community-scoped channel and global pubsub topics for cross-replica realtime fanout.
REDIS-TYPING-GAP-001,declared_gap,typing_indicator_state,Redis,community,not-implemented,no-authority,projects/buzz/crates/buzz-pubsub/src/lib.rs;projects/buzz/crates/buzz-pubsub/src/error.rs,CAP-006;CAP-014,Implement or explicitly retire the documented Redis typing contract before claiming parity,source-gap,"The crate documentation advertises typing indicators and ZADD operations, but no typing module or Redis commands exist in the current source."
REDIS-PRESENCE-001,redis_state,presence_leases,Redis,community,ttl,derived-rebuildable,projects/buzz/crates/buzz-pubsub/src/presence.rs,CAP-006;CAP-014,Do not migrate; rebuild from authenticated connection heartbeats after cutover,mapped,Stores community-scoped online or away values with a 180-second lease.
REDIS-RATE-LIMIT-001,redis_state,rate_limit_counters,Redis,community-and-operator,ttl,security-derived,projects/buzz/crates/buzz-pubsub/src/rate_limiter.rs,CAP-006;CAP-008,Drain or preserve the effective window during traffic cutover and fail closed on backend errors,mapped,Stores fixed-window tenant and operator-global connection counters with expiry.
REDIS-NIP98-001,redis_state,nip98_replay_claims,Redis,community,ttl,security-authoritative-for-window,projects/buzz/crates/buzz-pubsub/src/nip98_replay.rs,CAP-002;CAP-006;CAP-008,Retain the active replay window or gate traffic until old claims expire; never dual-accept,mapped,Stores first-claim NIP-98 event identifiers with bounded expiry and fail-closed errors.
REDIS-CACHE-INVALIDATION-001,redis_state,cache_invalidation_topics,Redis,community,ephemeral,derived-transport,projects/buzz/crates/buzz-pubsub/src/cache_invalidation.rs,CAP-003;CAP-006,Do not migrate; restart subscribers and invalidate all local tenant caches at cutover,mapped,Publishes community-scoped cross-pod cache invalidation messages.
REDIS-CONNECTION-CONTROL-001,redis_state,connection_control_topics,Redis,community,ephemeral,security-control-transport,projects/buzz/crates/buzz-pubsub/src/conn_control.rs,CAP-004;CAP-006;CAP-008,Coordinate cutover so revocation and disconnect commands cannot be lost across active replicas,mapped,Publishes community-scoped commands that close or refresh authenticated connections.
DESKTOP-APP-DATA-001,desktop_store,tauri_app_data_tree,local-filesystem,installation,durable,migration-source,projects/buzz/desktop/src-tauri/src/migration.rs,CAP-009;CAP-023;CAP-024;CAP-026;CAP-036;CAP-045,Import files before any identity or agent reader and retain conflict-safe backups until verified,mapped,Contains identity agent persona team retention and app migration artifacts under platform app-data identifiers.
DESKTOP-AGENTS-001,desktop_store,managed_agent_records,restricted-JSON,installation,durable,Buzz-authoritative-until-agent-import,projects/buzz/desktop/src-tauri/src/managed_agents/storage.rs;projects/buzz/desktop/src-tauri/src/migration.rs,CAP-009;CAP-023;CAP-026;CAP-045,Import agents/managed-agents.json atomically; preserve invalid backups and keyringless inline-key fallback,mapped,Stores keyed agent instances and keyless reusable definitions with runtime configuration.
DESKTOP-PERSONAS-001,desktop_store,legacy_persona_records,JSON,installation,durable,migration-source,projects/buzz/desktop/src-tauri/src/managed_agents/personas.rs;projects/buzz/desktop/src-tauri/src/migration.rs;projects/buzz/desktop/src-tauri/src/event_sync.rs,CAP-023;CAP-045,Fold personas.json into canonical signed persona state only after ordered JSON migrations,mapped,Stores legacy persona definitions that are reconciled into retention events and the unified agent store.
DESKTOP-TEAMS-001,desktop_store,team_records_and_bundles,JSON-and-filesystem,installation,durable,Buzz-authoritative-until-team-import,projects/buzz/desktop/src-tauri/src/managed_agents/teams.rs;projects/buzz/desktop/src-tauri/src/migration.rs;projects/buzz/desktop/src-tauri/src/event_sync.rs,CAP-023;CAP-026;CAP-045,Import teams.json and agents/teams directories as one consistency boundary before signed-event publication,mapped,Stores team metadata plus directory-backed instructions persona files skills and assets.
DESKTOP-RETENTION-001,desktop_store,scoped_agent_retention,SQLite,identity-and-relay,durable,Buzz-authoritative-until-agent-import,projects/buzz/desktop/src-tauri/src/managed_agents/retention.rs;projects/buzz/desktop/src-tauri/src/managed_agents/retention/legacy_migration.rs;projects/buzz/desktop/src-tauri/src/event_sync.rs,CAP-023;CAP-024;CAP-026;CAP-045,Import every legacy and scoped retention database by owner and normalized relay with pending-sync reconciliation,mapped,Stores persona team and managed-agent signed events for offline boot and relay synchronization.
DESKTOP-ARCHIVE-001,desktop_store,local_event_archive,SQLite,identity-and-relay,durable,user-owned-authority,projects/buzz/desktop/src-tauri/src/archive/mod.rs;projects/buzz/desktop/src-tauri/src/archive/store.rs;projects/buzz/desktop/src-tauri/src/archive/store_migrations.rs,CAP-024;CAP-036;CAP-045,Import archive.db without private keys; preserve scopes subscriptions raw events and rebuildable indexes,mapped,Stores user-selected local event transcripts observer frames and parsed agent metric indexes.
DESKTOP-IDENTITY-KEYRING-001,secret_store,human_and_agent_signing_keys,OS-keyring,installation,durable,security-authority,projects/buzz/desktop/src-tauri/src/secret_store.rs;projects/buzz/desktop/src-tauri/src/app_state_keyring.rs;projects/buzz/desktop/src-tauri/src/app_state.rs;projects/buzz/desktop/src-tauri/src/managed_agents/storage.rs,CAP-007;CAP-009;CAP-023;CAP-045,Migrate with read-back verification rotation recovery and no secret logging; never duplicate keys silently,mapped,Stores a namespaced secret blob for the human identity and managed-agent nsecs.
DESKTOP-IDENTITY-FILE-001,secret_store,identity_key_fallback,restricted-file,installation,durable,fallback-or-migration-source,projects/buzz/desktop/src-tauri/src/app_state.rs;projects/buzz/desktop/src-tauri/src/migration.rs,CAP-007;CAP-009;CAP-045,Adopt only after keyring write and read-back verification; preserve on keyring failure and quarantine corruption,mapped,Stores the active human nsec in owner-only identity.key when the keyring is unavailable or migration is incomplete.
DESKTOP-KEY-BACKUP-001,secret_store,nip49_identity_backup,encrypted-file,installation-or-user-selected,durable,user-owned-authority,projects/buzz/desktop/src-tauri/src/key_backup.rs,CAP-007;CAP-009;CAP-045,Keep NIP-49 compatibility password verification safe KDF bounds and create-new portable export semantics,mapped,Stores a password-encrypted identity.ncryptsec recovery artifact or user-selected portable copy.
DESKTOP-LEGACY-WEBKIT-001,desktop_store,legacy_webview_local_storage,SQLite,installation,durable,migration-source,projects/buzz/desktop/src-tauri/src/commands/legacy_storage.rs,CAP-003;CAP-007;CAP-036;CAP-045,Read without mutation and import workspace active-workspace and onboarding keys idempotently,mapped,Reads legacy WebKit localstorage.sqlite3 databases left by Sprout and Buzz application identifiers.
DESKTOP-NEST-001,desktop_store,agent_nest,local-filesystem,installation,durable,user-and-agent-owned,projects/buzz/desktop/src-tauri/src/managed_agents/nest.rs;projects/buzz/desktop/src-tauri/src/migration.rs,CAP-023;CAP-026;CAP-034;CAP-045,Adopt the existing nest in place where safe; preserve user-authored files and exclude repository checkouts from blind copy,mapped,Stores shared agent instructions skills research plans artifacts workspace links and runtime support files under .buzz or .buzz-dev.
DESKTOP-REPOS-DIR-001,desktop_store,repository_root_selection,text-file,installation,durable,Buzz-authoritative-until-project-import,projects/buzz/desktop/src-tauri/src/managed_agents/repos.rs;projects/buzz/desktop/src-tauri/src/migration.rs,CAP-018;CAP-036;CAP-045,Map the selected root to canonical Zed project and worktree state without copying repositories,mapped,Stores the active repository root in the nest .repos-dir marker.
DESKTOP-RUNTIME-RECEIPTS-001,desktop_store,managed_agent_runtime_receipts,restricted-JSON,agent-runtime,durable,recovery-evidence,projects/buzz/desktop/src-tauri/src/managed_agents/storage.rs,CAP-025;CAP-026;CAP-045,Import or expire receipts only after reconciling live processes; keep cleanup idempotent,mapped,Stores per-runtime process receipts under agents/agent-pids for crash and orphan recovery.
DESKTOP-AGENT-LOGS-001,operational_store,managed_agent_and_install_logs,local-filesystem,agent-runtime,durable,operational-evidence,projects/buzz/desktop/src-tauri/src/managed_agents/storage.rs,CAP-023;CAP-025;CAP-045,Preserve user-visible logs through active job reconciliation and apply canonical retention after import,mapped,Stores per-agent per-relay runtime logs and harness installation logs under agents/logs.
DESKTOP-EVENT-SYNC-001,migration_bridge,desktop_state_to_signed_events,SQLite-and-JSON,identity-and-relay,durable-transition,temporary-reconciliation-owner,projects/buzz/desktop/src-tauri/src/event_sync.rs,CAP-023;CAP-024;CAP-026;CAP-045,Run idempotently from JSON into scoped retention then relay; remove only after counts heads and pending state reconcile,mapped,Converts persona team and managed-agent desktop records into signed retention events without creating a second final authority.
DESKTOP-MESH-IDENTITY-001,secret_store,mesh_owner_keystore,restricted-JSON,machine,durable,mesh-security-authority,projects/buzz/desktop/src-tauri/src/mesh_llm/identity.rs,CAP-035;CAP-045,Preserve stable owner identity or explicitly rebind every advertised endpoint under ADR-006,mapped,Stores the machine-scoped Ed25519 mesh owner keypair separately from Nostr identities.
DESKTOP-WEBVIEW-LOCAL-001,desktop_store,user_owned_webview_state,WebKit-localStorage,identity-and-community,durable,user-owned-local-authority,projects/buzz/desktop/src/features/communities;projects/buzz/desktop/src/features/onboarding;projects/buzz/desktop/src/features/channels;projects/buzz/desktop/src/features/messages;projects/buzz/desktop/src/features/sidebar,CAP-003;CAP-010;CAP-011;CAP-013;CAP-016;CAP-017;CAP-036;CAP-045,Import drafts manual-unread navigation notification and per-identity preferences without treating relay-derived snapshots as authority,mapped,Stores workspace selection onboarding completion drafts read and unread overrides follows sections stars mutes sort order and navigation preferences.
DESKTOP-WEBVIEW-CACHE-001,derived_cache,webview_projection_snapshots,WebKit-localStorage,identity-community-and-relay,durable-cache,derived-rebuildable,projects/buzz/desktop/src/features/channels/channelSnapshot.ts;projects/buzz/desktop/src/features/messages/lib/messageSnapshot.ts;projects/buzz/desktop/src/features/communities/communityIconCache.ts;projects/buzz/desktop/src/features/profile/lib/selfProfileStorage.ts;projects/buzz/desktop/src/shared/lib/localStorageQuota.ts,CAP-007;CAP-010;CAP-011;CAP-036;CAP-045,Do not make caches authoritative; import only as offline bootstrap hints and evict on reconciliation mismatch,mapped,Stores bounded channel message icon and profile snapshots with quota-recovery eviction.
DESKTOP-WEBVIEW-PREFS-001,desktop_store,desktop_presentation_preferences,WebKit-localStorage,installation-and-identity,durable,user-owned-local-authority,projects/buzz/desktop/src/shared/theme;projects/buzz/desktop/src/shared/ui/sidebar.tsx;projects/buzz/desktop/src/app/useWebviewZoomShortcuts.ts;projects/buzz/desktop/src/features/agents/ui/transcriptAnimationPreference.ts;projects/buzz/desktop/src/features/agents/ui/transcriptTimestampPreference.ts,CAP-036;CAP-037;CAP-045,Map supported values into Zed settings and preserve unknown values for rollback,mapped,Stores theme accent glass sidebar width zoom transcript animation and timestamp preferences.
DESKTOP-WEBVIEW-SESSION-001,derived_cache,webview_session_state,WebKit-sessionStorage,window-session,ephemeral,derived-discardable,projects/buzz/desktop/src/features/onboarding/welcome.ts;projects/buzz/desktop/src/features/home/useResizableInboxListWidth.ts;projects/buzz/desktop/src/shared/hooks/useThreadPanelWidth.ts,CAP-010;CAP-036;CAP-037,Do not migrate across applications; reinitialize safely on launch or interrupted onboarding,mapped,Stores pending welcome routing and temporary pane widths for one webview session.
