catalog_id,record_type,name,numeric_value,protocol_references,source_paths,capability_ids,status,summary
KIND-KIND_TEAM,event_kind,KIND_TEAM,30176,NIP-AP,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-023,registered,"NIP-AP: Agent Team (parameterized replaceable, owner-authored)."
KIND-KIND_MANAGED_AGENT,event_kind,KIND_MANAGED_AGENT,30177,NIP-AP;NIP-OA,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-023,registered,"NIP-AP: Managed Agent (parameterized replaceable, owner-authored)."
KIND-KIND_TEAM_CATALOG,event_kind,KIND_TEAM_CATALOG,30178,NIP-33;NIP-AP,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-023,registered,"NIP-AP: Team Catalog projection (parameterized replaceable, owner-authored)."
KIND-KIND_REPORT,event_kind,KIND_REPORT,1984,NIP-56,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-029,registered,"NIP-56: Report an event, pubkey, or blob to relay moderators (kind:1984)."
KIND-KIND_PRODUCT_FEEDBACK,event_kind,KIND_PRODUCT_FEEDBACK,42000,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-017,registered,"Buzz product feedback submission. Accepted at ingest, sidecarred to the"
KIND-KIND_NIP29_PUT_USER,event_kind,KIND_NIP29_PUT_USER,9000,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,NIP-29: Add a user to a group.
KIND-KIND_NIP29_REMOVE_USER,event_kind,KIND_NIP29_REMOVE_USER,9001,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,NIP-29: Remove a user from a group.
KIND-KIND_NIP29_EDIT_METADATA,event_kind,KIND_NIP29_EDIT_METADATA,9002,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,NIP-29: Edit group metadata.
KIND-KIND_NIP29_DELETE_EVENT,event_kind,KIND_NIP29_DELETE_EVENT,9005,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,NIP-29: Delete an event from a group.
KIND-KIND_NIP29_CREATE_GROUP,event_kind,KIND_NIP29_CREATE_GROUP,9007,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,NIP-29: Create a new group.
KIND-KIND_NIP29_DELETE_GROUP,event_kind,KIND_NIP29_DELETE_GROUP,9008,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,NIP-29: Delete a group.
KIND-KIND_NIP29_CREATE_INVITE,event_kind,KIND_NIP29_CREATE_INVITE,9009,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,NIP-29: Create an invite to a group.
KIND-KIND_NIP29_JOIN_REQUEST,event_kind,KIND_NIP29_JOIN_REQUEST,9021,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,NIP-29: Request to join a group.
KIND-KIND_NIP29_LEAVE_REQUEST,event_kind,KIND_NIP29_LEAVE_REQUEST,9022,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,NIP-29: Request to leave a group.
KIND-KIND_MODERATION_BAN,event_kind,KIND_MODERATION_BAN,9040,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-029,registered,"Moderation: ban a pubkey from the community (`p` tag target, optional"
KIND-KIND_MODERATION_UNBAN,event_kind,KIND_MODERATION_UNBAN,9041,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-029,registered,Moderation: lift a community ban (`p` tag target).
KIND-KIND_MODERATION_TIMEOUT,event_kind,KIND_MODERATION_TIMEOUT,9042,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-029,registered,Moderation: timeout (write-block) a pubkey until an `expiration` tag
KIND-KIND_MODERATION_UNTIMEOUT,event_kind,KIND_MODERATION_UNTIMEOUT,9043,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-029,registered,Moderation: clear a timeout early (`p` tag target).
KIND-KIND_MODERATION_RESOLVE_REPORT,event_kind,KIND_MODERATION_RESOLVE_REPORT,9044,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-029,registered,"Moderation: resolve a report (`report` tag = report event id hex,"
KIND-RELAY_ADMIN_ADD_MEMBER,event_kind,RELAY_ADMIN_ADD_MEMBER,9030,NIP-43,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-008,registered,NIP-43: Add a pubkey to the relay member list.
KIND-RELAY_ADMIN_REMOVE_MEMBER,event_kind,RELAY_ADMIN_REMOVE_MEMBER,9031,NIP-43,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-008,registered,NIP-43: Remove a pubkey from the relay member list.
KIND-RELAY_ADMIN_CHANGE_ROLE,event_kind,RELAY_ADMIN_CHANGE_ROLE,9032,NIP-43,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-008,registered,NIP-43: Change the role of an existing relay member.
KIND-RELAY_ADMIN_SET_WORKSPACE_PROFILE,event_kind,RELAY_ADMIN_SET_WORKSPACE_PROFILE,9033,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007;CAP-008,registered,Buzz: Set the workspace profile (icon). Admin/owner-signed command.
KIND-KIND_NIP43_MEMBERSHIP_LIST,event_kind,KIND_NIP43_MEMBERSHIP_LIST,13534,NIP-43,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-008,registered,"NIP-43: Relay membership list snapshot (relay-signed, replaceable by convention)."
KIND-KIND_NIP43_MEMBER_ADDED,event_kind,KIND_NIP43_MEMBER_ADDED,8000,NIP-43,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-008,registered,NIP-43: Member added announcement (relay-signed).
KIND-KIND_NIP43_MEMBER_REMOVED,event_kind,KIND_NIP43_MEMBER_REMOVED,8001,NIP-43,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-008,registered,NIP-43: Member removed announcement (relay-signed).
KIND-KIND_NIP43_LEAVE_REQUEST,event_kind,KIND_NIP43_LEAVE_REQUEST,28936,NIP-43,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-008,registered,"NIP-43: User leave request (user-signed, ephemeral)."
KIND-KIND_IA_ARCHIVE_REQUEST,event_kind,KIND_IA_ARCHIVE_REQUEST,9035,NIP-IA,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007;CAP-030,registered,NIP-IA: Request that the relay archive a target identity.
KIND-KIND_IA_UNARCHIVE_REQUEST,event_kind,KIND_IA_UNARCHIVE_REQUEST,9036,NIP-IA,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007;CAP-030,registered,NIP-IA: Request that the relay unarchive a target identity.
KIND-KIND_IA_ARCHIVED,event_kind,KIND_IA_ARCHIVED,8002,NIP-IA,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007;CAP-030,registered,NIP-IA: Archived-identity delta (relay-signed).
KIND-KIND_IA_UNARCHIVED,event_kind,KIND_IA_UNARCHIVED,8003,NIP-IA,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007;CAP-030,registered,NIP-IA: Unarchived-identity delta (relay-signed).
KIND-KIND_IA_ARCHIVED_LIST,event_kind,KIND_IA_ARCHIVED_LIST,13535,NIP-IA,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-007;CAP-030,registered,"NIP-IA: Archived identities list snapshot (relay-signed, replaceable)."
KIND-KIND_NIP29_GROUP_METADATA,event_kind,KIND_NIP29_GROUP_METADATA,39000,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,NIP-29: Addressable group metadata state.
KIND-KIND_NIP29_GROUP_ADMINS,event_kind,KIND_NIP29_GROUP_ADMINS,39001,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,NIP-29: Addressable group admins list.
KIND-KIND_NIP29_GROUP_MEMBERS,event_kind,KIND_NIP29_GROUP_MEMBERS,39002,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,NIP-29: Addressable group members list.
KIND-KIND_NIP29_GROUP_ROLES,event_kind,KIND_NIP29_GROUP_ROLES,39003,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,NIP-29: Addressable group roles definition.
KIND-KIND_THREAD_SUMMARY,event_kind,KIND_THREAD_SUMMARY,39005,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,"Thread summary overlay: `e`/`d` tag = root event id, content ="
KIND-KIND_WINDOW_BOUNDS,event_kind,KIND_WINDOW_BOUNDS,39006,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001,registered,"Window bounds overlay: `d` tag = `<channel_id>:<request-cursor-or-head>`,"
KIND-KIND_WORKFLOW_DEF,event_kind,KIND_WORKFLOW_DEF,30620,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-027,registered,"Workflow definition (parameterized replaceable, d=workflow_uuid)."
KIND-KIND_DM_VISIBILITY,event_kind,KIND_DM_VISIBILITY,30622,NIP-DV,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-012,registered,"NIP-DV: per-viewer DM visibility snapshot (relay-signed, parameterized"
KIND-PARAM_REPLACEABLE_KIND_MIN,kind_range,PARAM_REPLACEABLE_KIND_MIN,30000,NIP-33,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001,range-boundary,Lower bound of the NIP-33 parameterized replaceable range (30000–39999).
KIND-PARAM_REPLACEABLE_KIND_MAX,kind_range,PARAM_REPLACEABLE_KIND_MAX,39999,NIP-33,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001,range-boundary,Upper bound of the NIP-33 parameterized replaceable range (30000–39999).
KIND-EPHEMERAL_KIND_MIN,kind_range,EPHEMERAL_KIND_MIN,20000,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001,range-boundary,Lower bound of the ephemeral event range (20000–29999). Never stored.
KIND-EPHEMERAL_KIND_MAX,kind_range,EPHEMERAL_KIND_MAX,29999,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001,range-boundary,Upper bound of the ephemeral event range (20000–29999). Never stored.
KIND-KIND_PRESENCE_UPDATE,event_kind,KIND_PRESENCE_UPDATE,20001,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-014,registered,Ephemeral: user presence update (online/away/offline).
KIND-KIND_PAIRING,event_kind,KIND_PAIRING,24134,NIP-AB,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-033,registered,NIP-AB: Device pairing event. Ephemeral — relay may discard after delivery.
KIND-KIND_TYPING_INDICATOR,event_kind,KIND_TYPING_INDICATOR,20002,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-014,registered,Ephemeral: typing indicator for a channel.
KIND-KIND_AGENT_OBSERVER_FRAME,event_kind,KIND_AGENT_OBSERVER_FRAME,24200,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-025,registered,Ephemeral: owner-scoped encrypted agent observer telemetry and control frame.
KIND-KIND_HUDDLE_REACTION,event_kind,KIND_HUDDLE_REACTION,24810,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-032,registered,Ephemeral: huddle emoji reaction burst. Channel-scoped to the ephemeral
KIND-KIND_STREAM_MESSAGE,event_kind,KIND_STREAM_MESSAGE,9,NIP-29,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,"NIP-29 group chat message kind. V1 used kind:10001 (replaceable range — wrong), then 40001."
KIND-KIND_STREAM_MESSAGE_V2,event_kind,KIND_STREAM_MESSAGE_V2,40002,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,V1 used kind:10002 (replaceable range — wrong).
KIND-KIND_STREAM_MESSAGE_EDIT,event_kind,KIND_STREAM_MESSAGE_EDIT,40003,NIP-51,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,V1 used kind:10004 (replaceable range + NIP-51 collision — wrong).
KIND-KIND_STREAM_MESSAGE_PINNED,event_kind,KIND_STREAM_MESSAGE_PINNED,40004,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,A stream message that has been pinned in a channel.
KIND-KIND_STREAM_MESSAGE_BOOKMARKED,event_kind,KIND_STREAM_MESSAGE_BOOKMARKED,40005,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011;CAP-013,registered,A stream message that has been bookmarked by a user.
KIND-KIND_STREAM_MESSAGE_SCHEDULED,event_kind,KIND_STREAM_MESSAGE_SCHEDULED,40006,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011;CAP-013,registered,A stream message scheduled for future delivery.
KIND-KIND_STREAM_REMINDER,event_kind,KIND_STREAM_REMINDER,40007,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-013,registered,A reminder attached to a stream message or time.
KIND-KIND_STREAM_MESSAGE_DIFF,event_kind,KIND_STREAM_MESSAGE_DIFF,40008,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,A diff/patch message showing file changes (unified diff format).
KIND-KIND_CANVAS,event_kind,KIND_CANVAS,40100,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,Canvas (shared document) for a channel.
KIND-KIND_SYSTEM_MESSAGE,event_kind,KIND_SYSTEM_MESSAGE,40099,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,"System message for channel state changes (join, leave, rename, etc.)."
KIND-KIND_CHANNEL_SUMMARY,event_kind,KIND_CHANNEL_SUMMARY,40901,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,Channel metadata with computed fields (relay-signed sidecar).
KIND-KIND_PRESENCE_SNAPSHOT,event_kind,KIND_PRESENCE_SNAPSHOT,40902,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-014,registered,Bulk presence state (relay-signed sidecar).
KIND-KIND_DM_OPEN,event_kind,KIND_DM_OPEN,41010,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-012,registered,Open/create DM (p-tags = participants).
KIND-KIND_DM_ADD_MEMBER,event_kind,KIND_DM_ADD_MEMBER,41011,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-012,registered,Add member to group DM.
KIND-KIND_DM_HIDE,event_kind,KIND_DM_HIDE,41012,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-012,registered,Hide DM from sidebar.
KIND-KIND_DM_CREATED,event_kind,KIND_DM_CREATED,41001,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-012,registered,A new direct-message conversation was created.
KIND-KIND_JOB_REQUEST,event_kind,KIND_JOB_REQUEST,43001,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-026,registered,An agent job was requested.
KIND-KIND_JOB_ACCEPTED,event_kind,KIND_JOB_ACCEPTED,43002,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-026,registered,An agent accepted a job request.
KIND-KIND_JOB_PROGRESS,event_kind,KIND_JOB_PROGRESS,43003,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-026,registered,Progress update for an in-flight agent job.
KIND-KIND_JOB_RESULT,event_kind,KIND_JOB_RESULT,43004,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-026,registered,Final result of a completed agent job.
KIND-KIND_JOB_CANCEL,event_kind,KIND_JOB_CANCEL,43005,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-026,registered,A job cancellation was requested.
KIND-KIND_JOB_ERROR,event_kind,KIND_JOB_ERROR,43006,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-026,registered,An agent job failed with an error.
KIND-KIND_MEMBER_ADDED_NOTIFICATION,event_kind,KIND_MEMBER_ADDED_NOTIFICATION,44100,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,Relay-signed notification: the target pubkey was added to a channel.
KIND-KIND_MEMBER_REMOVED_NOTIFICATION,event_kind,KIND_MEMBER_REMOVED_NOTIFICATION,44101,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-010;CAP-011,registered,Relay-signed notification: the target pubkey was removed from a channel.
KIND-KIND_AGENT_TURN_METRIC,event_kind,KIND_AGENT_TURN_METRIC,44200,NIP-42;NIP-44;NIP-AM,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-024,registered,NIP-AM: Agent Turn Metric — durable per-turn token-usage record (agent-authored).
KIND-KIND_FORUM_POST,event_kind,KIND_FORUM_POST,45001,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-017,registered,A forum post (thread root).
KIND-KIND_FORUM_VOTE,event_kind,KIND_FORUM_VOTE,45002,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-017,registered,A vote on a forum post.
KIND-KIND_FORUM_COMMENT,event_kind,KIND_FORUM_COMMENT,45003,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-017,registered,A comment reply on a forum post.
KIND-KIND_WORKFLOW_TRIGGER,event_kind,KIND_WORKFLOW_TRIGGER,46020,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-027,registered,Trigger workflow execution.
KIND-KIND_APPROVAL_GRANT,event_kind,KIND_APPROVAL_GRANT,46030,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-027,registered,Grant pending approval.
KIND-KIND_APPROVAL_DENY,event_kind,KIND_APPROVAL_DENY,46031,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-027,registered,Deny pending approval.
KIND-KIND_WORKFLOW_TRIGGERED,event_kind,KIND_WORKFLOW_TRIGGERED,46001,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-027,registered,A workflow was triggered by a matching event.
KIND-KIND_WORKFLOW_STEP_STARTED,event_kind,KIND_WORKFLOW_STEP_STARTED,46002,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-027,registered,A workflow step began execution.
KIND-KIND_WORKFLOW_STEP_COMPLETED,event_kind,KIND_WORKFLOW_STEP_COMPLETED,46003,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-027,registered,A workflow step completed successfully.
KIND-KIND_WORKFLOW_STEP_FAILED,event_kind,KIND_WORKFLOW_STEP_FAILED,46004,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-027,registered,A workflow step failed.
KIND-KIND_WORKFLOW_COMPLETED,event_kind,KIND_WORKFLOW_COMPLETED,46005,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-027,registered,The entire workflow completed successfully.
KIND-KIND_WORKFLOW_FAILED,event_kind,KIND_WORKFLOW_FAILED,46006,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-027,registered,The entire workflow failed.
KIND-KIND_WORKFLOW_CANCELLED,event_kind,KIND_WORKFLOW_CANCELLED,46007,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-027,registered,The workflow was cancelled before completion.
KIND-KIND_WORKFLOW_APPROVAL_REQUESTED,event_kind,KIND_WORKFLOW_APPROVAL_REQUESTED,46010,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-027,registered,A workflow step is waiting for human approval.
KIND-KIND_WORKFLOW_APPROVAL_GRANTED,event_kind,KIND_WORKFLOW_APPROVAL_GRANTED,46011,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-027,registered,A pending workflow approval was granted.
KIND-KIND_WORKFLOW_APPROVAL_DENIED,event_kind,KIND_WORKFLOW_APPROVAL_DENIED,46012,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-027,registered,A pending workflow approval was denied.
KIND-KIND_AUDIT_ENTRY,event_kind,KIND_AUDIT_ENTRY,48001,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-028,registered,An audit log entry was recorded.
KIND-KIND_HUDDLE_STARTED,event_kind,KIND_HUDDLE_STARTED,48100,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-032,registered,A huddle (audio/video session) was started.
KIND-KIND_HUDDLE_PARTICIPANT_JOINED,event_kind,KIND_HUDDLE_PARTICIPANT_JOINED,48101,,projects/buzz/crates/buzz-core/src/kind.rs,CAP-001;CAP-032,registered,A participant joined a huddle.
