surface_id,surface_type,name,source_paths,dependencies,capability_ids,status,final_disposition,summary
TAURI-MEDIA-PROXY,tauri_module,media_proxy,projects/buzz/desktop/src-tauri/src/media_proxy.rs,Tauri HTTP;NIP-98,CAP-002;CAP-031,mapped,Replace with authenticated Sim media transport,Proxies protected relay media into the desktop webview.
TAURI-MESH-LLM,tauri_module,mesh_llm,projects/buzz/desktop/src-tauri/src/mesh_llm,mesh-llm;Nostr,CAP-035,mapped,Port only behind approved ADR-006 shared-compute policy,Owns shared-compute discovery identity serving and recovery when mesh is enabled.
TAURI-MESH-LLM-STUBS,tauri_module,mesh_llm_stubs,projects/buzz/desktop/src-tauri/src/mesh_llm_stubs.rs,Tauri feature gating,CAP-035,mapped,Replace with explicit unavailable-state adapter,Provides deterministic disabled-build behavior for mesh commands.
TAURI-MIGRATION,tauri_module,migration,projects/buzz/desktop/src-tauri/src/migration.rs;projects/buzz/desktop/src-tauri/src/migration,Tauri;filesystem;SQLite;keyring,CAP-007;CAP-009;CAP-023;CAP-026;CAP-045,mapped,Retain as migration reference and port ordered importers into Sim,Owns legacy app-data nest identity persona team and agent migrations.
TAURI-MODEL-TESTS,tauri_module,model_tests,projects/buzz/desktop/src-tauri/src/model_tests.rs,Rust test harness,CAP-036;CAP-044,test-only,Translate retained behavior into native Sim tests,Exercises desktop serialization models under cfg(test).
TAURI-MODELS,tauri_module,models,projects/buzz/desktop/src-tauri/src/models.rs,Serde;Nostr,CAP-003;CAP-007;CAP-010;CAP-011;CAP-023;CAP-036,mapped,Map wire DTOs into canonical domain adapters,Defines serialized desktop command and event payload models.
TAURI-NATIVE-WEBSOCKET,tauri_module,native_websocket,projects/buzz/desktop/src-tauri/src/native_websocket.rs,Tauri;WebSocket;Nostr,CAP-002;CAP-004;CAP-006;CAP-036,mapped,Consolidate transport into Sim collaboration networking,Owns native relay socket lifecycle subscriptions and reconnect.
TAURI-NOSTR-BIND,tauri_module,nostr_bind,projects/buzz/desktop/src-tauri/src/nostr_bind.rs,Nostr;HTTP callback,CAP-007;CAP-008;CAP-009,mapped,Port behind ADR-002 identity binding,Owns browser-assisted Nostr account binding callbacks.
TAURI-NOSTR-CONVERT,tauri_module,nostr_convert,projects/buzz/desktop/src-tauri/src/nostr_convert.rs;projects/buzz/desktop/src-tauri/src/nostr_convert,Nostr;Serde,CAP-001;CAP-007;CAP-010;CAP-011;CAP-012;CAP-017;CAP-023,mapped,Retain codecs only at the Nostr compatibility boundary,Converts signed events into desktop-facing collaboration projections.
TAURI-PREVENT-SLEEP,tauri_module,prevent_sleep,projects/buzz/desktop/src-tauri/src/prevent_sleep.rs,OS power APIs,CAP-025;CAP-036,mapped,Reuse or extend Sim sleep-inhibition service,Prevents machine sleep while long-running agents are active.
TAURI-PTT-SHORTCUT,tauri_module,ptt_shortcut,projects/buzz/desktop/src-tauri/src/ptt_shortcut.rs,global shortcuts;audio,CAP-032;CAP-036,mapped,Port through native Sim action bindings after ADR-004,Owns global push-to-talk shortcut registration.
TAURI-RELAY,tauri_module,relay,projects/buzz/desktop/src-tauri/src/relay.rs;projects/buzz/desktop/src-tauri/src/relay,Nostr;HTTP;WebSocket,CAP-002;CAP-004;CAP-006;CAP-036,mapped,Consolidate with canonical Sim collaboration transport,Owns relay URL resolution signed queries and native request helpers.
TAURI-RELAY-ADMISSION,tauri_module,relay_admission,projects/buzz/desktop/src-tauri/src/relay_admission.rs,NIP-11;version negotiation,CAP-002;CAP-003;CAP-004;CAP-042,mapped,Retain compatibility admission as a Sim transport gate,Validates relay identity features versions and tenant metadata before use.
TAURI-RESET,tauri_module,reset,projects/buzz/desktop/src-tauri/src/reset.rs,Tauri;filesystem;keyring,CAP-007;CAP-009;CAP-030;CAP-036;CAP-045,mapped,Port safe scoped reset with recovery and explicit destructive approval,Coordinates desktop state cleanup without crossing environment boundaries.
TAURI-SECRET-STORE,tauri_module,secret_store,projects/buzz/desktop/src-tauri/src/secret_store.rs,OS keyring,CAP-009;CAP-023;CAP-045,mapped,Consolidate into Sim credentials with verified migration,Provides platform keyring access caching and fallback classification.
TAURI-SHUTDOWN,tauri_module,shutdown,projects/buzz/desktop/src-tauri/src/shutdown.rs,Tauri lifecycle,CAP-025;CAP-032;CAP-036,mapped,Integrate cleanup with Sim application lifecycle,Coordinates ordered runtime audio and transport shutdown.
TAURI-TEMPLATES,tauri_module,templates,projects/buzz/desktop/src-tauri/src/templates,Tauri;embedded assets,CAP-023;CAP-026;CAP-036,mapped,Translate product templates into canonical agent assets,Embeds default agent persona and team templates.
TAURI-TERMINAL-RUNTIME,tauri_module,terminal_runtime,projects/buzz/desktop/src-tauri/src/terminal_runtime.rs;projects/buzz/desktop/src-tauri/src/terminal_runtime,PTY;process runtime,CAP-025;CAP-034;CAP-036,mapped,Reuse Sim terminal and extend missing agent-runtime semantics,Owns local terminal processes buffering resize and lifecycle.
TAURI-TERMINAL-TRANSPORT,tauri_module,terminal_transport,projects/buzz/desktop/src-tauri/src/terminal_transport.rs,Tauri events;terminal runtime,CAP-025;CAP-034;CAP-036,mapped,Replace with native Sim terminal events,Bridges terminal input output and control messages to the webview.
TAURI-TRAY-MENU,tauri_module,tray_menu,projects/buzz/desktop/src-tauri/src/tray_menu.rs,OS tray;Tauri,CAP-016;CAP-025;CAP-036,mapped,Integrate relevant background controls with Sim desktop shell,Owns tray actions status and background affordances.
TAURI-UTIL,tauri_module,util,projects/buzz/desktop/src-tauri/src/util.rs,filesystem;platform APIs,CAP-009;CAP-023;CAP-036;CAP-045,mapped,Move helpers only with their canonical owning component,Provides security-sensitive filesystem symlink and platform helpers.
TAURI-WEBKIT-RENDERING,tauri_module,webkit_rendering,projects/buzz/desktop/src-tauri/src/webkit_rendering.rs;projects/buzz/desktop/src-tauri/src/webkit_rendering,WebKit;platform compositor,CAP-036;CAP-037,mapped,Retire after native GPUI visual parity,Contains webview-specific rendering workarounds and diagnostics.
DESKTOP-FEATURE-AGENT-MEMORY,desktop_feature,agent-memory,projects/buzz/desktop/src/features/agent-memory,React;Nostr;Tauri,CAP-024,mapped,Port behavior into native agent memory surfaces,Displays and edits encrypted agent memory records.
DESKTOP-FEATURE-AGENTS,desktop_feature,agents,projects/buzz/desktop/src/features/agents,React;ACP;MCP;Tauri,CAP-021;CAP-023;CAP-024;CAP-025;CAP-026,mapped,Merge semantics into Sim agent and ACP UI,Provides agent creation configuration lifecycle sessions snapshots personas and teams.
DESKTOP-FEATURE-CHANNEL-TEMPLATES,desktop_feature,channel-templates,projects/buzz/desktop/src/features/channel-templates,React;Nostr,CAP-010,mapped,Port templates as canonical channel creation presets,Provides reusable channel definitions and creation flows.
DESKTOP-FEATURE-CHANNELS,desktop_feature,channels,projects/buzz/desktop/src/features/channels,React;Nostr;localStorage,CAP-010;CAP-013;CAP-014,mapped,Port behavior into Collaborative Workspace navigation and timeline,Owns channel lists windows read state typing unread and management.
DESKTOP-FEATURE-CHAT,desktop_feature,chat,projects/buzz/desktop/src/features/chat,React;Nostr,CAP-011;CAP-012,mapped,Merge into native timeline and composer,Provides chat composition rendering and conversation helpers.
DESKTOP-FEATURE-COMMUNITIES,desktop_feature,communities,projects/buzz/desktop/src/features/communities,React;NIP-11,CAP-003;CAP-008,mapped,Port community selection and admission into native navigation,Owns community discovery storage switching icons and initialization.
DESKTOP-FEATURE-COMMUNITY-MEMBERS,desktop_feature,community-members,projects/buzz/desktop/src/features/community-members,React;Nostr,CAP-003;CAP-008,mapped,Merge into native member and invitation surfaces,Provides membership roles joins invites and member management.
DESKTOP-FEATURE-CUSTOM-EMOJI,desktop_feature,custom-emoji,projects/buzz/desktop/src/features/custom-emoji,React;Nostr;media,CAP-017;CAP-031,mapped,Port compatible emoji rendering and management,Owns community custom emoji discovery upload and rendering.
DESKTOP-FEATURE-FORUM,desktop_feature,forum,projects/buzz/desktop/src/features/forum,React;Nostr,CAP-011;CAP-017,mapped,Represent forum posts as canonical conversations and activities,Provides forum list thread creation replies and reactions.
DESKTOP-FEATURE-HOME,desktop_feature,home,projects/buzz/desktop/src/features/home,React;localStorage,CAP-014;CAP-016;CAP-036,mapped,Port inbox and activity landing behavior into native navigation,Provides cross-community feed inbox and task state.
DESKTOP-FEATURE-HUDDLE,desktop_feature,huddle,projects/buzz/desktop/src/features/huddle,React;Tauri audio,CAP-032,mapped,Port after ADR-004 into native huddle presentation,Provides huddle controls participants devices transcription and voice settings.
DESKTOP-FEATURE-IDENTITY-ARCHIVE,desktop_feature,identity-archive,projects/buzz/desktop/src/features/identity-archive,React;Nostr,CAP-007;CAP-030,mapped,Preserve archive semantics separately from revocation and deletion,Provides identity archive hide restore and history behavior.
DESKTOP-FEATURE-LOCAL-ARCHIVE,desktop_feature,local-archive,projects/buzz/desktop/src/features/local-archive,React;SQLite,CAP-024;CAP-036;CAP-045,mapped,Port user-owned archive controls and queries into native UI,Provides local save policy transcript and agent usage views.
DESKTOP-FEATURE-MESH-COMPUTE,desktop_feature,mesh-compute,projects/buzz/desktop/src/features/mesh-compute,React;mesh-llm,CAP-035,mapped,Port only after ADR-006 approval,Provides shared-compute eligibility resources status and recovery controls.
DESKTOP-FEATURE-MESSAGES,desktop_feature,messages,projects/buzz/desktop/src/features/messages,React;Nostr;localStorage,CAP-011;CAP-012;CAP-013;CAP-014,mapped,Port into canonical timeline composer threads and DMs,Owns message projections drafts replies reactions edits mentions and semantic activity cards.
DESKTOP-FEATURE-MODERATION,desktop_feature,moderation,projects/buzz/desktop/src/features/moderation,React;admin APIs,CAP-029,mapped,Port into native role-gated moderation surfaces,Provides reports bans timeouts queue and resolution actions.
DESKTOP-FEATURE-NOTIFICATIONS,desktop_feature,notifications,projects/buzz/desktop/src/features/notifications,React;OS notifications,CAP-014;CAP-016,mapped,Extend Sim notifications with Buzz policy and state,Provides notification preferences deduplication and desktop delivery.
DESKTOP-FEATURE-ONBOARDING,desktop_feature,onboarding,projects/buzz/desktop/src/features/onboarding,React;Tauri;Nostr,CAP-003;CAP-007;CAP-008;CAP-009;CAP-036,mapped,Translate behavior into Sim onboarding and Collaborative Workspace choice,Provides machine identity key backup community and agent onboarding.
DESKTOP-FEATURE-PRESENCE,desktop_feature,presence,projects/buzz/desktop/src/features/presence,React;Redis projections,CAP-006;CAP-014,mapped,Merge into canonical Sim presence projection and UI,Provides presence preference subscription and display behavior.
DESKTOP-FEATURE-PROFILE,desktop_feature,profile,projects/buzz/desktop/src/features/profile,React;Nostr,CAP-007;CAP-009;CAP-014,mapped,Extend Sim profiles and identity settings,Provides profile status labels identity binding backup and user sheets.
DESKTOP-FEATURE-PROJECTS,desktop_feature,projects,projects/buzz/desktop/src/features/projects,React;NIP-34;Git,CAP-018;CAP-019;CAP-020,mapped,Merge into Sim project worktree Git and review owners,Provides repositories issues patches pull requests branches and project inbox.
DESKTOP-FEATURE-PULSE,desktop_feature,pulse,projects/buzz/desktop/src/features/pulse,React;Nostr,CAP-017,mapped,Represent social notes through canonical activity streams,Provides pulse feed composition reactions and discovery.
DESKTOP-FEATURE-REMINDERS,desktop_feature,reminders,projects/buzz/desktop/src/features/reminders,React;Nostr;notifications,CAP-016;CAP-017,mapped,Port reminder semantics into native notification and timeline owners,Provides reminder creation scheduling and delivery state.
DESKTOP-FEATURE-SEARCH,desktop_feature,search,projects/buzz/desktop/src/features/search,React;search API,CAP-015,mapped,Merge into canonical Sim search service and native results,Provides scoped global recent and filtered search.
DESKTOP-FEATURE-SETTINGS,desktop_feature,settings,projects/buzz/desktop/src/features/settings,React;Tauri,CAP-003;CAP-007;CAP-009;CAP-016;CAP-032;CAP-035;CAP-036,mapped,Split settings by canonical Sim owner,Provides account community notification voice compute appearance and reset controls.
DESKTOP-FEATURE-SIDEBAR,desktop_feature,sidebar,projects/buzz/desktop/src/features/sidebar,React;localStorage;Nostr,CAP-003;CAP-010;CAP-013;CAP-014;CAP-036,mapped,Port hierarchy and density into Collaborative Workspace navigation,Provides community channels sections stars mutes sort order unread and presence rail behavior.
DESKTOP-FEATURE-TERMINAL,desktop_feature,terminal,projects/buzz/desktop/src/features/terminal,React;Tauri PTY,CAP-025;CAP-034;CAP-036,mapped,Reuse Sim terminal UI and port missing runtime linkage,Provides embedded terminal panes input output and execution status.
DESKTOP-FEATURE-USER-STATUS,desktop_feature,user-status,projects/buzz/desktop/src/features/user-status,React;Nostr,CAP-007;CAP-014,mapped,Merge into canonical identity and presence status,Provides status publication expiry and display.
DESKTOP-FEATURE-WORKFLOWS,desktop_feature,workflows,projects/buzz/desktop/src/features/workflows,React;workflow API,CAP-027;CAP-028,mapped,Port into native workflow activity approvals and administration,Provides workflow authoring triggers runs approvals and audit state.
DESKTOP-ROUTE-ROOT,desktop_route,root,projects/buzz/desktop/src/app/routes/root.tsx,TanStack Router;React,CAP-036,mapped,Replace route shell with Collaborative Workspace native navigation,Defines the desktop application root layout.
DESKTOP-ROUTE-HOME,desktop_route,/,projects/buzz/desktop/src/app/routes/index.tsx,TanStack Router;React,CAP-014;CAP-036,mapped,Map home state into native pinned work and activity navigation,Displays the cross-community home and inbox surface.
DESKTOP-ROUTE-AGENTS,desktop_route,/agents,projects/buzz/desktop/src/app/routes/agents.tsx,TanStack Router;React,CAP-023;CAP-026;CAP-036,mapped,Map agent navigation into canonical native agent surfaces,Displays and filters managed agents.
DESKTOP-ROUTE-PROJECTS,desktop_route,/projects,projects/buzz/desktop/src/app/routes/projects.tsx,TanStack Router;React,CAP-018;CAP-019;CAP-020;CAP-036,mapped,Map repository navigation into Sim projects and worktrees,Displays hosted projects and repository activity.
DESKTOP-ROUTE-PROJECT,desktop_route,/projects/$projectId,projects/buzz/desktop/src/app/routes/projects.$projectId.tsx,TanStack Router;React,CAP-018;CAP-019;CAP-020;CAP-036,mapped,Preserve project deep-link intent through native navigation,Displays one project with repository issue patch and review state.
DESKTOP-ROUTE-PULSE,desktop_route,/pulse,projects/buzz/desktop/src/app/routes/pulse.tsx,TanStack Router;React,CAP-017;CAP-036,mapped,Map social activity into the canonical native activity stream,Displays Pulse notes filters and composition.
DESKTOP-ROUTE-REMINDERS,desktop_route,/reminders,projects/buzz/desktop/src/app/routes/reminders.tsx,TanStack Router;React,CAP-016;CAP-017;CAP-036,mapped,Map reminder links and redirects into native notification navigation,Displays scheduled and completed reminders.
DESKTOP-ROUTE-SETTINGS,desktop_route,/settings,projects/buzz/desktop/src/app/routes/settings.tsx,TanStack Router;React,CAP-003;CAP-007;CAP-009;CAP-016;CAP-032;CAP-035;CAP-036,mapped,Split settings into canonical native owners while preserving navigation,Displays desktop account community notification voice compute and appearance settings.
DESKTOP-ROUTE-WORKFLOWS,desktop_route,/workflows,projects/buzz/desktop/src/app/routes/workflows.tsx,TanStack Router;React,CAP-027;CAP-028;CAP-036,mapped,Map workflow navigation into native activity and administration,Displays workflow definitions runs and approvals.
DESKTOP-ROUTE-WORKFLOW,desktop_route,/workflows/$workflowId,projects/buzz/desktop/src/app/routes/workflows.$workflowId.tsx,TanStack Router;React,CAP-027;CAP-028;CAP-036,mapped,Preserve workflow deep-link intent through native navigation,Displays one workflow definition and execution history.
DESKTOP-ROUTE-NEW-MESSAGE,desktop_route,/messages/new,projects/buzz/desktop/src/app/routes/messages.new.tsx,TanStack Router;React,CAP-012;CAP-036,mapped,Map new-message intent into the native composer,Starts a direct-message conversation.
DESKTOP-ROUTE-CHANNEL,desktop_route,/channels/$channelId,projects/buzz/desktop/src/app/routes/channels.$channelId.tsx,TanStack Router;React,CAP-010;CAP-011;CAP-013;CAP-014;CAP-036,mapped,Preserve channel thread and event targets through native navigation,Displays a channel timeline and optional focused thread state.
DESKTOP-ROUTE-FORUM-POST,desktop_route,/channels/$channelId/posts/$postId,projects/buzz/desktop/src/app/routes/channels.$channelId.posts.$postId.tsx,TanStack Router;React,CAP-010;CAP-011;CAP-017;CAP-036,mapped,Preserve forum-post deep links through canonical conversations,Displays a forum post and reply timeline inside its channel.
WEB-ROUTE-ROOT,web_route,root,projects/buzz/web/src/app/routes/root.tsx,TanStack Router,CAP-039,mapped,Retain as web client shell during compatibility period,Defines the browser client root layout and error boundary.
WEB-ROUTE-INDEX,web_route,/,projects/buzz/web/src/app/routes/index.tsx,TanStack Router,CAP-039,mapped,Preserve URL and redirect behavior,Defines the public web landing route.
WEB-ROUTE-INVITE,web_route,/invite/$code,projects/buzz/web/src/app/routes/invite.$code.tsx,TanStack Router;invite API,CAP-008;CAP-039;CAP-042,mapped,Preserve route and version-negotiated invite redemption,Handles browser invitation claims.
WEB-ROUTE-REPOS,web_route,/repos,projects/buzz/web/src/app/routes/repos.tsx,TanStack Router;NIP-98;Git API,CAP-019;CAP-039,mapped,Preserve repository listing compatibility,Lists hosted repositories available to the signer.
WEB-ROUTE-REPO,web_route,/repos/$repoId,projects/buzz/web/src/app/routes/repos.$repoId.tsx,TanStack Router;NIP-98;Git API,CAP-019;CAP-039,mapped,Preserve repository detail URLs and authorization,Shows refs metadata and repository browsing entry points.
WEB-ROUTE-BLOB,web_route,/repos/$repoId/blob/$,projects/buzz/web/src/app/routes/repos.$repoId.blob.$.tsx,TanStack Router;NIP-98;Git API,CAP-019;CAP-031;CAP-039,mapped,Preserve blob browse and download contracts,Displays or downloads repository file content by ref and path.
MOBILE-APP-ROOT,mobile_surface,application_shell,projects/buzz/mobile/lib/app.dart,Flutter;Riverpod,CAP-040,mapped,Retain mobile client and repoint to canonical compatibility endpoints,Owns tabs lifecycle theme and root navigation.
MOBILE-FEATURE-ACTIVITY,mobile_surface,activity,projects/buzz/mobile/lib/features/activity,Flutter;Riverpod;Nostr,CAP-014;CAP-016;CAP-017;CAP-040,mapped,Preserve inbox feed draft reminder and read-state behavior,Provides mobile activity and inbox surfaces.
MOBILE-FEATURE-CHANNELS,mobile_surface,channels,projects/buzz/mobile/lib/features/channels,Flutter;Riverpod;Nostr;media,CAP-010;CAP-011;CAP-012;CAP-013;CAP-014;CAP-031;CAP-040,mapped,Preserve channel thread DM typing media and reaction compatibility,Provides primary mobile conversation navigation and composer.
MOBILE-FEATURE-FORUM,mobile_surface,forum,projects/buzz/mobile/lib/features/forum,Flutter;Riverpod;Nostr,CAP-011;CAP-017;CAP-040,mapped,Preserve forum post and thread behavior,Provides mobile forum listing reading and interaction.
MOBILE-FEATURE-HOME,mobile_surface,home,projects/buzz/mobile/lib/features/home,Flutter;Riverpod,CAP-014;CAP-040,mapped,Preserve root home navigation,Hosts mobile tab and community landing behavior.
MOBILE-FEATURE-INVITES,mobile_surface,invites,projects/buzz/mobile/lib/features/invites,Flutter;invite API,CAP-008;CAP-040;CAP-042,mapped,Preserve version-negotiated invite claims and errors,Provides invitation join flow.
MOBILE-FEATURE-PAIRING,mobile_surface,pairing,projects/buzz/mobile/lib/features/pairing,Flutter;WebSocket;crypto,CAP-009;CAP-033;CAP-040,mapped,Preserve QR and encrypted identity transfer protocol,Provides mobile pairing scanner socket and recovery UI.
MOBILE-FEATURE-PROFILE,mobile_surface,profile,projects/buzz/mobile/lib/features/profile,Flutter;Riverpod;Nostr,CAP-007;CAP-014;CAP-040,mapped,Preserve profile status presence and cache behavior,Provides mobile profile and user status surfaces.
MOBILE-FEATURE-PULSE,mobile_surface,pulse,projects/buzz/mobile/lib/features/pulse,Flutter;Riverpod;Nostr,CAP-017;CAP-040,mapped,Preserve social feed and composition semantics,Provides mobile notes reactions and agent activity cards.
MOBILE-FEATURE-SEARCH,mobile_surface,search,projects/buzz/mobile/lib/features/search,Flutter;search API,CAP-015;CAP-040,mapped,Preserve scoped search recent history and result navigation,Provides mobile search pages and providers.
MOBILE-FEATURE-SETTINGS,mobile_surface,settings,projects/buzz/mobile/lib/features/settings,Flutter;preferences,CAP-007;CAP-009;CAP-016;CAP-040,mapped,Preserve identity connection theme and notification settings,Provides mobile settings and appearance navigation.
MOBILE-DEEP-LINK,mobile_surface,deep_links,projects/buzz/mobile/lib/shared/deeplink;projects/buzz/mobile/lib/features/channels/deep_link_dispatcher.dart,Flutter app links,CAP-008;CAP-010;CAP-040;CAP-042,mapped,Preserve supported link grammar lifecycle and fallback,Parses queues and dispatches mobile deep links.
ADMIN-ROUTE-REPORTS,admin_route,/reports,projects/buzz/admin-web/src/App.tsx;projects/buzz/admin-web/src/api.ts,React;admin API,CAP-029;CAP-041,mapped,Repoint to canonical least-privilege operator API,Lists open moderation reports across communities.
ADMIN-ROUTE-REPORT,admin_route,/reports/:id,projects/buzz/admin-web/src/App.tsx;projects/buzz/admin-web/src/api.ts,React;admin API,CAP-029;CAP-041,mapped,Preserve detail authorization and unavailable-content handling,Displays one moderation report and referenced message state.
ADMIN-ROUTE-FEEDBACK,admin_route,/feedback,projects/buzz/admin-web/src/App.tsx;projects/buzz/admin-web/src/api.ts,React;admin API,CAP-017;CAP-029;CAP-041,mapped,Repoint to canonical operator feedback API,Lists and filters signed product feedback.
ADMIN-ROUTE-FEEDBACK-DETAIL,admin_route,/feedback/:id,projects/buzz/admin-web/src/App.tsx;projects/buzz/admin-web/src/api.ts,React;admin API;media,CAP-017;CAP-029;CAP-031;CAP-041,mapped,Preserve detail and protected attachment behavior,Displays feedback contents metadata and attachments.
DEPLOY-HELM-BUZZ,deployment_component,buzz_helm_chart,projects/buzz/deploy/charts/buzz,Helm;Kubernetes;PostgreSQL;Redis;S3,CAP-003;CAP-004;CAP-005;CAP-006;CAP-031;CAP-032;CAP-043,mapped,Consolidate into canonical Sim deployment after ADR-001,Deploys relay pairing ingress autoscaling storage monitoring and bundled quickstart dependencies.
DEPLOY-HELM-PUSH,deployment_component,buzz_push_gateway_helm_chart,projects/buzz/deploy/charts/buzz-push-gateway,Helm;Kubernetes;PostgreSQL;push providers,CAP-016;CAP-043,mapped,Retain as Sim-owned compatibility service under ADR-005,Deploys push gateway migrations networking monitoring and production alerts.
DEPLOY-COMPOSE,deployment_component,compose_stack,projects/buzz/deploy/compose,Docker Compose;Caddy;PostgreSQL;Redis;MinIO,CAP-003;CAP-004;CAP-005;CAP-006;CAP-031;CAP-043,mapped,Provide equivalent Sim self-hosted topology then retire Buzz images,Defines local and self-hosted relay dependencies and TLS proxy.
DEPLOY-LOCAL,deployment_component,local_kubernetes,projects/buzz/deploy/local,Kubernetes;Helm,CAP-003;CAP-004;CAP-043,mapped,Replace with canonical Sim local deployment tooling,Builds and deploys local or HA Buzz charts for development.
WORKFLOW-AUTO-TAG,ci_workflow,auto-tag-on-release-pr-merge,projects/buzz/.github/workflows/auto-tag-on-release-pr-merge.yml,GitHub Actions;GitHub releases,CAP-043,mapped,Retire when Sim release ownership is proven,Creates release tags after approved release merges.
WORKFLOW-BENCHMARK-HARBOR,ci_workflow,benchmark-harbor,projects/buzz/.github/workflows/benchmark-harbor.yml,GitHub Actions;Harbor benchmark,CAP-025;CAP-026;CAP-044,mapped,Port benchmark gate into Sim CI,Runs multi-agent orchestration benchmarks.
WORKFLOW-CI,ci_workflow,ci,projects/buzz/.github/workflows/ci.yml,GitHub Actions;Rust;Node;Flutter,CAP-044,mapped,Translate required parity checks into Sim CI,Builds and tests Buzz crates clients and policy checks.
